RL2022-2023,Jugador2022-2023,País2022-2023,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,Nacimiento2022-2023,PJ2022-2023,Titular2022-2023,Mín2022-2023,90 s2022-2023,Gls.2022-2023,Ass2022-2023,G+A2022-2023,G-TP2022-2023,TP2022-2023,TPint2022-2023,TA2022-2023,TR2022-2023,xG2022-2023,npxG2022-2023,xAG2022-2023,npxG+xAG2022-2023,PrgC2022-2023,PrgP2022-2023,PrgR2022-2023,Gls..12022-2023,Ast2022-2023,G+A.12022-2023,G-TP.12022-2023,G+A-TP2022-2023,xG.12022-2023,xAG.12022-2023,xG+xAG2022-2023,npxG.12022-2023,npxG+xAG.12022-2023
1.0,Brenden Aaronson,us USA,"CC,DL",Leeds United,eng Premier League,21,2000,36.0,28.0,2372.0,26.4,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,3.9,3.9,4.2,8.1,43.0,86.0,151.0,0.04,0.11,0.15,0.04,0.15,0.15,0.16,0.31,0.15,0.31
2.0,Paxten Aaronson,us USA,"CC,DF",Eint Frankfurt,de Bundesliga,18,2003,7.0,0.0,173.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,8.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.11,0.09,0.11
3.0,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,2.0,1.0,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,George Abbott,eng ENG,CC,Tottenham,eng Premier League,16,2005,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37.0,37.0,3330.0,37.0,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,2.4,2.4,1.0,3.4,40.0,215.0,10.0,0.03,0.05,0.08,0.03,0.08,0.06,0.03,0.09,0.06,0.09
6.0,Himad Abdelli,dz ALG,"CC,DL",Angers,fr Ligue 1,22,1999,30.0,24.0,2137.0,23.7,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,1.4,1.4,2.9,4.3,58.0,151.0,111.0,0.08,0.08,0.17,0.08,0.17,0.06,0.12,0.18,0.06,0.18
7.0,Salis Abdul Samed,gh GHA,CC,Lens,fr Ligue 1,22,2000,33.0,33.0,2894.0,32.2,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,0.9,0.9,1.6,2.5,33.0,165.0,44.0,0.03,0.03,0.06,0.03,0.06,0.03,0.05,0.08,0.03,0.08
8.0,Laurent Abergel,fr FRA,CC,Lorient,fr Ligue 1,29,1993,29.0,28.0,2342.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,0.5,0.5,1.3,1.8,13.0,143.0,14.0,0.0,0.04,0.04,0.0,0.04,0.02,0.05,0.07,0.02,0.07
9.0,Oliver Abildgaard,dk DEN,CC,Hellas Verona,it Serie A,26,1996,13.0,6.0,592.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.4,0.6,2.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09
21.0,Matthis Abline,fr FRA,"DL,CC",Auxerre,fr Ligue 1,19,2003,30.0,8.0,913.0,10.2,3.0,1.0,4.0,2.0,1.0,2.0,1.0,0.0,4.4,2.8,1.0,3.7,18.0,10.0,60.0,1.06,0.11,1.17,0.95,1.06,1.05,0.3,1.3399999999999999,0.87,1.17
