RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,GC,PD,TL,TE,GC.1,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Int.,% Cmp,Int..1,TI,%deLanzamientos,Long. prom.,Int..2,%deLanzamientos.1,Long. prom..1,Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.
1,Álvaro Aceves,es ESP,PO,Valladolid,es La Liga,19,2003,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.04,0.1,0.9,1,2,50.0,7.0,3,28.6,25.7,1.0,0.0,24.0,1.0,0.0,0.0,2.0,13.85,33.0
2,Julen Agirrezabala,es ESP,PO,Athletic Club,es La Liga,21,2000,7.5,6.0,0.0,0.0,0.0,0.0,5.5,0.3,-0.5,-0.06,37,101,36.6,179.0,33,29.6,30.5,62.0,77.4,55.4,96.0,11.0,11.5,10.0,1.33,15.4
3,Doğan Alemdar,tr TUR,PO,Rennes,fr Ligue 1,19,2002,4.5,8.0,1.0,0.0,2.0,0.0,6.5,0.29,-1.5,-0.32,23,67,34.3,109.0,14,38.5,33.0,35.0,71.4,51.4,75.0,5.0,6.7,5.0,1.11,14.8
4,Alisson,br BRA,PO,Liverpool,eng Premier League,29,1992,37.0,43.0,2.0,0.0,0.0,2.0,51.1,0.33,10.1,0.27,116,283,41.0,1256.0,210,18.4,26.9,193.0,26.9,31.3,397.0,23.0,5.8,89.0,2.41,19.8
5,Alphonse Areola,fr FRA,PO,West Ham,eng Premier League,29,1993,3.4,7.0,2.0,0.0,1.0,0.0,7.3,0.33,0.3,0.09,14,37,37.8,61.0,14,39.3,33.4,30.0,43.3,33.0,47.0,2.0,4.3,1.0,0.29,10.3
6,Kepa Arrizabalaga,es ESP,PO,Chelsea,eng Premier League,27,1994,28.5,33.0,1.0,1.0,4.0,3.0,35.0,0.29,5.0,0.18,68,213,31.9,864.0,151,17.1,26.3,182.0,35.7,31.5,332.0,15.0,4.5,52.0,1.82,16.9
7,Sergio Asenjo,es ESP,PO,Valladolid,es La Liga,33,1989,10.0,21.0,1.0,1.0,0.0,0.0,16.8,0.31,-4.2,-0.42,58,162,35.8,260.0,46,38.8,35.8,92.0,66.3,51.2,166.0,5.0,3.0,17.0,1.7,16.1
8,Emil Audero,it ITA,PO,Sampdoria,it Serie A,25,1997,25.0,39.0,5.0,0.0,4.0,2.0,32.3,0.21,-4.7,-0.19,159,441,36.1,714.0,104,45.8,39.1,200.0,57.0,44.2,356.0,24.0,6.7,23.0,0.92,13.9
9,Édgar Badía,es ESP,PO,Elche,es La Liga,30,1992,36.0,63.0,7.0,0.0,4.0,2.0,69.5,0.31,8.5,0.24,191,422,45.3,772.0,166,33.8,34.2,296.0,54.4,41.7,574.0,21.0,3.7,20.0,0.56,12.7
10,Francesco Bardi,it ITA,PO,Bologna,it Serie A,30,1992,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.16,0.6,0.56,5,9,55.6,13.0,5,38.5,35.6,9.0,44.4,33.4,10.0,0.0,0.0,0.0,0.0,
11,Oliver Baumann,de GER,PO,Hoffenheim,de Bundesliga,32,1990,34.0,57.0,2.0,1.0,11.0,1.0,50.4,0.31,-5.6,-0.16,206,525,39.2,1164.0,168,35.3,33.6,249.0,45.8,39.3,529.0,43.0,8.1,43.0,1.26,13.4
12,Gavin Bazunu,ie IRL,PO,Southampton,eng Premier League,20,2002,32.0,56.0,1.0,1.0,7.0,4.0,35.4,0.28,-16.6,-0.52,212,629,33.7,935.0,144,50.2,38.1,237.0,67.5,50.0,456.0,36.0,7.9,48.0,1.5,15.1
13,Asmir Begović,ba BIH,PO,Everton,eng Premier League,35,1987,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.12,0.5,0.49,4,13,30.8,22.0,5,36.4,34.9,8.0,62.5,46.8,23.0,1.0,4.3,0.0,0.0,5.0
14,Daniel Bentley,eng ENG,PO,Wolves,eng Premier League,29,1993,2.0,3.0,0.0,0.0,0.0,0.0,3.9,0.3,0.9,0.44,10,29,34.5,57.0,14,38.6,32.9,23.0,30.4,32.2,37.0,5.0,13.5,1.0,0.5,8.3
15,Paul Bernardoni,fr FRA,PO,Angers,fr Ligue 1,25,1997,27.0,62.0,8.0,1.0,6.0,3.0,51.4,0.31,-7.6,-0.28,94,291,32.3,479.0,124,39.5,34.6,185.0,55.1,42.6,357.0,21.0,5.9,18.0,0.67,11.4
16,Marco Bizot,nl NED,PO,Brest,fr Ligue 1,31,1991,37.0,54.0,7.0,1.0,11.0,2.0,54.9,0.26,2.9,0.08,198,477,41.5,806.0,163,38.2,35.5,289.0,58.5,43.9,520.0,30.0,5.8,25.0,0.68,11.6
17,Rubén Blanco,es ESP,PO,Marseille,fr Ligue 1,27,1995,5.5,6.0,0.0,0.0,1.0,2.0,3.9,0.2,-0.1,-0.02,11,47,23.4,165.0,31,20.6,27.4,41.0,31.7,32.1,73.0,3.0,4.1,7.0,1.27,17.9
18,Janis Blaswich,de GER,PO,RB Leipzig,de Bundesliga,31,1991,26.0,29.0,6.0,0.0,2.0,0.0,26.9,0.27,-2.1,-0.08,59,189,31.2,985.0,126,14.9,25.3,156.0,26.9,30.0,288.0,20.0,6.9,39.0,1.5,17.0
19,Joaquín Blázquez,ar ARG,PO,Brest,fr Ligue 1,21,2001,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.06,0.2,0.17,8,13,61.5,18.0,3,61.1,45.7,11.0,18.2,26.3,11.0,2.0,18.2,0.0,0.0,3.5
20,Yassine Bounou,ma MAR,PO,Sevilla,es La Liga,31,1991,23.9,41.0,2.0,1.0,3.0,2.0,37.3,0.34,-1.7,-0.07,115,303,38.0,785.0,92,27.9,30.9,162.0,51.9,42.1,308.0,20.0,6.5,39.0,1.63,17.4
