RL2022-2023,Jugador2022-2023,País2022-2023,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,Nacimiento2022-2023,PJ2022-2023,Mín2022-2023,Mn/PJ2022-2023,% min2022-2023,90 s2022-2023,Titular2022-2023,Mn/arranque2022-2023,Compl2022-2023,Sup2022-2023,Mn/Sust2022-2023,Partidos como sustituto2022-2023,PPP2022-2023,onG2022-2023,onGA2022-2023,+/-2022-2023,+/-902022-2023,Dentro-Fuera2022-2023,onxG2022-2023,onxGA2022-2023,xG+/-2022-2023,xG+/-902022-2023,Dentro-Fuera.12022-2023
113,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,28,1994,30,1982.0,130.0,62.1,22.1,24,156.0,7,6,35.0,1,2.09,35.0,40.0,-5.0,-0.6299999999999999,-0.45999999999999996,29.6,34.3,-4.699999999999999,-0.47000000000000003,-0.11
58,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27,1995,29,2287.0,79.0,66.9,25.4,24,88.0,22,5,36.0,1,2.52,63.0,23.0,40.0,1.57,-0.09,51.6,21.1,30.6,1.2,-0.06
59,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,27,1995,26,1873.0,72.0,54.8,20.8,22,82.0,16,4,16.0,4,2.23,53.0,15.0,38.0,1.83,0.49,44.8,16.2,28.5,1.37,0.32
60,Sergio Akieme,es ESP,DF,Almería,es La Liga,24,1997,29,2297.0,79.0,67.2,25.5,27,84.0,23,2,9.0,4,0.93,31.0,45.0,-14.0,-0.55,-0.39,29.6,42.8,-13.3,-0.52,-0.22
61,Ebenezer Akinsanmiro,ng NGA,CC,Inter,it Serie A,17,2004,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Babatunde Akinsola,ng NGA,DL,Valladolid,es La Liga,19,2003,1,11.0,11.0,0.3,0.1,0,0.0,0,1,11.0,4,0.0,0.0,1.0,-1.0,-8.18,-7.42,0.2,0.5,-0.3,-2.22,-1.53
63,Salim Akkal,fr FRA,CC,Angers,fr Ligue 1,22,2000,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Maghnes Akliouche,fr FRA,"CC,DL",Monaco,fr Ligue 1,20,2002,11,402.0,37.0,11.8,4.5,5,61.0,0,6,16.0,16,1.82,6.0,4.0,2.0,0.45,0.15,8.6,5.7,2.9,0.66,0.48
65,Paul Akouokou,ci CIV,"CC,DF",Betis,es La Liga,24,1997,12,447.0,37.0,13.1,5.0,3,89.0,2,9,20.0,19,1.67,2.0,6.0,-4.0,-0.81,-1.08,3.5,8.9,-5.4,-1.08,-1.29
66,Jean-Daniel Akpa-Akpro,ci CIV,"CC,DL",Empoli,it Serie A,29,1992,24,1356.0,57.0,39.6,15.1,16,72.0,2,8,26.0,0,1.29,17.0,20.0,-3.0,-0.2,0.19,17.3,22.2,-5.0,-0.33,0.3
