Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Saques de esquina,Saques de esquina,Saques de esquina,Resultados,Resultados,Resultados,Unnamed: 24_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32.0,1469,1130,332,17,5,4,50,315,0,0,0,0,1107,7,40,Partidos
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,1578,1471,101,89,0,32,4,9,0,0,0,0,1284,6,26,Partidos
3,Salis Abdul Samed,gh GHA,CC,Clermont Foot,fr Ligue 1,21,2000,27.4,1701,1678,21,17,1,3,14,4,0,0,0,0,1535,2,29,Partidos
4,Laurent Abergel,fr FRA,CC,Lorient,fr Ligue 1,28,1993,32.8,1660,1617,35,25,7,21,37,8,2,0,1,0,1342,8,49,Partidos
5,Charles Abi,fr FRA,DL,Saint-Étienne,fr Ligue 1,21,2000,0.5,7,7,0,0,0,0,1,0,0,0,0,0,3,0,0,Partidos
6,Dickson Abiama,ng NGA,DL,Greuther Fürth,de Bundesliga,22,1998,8.1,137,129,6,0,2,0,3,0,0,0,0,0,84,2,6,Partidos
7,Matthis Abline,fr FRA,DL,Rennes,fr Ligue 1,18,2003,1.1,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0,Partidos
8,Tammy Abraham,eng ENG,DL,Roma,it Serie A,23,1997,34.3,696,627,67,6,5,1,16,2,0,0,0,0,485,2,20,Partidos
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,226,216,9,5,0,0,0,2,0,0,0,0,191,1,4,Partidos
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,2043,1955,87,77,1,34,3,1,0,0,0,0,1837,1,6,Partidos
11,Ragnar Ache,de GER,"CC,DL",Eint Frankfurt,de Bundesliga,23,1998,2.9,64,61,2,0,0,1,6,2,0,0,0,0,37,1,4,Partidos
12,Mohamed Achi,fr FRA,CC,Nantes,fr Ligue 1,19,2002,0.1,9,9,0,0,0,0,0,0,0,0,0,0,6,0,0,Partidos
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,1963,1624,333,63,3,30,178,230,40,0,31,0,1543,6,30,Partidos
14,Che Adams,sct SCO,DL,Southampton,eng Premier League,25,1996,22.7,472,468,2,0,4,5,8,1,0,0,0,0,304,2,22,Partidos
15,Tyler Adams,us USA,CC,RB Leipzig,de Bundesliga,22,1999,15.0,918,882,32,16,1,0,2,14,0,0,0,0,794,4,15,Partidos
16,Sargis Adamyan,am ARM,"DL,CC",Hoffenheim,de Bundesliga,28,1993,3.7,101,95,5,0,0,0,5,5,0,0,0,0,73,1,3,Partidos
17,Martin Adeline,fr FRA,"CC,DL",Reims,fr Ligue 1,17,2003,3.9,147,138,8,4,0,0,11,0,4,0,4,0,107,1,12,Partidos
18,Amine Adli,ma MAR,"DL,CC",Leverkusen,de Bundesliga,21,2000,14.0,516,494,17,1,6,0,21,11,1,0,0,0,376,5,27,Partidos
19,Yacine Adli,fr FRA,"CC,DL",Bordeaux,fr Ligue 1,21,2000,25.1,1251,1105,138,48,11,30,114,12,68,38,17,1,906,8,25,Partidos
20,Michel Aebischer,ch SUI,CC,Bologna,it Serie A,24,1997,4.9,239,225,13,5,0,1,7,1,7,0,4,0,205,1,5,Partidos
21,Felix Afena-Gyan,gh GHA,"DL,CC",Roma,it Serie A,18,2003,7.4,152,145,7,0,0,2,8,5,0,0,0,0,114,0,4,Partidos
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,1996,18.0,792,610,179,6,0,5,45,172,1,0,0,0,547,3,16,Partidos
23,Julen Agirrezabala,es ESP,PO,Athletic Club,es La Liga,20,2000,4.0,82,49,33,7,0,0,0,0,0,0,0,0,62,0,0,Partidos
24,Lucien Agoume,fr FRA,CC,Brest,fr Ligue 1,19,2002,20.8,996,955,38,30,0,10,5,0,1,0,1,0,836,3,20,Partidos
