Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Duelos aéreos,Duelos aéreos,Duelos aéreos,Unnamed: 25_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Partidos
34,Álvaro Aguado,es ESP,CC,Valladolid,es La Liga,26,1996,21.0,4,0,0,13,33,0,57,13,15,0,1,0,130,15,17,46.9,Partidos
35,Kevin Agudelo,co COL,"CC,DL",Spezia,it Serie A,23,1998,23.7,5,0,0,34,35,2,34,10,38,0,0,0,140,17,27,38.6,Partidos
36,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,26,1996,17.7,4,0,0,8,8,2,0,18,18,0,1,0,105,32,31,50.8,Partidos
37,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29,1993,13.0,3,0,0,15,14,1,39,18,9,0,0,0,80,12,14,46.2,Partidos
38,Naouirou Ahamada,fr FRA,"CC,DL",Crystal Palace,eng Premier League,20,2002,1.0,1,0,0,2,0,2,2,0,2,0,0,0,8,0,1,0.0,Partidos
39,Naouirou Ahamada,fr FRA,CC,Stuttgart,de Bundesliga,20,2002,15.5,4,1,1,16,17,1,6,8,11,0,1,0,88,7,16,30.4,Partidos
40,Amar Ahmed,se SWE,DL,Troyes,fr Ligue 1,18,2004,0.2,0,0,0,1,1,0,0,1,1,0,0,0,2,0,3,0.0,Partidos
41,Jean-Eudes Aholou,ci CIV,CC,Strasbourg,fr Ligue 1,28,1994,14.4,4,1,0,39,23,1,5,24,20,0,0,0,91,26,18,59.1,Partidos
42,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,26,1995,34.7,6,1,1,18,18,0,2,31,36,0,1,0,214,63,63,50.0,Partidos
43,Ola Aina,ng NGA,DF,Torino,it Serie A,25,1996,9.7,5,0,0,16,16,1,35,11,13,0,1,0,62,12,10,54.5,Partidos
44,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,21,2001,12.0,4,0,0,15,11,3,21,9,20,0,1,1,61,14,17,45.2,Partidos
45,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,21,2000,18.4,3,0,0,21,15,0,4,25,34,0,0,0,121,28,17,62.2,Partidos
46,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24,1998,8.5,0,0,0,5,8,0,6,7,8,0,1,0,36,15,11,57.7,Partidos
47,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,28,1994,8.6,1,0,0,14,8,1,0,2,4,0,0,0,21,50,33,60.2,Partidos
48,Ludovic Ajorque,fr FRA,"DL,CC",Mainz 05,de Bundesliga,28,1994,13.5,5,0,0,23,19,5,4,1,5,0,0,0,50,91,85,51.7,Partidos
49,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27,1995,25.4,2,0,0,24,12,0,6,16,25,0,0,0,136,23,34,40.4,Partidos
50,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,27,1995,20.8,2,0,0,12,14,1,15,20,12,0,0,0,96,36,23,61.0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Partidos
51,Sergio Akieme,es ESP,DF,Almería,es La Liga,24,1997,25.5,5,0,0,20,18,0,70,14,16,0,0,0,127,14,15,48.3,Partidos
52,Babatunde Akinsola,ng NGA,DL,Valladolid,es La Liga,19,2003,0.1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,Partidos
53,Maghnes Akliouche,fr FRA,"CC,DL",Monaco,fr Ligue 1,20,2002,4.5,3,0,0,7,4,1,10,3,4,0,0,0,23,2,6,25.0,Partidos
54,Paul Akouokou,ci CIV,"CC,DF",Betis,es La Liga,24,1997,5.0,3,0,0,7,4,0,0,12,9,0,0,0,27,6,7,46.2,Partidos
55,Jean-Daniel Akpa-Akpro,ci CIV,"CC,DL",Empoli,it Serie A,29,1992,15.1,9,2,1,31,18,0,11,13,37,0,0,0,76,16,18,47.1,Partidos
56,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27,1995,21.7,11,0,0,33,19,0,8,24,44,0,0,0,131,57,45,55.9,Partidos
57,David Alaba,at AUT,DF,Real Madrid,es La Liga,30,1992,20.4,3,0,0,9,3,0,26,14,11,0,1,0,94,11,8,57.9,Partidos
58,Ángel Alarcón,es ESP,DL,Barcelona,es La Liga,18,2004,0.3,0,0,0,2,1,0,1,0,0,,,0,,,,,Partidos
59,Tomás Alarcón,cl CHI,CC,Cádiz,es La Liga,23,1999,2.5,2,1,1,4,3,0,6,2,2,0,0,0,14,3,1,75.0,Partidos
60,Lucas Alario,ar ARG,"DL,CC",Eint Frankfurt,de Bundesliga,29,1992,3.7,0,0,0,9,2,5,0,2,2,0,0,0,10,21,23,47.7,Partidos
61,Jordi Alba,es ESP,DF,Barcelona,es La Liga,33,1989,15.8,6,1,1,11,4,10,91,11,18,0,0,0,118,8,15,34.8,Partidos
62,Luis Alberto,es ESP,CC,Lazio,it Serie A,29,1992,27.1,4,0,0,15,13,2,147,9,29,0,0,0,162,8,13,38.1,Partidos
63,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,36,1985,23.5,6,0,0,17,13,1,1,14,17,0,0,0,108,38,25,60.3,Partidos
64,Marc Albrighton,eng ENG,"DL,CC",Leicester City,eng Premier League,32,1989,2.6,0,0,0,2,2,1,28,1,1,0,0,0,13,1,1,50.0,Partidos
65,Thiago Alcántara,es ESP,CC,Liverpool,eng Premier League,31,1991,13.9,2,0,0,18,25,0,3,21,24,0,1,0,111,14,24,36.8,Partidos
66,Carlos Alcaraz,ar ARG,"CC,DL",Southampton,eng Premier League,19,2002,11.4,3,0,0,16,17,2,4,1,5,0,0,0,53,7,27,20.6,Partidos
67,Rubén Alcaraz,es ESP,CC,Cádiz,es La Liga,31,1991,22.7,11,1,1,45,33,0,44,19,31,0,1,0,159,30,29,50.8,Partidos
68,Omar Alderete,py PAR,DF,Getafe,es La Liga,25,1996,22.7,9,0,0,35,10,0,7,26,20,0,0,0,141,61,31,66.3,Partidos
69,Iván Alejo,es ESP,"CC,DL",Cádiz,es La Liga,27,1995,14.6,13,1,1,38,44,2,108,5,21,0,1,0,76,25,17,59.5,Partidos
70,Doğan Alemdar,tr TUR,PO,Rennes,fr Ligue 1,19,2002,4.5,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,100.0,Partidos
71,Carles Aleñá,es ESP,"CC,DL",Getafe,es La Liga,24,1998,23.5,12,1,1,60,50,3,43,4,10,0,1,0,120,15,38,28.3,Partidos
72,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,23,1998,32.5,5,0,0,22,6,5,252,43,40,0,0,0,239,20,13,60.6,Partidos
73,Alejandro Alfaro,es ESP,CC,Elche,es La Liga,20,2002,0.2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,Partidos
74,Ángel Algobia,es ESP,CC,Getafe,es La Liga,23,1999,12.6,3,0,0,31,10,0,11,3,13,0,0,0,68,7,21,25.0,Partidos
75,Mohamed Ali Cho,fr FRA,"DL,CC",Real Sociedad,es La Liga,18,2004,6.5,1,0,0,11,12,3,30,2,10,1,0,0,34,5,15,25.0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Partidos
76,Faride Alidou,de GER,"DF,CC",Eint Frankfurt,de Bundesliga,21,2001,2.0,0,0,0,8,1,2,7,1,5,0,0,0,16,2,7,22.2,Partidos
77,Alisson,br BRA,PO,Liverpool,eng Premier League,29,1992,37.0,1,0,0,1,5,0,0,0,0,0,0,0,71,11,1,91.7,Partidos
78,Jim Allevinah,ga GAB,"DF,DL",Clermont Foot,fr Ligue 1,27,1995,24.9,2,0,0,22,53,1,65,24,24,0,0,0,153,12,17,41.4,Partidos
79,Dele Alli,eng ENG,CC,Everton,eng Premier League,26,1996,0.4,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,33.3,Partidos
80,Domingos André Ribeiro Almeida,pt POR,CC,Valencia,es La Liga,22,2000,28.2,3,0,0,31,40,1,127,20,42,0,0,0,161,14,29,32.6,Partidos
81,Miguel Almirón,py PAR,DL,Newcastle Utd,eng Premier League,28,1994,27.7,2,0,0,22,33,9,26,10,30,0,0,0,139,6,10,37.5,Partidos
82,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,31,1990,13.0,3,0,0,10,8,0,23,11,10,0,1,0,85,26,10,72.2,Partidos
83,Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33,1989,15.1,2,1,0,19,15,0,27,35,23,0,1,1,89,32,27,54.2,Partidos
84,Éder Álvarez Balanta,co COL,"CC,DL",Schalke 04,de Bundesliga,29,1993,2.6,3,0,0,5,0,0,2,3,4,0,0,0,18,4,1,80.0,Partidos
85,Carlos Álvarez,es ESP,CC,Sevilla,es La Liga,18,2003,0.1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,Partidos
86,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,22,2000,16.7,7,1,0,27,12,0,23,15,30,0,1,0,53,31,31,50.0,Partidos
87,Julián Álvarez,ar ARG,"DL,CC",Manchester City,eng Premier League,22,2000,16.3,0,0,0,21,14,3,26,2,16,1,0,0,44,8,23,25.8,Partidos
88,Agustín Álvarez Martínez,uy URU,"DL,CC",Sassuolo,it Serie A,21,2001,4.1,1,0,0,8,4,2,4,3,3,0,0,0,20,8,12,40.0,Partidos
89,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,27,1995,25.9,7,1,0,22,22,1,9,48,23,0,2,0,194,55,39,58.5,Partidos
90,Ibrahim Amadou,fr FRA,"DF,CC",Angers,fr Ligue 1,29,1993,4.7,2,0,0,4,3,0,1,10,7,0,2,0,29,6,5,54.5,Partidos
91,Selim Amallah,ma MAR,"CC,DL",Valladolid,es La Liga,25,1996,3.0,2,1,0,10,8,1,2,5,9,0,0,0,10,7,8,46.7,Partidos
92,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,27,1994,17.9,1,0,0,7,3,0,0,8,8,0,1,0,108,34,26,56.7,Partidos
93,Amath,sn SEN,"CC,DL",Mallorca,es La Liga,26,1996,13.6,2,1,0,35,24,7,16,5,19,1,0,0,62,8,19,29.6,Partidos
94,Jordan Amavi,fr FRA,DF,Getafe,es La Liga,28,1994,2.2,2,1,1,3,2,1,6,4,2,0,0,0,15,8,3,72.7,Partidos
95,Lukáš Ambros,cz CZE,CC,Wolfsburg,de Bundesliga,18,2004,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Partidos
96,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,24,1998,26.4,7,1,1,37,5,1,39,22,32,0,2,0,107,34,35,49.3,Partidos
97,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,20,2002,0.6,1,0,0,3,0,0,0,0,1,0,0,0,5,1,0,100.0,Partidos
98,Bruno Amione,ar ARG,DF,Sampdoria,it Serie A,20,2002,23.2,10,1,1,24,16,0,5,25,33,0,1,0,121,68,43,61.3,Partidos
99,Nadiem Amiri,de GER,"CC,DL",Leverkusen,de Bundesliga,25,1996,10.9,6,0,0,14,25,4,16,6,6,0,0,0,75,1,10,9.1,Partidos
100,Samuel Amo-Ameyaw,eng ENG,CC,Southampton,eng Premier League,16,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Partidos
101,Ethan Ampadu,wls WAL,"DF,CC",Spezia,it Serie A,21,2000,29.3,10,1,1,44,20,1,11,36,37,0,2,0,203,61,40,60.4,Partidos
102,Sofyan Amrabat,ma MAR,CC,Fiorentina,it Serie A,25,1996,22.2,11,0,0,54,28,0,26,21,24,0,2,0,157,11,13,45.8,Partidos
103,Ayoub Amraoui,ma MAR,"DF,DL",Nice,fr Ligue 1,18,2004,3.3,1,0,0,5,2,0,14,4,5,0,0,0,12,0,1,0.0,Partidos
104,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,26,1996,30.9,8,0,0,27,16,2,10,24,22,0,0,2,180,87,34,71.9,Partidos
105,Elliot Anderson,sct SCO,"CC,DL",Newcastle Utd,eng Premier League,19,2002,4.6,0,0,0,6,10,1,9,6,5,0,0,0,29,11,5,68.8,Partidos
106,Felipe Anderson,br BRA,DL,Lazio,it Serie A,29,1993,32.9,3,0,0,40,33,7,50,31,50,1,0,0,142,14,21,40.0,Partidos
107,Benjamin André,fr FRA,CC,Lille,fr Ligue 1,31,1990,32.4,12,0,0,57,39,1,14,47,74,1,0,0,278,91,61,59.9,Partidos
108,Marcos André,br BRA,"DL,CC",Valencia,es La Liga,25,1996,5.0,2,1,0,9,12,1,1,0,1,0,0,0,9,10,15,40.0,Partidos
109,Komnen Andrić,rs SRB,DL,Clermont Foot,fr Ligue 1,27,1995,16.1,4,0,0,16,41,7,1,8,5,1,1,0,37,45,59,43.3,Partidos
110,Robert Andrich,de GER,CC,Leverkusen,de Bundesliga,27,1994,26.7,7,0,0,35,20,0,4,42,38,0,0,1,153,56,43,56.6,Partidos
111,Angeliño,es ESP,DF,Hoffenheim,de Bundesliga,25,1997,29.1,2,0,0,12,29,7,179,25,24,0,0,0,148,15,27,35.7,Partidos
112,Fabrizio Angileri,ar ARG,DF,Getafe,es La Liga,28,1994,6.5,2,1,0,7,1,0,12,7,9,0,1,0,19,17,10,63.0,Partidos
113,Jaidon Anthony,eng ENG,"CC,DL",Bournemouth,eng Premier League,22,1999,14.0,2,0,0,9,12,5,43,10,17,0,0,0,80,10,12,45.5,Partidos
114,Janis Antiste,fr FRA,DL,Sassuolo,it Serie A,19,2002,0.6,0,0,0,4,0,0,0,0,0,0,0,0,4,2,1,66.7,Partidos
115,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,26,1996,32.6,4,0,0,31,31,1,31,38,27,0,0,0,231,55,50,52.4,Partidos
116,Josep Antoni Gayá,es ESP,"DF,CC",Mallorca,es La Liga,22,2000,1.1,0,0,0,0,0,0,0,1,0,0,0,0,5,1,1,50.0,Partidos
117,José Antonio,es ESP,"CC,DF",Cádiz,es La Liga,18,2004,0.5,0,0,0,0,4,0,1,0,1,0,0,0,2,0,0,,Partidos
118,Marcos Antônio,br BRA,CC,Lazio,it Serie A,22,2000,6.6,2,0,0,9,15,0,0,11,6,0,0,0,42,0,4,0.0,Partidos
