Unnamed: 0,Jugador,País2017-2018,Posc2017-2018,Equipo2017-2018,Comp2017-2018,Edad2017-2018,Nacimiento2017-2018,PJ2017-2018,Titular2017-2018,Mín2017-2018,90 s2017-2018,GC2017-2018,GC902017-2018,DaPC2017-2018,Salvadas2017-2018,% Salvadas2017-2018,PG2017-2018,PE2017-2018,PP2017-2018,PaC2017-2018,PaC%2017-2018,TPint2017-2018,PD2017-2018,PD.12017-2018,PC2017-2018,% Salvadas.12017-2018,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,PJ2018-2019,Titular2018-2019,Mín2018-2019,90 s2018-2019,GC2018-2019,GC902018-2019,DaPC2018-2019,Salvadas2018-2019,% Salvadas2018-2019,PG2018-2019,PE2018-2019,PP2018-2019,PaC2018-2019,PaC%2018-2019,TPint2018-2019,PD2018-2019,PD.12018-2019,PC2018-2019,% Salvadas.12018-2019,País2019-2020,Posc2019-2020,Equipo2019-2020,Comp2019-2020,Edad2019-2020,Nacimiento2019-2020,PJ2019-2020,Titular2019-2020,Mín2019-2020,90 s2019-2020,GC2019-2020,GC902019-2020,DaPC2019-2020,Salvadas2019-2020,% Salvadas2019-2020,PG2019-2020,PE2019-2020,PP2019-2020,PaC2019-2020,PaC%2019-2020,TPint2019-2020,PD2019-2020,PD.12019-2020,PC2019-2020,% Salvadas.12019-2020,País2020-2021,Posc2020-2021,Equipo2020-2021,Comp2020-2021,Edad2020-2021,Nacimiento2020-2021,PJ2020-2021,Titular2020-2021,Mín2020-2021,90 s2020-2021,GC2020-2021,GC902020-2021,DaPC2020-2021,Salvadas2020-2021,% Salvadas2020-2021,PG2020-2021,PE2020-2021,PP2020-2021,PaC2020-2021,PaC%2020-2021,TPint2020-2021,PD2020-2021,PD.12020-2021,PC2020-2021,% Salvadas.12020-2021,País2021-2022,Posc2021-2022,Equipo2021-2022,Comp2021-2022,Edad2021-2022,Nacimiento2021-2022,PJ2021-2022,Titular2021-2022,Mín2021-2022,90 s2021-2022,GC2021-2022,GC902021-2022,DaPC2021-2022,Salvadas2021-2022,% Salvadas2021-2022,PG2021-2022,PE2021-2022,PP2021-2022,PaC2021-2022,PaC%2021-2022,TPint2021-2022,PD2021-2022,PD.12021-2022,PC2021-2022,% Salvadas.12021-2022,País2022-2023,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,Nacimiento2022-2023,PJ2022-2023,Titular2022-2023,Mín2022-2023,90 s2022-2023,GC2022-2023,GC902022-2023,DaPC2022-2023,Salvadas2022-2023,% Salvadas2022-2023,PG2022-2023,PE2022-2023,PP2022-2023,PaC2022-2023,PaC%2022-2023,TPint2022-2023,PD2022-2023,PD.12022-2023,PC2022-2023,% Salvadas.12022-2023,Position,Market Value,Transfer Type,Fee
122,Vanja Milinković-Savić,111,12,127,6,20.0,1997.0,1.0,1.0,90.0,1.0,1.0,1.0,2.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,12,113,6,21.0,1997.0,2.0,2.0,164.0,1.8,4.0,2.2,16.0,12.0,75.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,12,127,6,23.0,1997.0,5.0,5.0,450.0,5.0,6.0,1.2,20.0,14.0,75.0,2.0,2.0,1.0,1.0,20.0,1.0,1.0,0.0,0.0,0.0,111,12,127,6,24.0,1997.0,27.0,27.0,2430.0,27.0,33.0,1.22,80.0,46.0,67.5,9.0,7.0,11.0,4.0,14.8,8.0,7.0,1.0,0.0,12.5,111,12,127,6,25.0,1997.0,38.0,38.0,3420.0,38.0,41.0,1.08,136.0,95.0,73.5,14.0,11.0,13.0,11.0,28.9,6.0,5.0,0.0,1.0,0.0,,,,
123,Antonio Mirante,69,12,19,6,34.0,1983.0,33.0,33.0,2970.0,33.0,46.0,1.39,144.0,101.0,69.4,10.0,5.0,18.0,7.0,21.2,3.0,2.0,0.0,1.0,0.0,69,12,112,6,35.0,1983.0,11.0,11.0,990.0,11.0,6.0,0.55,38.0,31.0,84.2,6.0,4.0,1.0,6.0,54.5,1.0,0.0,1.0,0.0,100.0,69,12,112,6,36.0,1983.0,5.0,5.0,450.0,5.0,5.0,1.0,24.0,19.0,83.3,2.0,1.0,2.0,2.0,40.0,1.0,1.0,0.0,0.0,0.0,69,12,112,6,37.0,1983.0,13.0,13.0,1153.0,12.8,19.0,1.48,56.0,36.0,69.6,6.0,3.0,4.0,5.0,38.5,3.0,2.0,1.0,0.0,33.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,12,89,6,39.0,1983.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
124,Jessy Moulin,46,12,114,5,31.0,1986.0,4.0,3.0,304.0,3.4,6.0,1.78,29.0,23.0,82.8,1.0,0.0,2.0,1.0,33.3,1.0,1.0,0.0,0.0,0.0,46,12,114,5,32.0,1986.0,1.0,1.0,90.0,1.0,1.0,1.0,5.0,5.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,12,114,5,33.0,1986.0,5.0,5.0,450.0,5.0,4.0,0.8,23.0,19.0,91.3,2.0,2.0,1.0,2.0,40.0,2.0,2.0,0.0,0.0,0.0,46,12,114,5,34.0,1986.0,29.0,29.0,2610.0,29.0,42.0,1.45,100.0,60.0,62.0,8.0,9.0,12.0,9.0,31.0,4.0,4.0,0.0,0.0,0.0,46,12,130,5,35.0,1986.0,7.0,7.0,630.0,7.0,8.0,1.14,24.0,16.0,75.0,1.0,3.0,3.0,1.0,14.3,2.0,2.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
125,Florian Müller,35,12,83,2,19.0,1997.0,5.0,5.0,450.0,5.0,7.0,1.4,21.0,13.0,66.7,1.0,1.0,3.0,1.0,20.0,1.0,0.0,1.0,0.0,100.0,35,12,83,2,20.0,1997.0,24.0,24.0,2160.0,24.0,43.0,1.79,124.0,81.0,67.7,8.0,3.0,13.0,5.0,20.8,4.0,3.0,0.0,1.0,0.0,35,12,83,2,21.0,1997.0,13.0,12.0,1125.0,12.5,25.0,2.0,66.0,40.0,65.2,3.0,2.0,7.0,2.0,16.7,3.0,2.0,1.0,0.0,33.3,35,12,49,2,22.0,1997.0,31.0,31.0,2790.0,31.0,46.0,1.48,157.0,112.0,72.0,11.0,8.0,12.0,6.0,19.4,3.0,2.0,1.0,0.0,33.3,35,12,125,2,23.0,1997.0,30.0,30.0,2700.0,30.0,52.0,1.73,139.0,88.0,65.5,7.0,10.0,13.0,4.0,13.3,4.0,4.0,0.0,0.0,0.0,35,12,125,2,24.0,1997.0,19.0,19.0,1710.0,19.0,34.0,1.79,87.0,53.0,62.1,3.0,7.0,9.0,1.0,5.3,1.0,1.0,0.0,0.0,0.0,,,,
126,Yvon Mvogo,23,12,106,2,23.0,1994.0,1.0,1.0,90.0,1.0,1.0,1.0,4.0,3.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,12,106,2,24.0,1994.0,2.0,1.0,135.0,1.5,2.0,1.33,4.0,2.0,75.0,0.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,0.0,23,12,106,2,25.0,1994.0,2.0,2.0,180.0,2.0,3.0,1.5,5.0,2.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,12,80,5,28.0,1994.0,21.0,21.0,1812.0,20.1,29.0,1.44,98.0,70.0,71.4,11.0,4.0,6.0,3.0,14.3,1.0,1.0,0.0,0.0,0.0,5.0,2.8,3.0,
127,Boaz Myhill,133,12,139,3,34.0,1982.0,1.0,1.0,90.0,1.0,1.0,1.0,3.0,2.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
128,Keylor Navas,29,12,108,4,30.0,1986.0,27.0,27.0,2430.0,27.0,31.0,1.15,111.0,79.0,73.9,16.0,7.0,4.0,7.0,25.9,4.0,2.0,2.0,0.0,50.0,29,12,108,4,31.0,1986.0,10.0,10.0,900.0,10.0,8.0,0.8,31.0,23.0,74.2,6.0,2.0,2.0,4.0,40.0,0.0,0.0,0.0,0.0,0.0,29,12,104,5,32.0,1986.0,21.0,21.0,1890.0,21.0,18.0,0.86,66.0,49.0,72.7,17.0,2.0,2.0,11.0,52.4,0.0,0.0,0.0,0.0,0.0,29,12,104,5,33.0,1986.0,29.0,29.0,2520.0,28.0,18.0,0.64,92.0,73.0,81.5,21.0,3.0,5.0,14.0,48.3,2.0,1.0,1.0,0.0,50.0,29,12,104,5,34.0,1986.0,21.0,21.0,1856.0,20.6,18.0,0.87,78.0,60.0,79.5,13.0,6.0,2.0,7.0,33.3,2.0,2.0,0.0,0.0,0.0,29,12,99,3,35.0,1986.0,17.0,17.0,1529.0,17.0,32.0,1.88,83.0,51.0,66.3,4.0,4.0,9.0,1.0,5.9,4.0,4.0,0.0,0.0,0.0,5.0,5.0,1.0,
129,Neto,17,12,133,4,28.0,1989.0,33.0,33.0,2970.0,33.0,33.0,1.0,143.0,108.0,79.0,18.0,7.0,8.0,10.0,30.3,5.0,3.0,2.0,0.0,40.0,17,12,133,4,29.0,1989.0,34.0,34.0,3060.0,34.0,34.0,1.0,139.0,106.0,80.6,13.0,14.0,7.0,10.0,29.4,8.0,7.0,1.0,0.0,12.5,17,12,14,4,30.0,1989.0,2.0,2.0,180.0,2.0,2.0,1.0,3.0,1.0,33.3,1.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,17,12,14,4,31.0,1989.0,7.0,7.0,630.0,7.0,6.0,0.86,24.0,18.0,83.3,3.0,2.0,2.0,3.0,42.9,2.0,2.0,0.0,0.0,0.0,17,12,14,4,32.0,1989.0,3.0,3.0,270.0,3.0,4.0,1.33,14.0,10.0,71.4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,12,21,3,33.0,1989.0,27.0,27.0,2385.0,26.5,39.0,1.47,138.0,100.0,74.6,9.0,6.0,12.0,6.0,22.2,5.0,4.0,0.0,1.0,0.0,5.0,3.0,0.0,
130,Manuel Neuer,35,12,15,2,31.0,1986.0,3.0,3.0,270.0,3.0,2.0,0.67,7.0,5.0,71.4,2.0,0.0,1.0,2.0,66.7,0.0,0.0,0.0,0.0,0.0,35,12,15,2,32.0,1986.0,26.0,26.0,2303.0,25.6,23.0,0.9,56.0,34.0,64.3,20.0,3.0,3.0,10.0,38.5,3.0,3.0,0.0,0.0,0.0,35,12,15,2,33.0,1986.0,33.0,33.0,2970.0,33.0,31.0,0.94,110.0,79.0,74.5,25.0,4.0,4.0,15.0,45.5,4.0,3.0,1.0,0.0,25.0,35,12,15,2,34.0,1986.0,33.0,33.0,2970.0,33.0,42.0,1.27,123.0,80.0,66.7,24.0,5.0,4.0,9.0,27.3,3.0,1.0,1.0,1.0,50.0,35,12,15,2,35.0,1986.0,28.0,28.0,2510.0,27.9,26.0,0.93,89.0,63.0,71.9,22.0,4.0,2.0,10.0,35.7,1.0,1.0,0.0,0.0,0.0,35,12,15,2,36.0,1986.0,12.0,12.0,1080.0,12.0,11.0,0.92,44.0,33.0,79.5,7.0,4.0,1.0,4.0,33.3,2.0,2.0,0.0,0.0,0.0,,,,
131,Alexander Nübel,35,12,118,2,20.0,1996.0,1.0,0.0,45.0,0.5,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35,12,118,2,21.0,1996.0,18.0,18.0,1588.0,17.6,29.0,1.64,83.0,53.0,68.7,4.0,6.0,8.0,4.0,22.2,4.0,3.0,1.0,0.0,25.0,35,12,118,2,22.0,1996.0,26.0,26.0,2315.0,25.7,40.0,1.56,118.0,80.0,69.5,8.0,9.0,9.0,5.0,19.2,4.0,4.0,0.0,0.0,0.0,35,12,15,2,23.0,1996.0,1.0,1.0,90.0,1.0,2.0,2.0,4.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,12,90,5,24.0,1996.0,38.0,38.0,3420.0,38.0,40.0,1.05,141.0,104.0,77.3,20.0,9.0,9.0,11.0,28.9,9.0,8.0,0.0,1.0,0.0,35,12,90,5,25.0,1996.0,38.0,38.0,3420.0,38.0,58.0,1.53,195.0,140.0,72.8,19.0,8.0,11.0,9.0,23.7,5.0,5.0,0.0,0.0,0.0,,,,
132,Jan Oblak,116,12,11,4,24.0,1993.0,37.0,37.0,3330.0,37.0,22.0,0.59,126.0,102.0,83.3,22.0,10.0,5.0,22.0,59.5,4.0,1.0,3.0,0.0,75.0,116,12,11,4,25.0,1993.0,37.0,37.0,3330.0,37.0,27.0,0.73,129.0,104.0,82.9,22.0,9.0,6.0,20.0,54.1,5.0,5.0,0.0,0.0,0.0,116,12,11,4,26.0,1993.0,38.0,38.0,3395.0,37.7,27.0,0.72,111.0,87.0,78.4,18.0,16.0,4.0,17.0,44.7,4.0,3.0,0.0,1.0,0.0,116,12,11,4,27.0,1993.0,38.0,38.0,3420.0,38.0,25.0,0.66,122.0,98.0,80.3,26.0,8.0,4.0,18.0,47.4,4.0,1.0,2.0,1.0,66.7,116,12,11,4,28.0,1993.0,38.0,38.0,3420.0,38.0,43.0,1.13,106.0,65.0,66.0,21.0,8.0,9.0,12.0,31.6,8.0,7.0,1.0,0.0,12.5,116,12,11,4,29.0,1993.0,28.0,28.0,2492.0,27.7,20.0,0.72,79.0,59.0,75.9,17.0,5.0,6.0,11.0,39.3,2.0,1.0,0.0,1.0,0.0,,,,
133,Oier Olazábal,43,12,76,4,27.0,1989.0,26.0,26.0,2340.0,26.0,39.0,1.5,122.0,85.0,72.1,9.0,7.0,10.0,7.0,26.9,6.0,5.0,0.0,1.0,0.0,43,12,76,4,28.0,1989.0,21.0,21.0,1890.0,21.0,40.0,1.9,135.0,95.0,73.3,7.0,5.0,9.0,5.0,23.8,5.0,4.0,1.0,0.0,20.0,43,12,46,4,29.0,1989.0,2.0,2.0,180.0,2.0,0.0,0.0,3.0,3.0,100.0,1.0,1.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,12,46,4,31.0,1989.0,2.0,1.0,135.0,1.5,1.0,0.67,9.0,8.0,100.0,0.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
134,David Ospina,28,12,7,3,28.0,1988.0,5.0,4.0,381.0,4.2,3.0,0.71,12.0,9.0,75.0,3.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,28,12,95,6,29.0,1988.0,17.0,16.0,1457.0,16.2,20.0,1.24,62.0,42.0,69.4,9.0,4.0,3.0,5.0,31.3,1.0,1.0,0.0,0.0,0.0,28,12,95,6,30.0,1988.0,17.0,17.0,1469.0,16.3,17.0,1.04,54.0,37.0,72.2,9.0,3.0,5.0,4.0,23.5,2.0,2.0,0.0,0.0,0.0,28,12,95,6,31.0,1988.0,16.0,16.0,1440.0,16.0,12.0,0.75,42.0,30.0,78.6,11.0,0.0,5.0,8.0,50.0,3.0,3.0,0.0,0.0,0.0,28,12,95,6,32.0,1988.0,31.0,31.0,2790.0,31.0,25.0,0.81,106.0,82.0,77.4,19.0,6.0,6.0,13.0,41.9,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,
135,Alexandre Oukidja,38,12,124,5,29.0,1988.0,17.0,16.0,1457.0,16.2,29.0,1.79,71.0,41.0,64.8,3.0,5.0,8.0,2.0,12.5,5.0,4.0,1.0,0.0,20.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,12,88,5,31.0,1988.0,27.0,27.0,2385.0,26.5,31.0,1.17,129.0,98.0,78.3,8.0,10.0,9.0,8.0,29.6,3.0,3.0,0.0,0.0,0.0,38,12,88,5,32.0,1988.0,34.0,34.0,3058.0,34.0,38.0,1.12,127.0,89.0,77.2,12.0,10.0,12.0,8.0,23.5,10.0,9.0,1.0,0.0,10.0,38,12,88,5,33.0,1988.0,21.0,21.0,1875.0,20.8,39.0,1.87,91.0,54.0,60.4,2.0,8.0,11.0,3.0,14.3,3.0,3.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
136,Ramazan Özcan,7,12,77,2,33.0,1984.0,1.0,1.0,90.0,1.0,4.0,4.0,8.0,3.0,50.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,100.0,7,12,77,2,34.0,1984.0,2.0,2.0,180.0,2.0,5.0,2.5,12.0,7.0,66.7,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,50.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
137,Fernando Pacheco,43,12,2,4,25.0,1992.0,38.0,37.0,3357.0,37.3,50.0,1.34,171.0,121.0,74.9,15.0,2.0,20.0,12.0,32.4,10.0,7.0,2.0,1.0,22.2,43,12,2,4,26.0,1992.0,35.0,35.0,3150.0,35.0,46.0,1.31,154.0,110.0,74.0,11.0,11.0,13.0,8.0,22.9,6.0,6.0,0.0,0.0,0.0,43,12,2,4,27.0,1992.0,27.0,27.0,2358.0,26.2,37.0,1.41,102.0,62.0,71.6,7.0,7.0,13.0,6.0,22.2,11.0,8.0,3.0,0.0,27.3,43,12,2,4,28.0,1992.0,38.0,37.0,3349.0,37.2,57.0,1.53,141.0,84.0,61.7,9.0,11.0,17.0,9.0,24.3,3.0,3.0,0.0,0.0,0.0,43,12,2,4,29.0,1992.0,34.0,34.0,3053.0,33.9,60.0,1.77,148.0,85.0,62.8,8.0,5.0,21.0,5.0,14.7,8.0,5.0,3.0,0.0,37.5,43,12,3,4,30.0,1992.0,17.0,17.0,1530.0,17.0,35.0,4.0600000000000005,93.0,57.0,127.0,4.0,3.0,10.0,3.0,18.8,5.0,4.0,1.0,0.0,20.0,5.0,5.0,0.0,
138,Costel Pantilimon,110,12,68,4,30.0,1987.0,6.0,6.0,540.0,6.0,9.0,1.5,26.0,18.0,69.2,3.0,0.0,3.0,1.0,16.7,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
139,Jiří Pavlenka,34,12,138,2,25.0,1992.0,34.0,34.0,3060.0,34.0,40.0,1.18,162.0,123.0,76.5,10.0,12.0,12.0,8.0,23.5,4.0,2.0,1.0,1.0,33.3,34,12,138,2,26.0,1992.0,34.0,34.0,2978.0,33.1,47.0,1.42,153.0,106.0,71.2,14.0,11.0,9.0,5.0,14.7,4.0,3.0,0.0,1.0,0.0,34,12,138,2,27.0,1992.0,33.0,33.0,2970.0,33.0,67.0,2.03,169.0,105.0,60.9,8.0,6.0,19.0,4.0,12.1,1.0,1.0,0.0,0.0,0.0,34,12,138,2,28.0,1992.0,34.0,34.0,3060.0,34.0,57.0,1.68,157.0,101.0,66.2,7.0,10.0,17.0,6.0,17.6,6.0,4.0,2.0,0.0,33.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,12,138,2,30.0,1992.0,33.0,33.0,2908.0,32.3,61.0,1.89,170.0,110.0,65.3,10.0,5.0,18.0,4.0,12.1,3.0,2.0,1.0,0.0,33.3,,,,
140,Gianluca Pegolo,69,12,117,6,36.0,1981.0,2.0,1.0,104.0,1.2,1.0,0.87,6.0,6.0,83.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,12,117,6,37.0,1981.0,3.0,2.0,202.0,2.3,4.0,1.78,12.0,8.0,66.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,12,117,6,38.0,1981.0,5.0,5.0,450.0,5.0,4.0,0.8,27.0,24.0,85.2,2.0,2.0,1.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,69,12,117,6,39.0,1981.0,1.0,1.0,90.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,69,12,117,6,40.0,1981.0,1.0,1.0,90.0,1.0,3.0,3.0,5.0,2.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,12,117,6,41.0,1981.0,2.0,2.0,180.0,2.0,3.0,1.5,6.0,3.0,66.7,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,
141,Yohann Pelé,46,12,87,5,34.0,1982.0,9.0,7.0,714.0,8.2,10.0,1.26,27.0,18.0,66.7,4.0,2.0,1.0,3.0,42.9,1.0,1.0,0.0,0.0,0.0,46,12,87,5,35.0,1982.0,9.0,7.0,680.0,7.6,12.0,1.59,25.0,12.0,68.0,4.0,2.0,1.0,3.0,42.9,5.0,4.0,1.0,0.0,20.0,46,12,87,5,36.0,1982.0,2.0,1.0,149.0,1.7,2.0,1.21,7.0,4.0,71.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,100.0,46,12,87,5,37.0,1982.0,1.0,1.0,90.0,1.0,2.0,2.0,5.0,3.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
142,Mattia Perin,69,12,52,6,24.0,1992.0,37.0,37.0,3330.0,37.0,42.0,1.14,167.0,127.0,77.2,11.0,8.0,18.0,12.0,32.4,4.0,4.0,0.0,0.0,0.0,69,12,66,6,25.0,1992.0,9.0,9.0,810.0,9.0,8.0,0.89,27.0,19.0,74.1,6.0,1.0,2.0,5.0,55.6,1.0,1.0,0.0,0.0,0.0,69,12,52,6,26.0,1992.0,21.0,21.0,1890.0,21.0,38.0,1.81,103.0,66.0,64.1,8.0,4.0,9.0,5.0,23.8,2.0,1.0,0.0,1.0,0.0,69,12,52,6,27.0,1992.0,32.0,32.0,2879.0,32.0,44.0,1.38,158.0,116.0,76.6,9.0,11.0,12.0,8.0,25.0,7.0,7.0,0.0,0.0,0.0,69,12,66,6,28.0,1992.0,5.0,5.0,405.0,4.5,7.0,1.56,16.0,10.0,56.3,2.0,1.0,2.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,69,12,66,6,29.0,1992.0,11.0,10.0,948.0,10.5,7.0,0.66,40.0,32.0,85.0,5.0,3.0,2.0,6.0,60.0,2.0,1.0,1.0,0.0,50.0,,,,
