Unnamed: 0,Jugador,País2017-2018,Posc2017-2018,Equipo2017-2018,Comp2017-2018,Edad2017-2018,Nacimiento2017-2018,90 s2017-2018,TA2017-2018,TR2017-2018,2a amarilla2017-2018,Fls2017-2018,FR2017-2018,PA2017-2018,Pcz2017-2018,Int2017-2018,TklG2017-2018,Penal ejecutado2017-2018,Penal concedido2017-2018,GC2017-2018,Recup.2017-2018,Ganados2017-2018,Perdidos2017-2018,% de ganados2017-2018,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,90 s2018-2019,TA2018-2019,TR2018-2019,2a amarilla2018-2019,Fls2018-2019,FR2018-2019,PA2018-2019,Pcz2018-2019,Int2018-2019,TklG2018-2019,Penal ejecutado2018-2019,Penal concedido2018-2019,GC2018-2019,Recup.2018-2019,Ganados2018-2019,Perdidos2018-2019,% de ganados2018-2019,País2019-2020,Posc2019-2020,Equipo2019-2020,Comp2019-2020,Edad2019-2020,Nacimiento2019-2020,90 s2019-2020,TA2019-2020,TR2019-2020,2a amarilla2019-2020,Fls2019-2020,FR2019-2020,PA2019-2020,Pcz2019-2020,Int2019-2020,TklG2019-2020,Penal ejecutado2019-2020,Penal concedido2019-2020,GC2019-2020,Recup.2019-2020,Ganados2019-2020,Perdidos2019-2020,% de ganados2019-2020,País2020-2021,Posc2020-2021,Equipo2020-2021,Comp2020-2021,Edad2020-2021,Nacimiento2020-2021,90 s2020-2021,TA2020-2021,TR2020-2021,2a amarilla2020-2021,Fls2020-2021,FR2020-2021,PA2020-2021,Pcz2020-2021,Int2020-2021,TklG2020-2021,Penal ejecutado2020-2021,Penal concedido2020-2021,GC2020-2021,Recup.2020-2021,Ganados2020-2021,Perdidos2020-2021,% de ganados2020-2021,País2021-2022,Posc2021-2022,Equipo2021-2022,Comp2021-2022,Edad2021-2022,Nacimiento2021-2022,90 s2021-2022,TA2021-2022,TR2021-2022,2a amarilla2021-2022,Fls2021-2022,FR2021-2022,PA2021-2022,Pcz2021-2022,Int2021-2022,TklG2021-2022,Penal ejecutado2021-2022,Penal concedido2021-2022,GC2021-2022,Recup.2021-2022,Ganados2021-2022,Perdidos2021-2022,% de ganados2021-2022,País2022-2023,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,Nacimiento2022-2023,90 s2022-2023,TA2022-2023,TR2022-2023,2a amarilla2022-2023,Fls2022-2023,FR2022-2023,PA2022-2023,Pcz2022-2023,Int2022-2023,TklG2022-2023,Penal ejecutado2022-2023,Penal concedido2022-2023,GC2022-2023,Recup.2022-2023,Ganados2022-2023,Perdidos2022-2023,% de ganados2022-2023,Position,Market Value,Transfer Type,Fee
3676,Yvann Macon,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,4,114,5,20.0,1998.0,1.1,1.0,0.0,0.0,1.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,66.7,46,4,114,5,21.0,1998.0,6.0,2.0,0.0,0.0,11.0,7.0,0.0,12.0,9.0,20.0,0.0,0.0,0.0,47.0,10.0,11.0,47.6,46,4,114,5,22.0,1998.0,17.0,7.0,0.0,0.0,23.0,12.0,0.0,58.0,18.0,22.0,0.0,0.0,1.0,100.0,16.0,29.0,35.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3677,Lisandro Magallán,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,2,4,25.0,1993.0,13.3,4.0,0.0,0.0,19.0,5.0,1.0,0.0,16.0,15.0,0.0,1.0,0.0,51.0,32.0,27.0,54.2,6,4,35,6,26.0,1993.0,24.2,10.0,0.0,0.0,65.0,13.0,0.0,1.0,44.0,31.0,0.0,1.0,0.0,141.0,43.0,26.0,62.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,43,4,28.0,1993.0,10.0,0.0,1.0,0.0,15.0,5.0,0.0,1.0,13.0,11.0,0.0,0.0,0.0,53.0,17.0,19.0,47.2,2.0,2.5,0.0,
3678,Hugo Magnetti,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,1,24,5,21.0,1998.0,2.6,1.0,0.0,0.0,3.0,6.0,0.0,6.0,7.0,10.0,0.0,0.0,0.0,26.0,4.0,2.0,66.7,46,1,24,5,22.0,1998.0,6.7,4.0,0.0,0.0,12.0,9.0,0.0,5.0,14.0,12.0,0.0,0.0,0.0,46.0,3.0,6.0,33.3,46,1,24,5,23.0,1998.0,16.3,4.0,0.0,0.0,26.0,20.0,0.0,9.0,25.0,34.0,0.0,0.0,0.0,130.0,6.0,9.0,40.0,46,1,24,5,24.0,1998.0,18.8,2.0,0.0,0.0,17.0,26.0,0.0,20.0,25.0,27.0,0.0,0.0,0.0,127.0,7.0,18.0,28.0,,,,
3679,Abdallahi Mahmoud,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,1,2,4,19.0,2000.0,1.7,1.0,0.0,0.0,3.0,4.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,10.0,3.0,4.0,42.9,93,1,2,4,20.0,2000.0,0.7,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3680,Žan Majer,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116,1,71,6,27.0,1992.0,18.5,7.0,0.0,0.0,28.0,15.0,1.0,26.0,26.0,18.0,1.0,0.0,0.0,99.0,7.0,12.0,36.8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3681,Daniel Maldini,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,9,89,6,17.0,2001.0,0.3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,69,10,89,6,18.0,2001.0,0.3,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,69,1,89,6,19.0,2001.0,1.6,1.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,5.0,3.0,5.0,37.5,69,9,122,6,20.0,2001.0,7.0,1.0,0.0,0.0,13.0,18.0,0.0,19.0,1.0,5.0,0.0,0.0,0.0,32.0,12.0,17.0,41.4,0.0,2.0,1.0,
3682,Ruslan Malinovskyi,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,3,9,6,26.0,1993.0,17.1,7.0,1.0,1.0,32.0,56.0,3.0,90.0,5.0,14.0,3.0,0.0,0.0,93.0,16.0,21.0,43.2,128,3,9,6,27.0,1993.0,20.8,3.0,0.0,0.0,46.0,53.0,1.0,122.0,2.0,8.0,0.0,0.0,0.0,121.0,29.0,31.0,48.3,128,3,9,6,28.0,1993.0,17.7,10.0,0.0,0.0,40.0,41.0,3.0,102.0,5.0,10.0,0.0,0.0,0.0,95.0,18.0,19.0,48.6,128,3,9,6,29.0,1993.0,19.7,6.0,0.0,0.0,39.0,29.0,1.0,61.0,8.0,19.0,0.0,0.0,0.0,130.0,20.0,31.0,80.2,0.0,18.0,1.0,
3683,Streli Mamba,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,8,103,2,25.0,1994.0,16.9,5.0,0.0,0.0,36.0,28.0,11.0,6.0,6.0,9.0,1.0,0.0,0.0,36.0,18.0,26.0,40.9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3684,Hianga Mananga Mbock,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,1,24,5,19.0,1999.0,1.6,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,6.0,8.0,5.0,61.5,46,3,24,5,20.0,1999.0,5.1,1.0,0.0,0.0,9.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,16.0,9.0,6.0,60.0,46,1,24,5,21.0,1999.0,8.9,3.0,0.0,0.0,20.0,10.0,0.0,0.0,5.0,12.0,0.0,1.0,0.0,48.0,11.0,11.0,50.0,46,1,24,5,22.0,1999.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0,,,,
3685,Marco Mancosu,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,3,71,6,30.0,1988.0,27.1,3.0,0.0,0.0,22.0,18.0,9.0,45.0,16.0,18.0,2.0,0.0,0.0,100.0,19.0,36.0,34.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
