RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,TPint,PD,PD.1,PC,% Salvadas.1
205,Marc-André ter Stegen,de GER,PO,Barcelona,es La Liga,29,1992,35,35,3150,35.0,34,0.97,109,74,70.6,19,9,7,11,31.4,3,2,1,0,33.3
206,Pietro Terracciano,it ITA,PO,Fiorentina,it Serie A,31,1990,32,31,2862,31.8,43,1.35,100,58,59.0,16,5,10,9,29.0,3,2,1,0,33.3
207,Kevin Trapp,de GER,PO,Eint Frankfurt,de Bundesliga,31,1990,32,32,2880,32.0,46,1.44,157,112,73.2,10,11,11,5,15.6,4,4,0,0,0.0
208,Philipp Tschauner,de GER,PO,RB Leipzig,de Bundesliga,35,1985,1,0,3,0.0,0,0.0,0,0,,0,0,0,1,,0,0,0,0,
209,Sven Ulreich,de GER,PO,Bayern Munich,de Bundesliga,32,1988,6,6,540,6.0,11,1.83,23,13,56.5,2,1,3,1,16.7,1,1,0,0,0.0
210,Benjamin Uphoff,de GER,PO,Freiburg,de Bundesliga,27,1993,2,2,180,2.0,7,3.5,12,5,41.7,0,1,1,0,0.0,0,0,0,0,
211,Rúben Vezo,pt POR,DF,Levante,es La Liga,27,1994,1,1,4,26.9,0,0.0,0,0,,0,0,0,0,0.0,0,0,0,0,
212,Guglielmo Vicario,it ITA,PO,Empoli,it Serie A,24,1996,38,38,3420,38.0,70,1.84,216,150,69.9,10,11,17,7,18.4,10,5,2,3,28.6
213,Danny Ward,wls WAL,PO,Leicester City,eng Premier League,28,1993,1,1,90,1.0,1,1.0,5,4,80.0,1,0,0,0,0.0,0,0,0,0,
214,Freddie Woodman,eng ENG,PO,Newcastle Utd,eng Premier League,24,1997,4,4,360,4.0,12,3.0,22,9,54.5,0,1,3,0,0.0,3,2,1,0,33.3
215,Robin Zentner,de GER,PO,Mainz 05,de Bundesliga,26,1994,32,32,2880,32.0,42,1.31,120,78,68.3,12,6,14,10,31.3,5,4,1,0,20.0
216,Luca Zidane,fr FRA,PO,Rayo Vallecano,es La Liga,23,1998,8,8,645,7.2,13,1.81,37,24,64.9,0,1,7,0,0.0,0,0,0,0,
217,Jeroen Zoet,nl NED,PO,Spezia,it Serie A,30,1991,7,7,630,7.0,19,2.71,43,23,58.1,1,1,5,0,0.0,2,1,1,0,50.0
218,Petar Zovko,ba BIH,PO,Spezia,it Serie A,19,2002,1,0,29,0.3,0,0.0,0,0,,0,0,0,0,,0,0,0,0,
