Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Duelos aéreos,Duelos aéreos,Duelos aéreos,Unnamed: 25_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Partidos
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,3,0,0,6,0,0,11,8,6,0,0,0,18,1,5,16.7,Partidos
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,3,0,0,12,14,10,42,40,24,0,0,0,216,10,12,45.5,Partidos
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,4,0,0,13,6,0,26,18,19,0,1,0,71,13,8,61.9,Partidos
4,Issah Abbas,gh GHA,DL,Mainz 05,de Bundesliga,19,1998,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Partidos
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,2,0,0,34,20,1,0,65,33,0,1,1,205,113,71,61.4,Partidos
6,Mehdi Abeid,dz ALG,CC,Dijon,fr Ligue 1,25,1992,22.5,6,0,0,57,28,1,24,29,33,0,0,0,145,17,26,39.5,Partidos
7,Charles Abi,fr FRA,"DF,DL",Saint-Étienne,fr Ligue 1,18,2000,0.4,0,0,0,2,1,0,0,0,4,0,0,0,5,2,1,66.7,Partidos
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,2,0,0,11,9,0,8,24,14,0,0,0,104,40,22,64.5,Partidos
9,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,28,1990,8.8,5,0,0,19,16,0,2,14,11,0,0,0,61,5,4,55.6,Partidos
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,4,1,1,24,42,3,6,61,30,0,0,0,226,96,43,69.1,Partidos
11,Afriyie Acquah,gh GHA,CC,Empoli,it Serie A,26,1992,16.8,4,0,0,27,32,1,34,12,9,0,0,0,88,22,28,44.0,Partidos
12,Tyler Adams,us USA,CC,RB Leipzig,de Bundesliga,19,1999,8.0,0,0,0,13,11,0,2,16,17,0,0,0,60,17,14,54.8,Partidos
13,Antonio Adán,es ESP,PO,Atlético Madrid,es La Liga,31,1987,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Partidos
14,Aday,es ESP,"DF,CC",Girona,es La Liga,30,1987,7.2,2,0,0,6,8,0,50,7,8,0,1,0,24,2,5,28.6,Partidos
15,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,7,1,1,32,20,2,0,31,22,0,0,1,107,51,58,46.8,Partidos
16,Claud Adjapong,it ITA,"CC,DL",Sassuolo,it Serie A,20,1998,3.0,1,0,0,3,6,2,5,1,2,0,0,0,12,2,4,33.3,Partidos
17,Yacine Adli,fr FRA,CC,Bordeaux,fr Ligue 1,18,2000,2.4,1,0,0,4,1,0,9,2,2,0,0,0,16,2,1,66.7,Partidos
18,Ali Adnan Kadhim,iq IRQ,DF,Atalanta,it Serie A,24,1993,1.8,0,0,0,2,2,0,14,3,1,0,0,0,8,6,3,66.7,Partidos
19,Aritz Aduriz,es ESP,DL,Athletic Club,es La Liga,37,1981,10.5,5,0,0,28,8,12,6,0,2,0,1,0,17,52,57,47.7,Partidos
