Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Titular,Titular,Titular,Sup.,Sup.,Sup.,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Unnamed: 30_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera,Partidos
26,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,30,1988,33,2459,75,71.9,27.3,31,78,8,2,27,1,2.61,72,15,+57,+2.09,+0.68,58.9,17.7,+41.2,+1.51,-0.22,Partidos
27,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,25,1993,29,2528,87,73.9,28.1,29,87,26,0,,0,1.52,39,30,+9,+0.32,+0.12,37.7,31.8,+5.8,+0.21,-0.04,Partidos
28,Juan Aguilera,es ESP,CC,Huesca,es La Liga,32,1985,6,344,57,10.1,3.8,4,64,1,2,45,20,0.17,1,5,-4,-1.05,-0.52,3.1,4.9,-1.8,-0.47,-0.24,Partidos
29,Emmanuel Agyemang-Badu,gh GHA,CC,Udinese,it Serie A,27,1990,4,161,40,4.7,1.8,2,69,0,2,12,7,1.50,2,5,-3,-1.68,-1.37,1.8,4.9,-3.2,-1.77,-1.38,Partidos
30,Jean-Eudes Aholou,ci CIV,CC,Monaco,fr Ligue 1,24,1994,17,1075,63,31.4,11.9,12,77,7,5,31,5,1.00,10,13,-3,-0.25,+0.36,15.6,13.9,+1.7,+0.14,+0.32,Partidos
31,Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,2,80,40,2.6,0.9,1,80,0,1,0,4,1.50,0,2,-2,-2.25,-1.16,0.4,1.3,-0.9,-0.98,-0.40,Partidos
32,Ola Aina,ng NGA,DF,Torino,it Serie A,21,1996,30,2160,72,63.2,24.0,22,86,15,8,34,2,1.63,31,23,+8,+0.33,-0.17,30.3,31.7,-1.4,-0.06,-0.08,Partidos
33,Youssef Aït Bennasser,ma MAR,CC,Saint-Étienne,fr Ligue 1,22,1996,13,936,72,27.4,10.4,11,82,7,2,16,1,1.85,16,9,+7,+0.67,+0.27,13.4,14.2,-0.8,-0.07,-0.33,Partidos
34,Youssef Aït Bennasser,ma MAR,CC,Monaco,fr Ligue 1,22,1996,13,1073,83,31.4,11.9,12,88,10,1,20,4,0.85,13,18,-5,-0.42,+0.12,13.9,16.8,-2.8,-0.24,-0.24,Partidos
