Unnamed: 0,Jugador,País2017-2018,Posc2017-2018,Equipo2017-2018,Comp2017-2018,Edad2017-2018,Nacimiento2017-2018,90 s2017-2018,Gls.2017-2018,Dis2017-2018,DaP2017-2018,% de TT2017-2018,T/902017-2018,TalArc/902017-2018,G/T2017-2018,G/TalArc2017-2018,Dist2017-2018,FK2017-2018,TP2017-2018,TPint2017-2018,xG2017-2018,npxG2017-2018,npxG/Sh2017-2018,G-xG2017-2018,np:G-xG2017-2018,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,90 s2018-2019,Gls.2018-2019,Dis2018-2019,DaP2018-2019,% de TT2018-2019,T/902018-2019,TalArc/902018-2019,G/T2018-2019,G/TalArc2018-2019,Dist2018-2019,FK2018-2019,TP2018-2019,TPint2018-2019,xG2018-2019,npxG2018-2019,npxG/Sh2018-2019,G-xG2018-2019,np:G-xG2018-2019,País2019-2020,Posc2019-2020,Equipo2019-2020,Comp2019-2020,Edad2019-2020,Nacimiento2019-2020,90 s2019-2020,Gls.2019-2020,Dis2019-2020,DaP2019-2020,% de TT2019-2020,T/902019-2020,TalArc/902019-2020,G/T2019-2020,G/TalArc2019-2020,Dist2019-2020,FK2019-2020,TP2019-2020,TPint2019-2020,xG2019-2020,npxG2019-2020,npxG/Sh2019-2020,G-xG2019-2020,np:G-xG2019-2020,País2020-2021,Posc2020-2021,Equipo2020-2021,Comp2020-2021,Edad2020-2021,Nacimiento2020-2021,90 s2020-2021,Gls.2020-2021,Dis2020-2021,DaP2020-2021,% de TT2020-2021,T/902020-2021,TalArc/902020-2021,G/T2020-2021,G/TalArc2020-2021,Dist2020-2021,FK2020-2021,TP2020-2021,TPint2020-2021,xG2020-2021,npxG2020-2021,npxG/Sh2020-2021,G-xG2020-2021,np:G-xG2020-2021,País2021-2022,Posc2021-2022,Equipo2021-2022,Comp2021-2022,Edad2021-2022,Nacimiento2021-2022,90 s2021-2022,Gls.2021-2022,Dis2021-2022,DaP2021-2022,% de TT2021-2022,T/902021-2022,TalArc/902021-2022,G/T2021-2022,G/TalArc2021-2022,Dist2021-2022,FK2021-2022,TP2021-2022,TPint2021-2022,xG2021-2022,npxG2021-2022,npxG/Sh2021-2022,G-xG2021-2022,np:G-xG2021-2022,País2022-2023,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,Nacimiento2022-2023,90 s2022-2023,Gls.2022-2023,Dis2022-2023,DaP2022-2023,% de TT2022-2023,T/902022-2023,TalArc/902022-2023,G/T2022-2023,G/TalArc2022-2023,Dist2022-2023,FK2022-2023,TP2022-2023,TPint2022-2023,xG2022-2023,npxG2022-2023,npxG/Sh2022-2023,G-xG2022-2023,np:G-xG2022-2023
261,Yuri Berchiche,43,4,104,5,27.0,1990.0,19.1,2.0,10.0,4.0,40.0,0.52,0.21,0.2,0.5,22.6,0.0,0.0,0.0,0.4,0.4,0.04,1.6,1.6,43,6,10,4,28.0,1990.0,34.7,2.0,29.0,6.0,20.7,0.84,0.17,0.07,0.33,21.2,0.0,0.0,0.0,1.2,1.2,0.04,0.8,0.8,43,4,10,4,29.0,1990.0,31.7,2.0,35.0,9.0,25.7,1.11,0.28,0.06,0.22,23.8,2.0,0.0,0.0,1.5,1.5,0.04,0.5,0.5,43,4,10,4,30.0,1990.0,18.7,1.0,16.0,6.0,37.5,0.86,0.32,0.06,0.17,19.5,0.0,0.0,0.0,0.9,0.9,0.06,0.1,0.1,43,4,10,4,31.0,1990.0,11.3,1.0,8.0,3.0,37.5,0.71,0.27,0.13,0.33,20.2,1.0,0.0,0.0,0.4,0.4,0.05,0.6,0.6,43,4,10,4,32.0,1990.0,26.7,1.0,28.0,7.0,25.0,1.05,0.26,0.04,0.14,20.4,0.0,0.0,0.0,1.3,1.3,0.05,-0.3,-0.3
262,Álex Berenguer,43,8,127,6,22.0,1995.0,11.6,1.0,14.0,9.0,64.3,1.21,0.78,0.07,0.11,21.0,0.0,0.0,0.0,1.0,1.0,0.07,0.0,0.0,43,2,127,6,23.0,1995.0,16.5,2.0,22.0,7.0,31.8,1.33,0.42,0.09,0.29,20.2,0.0,0.0,0.0,1.0,1.0,0.04,1.0,1.0,43,2,127,6,24.0,1995.0,20.3,6.0,40.0,14.0,35.0,1.97,0.69,0.15,0.43,17.8,0.0,0.0,0.0,4.0,4.0,0.1,2.0,2.0,43,1,127,6,25.0,1995.0,26.8,8.0,50.0,17.0,131.3,3.27,1.96,0.17,0.53,33.4,4.0,0.0,0.0,6.6000000000000005,6.6000000000000005,0.35,1.4,1.4,43,1,10,4,26.0,1995.0,24.1,3.0,45.0,14.0,31.1,1.87,0.58,0.07,0.21,18.0,1.0,0.0,1.0,5.2,4.5,0.1,-2.2,-1.5,43,8,10,4,27.0,1995.0,25.5,4.0,56.0,19.0,33.9,2.19,0.74,0.07,0.21,18.0,4.0,0.0,0.0,4.3,4.3,0.08,-0.3,-0.3
263,Bartosz Bereszyński,107,4,116,6,25.0,1992.0,27.6,0.0,5.0,0.0,0.0,0.18,0.0,0.0,0.0,27.5,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1,107,4,116,6,26.0,1992.0,24.4,0.0,9.0,2.0,22.2,0.37,0.08,0.0,0.0,23.7,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,107,4,116,6,27.0,1992.0,26.7,0.0,16.0,1.0,6.3,0.6,0.04,0.0,0.0,28.1,0.0,0.0,0.0,0.4,0.4,0.02,-0.4,-0.4,107,4,116,6,28.0,1992.0,29.0,1.0,3.0,1.0,33.3,0.1,0.03,0.33,1.0,17.1,0.0,0.0,0.0,0.2,0.2,0.05,0.8,0.8,107,4,116,6,29.0,1992.0,32.7,0.0,6.0,0.0,0.0,0.18,0.0,0.0,0.0,14.6,0.0,0.0,0.0,0.5,0.5,0.08,-0.5,-0.5,107,4,116,6,30.0,1992.0,15.1,0.0,3.0,0.0,0.0,0.23,0.0,0.0,0.0,21.4,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1
264,Jóhann Berg Guðmundsson,68,1,26,3,26.0,1990.0,31.5,2.0,54.0,18.0,33.3,1.72,0.57,0.04,0.11,21.7,6.0,0.0,0.0,3.5,3.5,0.07,-1.5,-1.5,68,1,26,3,27.0,1990.0,19.5,3.0,33.0,9.0,27.3,1.7,0.46,0.09,0.33,20.0,7.0,0.0,0.0,2.8,2.8,0.09,0.2,0.2,68,1,26,3,28.0,1990.0,6.9,1.0,10.0,2.0,20.0,1.45,0.29,0.1,0.5,15.5,2.0,0.0,0.0,0.6,0.6,0.06,0.4,0.4,68,1,26,3,29.0,1990.0,15.1,2.0,19.0,8.0,42.1,1.25,0.53,0.11,0.25,21.5,1.0,0.0,0.0,1.2,1.2,0.06,0.8,0.8,68,1,26,3,30.0,1990.0,12.2,0.0,19.0,5.0,26.3,1.55,0.41,0.0,0.0,19.9,2.0,0.0,0.0,1.6,1.6,0.08,-1.6,-1.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,Markel Bergara,43,1,53,4,31.0,1986.0,16.3,4.0,16.0,9.0,56.3,0.98,0.55,0.25,0.44,11.5,0.0,0.0,0.0,2.8,2.8,0.2,1.2,1.2,43,1,53,4,32.0,1986.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,1,53,4,33.0,1986.0,0.8,0.0,1.0,0.0,0.0,1.25,0.0,0.0,0.0,9.8,0.0,0.0,0.0,0.1,0.1,0.11,-0.1,-0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,Emil Berggreen,36,8,83,2,24.0,1993.0,7.4,4.0,13.0,8.0,61.5,1.75,1.08,0.31,0.5,13.1,0.0,0.0,0.0,2.0,2.0,0.15,2.0,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,Robert Berić,116,8,114,5,26.0,1991.0,11.6,7.0,23.0,12.0,52.2,1.99,1.04,0.26,0.5,14.6,0.0,1.0,2.0,6.4,5.0,0.22,0.6,1.0,116,8,114,5,27.0,1991.0,13.1,9.0,37.0,19.0,51.4,2.83,1.46,0.24,0.47,10.9,0.0,0.0,0.0,7.5,7.5,0.2,1.5,1.5,116,8,114,5,28.0,1991.0,4.6,1.0,7.0,1.0,14.3,1.53,0.22,0.14,1.0,8.7,0.0,0.0,0.0,1.4,1.4,0.2,-0.4,-0.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,Kévin Bérigaud,46,9,91,5,29.0,1988.0,3.0,0.0,4.0,0.0,0.0,1.33,0.0,0.0,0.0,12.7,0.0,0.0,0.0,1.0,1.0,0.24,-1.0,-1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,Etrit Berisha,3,12,9,6,28.0,1989.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,12,9,6,29.0,1989.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,12,113,6,30.0,1989.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,12,127,6,32.0,1989.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,Federico Bernardeschi,69,9,66,6,23.0,1994.0,9.4,4.0,27.0,11.0,40.7,2.87,1.17,0.15,0.36,19.8,2.0,0.0,0.0,2.8,2.8,0.1,1.2,1.2,69,3,66,6,24.0,1994.0,16.4,2.0,53.0,15.0,28.3,3.24,0.92,0.04,0.13,19.4,2.0,0.0,0.0,3.8,3.8,0.07,-1.8,-1.8,69,3,66,6,25.0,1994.0,17.5,1.0,50.0,9.0,18.0,2.86,0.52,0.02,0.11,20.0,2.0,0.0,0.0,4.4,4.4,0.09,-3.4,-3.4,69,2,66,6,26.0,1994.0,10.8,0.0,13.0,6.0,46.2,1.2,0.56,0.0,0.0,18.3,0.0,0.0,0.0,1.3,1.3,0.1,-1.3,-1.3,69,3,66,6,27.0,1994.0,16.4,1.0,33.0,7.0,21.2,2.01,0.43,0.03,0.14,19.9,0.0,0.0,0.0,1.5,1.5,0.05,-0.5,-0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,Bernardo,17,4,106,2,22.0,1995.0,15.0,1.0,12.0,4.0,33.3,0.8,0.27,0.08,0.25,19.0,0.0,0.0,0.0,0.6,0.6,0.05,0.4,0.4,17,4,25,3,23.0,1995.0,19.5,0.0,8.0,3.0,37.5,0.41,0.15,0.0,0.0,17.6,0.0,0.0,0.0,0.4,0.4,0.06,-0.4,-0.4,17,5,25,3,24.0,1995.0,7.5,0.0,7.0,2.0,28.6,0.93,0.27,0.0,0.0,17.6,0.0,0.0,0.0,0.5,0.5,0.07,-0.5,-0.5,17,5,25,3,25.0,1995.0,2.3,0.0,4.0,0.0,0.0,1.75,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.4,0.4,0.1,-0.4,-0.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,Juan Bernat,43,6,15,2,24.0,1993.0,9.9,0.0,4.0,0.0,0.0,0.41,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.3,0.3,0.08,-0.3,-0.3,43,5,104,5,25.0,1993.0,20.4,1.0,5.0,1.0,20.0,0.25,0.05,0.2,1.0,11.1,0.0,0.0,0.0,0.8,0.8,0.16,0.2,0.2,43,5,104,5,26.0,1993.0,15.4,0.0,6.0,1.0,16.7,0.39,0.06,0.0,0.0,14.2,0.0,0.0,0.0,0.4,0.4,0.07,-0.4,-0.4,43,4,104,5,27.0,1993.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,5,104,5,28.0,1993.0,10.6,0.0,1.0,1.0,100.0,0.09,0.09,0.0,0.0,15.3,0.0,0.0,0.0,0.1,0.1,0.1,-0.1,-0.1,43,5,104,5,29.0,1993.0,18.3,1.0,7.0,6.0,85.7,0.38,0.33,0.14,0.17,11.4,0.0,0.0,0.0,0.9,0.9,0.12,0.1,0.1
273,Andrea Bertolacci,69,1,52,6,26.0,1991.0,32.2,1.0,15.0,2.0,13.3,0.47,0.06,0.07,0.5,18.0,0.0,0.0,0.0,0.9,0.9,0.06,0.1,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,1,116,6,28.0,1991.0,5.9,0.0,4.0,2.0,50.0,0.67,0.34,0.0,0.0,26.6,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,Ryan Bertrand,42,4,121,3,27.0,1989.0,34.8,0.0,20.0,2.0,10.0,0.57,0.06,0.0,0.0,19.5,3.0,0.0,0.0,1.7,1.7,0.08,-1.7,-1.7,42,4,121,3,28.0,1989.0,24.0,1.0,16.0,2.0,12.5,0.67,0.08,0.06,0.5,22.1,3.0,0.0,0.0,1.2,1.2,0.08,-0.2,-0.2,42,4,121,3,29.0,1989.0,30.5,1.0,18.0,3.0,16.7,0.59,0.1,0.06,0.33,19.4,1.0,0.0,0.0,1.7,1.7,0.1,-0.7,-0.7,42,4,121,3,30.0,1989.0,28.9,0.0,8.0,3.0,37.5,0.28,0.1,0.0,0.0,19.7,0.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4,42,4,74,3,31.0,1989.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,Muhamed Bešić,9,1,47,3,24.0,1992.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,120,3,26.0,1992.0,2.8,0.0,4.0,2.0,50.0,1.44,0.72,0.0,0.0,20.9,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,Daniel Bessa,69,3,60,6,24.0,1993.0,20.3,3.0,18.0,6.0,78.6,1.73,0.6699999999999999,0.5700000000000001,1.25,29.2,0.0,0.0,0.0,2.8,2.8,0.52,0.2,0.2,69,1,52,6,25.0,1993.0,27.1,1.0,31.0,14.0,45.2,1.14,0.52,0.03,0.07,19.7,1.0,0.0,0.0,3.6,3.6,0.12,-2.6,-2.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,1,60,6,27.0,1993.0,6.8,0.0,8.0,4.0,50.0,1.17,0.59,0.0,0.0,17.1,0.0,0.0,0.0,1.0,1.0,0.13,-1.0,-1.0,69,1,60,6,28.0,1993.0,8.5,1.0,10.0,2.0,20.0,1.17,0.23,0.1,0.5,25.7,0.0,0.0,0.0,0.4,0.4,0.04,0.6,0.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,Vincent Bessat,46,5,27,5,31.0,1985.0,17.4,0.0,17.0,5.0,29.4,0.97,0.29,0.0,0.0,25.9,0.0,0.0,0.0,0.6,0.6,0.04,-0.6,-0.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,Quentin Beunardeau,46,12,88,5,23.0,1994.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,Matteo Bianchetti,69,4,60,6,24.0,1993.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,4,34,6,29.0,1993.0,23.7,1.0,7.0,4.0,57.1,0.3,0.17,0.14,0.25,10.9,0.0,0.0,0.0,0.8,0.8,0.11,0.2,0.2
280,Ermin Bičakčić,9,4,62,2,27.0,1990.0,6.1,0.0,2.0,2.0,100.0,0.33,0.33,0.0,0.0,17.1,0.0,0.0,0.0,0.5,0.5,0.24,-0.5,-0.5,9,4,62,2,28.0,1990.0,19.9,1.0,9.0,4.0,44.4,0.45,0.2,0.11,0.25,7.9,0.0,0.0,0.0,1.5,1.5,0.18,-0.5,-0.5,9,4,62,2,29.0,1990.0,13.1,2.0,7.0,2.0,28.6,0.54,0.15,0.29,1.0,11.9,0.0,0.0,0.0,0.6,0.6,0.09,1.4,1.4,9,4,62,2,30.0,1990.0,1.4,1.0,2.0,1.0,50.0,1.41,0.7,0.5,1.0,4.7,0.0,0.0,0.0,0.4,0.4,0.18,0.6,0.6,9,4,62,2,31.0,1990.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,62,2,32.0,1990.0,2.9,0.0,2.0,1.0,50.0,0.68,0.34,0.0,0.0,11.5,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1
281,Pedro Bigas,43,4,69,4,26.0,1990.0,9.9,0.0,4.0,1.0,25.0,0.4,0.1,0.0,0.0,18.9,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,43,4,41,4,27.0,1990.0,6.5,0.0,3.0,0.0,0.0,0.46,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.2,0.2,0.07,-0.2,-0.2,43,4,41,4,28.0,1990.0,19.7,3.0,8.0,5.0,62.5,0.41,0.25,0.38,0.6,16.8,0.0,0.0,0.0,1.2,1.2,0.15,1.8,1.8,43,4,41,4,29.0,1990.0,17.0,0.0,10.0,0.0,0.0,0.59,0.0,0.0,0.0,13.6,0.0,0.0,0.0,0.9,0.9,0.09,-0.9,-0.9,43,4,43,4,30.0,1990.0,17.2,1.0,12.0,3.0,25.0,0.7,0.17,0.08,0.33,20.6,1.0,0.0,0.0,0.6,0.6,0.05,0.4,0.4,43,4,43,4,31.0,1990.0,22.4,0.0,22.0,8.0,36.4,0.98,0.36,0.0,0.0,15.5,0.0,0.0,0.0,1.8,1.8,0.08,-1.8,-1.8
282,Lucas Biglia,6,1,89,6,31.0,1986.0,22.7,1.0,21.0,4.0,19.0,0.93,0.18,0.05,0.25,25.0,0.0,0.0,0.0,0.8,0.8,0.04,0.2,0.2,6,1,89,6,32.0,1986.0,12.4,1.0,7.0,2.0,28.6,0.57,0.16,0.14,0.5,27.1,1.0,0.0,0.0,0.2,0.2,0.04,0.8,0.8,6,1,89,6,33.0,1986.0,7.6,0.0,6.0,1.0,16.7,0.79,0.13,0.0,0.0,22.2,1.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,Philip Billing,36,1,63,3,21.0,1996.0,8.5,0.0,7.0,2.0,28.6,0.82,0.24,0.0,0.0,29.6,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,36,1,63,3,22.0,1996.0,24.3,2.0,42.0,9.0,21.4,1.73,0.37,0.05,0.22,23.7,3.0,0.0,0.0,1.8,1.8,0.04,0.2,0.2,36,1,21,3,23.0,1996.0,28.1,1.0,33.0,8.0,24.2,1.17,0.28,0.03,0.13,20.7,1.0,0.0,0.0,2.0,2.0,0.06,-1.0,-1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,3,21,3,26.0,1996.0,30.7,7.0,38.0,18.0,47.4,1.24,0.59,0.18,0.39,18.3,5.0,0.0,0.0,4.9,4.9,0.13,2.1,2.1
