Name,Age,Position,Player Nationality,Market Value,Club,League,League Country,Transfer Type,Fee
Rony Lopes,26,10,Portugal,4.0,Troyes,Ligue 1,France,1,
Michael Obafemi,22,3,Ireland,4.0,Burnley,Championship,England,1,
Rhys Williams,21,2,England,4.0,Blackpool,Championship,England,1,
Janis Antiste,20,3,France,4.0,Amiens SC,Ligue 2,France,1,
Folarin Balogun,21,3,United States,4.0,Stade Reims,Ligue 1,France,1,
Erison,23,3,Brazil,4.0,Estoril Praia,Liga Portugal,Portugal,1,
Álex Collado,23,10,Spain,4.0,Elche CF,LaLiga,Spain,1,
Alejandro Pozuelo,31,0,Spain,4.0,Konyaspor,Süper Lig,Turkey,0,
Andreas Bouchalakis,29,1,Greece,4.0,Konyaspor,Süper Lig,Turkey,1,
Jens Jönsson,29,4,Denmark,4.0,AEK Athens,Super League 1,Greece,0,
Orbelín Pineda,26,1,Mexico,4.0,AEK Athens,Super League 1,Greece,1,
Harold Moukoudi,24,2,Cameroon,4.0,AEK Athens,Super League 1,Greece,0,
Joseba Zaldua,30,11,Spain,4.0,Cádiz CF,LaLiga,Spain,0,
Patryk Klimala,24,3,Poland,4.0,H. Beer Sheva,Ligat ha'Al,Israel,3,
Adama Traoré,27,0,Mali,4.0,Hull City,Championship,England,0,
Aguibou Camara,21,0,Guinea,4.0,Atromitos Athen,Super League 1,Greece,1,
Francisco Moura,23,8,Portugal,4.0,Famalicão,Liga Portugal,Portugal,1,
Jaime Seoane,25,1,Spain,4.0,Getafe,LaLiga,Spain,0,
Brian Lozano,28,7,Uruguay,4.0,Atlas,Liga MX Clausura,Mexico,1,
Mounir Chouiar,24,7,France,4.0,Kasimpasa,Süper Lig,Turkey,1,
Stéphane Bahoken,30,3,Cameroon,4.0,Kasimpasa,Süper Lig,Turkey,0,
Alexandru Mitrita,27,7,Romania,4.0,Al-Raed,Saudi Pro League,Saudi Arabia,1,
Matías Pellegrini,22,7,Argentina,4.0,New York City,MLS,United States,0,
Luis Abram,26,2,Peru,4.0,Atlanta,MLS,United States,3,
Kamal Miller,25,2,Canada,4.0,Miami,MLS,United States,3,
Marcelino Núñez,22,1,Chile,1.5,Norwich,Championship,England,2,3.9
Joel Ordóñez,18,2,Ecuador,6.0,Club Brugge,Jupiler Pro League,Belgium,2,3.9
