Name,Age,Position,Player Nationality,Market Value,Club,League,League Country,Transfer Type,Fee
Patrick,30,1,Brazil,3.0,Atlético-MG,Série A,Brazil,2,1.5
Abdul Mumin,24,2,Ghana,3.0,Rayo Vallecano,LaLiga,Spain,2,1.5
Moreto Cassamá,24,1,Guinea-Bissau,3.0,Omonia Nikosia,Protathlima Cyta,Cyprus,2,1.5
Nikolay Komlichenko,27,3,Russia,3.0,Rostov,Premier Liga,Russia,2,1.5
Eric Martel,20,4,Germany,3.0,1.FC Köln,Bundesliga,Germany,2,1.2
Monchu,22,1,Spain,3.0,Real Valladolid,LaLiga,Spain,2,1.2
Petar Stojanovic,26,11,Slovenia,3.0,FC Empoli,Serie A,Italy,2,1.2
Onur Bulut,28,11,Turkey,3.0,Besiktas,Süper Lig,Turkey,2,1.0
Aleksandar Pesic,30,3,Serbia,3.0,Red Star,Super liga Srbije,Serbia,2,1.0
Jasper Cillessen,33,5,Netherlands,3.0,NEC Nijmegen,Eredivisie,Netherlands,2,1.0
Julen Lobete,21,3,Spain,3.0,Celta de Vigo,LaLiga,Spain,2,1.0
Abdelhamid Sabiri,25,0,Morocco,3.0,Sampdoria,Serie A,Italy,2,1.0
Abdou Harroui,24,1,Morocco,3.0,Sassuolo,Serie A,Italy,2,1.0
James Bree,25,11,England,3.0,Southampton,Premier League,England,2,8.5
Julian Gressel,28,9,United States,3.0,Vancouver,MLS,Canada,2,8.18
Ajdin Hrustic,26,0,Australia,3.0,Hellas Verona,Serie A,Italy,2,5.0
Mickaël Malsa,26,4,Martinique,3.0,Real Valladolid,LaLiga,Spain,2,5.0
William Troost-Ekong,29,2,Nigeria,3.0,Salernitana,Serie A,Italy,1,
Sebastiano Luperto,25,2,Italy,3.0,FC Empoli,Serie A,Italy,1,
Sam Lammers,25,3,Netherlands,3.0,FC Empoli,Serie A,Italy,1,
Rodrigo Dourado,28,4,Brazil,3.0,San Luis,Liga MX Clausura,Mexico,2,5.0
Julián Carranza,22,3,Argentina,3.0,Philadelphia,MLS,United States,2,4.55
Lucas Da Cunha,21,10,France,3.0,Como,Serie B,Italy,2,4.0
Abdoulaye Seck,30,2,Senegal,3.0,Maccabi Haifa,Ligat ha'Al,Israel,2,3.9
Latif Blessing,26,0,Ghana,3.0,New England,MLS,United States,2,3.79
Alexander Schwolow,30,5,Germany,3.0,FC Schalke 04,Bundesliga,Germany,1,
Mario González,26,3,Spain,3.0,OH Leuven,Jupiler Pro League,Belgium,1,
João Novais,29,1,Portugal,3.0,Al-Bataeh CSC,UAE Pro League,United Arab Emirates,2,2.0
Noah Mbamba,18,4,Belgium,3.0,B. Leverkusen,Bundesliga,Germany,2,1.0
Viktor Kovalenko,26,0,Ukraine,3.0,Spezia Calcio,Serie A,Italy,1,
Kristian Pedersen,27,8,Denmark,3.0,1.FC Köln,Bundesliga,Germany,0,
Jayden Braaf,19,3,Netherlands,3.0,B. Dortmund II,3. Liga,Germany,0,
Aurélio Buta,25,11,Portugal,3.0,E. Frankfurt,Bundesliga,Germany,0,
Éder Balanta,29,4,Colombia,3.0,FC Schalke 04,Bundesliga,Germany,1,
Keven Schlotterbeck,25,2,Germany,3.0,VfL Bochum,Bundesliga,Germany,1,
Jérôme Roussillon,30,8,Guadeloupe,3.0,Union Berlin,Bundesliga,Germany,3,
Rares Ilie,19,7,Romania,3.0,M. Tel Aviv,Ligat ha'Al,Israel,1,
Tomás Alarcón,23,4,Chile,3.0,Real Zaragoza,LaLiga2,Spain,1,
Víctor Mollejo,21,10,Spain,3.0,Real Zaragoza,LaLiga2,Spain,1,
Tyler Morton,19,1,England,3.0,Blackburn,Championship,England,1,
Bruno Valdez,30,2,Paraguay,3.0,Boca Juniors,Copa de la Liga,Argentina,0,
Modibo Sagnan,23,2,France,3.0,FC Utrecht,Eredivisie,Netherlands,1,
Keita Baldé,27,3,Senegal,3.0,Spartak Moscow,Premier Liga,Russia,0,
Jacob Rasmussen,25,2,Denmark,3.0,Feyenoord,Eredivisie,Netherlands,1,
Julen Lobete,21,3,Spain,3.0,RKC Waalwijk,Eredivisie,Netherlands,1,
Rubén Blanco,26,5,Spain,3.0,Marseille,Ligue 1,France,1,
Güven Yalcin,23,3,Turkey,3.0,Genoa,Serie B,Italy,0,
Edouard Michut,19,1,France,3.0,Sunderland,Championship,England,1,
Matthis Abline,19,3,France,3.0,AJ Auxerre,Ligue 1,France,1,
Akim Zedadka,27,11,Algeria,3.0,AJ Auxerre,Ligue 1,France,1,
James McAtee,19,1,England,3.0,Sheff Utd,Championship,England,1,
Sergio Camello,21,3,Spain,3.0,Rayo Vallecano,LaLiga,Spain,1,
Jarrad Branthwaite,20,2,England,3.0,PSV Eindhoven,Eredivisie,Netherlands,1,
Matteo Cancellieri,20,10,Italy,3.0,Lazio,Serie A,Italy,1,
Ronaldo Vieira,24,1,England,3.0,Torino,Serie A,Italy,1,
Aaron Ramsey,31,1,Wales,3.0,OGC Nice,Ligue 1,France,0,
Joe Bryan,28,8,England,3.0,OGC Nice,Ligue 1,France,1,
Josip Drmic,29,3,Switzerland,3.0,Dinamo Zagreb,SuperSport HNL,Croatia,0,
Gabriel Slonina,18,5,United States,3.0,Chicago,MLS,United States,1,
Toni Borevkovic,25,2,Croatia,3.0,Hajduk Split,SuperSport HNL,Croatia,1,
Gennaro Tutino,26,3,Italy,3.0,Palermo,Serie B,Italy,1,
Gabriel Vidovic,18,0,Croatia,3.0,Vitesse,Eredivisie,Netherlands,1,
Bersant Celina,26,0,Kosovo,3.0,Stoke City,Championship,England,1,
Hugo Siquet,20,11,Belgium,3.0,Cercle Brugge,Jupiler Pro League,Belgium,1,
Radoslaw Majecki,22,5,Poland,3.0,Cercle Brugge,Jupiler Pro League,Belgium,1,
Heitor,21,11,Brazil,3.0,Cercle Brugge,Jupiler Pro League,Belgium,1,
Jean Marcelin,22,2,France,3.0,Cercle Brugge,Jupiler Pro League,Belgium,1,
Thomas Delaney,31,1,Denmark,3.0,TSG Hoffenheim,Bundesliga,Germany,1,
Adryelson,24,2,Brazil,3.0,Botafogo,Série A,Brazil,0,
Nahuel Bustos,24,3,Argentina,3.0,São Paulo,Série A,Brazil,1,
Jaden Philogene,20,7,England,3.0,Cardiff,Championship,Wales,1,
Nikão,30,0,Brazil,3.0,Cruzeiro,Série A,Brazil,1,
Aaron Ramsey,20,0,England,3.0,Middlesbrough,Championship,England,1,
Ryan Giles,22,8,England,3.0,Middlesbrough,Championship,England,1,
Darragh Lenihan,28,2,Ireland,3.0,Middlesbrough,Championship,England,0,
Yaroslav Rakitskyi,33,2,Ukraine,3.0,Shakhtar D.,Premier Liga,Ukraine,0,
In-beom Hwang,25,1,"Korea, South",3.0,Olympiacos,Super League 1,Greece,0,
Marcelo,34,8,Brazil,3.0,Olympiacos,Super League 1,Greece,0,
Mattia Destro,31,3,Italy,3.0,FC Empoli,Serie A,Italy,0,
Liziero,25,1,Brazil,3.0,Coritiba FC,Série A,Brazil,1,
Boschilia,26,0,Brazil,3.0,Coritiba FC,Série A,Brazil,0,
Kristoffer Olsson,27,1,Sweden,3.0,FC Midtjylland,Superligaen,Denmark,1,
Jesé,29,7,Spain,3.0,Ankaragücü,Süper Lig,Turkey,0,
Emre Kilinc,28,10,Turkey,3.0,Ankaragücü,Süper Lig,Turkey,1,
Gonçalo Paciência,28,3,Portugal,3.0,Celta de Vigo,LaLiga,Spain,3,
Faitout Maouassa,23,8,France,3.0,Montpellier,Ligue 1,France,1,
Okay Yokuslu,28,4,Turkey,3.0,West Brom,Championship,England,0,
Neto,33,5,Brazil,3.0,Bournemouth,Premier League,England,0,
Evann Guessand,21,3,France,3.0,FC Nantes,Ligue 1,France,1,
Wladimiro Falcone,27,5,Italy,3.0,Lecce,Serie A,Italy,1,
Britt Assombalonga,30,3,DR Congo,3.0,Watford,Championship,England,0,
Mario Gaspar,31,11,Spain,3.0,Watford,Championship,England,0,
Charlie Cresswell,19,2,England,3.0,Millwall,Championship,England,1,
Juan Ignacio Méndez,25,1,Argentina,3.0,Vélez Sarsfield,Copa de la Liga,Argentina,0,
Cody Drameh,21,11,England,3.0,Luton,Championship,England,1,
Ignacio Pussetto,26,10,Argentina,3.0,Sampdoria,Serie A,Italy,1,
Alfred Gomis,29,5,Senegal,3.0,Como,Serie B,Italy,1,
Pizzi,33,0,Portugal,3.0,SC Braga,Liga Portugal,Portugal,0,
Tino Anjorin,20,0,England,3.0,Huddersfield,Championship,England,1,
Michal Helik,26,2,Poland,3.0,Huddersfield,Championship,England,3,
Halil Dervisoglu,22,3,Turkey,3.0,Burnley,Championship,England,1,
Ally Samatta,29,3,Tanzania,3.0,KRC Genk,Jupiler Pro League,Belgium,1,
Yvan Neyou,25,4,Cameroon,3.0,CD Leganés,LaLiga2,Spain,1,
Hernani,28,1,Brazil,3.0,Reggina,Serie B,Italy,1,
Jaminton Campaz,22,0,Colombia,3.0,Rosario Central,Copa de la Liga,Argentina,1,
Gautier Larsonneur,25,5,France,3.0,Valenciennes FC,Ligue 2,France,1,
Gonçalo Esteves,18,11,Portugal,3.0,Estoril Praia,Liga Portugal,Portugal,1,
James Léa Siliki,26,1,Cameroon,3.0,Estoril Praia,Liga Portugal,Portugal,0,
Gonzalo Maroni,23,0,Argentina,3.0,San Lorenzo,Liga Profesional,Argentina,1,
Víctor Guzmán,20,2,Mexico,3.0,Monterrey,Liga MX Clausura,Mexico,3,
Milan Gajić,26,11,Serbia,3.0,CSKA Moscow,Premier Liga,Russia,0,
Carlos Izquierdoz,33,2,Argentina,3.0,Sporting Gijón,LaLiga2,Spain,0,
Manu Vallejo,25,7,Spain,3.0,Real Oviedo,LaLiga2,Spain,1,
Wahid Faghir,19,3,Denmark,3.0,Nordsjaelland,Superligaen,Denmark,1,
João Figueiredo,26,3,Brazil,3.0,Gaziantep FK,Süper Lig,Turkey,3,
Martín Benítez,28,0,Argentina,3.0,América-MG,Série A,Brazil,1,
Malcolm Ebiowei,19,10,England,3.0,Hull City,Championship,England,1,
Philip Zinckernagel,27,0,Denmark,3.0,Standard Liège,Jupiler Pro League,Belgium,1,
Romário Baró,22,1,Portugal,3.0,Casa Pia,Liga Portugal,Portugal,1,
Houboulang Mendes,24,11,Guinea-Bissau,3.0,UD Almería,LaLiga,Spain,0,
Marko Lazetic,19,3,Serbia,3.0,SCR Altach,Bundesliga,Austria,1,
Fabrizio Angileri,28,8,Argentina,3.0,Getafe,LaLiga,Spain,0,
Michael Estrada,26,3,Ecuador,3.0,CD Cruz Azul,Liga MX Clausura,Mexico,1,
Bryan Angulo,27,3,Ecuador,3.0,CS Emelec,Serie A Primera Etapa,Ecuador,0,
Metinho,19,1,Brazil,3.0,Lommel SK,Challenger Pro League,Belgium,1,
In-beom Hwang,25,1,"Korea, South",3.0,FC Seoul,K League 1,"Korea, South",1,
Matteo Ricci,28,4,Italy,3.0,Karagümrük,Süper Lig,Turkey,1,
Pêpê,25,1,Portugal,3.0,FC Cartagena,LaLiga2,Spain,1,
Berke Özer,22,5,Turkey,3.0,Eyüpspor,1.Lig,Turkey,3,
Jesús Jiménez,29,3,Spain,3.0,Dallas,MLS,United States,3,
Bersant Celina,25,0,Kosovo,3.0,Kasimpasa,Süper Lig,Turkey,1,
Zanocelo,22,1,Brazil,3.0,Fortaleza,Série A,Brazil,1,
Ivan Cavaleiro,28,7,Portugal,3.0,Alanyaspor,Süper Lig,Turkey,1,
Ahmed Hassan,29,3,Egypt,3.0,Alanyaspor,Süper Lig,Turkey,1,
Manu Vallejo,25,7,Spain,3.0,Girona,LaLiga,Spain,0,
Nicolás Díaz,23,8,Chile,3.0,Club Tijuana,Liga MX Clausura,Mexico,3,
John Kennedy,20,3,Brazil,3.0,Ferroviária,Paulistão A1 - Primeira Fase,Brazil,1,
Famara Diédhiou,30,3,Senegal,3.0,Granada CF,LaLiga2,Spain,1,
Óscar Melendo,24,0,Spain,3.0,Granada CF,LaLiga2,Spain,0,
Jean-David Beauguel,30,3,France,3.0,Al-Wehda FC,Saudi Pro League,Saudi Arabia,0,
Jordy Alcívar,23,4,Ecuador,3.0,Independiente,Serie A Primera Etapa,Ecuador,3,
Berke Özer,22,5,Turkey,3.0,Ümraniyespor,Süper Lig,Turkey,1,
Cristian Tello,31,7,Spain,3.0,Al-Fateh,Saudi Pro League,Saudi Arabia,0,
Yerson Mosquera,21,2,Colombia,3.0,Cincinnati,MLS,United States,1,
Aaron Long,30,2,United States,3.0,LAFC,MLS,United States,0,
Gareth Bale,32,10,Wales,3.0,LAFC,MLS,United States,0,
Nicolás Benedetti,25,0,Colombia,3.0,Mazatlán FC,Liga MX Clausura,Mexico,3,
Luis Olivas,23,2,Mexico,3.0,Mazatlán FC,Liga MX Clausura,Mexico,1,
Merlin Röhl,20,1,Germany,8.0,SC Freiburg,Bundesliga,Germany,2,2.9
Scott Twine,22,0,England,,Burnley,Championship,England,2,2.9
Marcelo Allende,23,0,Chile,1.6,Sundowns,DStv Premiership,South Africa,2,2.9
Alex Teixeira,32,0,Brazil,2.9,Vasco da Gama,Série B,Brazil,0,
Luca Pfeiffer,25,3,Germany,2.0,VfB Stuttgart,Bundesliga,Germany,2,2.85
Byron Castillo,23,11,Ecuador,2.8,León,Liga MX Clausura,Mexico,2,2.85
Marco Angulo,20,4,Ecuador,2.5,Cincinnati,MLS,United States,2,2.83
Hyeon-gyu Oh,21,3,"Korea, South",5.5,Celtic,Premiership,Scotland,2,2.8
Facundo Waller,25,6,Uruguay,2.5,Puebla FC,Liga MX Clausura,Mexico,2,2.8
Fernando Arce,26,4,United States,1.0,Puebla FC,Liga MX Clausura,Mexico,2,2.8
Mario Balotelli,32,3,Italy,2.8,FC Sion,Super League,Switzerland,2,2.62
Maksim Glushenkov,23,3,Russia,2.8,Loko Moscow,Premier Liga,Russia,2,2.6
Benjamín Garré,22,7,Argentina,2.8,KS Samara,Premier Liga,Russia,2,1.7
Tayyip Talha Sanuc,22,2,Turkey,2.8,Besiktas,Süper Lig,Turkey,2,1.5
Gustavo Henrique,29,2,Brazil,2.8,Fenerbahce,Süper Lig,Turkey,1,
Amar Rahmanovic,28,0,Bosnia-Herzegovina,2.8,KS Samara,Premier Liga,Russia,2,7.5
Raúl Moro,19,7,Spain,2.8,Ternana,Serie B,Italy,1,
Sean Klaiber,28,11,Suriname,2.8,FC Utrecht,Eredivisie,Netherlands,0,
Fabio Depaoli,25,11,Italy,2.8,Hellas Verona,Serie A,Italy,1,
Birger Verstraete,28,4,Belgium,2.8,KV Mechelen,Jupiler Pro League,Belgium,1,
Sam Larsson,29,7,Sweden,2.8,Antalyaspor,Süper Lig,Turkey,0,
Panagiotis Retsos,24,2,Greece,2.8,Olympiacos,Super League 1,Greece,1,
Carel Eiting,24,1,Netherlands,2.8,FC Volendam,Eredivisie,Netherlands,0,
Nacer Chadli,33,7,Belgium,2.8,KVC Westerlo,Jupiler Pro League,Belgium,1,
Sam Lammers,25,3,Netherlands,2.8,Sampdoria,Serie A,Italy,1,
Yvon Mvogo,28,5,Switzerland,2.8,FC Lorient,Ligue 1,France,3,
Lautaro Morales,22,5,Argentina,2.8,Newell's,Liga Profesional,Argentina,1,
Juan Ignacio Méndez,25,1,Argentina,2.8,San Lorenzo,Liga Profesional,Argentina,0,
Armando Izzo,30,2,Italy,2.8,Monza,Serie A,Italy,1,
Jesús Angulo,25,0,Mexico,2.8,León,Liga MX Clausura,Mexico,3,
Braian Romero,31,3,Argentina,2.8,Club Tijuana,Liga MX Clausura,Mexico,1,
Ilzat Akhmetov,24,0,Russia,2.8,Krasnodar,Premier Liga,Russia,0,
Alan Soñora,24,1,United States,2.8,FC Juárez,Liga MX Clausura,Mexico,0,
Emam Ashour,24,1,Egypt,2.0,FC Midtjylland,Superligaen,Denmark,2,2.76
Mattia Valoti,28,1,Italy,2.0,Monza,Serie A,Italy,2,2.75
Leonardo Mancuso,30,3,Italy,2.7,Monza,Serie A,Italy,2,2.79
Yoann Cathline,20,7,France,4.0,FC Lorient,Ligue 1,France,2,2.7
Achraf Dari,23,2,Morocco,1.8,Stade Brestois,Ligue 1,France,2,2.7
Eddie Salcedo,21,3,Italy,2.7,Genoa,Serie B,Italy,1,
Fousseni Diabaté,26,10,Mali,2.7,Partizan,Super liga Srbije,Serbia,0,
Assan Ceesay,28,3,The Gambia,2.7,Lecce,Serie A,Italy,0,
Leonardo Mancuso,30,3,Italy,2.7,Como,Serie B,Italy,1,
Sofiane Hanni,31,0,Algeria,2.7,Al-Ahli SC,Stars League,Qatar,0,
Jean Evrard Kouassi,28,7,Cote d'Ivoire,2.7,ZJ FC,Super League,China,0,
Gökdeniz Bayrakdar,21,10,Turkey,2.7,Bodrumspor,1.Lig,Turkey,1,
Christos Zafeiris,19,1,Norway,1.5,Slavia Prague,Fortuna Liga,Czech Republic,2,2.6
Alexis Tibidi,19,7,France,1.5,Troyes,Ligue 1,France,2,2.6
Emmanuel Agbadou,25,2,Cote d'Ivoire,2.5,Stade Reims,Ligue 1,France,2,2.6
Simone Canestrelli,22,2,Italy,1.0,Pisa,Serie B,Italy,2,2.6
Borja Garcés,22,3,Spain,2.6,CD Tenerife,LaLiga2,Spain,1,
Ben Davies,26,2,England,2.5,Rangers,Premiership,Scotland,2,4.7
Giacomo Vrioni,23,3,Albania,2.5,New England,MLS,United States,2,3.66
Igoh Ogbu,22,2,Nigeria,2.2,Slavia Prague,Fortuna Liga,Czech Republic,2,2.5
Kilian Fischer,21,11,Germany,2.0,VfL Wolfsburg,Bundesliga,Germany,2,2.5
Daniel Karlsbakk,19,3,Norway,7.5,Heerenveen,Eredivisie,Netherlands,2,2.5
Diego Valencia,22,3,Chile,9.0,Salernitana,Serie A,Italy,2,2.5
Saïd Hamulic,22,3,Bosnia-Herzegovina,1.5,Toulouse,Ligue 1,France,2,2.5
Thijs Dallinga,21,3,Netherlands,1.1,Toulouse,Ligue 1,France,2,2.5
Joel Pohjanpalo,27,3,Finland,2.5,Venezia,Serie B,Italy,2,2.5
Alex Santana,27,1,Brazil,2.0,Athletico-PR,Série A,Brazil,2,2.5
Marko Rakonjac,22,3,Montenegro,1.5,Loko Moscow,Premier Liga,Russia,2,2.5
João Ferreira,21,11,Portugal,4.0,Watford,Championship,England,2,2.5
Zian Flemming,23,0,Netherlands,2.0,Millwall,Championship,England,2,2.5
Sven Mijnans,22,0,Netherlands,1.0,AZ Alkmaar,Eredivisie,Netherlands,2,2.5
Tiago Volpi,31,5,Brazil,2.5,Toluca,Liga MX Clausura,Mexico,2,2.5
Víctor Méndez,22,4,Chile,2.3,CSKA Moscow,Premier Liga,Russia,2,2.5
Jordy Caicedo,24,3,Ecuador,2.0,Tigres UANL,Liga MX Clausura,Mexico,2,2.5
Mickaël Biron,24,3,Martinique,9.0,RWDM,Challenger Pro League,Belgium,2,2.5
Sang-bin Jeong,20,3,"Korea, South",8.5,Minnesota,MLS,United States,2,2.5
Harry Toffolo,26,8,England,2.5,Nottm Forest,Premier League,England,2,2.4
Mauro Laínez,26,7,Mexico,2.5,FC Juárez,Liga MX Clausura,Mexico,2,2.36
Marcus Ingvartsen,26,3,Denmark,2.5,1.FSV Mainz 05,Bundesliga,Germany,2,2.3
Cauly,27,0,Brazil,2.5,EC Bahia,Série A,Brazil,2,2.3
William Böving,19,3,Denmark,2.5,Sturm Graz,Bundesliga,Austria,2,2.2
Thomas Ouwejan,25,8,Netherlands,2.5,FC Schalke 04,Bundesliga,Germany,2,2.0
Neraysho Kasanwirjo,20,2,Netherlands,2.5,Feyenoord,Eredivisie,Netherlands,2,2.0
Filip Ugrinic,23,6,Switzerland,2.5,BSC Young Boys,Super League,Switzerland,2,2.0
Gianluca Lapadula,32,3,Peru,2.5,Cagliari Calcio,Serie B,Italy,2,2.0
Niclas Eliasson,26,9,Sweden,2.5,AEK Athens,Super League 1,Greece,2,2.0
Haji Wright,24,3,United States,2.5,Antalyaspor,Süper Lig,Turkey,2,1.88
Dario Saric,25,1,Bosnia-Herzegovina,2.5,Palermo,Serie B,Italy,2,1.8
Yago Felipe,28,1,Brazil,2.5,EC Bahia,Série A,Brazil,2,1.8
Leo Väisänen,25,2,Finland,2.5,Austin,MLS,United States,2,1.8
Steven Zuber,30,7,Switzerland,2.5,AEK Athens,Super League 1,Greece,2,1.6
Samuele Birindelli,22,11,Italy,2.5,Monza,Serie A,Italy,2,1.6
Hrvoje Babec,22,4,Croatia,2.5,Riga,Virsliga,Latvia,2,1.6
Ramon,21,8,Brazil,2.5,Olympiacos,Super League 1,Greece,2,1.5
Florent Mollet,31,0,France,2.5,FC Nantes,Ligue 1,France,2,1.5
Raimonds Krollis,21,3,Latvia,2.5,Spezia Calcio,Serie A,Italy,2,1.5
Dembo Darboe,23,3,The Gambia,2.5,Al-Nasr SC,UAE Pro League,United Arab Emirates,2,1.5
Mounir Chouiar,23,7,France,2.5,Basaksehir,Süper Lig,Turkey,2,1.5
Lucas Cunha,26,2,Brazil,2.5,RB Bragantino,Série A,Brazil,2,1.5
Lei Wu,30,10,China,2.5,SH Port,Super League,China,2,1.5
Manuel Capasso,26,2,Argentina,2.5,Vasco da Gama,Série A,Brazil,2,1.4
Miguel Merentiel,26,3,Uruguay,2.5,Palmeiras,Série A,Brazil,2,1.4
Vladimir Pisarskiy,26,3,Russia,2.5,KS Samara,Premier Liga,Russia,2,1.35
Afonso Sousa,22,0,Portugal,2.5,Lech Poznan,Ekstraklasa,Poland,2,1.2
Edenilson,33,1,Brazil,2.5,Atlético-MG,Série A,Brazil,2,1.2
Halil Akbunar,29,10,Turkey,2.5,Eyüpspor,1.Lig,Turkey,2,1.2
Calebe,22,0,Brazil,2.5,Fortaleza,Série A,Brazil,2,1.1
Antonio Candreva,35,9,Italy,2.5,Salernitana,Serie A,Italy,1,
Mijat Gacinovic,27,6,Serbia,2.5,AEK Athens,Super League 1,Greece,2,1.0
Rubén Alcaraz,31,1,Spain,2.5,Cádiz CF,LaLiga,Spain,2,1.0
Víctor Chust,22,2,Spain,2.5,Cádiz CF,LaLiga,Spain,2,1.0
Nuno Santos,23,0,Portugal,2.5,Charlotte,MLS,United States,2,1.0
Kiko Femenía,31,11,Spain,2.5,Villarreal,LaLiga,Spain,2,9.8
Aziz,24,3,Ghana,2.5,WH Three Towns,Super League,China,1,
Bill Tuiloma,27,2,New Zealand,2.5,Charlotte,MLS,United States,2,7.5
Andrés Perea,22,4,United States,2.5,Philadelphia,MLS,United States,2,7.13
Matías Godoy,20,3,Argentina,2.5,Estudiantes,Copa de la Liga,Argentina,2,7.03
Dominique Heintz,28,2,Germany,2.5,VfL Bochum,Bundesliga,Germany,1,
Pipa,25,11,Spain,2.5,Ludogorets,efbet Liga,Bulgaria,2,6.0
Jonathan Levi,27,10,Sweden,2.5,Puskás AFC,NB I.,Hungary,2,6.0
Ferro,25,2,Portugal,2.5,Hajduk Split,SuperSport HNL,Croatia,2,5.5
Sebastian Lletget,29,1,United States,2.5,Dallas,MLS,United States,2,5.46
Philipp Förster,27,0,Germany,2.5,VfL Bochum,Bundesliga,Germany,2,5.0
Irvin Cardona,25,3,France,2.5,FC Augsburg,Bundesliga,Germany,2,5.0
Lamine Fomba,25,4,France,2.5,Saint-Étienne,Ligue 2,France,2,5.0
Muhammed Gümüskaya,21,1,Turkey,2.5,KVC Westerlo,Jupiler Pro League,Belgium,2,5.0
Fran Villalba,24,0,Spain,2.5,Sporting Gijón,LaLiga2,Spain,2,5.0
Lazar Randjelovic,25,10,Serbia,2.5,Ural,Premier Liga,Russia,1,
Javi Hernández,24,8,Spain,2.5,Girona,LaLiga,Spain,1,
Malte Amundsen,25,8,Denmark,2.5,Columbus,MLS,United States,2,3.64
Makhtar Gueye,24,3,Senegal,2.5,Real Zaragoza,LaLiga2,Spain,1,
Alan Franco,26,2,Argentina,2.5,São Paulo,Série A,Brazil,2,2.85
Randy Nteka,25,0,France,2.5,Elche CF,LaLiga,Spain,1,
Tin Jedvaj,27,2,Croatia,2.5,Al-Ain FC,UAE Pro League,United Arab Emirates,1,
Fran Villalba,24,0,Spain,2.5,Málaga CF,LaLiga2,Spain,1,
Mamadou Coulibaly,23,1,Senegal,2.5,Ternana,Serie B,Italy,1,
Danny Leyva,19,4,United States,2.5,Colorado,MLS,United States,1,
Leo Greiml,20,2,Austria,2.5,FC Schalke 04,Bundesliga,Germany,0,
Michal Karbownik,21,8,Poland,2.5,F. Düsseldorf,2. Bundesliga,Germany,1,
Vital Nsimba,29,8,DR Congo,2.5,G. Bordeaux,Ligue 2,France,0,
Javi Montero,24,2,Spain,2.5,Hamburger SV,2. Bundesliga,Germany,1,
Marco John,20,8,Germany,2.5,Greuther Fürth,2. Bundesliga,Germany,1,
Albian Ajeti,25,3,Switzerland,2.5,Sturm Graz,Bundesliga,Austria,1,
Juan Mata,34,0,Spain,2.5,Galatasaray,Süper Lig,Turkey,0,
Miguel Merentiel,26,3,Uruguay,2.5,Boca Juniors,Copa de la Liga,Argentina,1,
Bas Dost,33,3,Netherlands,2.5,FC Utrecht,Eredivisie,Netherlands,0,
Nathan,27,0,Brazil,2.5,Grêmio,Série A,Brazil,0,
Fredrik Björkan,24,8,Norway,2.5,Feyenoord,Eredivisie,Netherlands,1,
Willem Geubbels,21,7,France,2.5,FC St. Gallen,Super League,Switzerland,0,
Hördur Magnússon,29,2,Iceland,2.5,Panathinaikos,Super League 1,Greece,0,
Nikolai Baden Frederiksen,22,3,Denmark,2.5,Ferencváros,NB I.,Hungary,1,
Elisha Owusu,25,4,Ghana,2.5,AJ Auxerre,Ligue 1,France,3,
Siriki Dembélé,26,7,Scotland,2.5,AJ Auxerre,Ligue 1,France,1,
Gideon Mensah,24,8,Ghana,2.5,AJ Auxerre,Ligue 1,France,3,
Renzo Saravia,29,11,Argentina,2.5,Atlético-MG,Série A,Brazil,0,
Rubén Peña,30,11,Spain,2.5,CA Osasuna,LaLiga,Spain,0,
Aitor Fernández,31,5,Spain,2.5,CA Osasuna,LaLiga,Spain,0,
Tommy Doyle,20,1,England,2.5,Sheff Utd,Championship,England,1,
Zouhair Feddal,32,2,Morocco,2.5,Real Valladolid,LaLiga,Spain,0,
Moritz Jenz,23,2,Germany,2.5,Celtic,Premiership,Scotland,1,
Iñigo Córdoba,25,7,Spain,2.5,Fortuna Sittard,Eredivisie,Netherlands,0,
Sandi Lovric,24,1,Slovenia,2.5,Udinese Calcio,Serie A,Italy,0,
Mauro Perkovic,19,2,Croatia,2.5,Dinamo Zagreb,SuperSport HNL,Croatia,1,
Josh Onomah,25,1,England,2.5,Preston,Championship,England,0,
Loren Morón,29,3,Spain,2.5,UD Las Palmas,LaLiga2,Spain,1,
Ben Pearson,28,1,England,2.5,Stoke City,Championship,England,1,
Yann Gboho,21,0,France,2.5,Cercle Brugge,Jupiler Pro League,Belgium,0,
Finn Ole Becker,22,1,Germany,2.5,TSG Hoffenheim,Bundesliga,Germany,0,
Marlon Freitas,27,4,Brazil,2.5,Botafogo,Série A,Brazil,0,
Jhegson Méndez,25,4,Ecuador,2.5,São Paulo,Série A,Brazil,0,
Michel Araújo,26,0,Uruguay,2.5,São Paulo,Série A,Brazil,1,
Marcos Guilherme,26,7,Brazil,2.5,São Paulo,Série A,Brazil,0,
Dorian Dessoleil,29,2,Belgium,2.5,KV Kortrijk,Jupiler Pro League,Belgium,1,
Sory Kaba,27,3,Guinea,2.5,Cardiff,Championship,Wales,1,
Andy Rinomhota,25,1,England,2.5,Cardiff,Championship,Wales,0,
Nicolas N'Koulou,32,2,Cameroon,2.5,Aris Saloniki,Super League 1,Greece,0,
Denis Cheryshev,31,7,Russia,2.5,Venezia,Serie B,Italy,0,
Mateus Vital,24,0,Brazil,2.5,Cruzeiro,Série A,Brazil,0,
Guillermo Varela,29,11,Uruguay,2.5,Flamengo,Série A,Brazil,1,
