Unnamed: 0,Jugador,País2017-2018,Posc2017-2018,Equipo2017-2018,Comp2017-2018,Edad2017-2018,Nacimiento2017-2018,90 s2017-2018,Tkl2017-2018,TklG2017-2018,3.º def.2017-2018,3.º cent.2017-2018,3.º ataq.2017-2018,Tkl.12017-2018,Att2017-2018,Tkl%2017-2018,Pérdida2017-2018,Bloqueos2017-2018,Dis2017-2018,Pases2017-2018,Int2017-2018,Tkl+Int2017-2018,Desp.2017-2018,Err2017-2018,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,90 s2018-2019,Tkl2018-2019,TklG2018-2019,3.º def.2018-2019,3.º cent.2018-2019,3.º ataq.2018-2019,Tkl.12018-2019,Att2018-2019,Tkl%2018-2019,Pérdida2018-2019,Bloqueos2018-2019,Dis2018-2019,Pases2018-2019,Int2018-2019,Tkl+Int2018-2019,Desp.2018-2019,Err2018-2019,País2019-2020,Posc2019-2020,Equipo2019-2020,Comp2019-2020,Edad2019-2020,Nacimiento2019-2020,90 s2019-2020,Tkl2019-2020,TklG2019-2020,3.º def.2019-2020,3.º cent.2019-2020,3.º ataq.2019-2020,Tkl.12019-2020,Att2019-2020,Tkl%2019-2020,Pérdida2019-2020,Bloqueos2019-2020,Dis2019-2020,Pases2019-2020,Int2019-2020,Tkl+Int2019-2020,Desp.2019-2020,Err2019-2020,País2020-2021,Posc2020-2021,Equipo2020-2021,Comp2020-2021,Edad2020-2021,Nacimiento2020-2021,90 s2020-2021,Tkl2020-2021,TklG2020-2021,3.º def.2020-2021,3.º cent.2020-2021,3.º ataq.2020-2021,Tkl.12020-2021,Att2020-2021,Tkl%2020-2021,Pérdida2020-2021,Bloqueos2020-2021,Dis2020-2021,Pases2020-2021,Int2020-2021,Tkl+Int2020-2021,Desp.2020-2021,Err2020-2021,País2021-2022,Posc2021-2022,Equipo2021-2022,Comp2021-2022,Edad2021-2022,Nacimiento2021-2022,90 s2021-2022,Tkl2021-2022,TklG2021-2022,3.º def.2021-2022,3.º cent.2021-2022,3.º ataq.2021-2022,Tkl.12021-2022,Att2021-2022,Tkl%2021-2022,Pérdida2021-2022,Bloqueos2021-2022,Dis2021-2022,Pases2021-2022,Int2021-2022,Tkl+Int2021-2022,Desp.2021-2022,Err2021-2022,País2022-2023,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,Nacimiento2022-2023,90 s2022-2023,Tkl2022-2023,TklG2022-2023,3.º def.2022-2023,3.º cent.2022-2023,3.º ataq.2022-2023,Tkl.12022-2023,Att2022-2023,Tkl%2022-2023,Pérdida2022-2023,Bloqueos2022-2023,Dis2022-2023,Pases2022-2023,Int2022-2023,Tkl+Int2022-2023,Desp.2022-2023,Err2022-2023
587,Steven Davis,100,1,121,3,32.0,1985.0,16.9,30.0,21.0,10.0,17.0,3.0,11.0,30.0,36.7,19.0,22.0,6.0,16.0,15.0,45.0,24.0,1.0,100,1,121,3,33.0,1985.0,1.1,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,5.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
588,Salem Al-Dawsari,113,1,136,4,25.0,1991.0,0.4,1.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
589,Craig Dawson,42,4,139,3,27.0,1990.0,27.9,38.0,28.0,25.0,7.0,6.0,13.0,36.0,36.1,23.0,39.0,26.0,13.0,52.0,90.0,140.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,4,137,3,29.0,1990.0,26.2,29.0,18.0,16.0,13.0,0.0,17.0,31.0,54.8,14.0,41.0,32.0,9.0,34.0,63.0,116.0,0.0,42,4,140,3,30.0,1990.0,21.4,11.0,8.0,7.0,4.0,0.0,5.0,12.0,41.7,7.0,26.0,22.0,4.0,32.0,43.0,88.0,3.0,42,4,140,3,31.0,1990.0,30.6,29.0,17.0,20.0,8.0,1.0,14.0,25.0,56.0,11.0,59.0,52.0,7.0,29.0,58.0,139.0,0.0,42,4,140,3,32.0,1990.0,23.7,19.0,12.0,14.0,5.0,0.0,8.0,13.0,123.8,5.0,40.0,29.0,11.0,18.0,37.0,100.0,2.0
590,Kevin De Bruyne,10,1,85,3,26.0,1991.0,34.1,62.0,43.0,23.0,25.0,14.0,23.0,80.0,28.8,57.0,45.0,2.0,43.0,25.0,87.0,14.0,2.0,10,1,85,3,27.0,1991.0,10.8,22.0,15.0,6.0,12.0,4.0,7.0,21.0,33.3,14.0,13.0,1.0,12.0,3.0,25.0,2.0,1.0,10,1,85,3,28.0,1991.0,31.0,45.0,24.0,8.0,20.0,17.0,18.0,66.0,27.3,48.0,26.0,4.0,22.0,18.0,63.0,24.0,2.0,10,1,85,3,29.0,1991.0,22.2,34.0,21.0,6.0,18.0,10.0,13.0,48.0,27.1,35.0,26.0,1.0,25.0,9.0,43.0,10.0,0.0,10,1,85,3,30.0,1991.0,24.5,32.0,16.0,4.0,15.0,13.0,12.0,37.0,32.4,25.0,32.0,2.0,30.0,6.0,38.0,16.0,0.0,10,1,85,3,31.0,1991.0,26.9,28.0,12.0,3.0,12.0,13.0,14.0,39.0,35.9,25.0,27.0,2.0,25.0,9.0,37.0,10.0,0.0
591,Sebastien De Maio,46,4,19,6,30.0,1987.0,22.8,26.0,17.0,15.0,11.0,0.0,10.0,25.0,40.0,15.0,35.0,18.0,17.0,36.0,62.0,147.0,0.0,46,4,131,6,31.0,1987.0,18.5,16.0,11.0,10.0,6.0,0.0,4.0,14.0,75.0,10.0,30.0,22.0,8.0,13.0,29.0,125.0,0.0,46,4,131,6,32.0,1987.0,16.7,18.0,11.0,11.0,7.0,0.0,7.0,11.0,63.6,4.0,28.0,20.0,8.0,32.0,50.0,86.0,2.0,46,4,131,6,33.0,1987.0,9.5,15.0,10.0,6.0,9.0,0.0,4.0,5.0,80.0,1.0,16.0,9.0,7.0,18.0,33.0,41.0,0.0,46,4,131,6,34.0,1987.0,2.0,5.0,1.0,4.0,1.0,0.0,1.0,9.0,11.1,8.0,6.0,5.0,1.0,1.0,6.0,9.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
592,Rodrigo De Paul,6,9,131,6,23.0,1994.0,25.8,31.0,18.0,10.0,17.0,4.0,4.0,32.0,12.5,28.0,34.0,1.0,33.0,16.0,47.0,8.0,0.0,6,3,131,6,24.0,1994.0,35.4,53.0,33.0,21.0,27.0,5.0,13.0,42.0,31.0,29.0,35.0,2.0,33.0,32.0,85.0,28.0,0.0,6,1,131,6,25.0,1994.0,31.4,61.0,31.0,31.0,26.0,4.0,27.0,65.0,41.5,38.0,38.0,3.0,35.0,29.0,90.0,8.0,1.0,6,1,131,6,26.0,1994.0,35.6,41.0,24.0,17.0,22.0,2.0,15.0,60.0,25.0,45.0,32.0,1.0,31.0,17.0,58.0,20.0,1.0,6,1,11,4,27.0,1994.0,23.9,55.0,30.0,22.0,25.0,8.0,30.0,60.0,50.0,30.0,24.0,3.0,21.0,21.0,76.0,17.0,2.0,6,1,11,4,28.0,1994.0,21.4,35.0,21.0,11.0,18.0,6.0,18.0,35.0,51.4,17.0,20.0,3.0,17.0,8.0,43.0,7.0,0.0
593,Daniele De Rossi,69,1,112,6,34.0,1983.0,20.3,23.0,13.0,12.0,9.0,2.0,9.0,33.0,27.3,24.0,18.0,13.0,5.0,43.0,66.0,45.0,2.0,69,1,112,6,35.0,1983.0,14.1,16.0,10.0,6.0,7.0,3.0,3.0,14.0,21.4,11.0,18.0,12.0,6.0,26.0,42.0,33.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
594,Mattia De Sciglio,69,4,66,6,24.0,1992.0,10.8,22.0,17.0,7.0,13.0,2.0,9.0,13.0,69.2,4.0,12.0,2.0,10.0,14.0,36.0,32.0,0.0,69,4,66,6,25.0,1992.0,19.4,40.0,28.0,24.0,14.0,2.0,17.0,28.0,60.7,11.0,18.0,6.0,12.0,26.0,66.0,58.0,1.0,69,4,66,6,26.0,1992.0,5.2,10.0,8.0,6.0,4.0,0.0,6.0,14.0,42.9,8.0,5.0,2.0,3.0,8.0,18.0,18.0,1.0,69,4,66,6,27.0,1992.0,16.6,29.0,17.0,15.0,11.0,3.0,18.0,27.0,66.7,9.0,13.0,4.0,9.0,27.0,56.0,45.0,0.0,69,4,66,6,28.0,1992.0,13.0,24.0,12.0,7.0,9.0,8.0,11.0,24.0,45.8,13.0,10.0,0.0,10.0,10.0,34.0,30.0,0.0,69,4,66,6,29.0,1992.0,11.6,14.0,7.0,8.0,3.0,3.0,9.0,14.0,64.3,5.0,9.0,3.0,6.0,4.0,18.0,20.0,0.0
595,Lorenzo De Silvestri,69,4,127,6,29.0,1988.0,32.8,39.0,25.0,19.0,13.0,7.0,16.0,26.0,61.5,10.0,47.0,10.0,37.0,27.0,66.0,165.0,0.0,69,4,127,6,30.0,1988.0,26.8,15.0,11.0,8.0,5.0,2.0,7.0,24.0,29.2,17.0,53.0,3.0,50.0,22.0,37.0,69.0,2.0,69,4,127,6,31.0,1988.0,24.9,15.0,8.0,4.0,7.0,4.0,11.0,27.0,40.7,16.0,20.0,7.0,13.0,19.0,34.0,72.0,0.0,69,4,19,6,32.0,1988.0,23.8,34.0,24.0,18.0,13.0,3.0,16.0,37.0,43.2,21.0,37.0,10.0,27.0,30.0,64.0,62.0,3.0,69,4,19,6,33.0,1988.0,25.5,23.0,14.0,13.0,8.0,2.0,9.0,31.0,29.0,22.0,25.0,7.0,18.0,26.0,49.0,52.0,0.0,69,4,19,6,34.0,1988.0,7.5,3.0,2.0,2.0,0.0,1.0,3.0,7.0,42.9,4.0,6.0,5.0,1.0,3.0,6.0,20.0,0.0
596,Lucas Deaux,46,1,57,5,28.0,1988.0,21.6,62.0,45.0,21.0,37.0,4.0,20.0,67.0,29.9,47.0,41.0,6.0,35.0,32.0,94.0,19.0,0.0,46,1,57,5,29.0,1988.0,13.2,41.0,28.0,21.0,18.0,2.0,20.0,41.0,48.8,21.0,10.0,0.0,10.0,11.0,52.0,7.0,0.0,46,1,100,5,30.0,1988.0,14.8,49.0,26.0,16.0,29.0,4.0,16.0,45.0,35.6,29.0,20.0,4.0,16.0,15.0,64.0,19.0,0.0,46,2,100,5,31.0,1988.0,19.5,47.0,32.0,20.0,22.0,5.0,16.0,49.0,32.7,33.0,20.0,3.0,17.0,20.0,67.0,30.0,4.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
597,Mathieu Debuchy,46,4,114,5,32.0,1985.0,14.6,34.0,25.0,22.0,8.0,4.0,17.0,30.0,56.7,13.0,16.0,10.0,6.0,27.0,61.0,73.0,0.0,46,4,114,5,33.0,1985.0,21.6,43.0,26.0,25.0,13.0,5.0,22.0,37.0,59.5,15.0,17.0,7.0,10.0,47.0,90.0,64.0,0.0,46,4,114,5,34.0,1985.0,19.7,44.0,26.0,22.0,15.0,7.0,24.0,47.0,51.1,23.0,21.0,11.0,10.0,43.0,87.0,59.0,0.0,46,4,114,5,35.0,1985.0,23.4,58.0,33.0,37.0,17.0,4.0,40.0,62.0,64.5,22.0,27.0,9.0,18.0,45.0,103.0,61.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
598,Troy Deeney,42,8,137,3,29.0,1988.0,20.5,15.0,11.0,3.0,8.0,4.0,3.0,11.0,27.3,8.0,14.0,1.0,13.0,5.0,20.0,20.0,0.0,42,8,137,3,30.0,1988.0,28.3,24.0,14.0,8.0,10.0,6.0,7.0,32.0,21.9,25.0,22.0,4.0,18.0,7.0,31.0,29.0,0.0,42,8,137,3,31.0,1988.0,24.7,19.0,12.0,6.0,10.0,3.0,6.0,29.0,20.7,23.0,13.0,1.0,12.0,11.0,30.0,27.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,8,137,3,33.0,1988.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599,Jermain Defoe,42,8,21,3,34.0,1982.0,12.1,12.0,9.0,2.0,6.0,4.0,2.0,10.0,20.0,8.0,10.0,0.0,10.0,4.0,16.0,1.0,0.0,42,8,21,3,35.0,1982.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,Steven Defour,10,1,26,3,29.0,1988.0,22.2,33.0,22.0,12.0,18.0,3.0,10.0,46.0,21.7,36.0,35.0,7.0,28.0,46.0,79.0,25.0,0.0,10,1,26,3,30.0,1988.0,5.0,8.0,4.0,2.0,4.0,2.0,3.0,14.0,21.4,11.0,11.0,3.0,8.0,8.0,16.0,7.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601,Grégoire Defrel,92,9,112,6,26.0,1991.0,5.4,8.0,3.0,1.0,1.0,6.0,2.0,8.0,25.0,6.0,5.0,0.0,5.0,3.0,11.0,6.0,0.0,92,9,116,6,27.0,1991.0,26.0,40.0,29.0,10.0,16.0,14.0,9.0,21.0,42.9,12.0,15.0,0.0,15.0,3.0,43.0,9.0,0.0,92,9,117,6,28.0,1991.0,10.9,12.0,8.0,4.0,6.0,2.0,4.0,15.0,26.7,11.0,9.0,0.0,9.0,3.0,15.0,5.0,0.0,92,3,117,6,29.0,1991.0,14.8,13.0,8.0,5.0,5.0,3.0,5.0,13.0,38.5,8.0,9.0,0.0,9.0,7.0,20.0,5.0,0.0,92,8,117,6,30.0,1991.0,15.1,15.0,9.0,4.0,8.0,3.0,6.0,16.0,37.5,10.0,11.0,1.0,10.0,4.0,19.0,11.0,0.0,92,8,117,6,31.0,1991.0,13.0,9.0,7.0,5.0,2.0,2.0,4.0,13.0,30.8,9.0,11.0,0.0,11.0,2.0,11.0,5.0,0.0
602,Alessandro Deiola,69,1,28,6,21.0,1995.0,5.0,9.0,7.0,5.0,3.0,1.0,6.0,13.0,46.2,7.0,8.0,0.0,8.0,4.0,13.0,12.0,0.0,69,1,28,6,22.0,1995.0,11.1,19.0,11.0,5.0,13.0,1.0,7.0,23.0,63.1,16.0,29.0,4.0,25.0,17.0,36.0,18.0,0.0,69,1,28,6,23.0,1995.0,8.0,16.0,9.0,9.0,7.0,0.0,9.0,24.0,37.5,15.0,12.0,4.0,8.0,9.0,25.0,14.0,1.0,69,1,122,6,24.0,1995.0,10.8,19.0,8.0,7.0,7.0,5.0,13.0,36.0,73.3,23.0,10.0,3.0,7.0,14.0,33.0,12.0,0.0,69,1,28,6,25.0,1995.0,23.7,47.0,22.0,15.0,25.0,7.0,23.0,58.0,39.7,35.0,28.0,10.0,18.0,26.0,73.0,45.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603,Lorenzo Del Pinto,69,1,16,6,27.0,1990.0,8.4,23.0,17.0,10.0,10.0,3.0,7.0,25.0,28.0,18.0,13.0,4.0,9.0,16.0,39.0,7.0,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,1,16,6,30.0,1990.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
604,Damien Delaney,64,4,36,3,36.0,1981.0,1.1,2.0,1.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,5.0,4.0,1.0,3.0,5.0,7.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605,Thomas Delaney,36,1,138,2,25.0,1991.0,31.1,79.0,61.0,27.0,46.0,6.0,36.0,53.0,67.9,17.0,37.0,12.0,25.0,43.0,122.0,74.0,4.0,36,1,39,2,26.0,1991.0,25.4,69.0,54.0,28.0,39.0,2.0,19.0,30.0,63.3,11.0,30.0,9.0,21.0,58.0,127.0,43.0,0.0,36,1,39,2,27.0,1991.0,9.2,22.0,10.0,10.0,11.0,1.0,9.0,15.0,60.0,6.0,16.0,7.0,9.0,26.0,48.0,26.0,0.0,36,1,39,2,28.0,1991.0,14.3,40.0,30.0,15.0,20.0,5.0,11.0,31.0,35.5,20.0,28.0,10.0,18.0,22.0,62.0,15.0,1.0,36,1,119,4,29.0,1991.0,17.4,41.0,24.0,17.0,21.0,3.0,16.0,30.0,53.3,14.0,19.0,10.0,9.0,13.0,54.0,35.0,0.0,36,1,119,4,30.0,1991.0,6.699999999999999,10.0,5.0,3.0,6.0,1.0,6.0,13.0,97.5,7.0,8.0,2.0,6.0,5.0,15.0,7.0,0.0
606,Jonathan Delaplace,46,1,27,5,31.0,1986.0,6.5,10.0,8.0,1.0,8.0,1.0,3.0,10.0,30.0,7.0,13.0,5.0,8.0,8.0,18.0,8.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,4,80,5,34.0,1986.0,10.1,8.0,5.0,5.0,1.0,2.0,7.0,13.0,53.8,6.0,12.0,5.0,7.0,17.0,25.0,19.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
607,Cristian Dell'Orco,69,4,117,6,23.0,1994.0,4.7,4.0,1.0,1.0,2.0,1.0,1.0,3.0,33.3,2.0,5.0,1.0,4.0,10.0,14.0,19.0,0.0,69,4,44,6,24.0,1994.0,12.7,19.0,12.0,12.0,5.0,2.0,5.0,14.0,69.69999999999999,9.0,14.0,7.0,7.0,18.0,37.0,47.0,0.0,69,4,71,6,25.0,1994.0,11.2,22.0,12.0,14.0,7.0,1.0,8.0,14.0,57.1,6.0,11.0,7.0,4.0,16.0,38.0,33.0,0.0,69,4,122,6,26.0,1994.0,2.9,1.0,0.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,8.0,5.0,3.0,7.0,8.0,9.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608,Andy Delort,38,8,129,5,25.0,1991.0,25.9,20.0,13.0,2.0,9.0,9.0,4.0,19.0,21.1,15.0,10.0,0.0,10.0,12.0,32.0,22.0,0.0,38,8,91,5,26.0,1991.0,34.6,34.0,20.0,7.0,20.0,7.0,8.0,34.0,23.5,26.0,28.0,7.0,21.0,4.0,38.0,7.0,0.0,38,8,91,5,27.0,1991.0,25.3,28.0,18.0,11.0,9.0,8.0,7.0,27.0,25.9,20.0,21.0,6.0,15.0,3.0,31.0,10.0,0.0,38,8,91,5,28.0,1991.0,27.6,12.0,7.0,1.0,9.0,2.0,8.0,18.0,44.4,10.0,11.0,1.0,10.0,4.0,16.0,34.0,0.0,38,8,97,5,29.0,1991.0,30.2,17.0,9.0,3.0,6.0,8.0,7.0,13.0,58.3,6.0,14.0,4.0,10.0,9.0,26.0,18.0,0.0,38,8,97,5,30.0,1991.0,13.9,7.0,4.0,2.0,3.0,2.0,3.0,8.0,83.3,5.0,3.0,0.0,3.0,1.0,8.0,9.0,0.0
609,Fabian Delph,42,4,85,3,27.0,1989.0,19.3,46.0,34.0,21.0,16.0,9.0,18.0,37.0,48.6,19.0,16.0,0.0,16.0,30.0,76.0,42.0,2.0,42,4,85,3,28.0,1989.0,8.1,23.0,14.0,11.0,7.0,5.0,12.0,23.0,52.2,11.0,3.0,0.0,3.0,13.0,36.0,19.0,1.0,42,1,47,3,29.0,1989.0,13.2,26.0,12.0,10.0,13.0,3.0,9.0,22.0,40.9,13.0,12.0,3.0,9.0,15.0,41.0,19.0,1.0,42,2,47,3,30.0,1989.0,3.0,5.0,2.0,3.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,0.0,2.0,4.0,9.0,8.0,1.0,42,1,47,3,31.0,1989.0,7.4,18.0,15.0,10.0,7.0,1.0,8.0,21.0,38.1,13.0,12.0,5.0,7.0,14.0,32.0,10.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610,Mousa Dembélé,10,1,128,3,30.0,1987.0,20.9,36.0,24.0,19.0,11.0,6.0,9.0,37.0,24.3,28.0,20.0,0.0,20.0,33.0,69.0,15.0,0.0,10,1,128,3,31.0,1987.0,5.7,13.0,9.0,6.0,6.0,1.0,4.0,7.0,57.1,3.0,4.0,1.0,3.0,7.0,20.0,5.0,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
