Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Derribos,Derribos,Derribos,Derribos,Derribos,Desafíos,Desafíos,Desafíos,Desafíos,Bloqueos,Bloqueos,Bloqueos,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
33,Youssef Aït Bennasser,ma MAR,CC,Bordeaux,fr Ligue 1,23,1996,6.0,11,8,6,4,1,4,24,16.7,20,6,1,5,4,15,10,1,Partidos
34,Rayan Aït Nouri,dz ALG,DF,Angers,fr Ligue 1,18,2001,14.2,29,22,14,8,7,10,21,47.6,11,14,1,13,18,47,33,0,Partidos
35,Albian Ajeti,ch SUI,DL,West Ham,eng Premier League,22,1997,1.5,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Partidos
36,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,25,1994,22.9,15,10,2,10,3,2,13,15.4,11,11,0,11,2,17,20,0,Partidos
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,38,21,23,14,1,12,20,60.0,8,20,11,9,30,68,61,2,Partidos
38,Marley Aké,fr FRA,"DL,CC",Marseille,fr Ligue 1,18,2001,1.1,2,2,1,1,0,1,3,33.3,2,0,0,0,1,3,1,0,Partidos
39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,31,21,23,8,0,14,23,60.9,9,40,29,11,36,67,152,0,Partidos
40,Chadrac Akolo,cd COD,"DL,CC",Amiens,fr Ligue 1,24,1995,6.0,16,8,8,6,2,5,12,41.7,7,6,1,5,5,21,5,0,Partidos
41,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,24,16,20,4,0,13,24,54.2,11,21,11,10,13,37,48,0,Partidos
42,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,30,17,14,15,1,16,25,64.0,9,19,10,9,29,59,40,0,Partidos
43,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,21,1998,15.6,45,26,25,13,7,25,48,52.1,23,13,2,11,23,68,39,3,Partidos
44,Lucas Alario,ar ARG,DL,Leverkusen,de Bundesliga,26,1992,13.0,6,3,0,4,2,1,8,12.5,7,12,2,10,1,7,9,0,Partidos
45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,20,13,9,7,4,6,27,22.2,21,12,3,9,37,57,40,0,Partidos
46,Luis Alberto,es ESP,CC,Lazio,it Serie A,26,1992,34.6,50,30,21,19,10,27,82,32.9,55,32,1,31,21,71,9,1,Partidos
47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,43,23,27,16,0,18,27,66.7,9,29,21,8,42,85,175,2,Partidos
48,Marc Albrighton,eng ENG,"CC,DF",Leicester City,eng Premier League,29,1989,9.6,24,17,10,13,1,9,30,30.0,21,19,2,17,10,34,8,0,Partidos
49,Paco Alcácer,es ESP,DL,Villarreal,es La Liga,25,1993,10.3,3,3,2,1,0,1,7,14.3,6,4,1,3,2,5,10,0,Partidos
50,Paco Alcácer,es ESP,DL,Dortmund,de Bundesliga,25,1993,5.9,2,2,0,2,0,1,5,20.0,4,4,1,3,2,4,3,0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
51,Thiago Alcántara,es ESP,CC,Bayern Munich,de Bundesliga,28,1991,19.7,45,26,17,23,5,12,33,36.4,21,12,3,9,45,90,13,1,Partidos
52,Rubén Alcaraz,es ESP,CC,Valladolid,es La Liga,28,1991,21.4,61,30,37,20,4,30,63,47.6,33,46,15,31,15,76,41,0,Partidos
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,40,29,24,13,3,11,24,45.8,13,48,32,16,31,71,172,2,Partidos
54,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,36,16,25,9,2,18,43,41.9,25,33,10,23,34,70,59,1,Partidos
