,Jugador,País2017-2018,Posc2017-2018,Equipo2017-2018,Comp2017-2018,Edad2017-2018,Nacimiento2017-2018,90 s2017-2018,GC2017-2018,PD2017-2018,TL2017-2018,TE2017-2018,GC.12017-2018,PSxG2017-2018,PSxG/SoT2017-2018,PSxG+/-2017-2018,/902017-2018,Cmp2017-2018,Int.2017-2018,% Cmp2017-2018,Int..12017-2018,TI2017-2018,%deLanzamientos2017-2018,Long. prom.2017-2018,Int..22017-2018,%deLanzamientos.12017-2018,Long. prom..12017-2018,Opp2017-2018,Stp2017-2018,% de Stp2017-2018,Núm. de OPA2017-2018,Núm. de OPA/902017-2018,DistProm.2017-2018,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,90 s2018-2019,GC2018-2019,PD2018-2019,TL2018-2019,TE2018-2019,GC.12018-2019,PSxG2018-2019,PSxG/SoT2018-2019,PSxG+/-2018-2019,/902018-2019,Cmp2018-2019,Int.2018-2019,% Cmp2018-2019,Int..12018-2019,TI2018-2019,%deLanzamientos2018-2019,Long. prom.2018-2019,Int..22018-2019,%deLanzamientos.12018-2019,Long. prom..12018-2019,Opp2018-2019,Stp2018-2019,% de Stp2018-2019,Núm. de OPA2018-2019,Núm. de OPA/902018-2019,DistProm.2018-2019,País2019-2020,Posc2019-2020,Equipo2019-2020,Comp2019-2020,Edad2019-2020,Nacimiento2019-2020,90 s2019-2020,GC2019-2020,PD2019-2020,TL2019-2020,TE2019-2020,GC.12019-2020,PSxG2019-2020,PSxG/SoT2019-2020,PSxG+/-2019-2020,/902019-2020,Cmp2019-2020,Int.2019-2020,% Cmp2019-2020,Int..12019-2020,TI2019-2020,%deLanzamientos2019-2020,Long. prom.2019-2020,Int..22019-2020,%deLanzamientos.12019-2020,Long. prom..12019-2020,Opp2019-2020,Stp2019-2020,% de Stp2019-2020,Núm. de OPA2019-2020,Núm. de OPA/902019-2020,DistProm.2019-2020,País2020-2021,Posc2020-2021,Equipo2020-2021,Comp2020-2021,Edad2020-2021,Nacimiento2020-2021,90 s2020-2021,GC2020-2021,PD2020-2021,TL2020-2021,TE2020-2021,GC.12020-2021,PSxG2020-2021,PSxG/SoT2020-2021,PSxG+/-2020-2021,/902020-2021,Cmp2020-2021,Int.2020-2021,% Cmp2020-2021,Int..12020-2021,TI2020-2021,%deLanzamientos2020-2021,Long. prom.2020-2021,Int..22020-2021,%deLanzamientos.12020-2021,Long. prom..12020-2021,Opp2020-2021,Stp2020-2021,% de Stp2020-2021,Núm. de OPA2020-2021,Núm. de OPA/902020-2021,DistProm.2020-2021,País2021-2022,Posc2021-2022,Equipo2021-2022,Comp2021-2022,Edad2021-2022,Nacimiento2021-2022,90 s2021-2022,GC2021-2022,PD2021-2022,TL2021-2022,TE2021-2022,GC.12021-2022,PSxG2021-2022,PSxG/SoT2021-2022,PSxG+/-2021-2022,/902021-2022,Cmp2021-2022,Int.2021-2022,% Cmp2021-2022,Int..12021-2022,TI2021-2022,%deLanzamientos2021-2022,Long. prom.2021-2022,Int..22021-2022,%deLanzamientos.12021-2022,Long. prom..12021-2022,Opp2021-2022,Stp2021-2022,% de Stp2021-2022,Núm. de OPA2021-2022,Núm. de OPA/902021-2022,DistProm.2021-2022,País2022-2023,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,Nacimiento2022-2023,90 s2022-2023,GC2022-2023,PD2022-2023,TL2022-2023,TE2022-2023,GC.12022-2023,PSxG2022-2023,PSxG/SoT2022-2023,PSxG+/-2022-2023,/902022-2023,Cmp2022-2023,Int.2022-2023,% Cmp2022-2023,Int..12022-2023,TI2022-2023,%deLanzamientos2022-2023,Long. prom.2022-2023,Int..22022-2023,%deLanzamientos.12022-2023,Long. prom..12022-2023,Opp2022-2023,Stp2022-2023,% de Stp2022-2023,Núm. de OPA2022-2023,Núm. de OPA/902022-2023,DistProm.2022-2023
115,Emiliano Martínez,ar ARG,PO,Getafe,es La Liga,24.0,1992.0,5.0,7.0,1.0,0.0,2.0,0.0,6.4,0.29,-0.6,-0.11,49.0,128.0,38.3,103.0,11.0,78.6,52.5,48.0,97.9,65.7,70.0,4.0,5.7,3.0,0.6,9.9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,PO,Arsenal,eng Premier League,26.0,1992.0,8.6,9.0,1.0,0.0,3.0,0.0,11.8,0.26,2.8,0.32,28.0,98.0,28.6,232.0,48.0,29.3,31.4,61.0,49.2,40.2,138.0,8.0,5.8,4.0,0.47,13.2,ar ARG,PO,Aston Villa,eng Premier League,27.0,1992.0,38.0,46.0,5.0,2.0,4.0,1.0,49.2,0.24,4.2,0.11,247.0,639.0,38.7,1058.0,177.0,45.1,37.1,253.0,64.0,47.0,613.0,42.0,6.9,34.0,0.89,14.2,ar ARG,PO,Aston Villa,eng Premier League,28.0,1992.0,36.0,48.0,4.0,2.0,5.0,2.0,42.1,0.27,-3.9,-0.11,146.0,406.0,36.0,824.0,162.0,36.4,33.6,275.0,38.5,34.1,474.0,34.0,7.2,33.0,0.92,15.4,ar ARG,PO,Aston Villa,eng Premier League,29.0,1992.0,34.9,38.0,4.0,1.0,6.0,4.0,36.6,0.24,2.6,0.07,199.0,523.0,38.0,1171.0,135.0,35.5,33.0,212.0,50.5,40.7,483.0,60.0,12.4,73.0,2.09,16.6
116,Christian Mathenia,de GER,PO,Hamburger SV,de Bundesliga,25.0,1992.0,24.0,38.0,3.0,0.0,4.0,1.0,36.8,0.36,-0.2,-0.01,135.0,409.0,33.0,506.0,79.0,51.4,40.6,199.0,74.9,55.8,332.0,20.0,6.0,18.0,0.75,14.8,de GER,PO,Nürnberg,de Bundesliga,26.0,1992.0,21.5,40.0,2.0,1.0,6.0,2.0,31.5,0.25,-6.5,-0.3,170.0,473.0,35.9,665.0,92.0,47.7,39.0,218.0,71.6,53.5,462.0,9.0,1.9,10.0,0.47,9.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Alex McCarthy,eng ENG,PO,Southampton,eng Premier League,27.0,1989.0,18.0,26.0,1.0,0.0,4.0,0.0,20.5,0.3,-5.5,-0.3,99.0,340.0,29.1,304.0,56.0,63.8,44.2,158.0,92.4,59.5,311.0,19.0,6.1,10.0,0.56,10.9,eng ENG,PO,Southampton,eng Premier League,28.0,1989.0,25.0,44.0,2.0,0.0,4.0,3.0,37.3,0.3,-3.7,-0.15,139.0,447.0,31.1,478.0,82.0,60.3,42.8,189.0,84.1,57.6,375.0,15.0,4.0,17.0,0.68,11.6,eng ENG,PO,Southampton,eng Premier League,29.0,1989.0,28.0,35.0,1.0,0.0,4.0,1.0,37.2,0.32,3.2,0.11,191.0,528.0,36.2,643.0,76.0,59.1,41.6,178.0,83.1,56.6,439.0,25.0,5.7,27.0,0.96,12.8,eng ENG,PO,Southampton,eng Premier League,30.0,1989.0,30.0,57.0,6.0,1.0,2.0,1.0,46.5,0.28,-9.5,-0.32,109.0,435.0,25.1,900.0,131.0,37.1,32.0,171.0,59.1,41.1,365.0,23.0,6.3,31.0,1.03,15.6,eng ENG,PO,Southampton,eng Premier League,31.0,1989.0,17.0,27.0,0.0,0.0,6.0,0.0,21.5,0.31,-5.5,-0.32,74.0,246.0,30.1,383.0,78.0,40.7,34.7,125.0,72.0,50.6,255.0,22.0,8.6,5.0,0.29,9.6,eng ENG,PO,Southampton,eng Premier League,32.0,1989.0,6.0,17.0,1.0,0.0,1.0,1.0,10.9,0.34,-5.1,-0.84,22.0,113.0,19.5,194.0,29.0,48.5,36.5,52.0,36.5,31.0,92.0,6.0,6.5,7.0,1.17,13.5
118,Brais Méndez,es ESP,"CC,DL",Celta Vigo,es La Liga,20.0,1997.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Alex Meret,it ITA,PO,SPAL,it Serie A,20.0,1997.0,12.9,16.0,3.0,0.0,2.0,2.0,19.6,0.26,5.6,0.43,93.0,247.0,37.7,264.0,30.0,54.2,40.3,131.0,79.4,50.3,211.0,3.0,1.4,0.0,0.0,10.7,it ITA,PO,Napoli,it Serie A,21.0,1997.0,12.8,9.0,2.0,0.0,1.0,0.0,10.0,0.17,1.0,0.07,29.0,100.0,29.0,252.0,42.0,21.0,28.8,99.0,47.5,40.3,190.0,2.0,1.1,8.0,0.63,12.9,it ITA,PO,Napoli,it Serie A,22.0,1997.0,21.7,33.0,5.0,0.0,2.0,1.0,27.7,0.27,-4.3,-0.2,31.0,103.0,30.1,466.0,86.0,17.2,25.5,139.0,16.5,22.9,241.0,4.0,1.7,15.0,0.69,14.3,it ITA,PO,Napoli,it Serie A,23.0,1997.0,22.0,29.0,2.0,1.0,3.0,1.0,26.2,0.31,-1.8,-0.08,35.0,77.0,45.5,510.0,96.0,12.2,24.9,93.0,16.1,23.3,241.0,8.0,3.3,13.0,0.59,13.1,it ITA,PO,Napoli,it Serie A,24.0,1997.0,6.9,6.0,0.0,0.0,0.0,0.0,6.4,0.22,0.4,0.06,13.0,29.0,44.8,160.0,45.0,12.5,25.1,36.0,25.0,26.5,89.0,3.0,3.4,5.0,0.73,14.6,it ITA,PO,Napoli,it Serie A,25.0,1997.0,34.0,24.0,1.0,0.0,1.0,0.0,25.0,0.25,1.0,0.03,56.0,145.0,38.6,733.0,121.0,14.3,26.1,198.0,20.2,26.9,335.0,11.0,3.3,39.0,1.15,17.0
120,Mathieu Michel,fr FRA,PO,Angers,fr Ligue 1,25.0,1991.0,6.6,13.0,2.0,0.0,0.0,1.0,8.9,0.26,-3.1,-0.47,41.0,109.0,37.6,128.0,32.0,49.2,38.2,59.0,78.0,53.8,96.0,5.0,5.2,1.0,0.15,9.9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Simon Mignolet,be BEL,PO,Liverpool,eng Premier League,29.0,1988.0,19.0,24.0,2.0,0.0,3.0,0.0,23.0,0.34,-1.0,-0.05,64.0,208.0,30.8,499.0,102.0,33.5,32.0,101.0,40.6,39.7,194.0,15.0,7.7,34.0,1.79,17.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,Vanja Milinković-Savić,rs SRB,PO,Torino,it Serie A,20.0,1997.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.26,-0.5,-0.48,5.0,21.0,23.8,40.0,6.0,35.0,36.6,8.0,87.5,62.8,16.0,1.0,6.3,1.0,1.0,12.5,rs SRB,PO,SPAL,it Serie A,21.0,1997.0,1.8,4.0,0.0,0.0,1.0,0.0,3.0,0.18,-1.0,-0.58,8.0,32.0,25.0,57.0,20.0,36.8,33.7,21.0,52.4,49.3,27.0,1.0,3.7,1.0,0.55,10.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rs SRB,PO,Torino,it Serie A,23.0,1997.0,5.0,6.0,1.0,0.0,0.0,0.0,5.4,0.22,-0.6,-0.12,20.0,72.0,27.8,143.0,17.0,38.5,36.1,32.0,53.1,44.7,64.0,1.0,1.6,10.0,2.0,19.1,rs SRB,PO,Torino,it Serie A,24.0,1997.0,27.0,33.0,7.0,2.0,4.0,0.0,26.7,0.24,-6.3,-0.23,192.0,659.0,29.1,849.0,97.0,59.5,44.4,169.0,91.1,66.3,290.0,18.0,6.2,22.0,0.81,14.3,rs SRB,PO,Torino,it Serie A,25.0,1997.0,38.0,41.0,5.0,0.0,6.0,0.0,35.8,0.23,-5.2,-0.14,285.0,939.0,30.4,1506.0,185.0,45.0,39.7,286.0,91.3,70.0,469.0,36.0,7.7,70.0,1.84,16.2
123,Antonio Mirante,it ITA,PO,Bologna,it Serie A,34.0,1983.0,33.0,46.0,2.0,1.0,4.0,3.0,41.8,0.28,-1.2,-0.04,334.0,683.0,48.9,942.0,138.0,47.8,38.5,318.0,73.3,49.3,632.0,17.0,2.7,37.0,1.12,14.1,it ITA,PO,Roma,it Serie A,35.0,1983.0,11.0,6.0,0.0,0.0,2.0,0.0,10.5,0.26,4.5,0.41,72.0,160.0,45.0,227.0,41.0,39.6,35.4,91.0,76.9,51.3,166.0,2.0,1.2,6.0,0.55,13.3,it ITA,PO,Roma,it Serie A,36.0,1983.0,5.0,5.0,1.0,0.0,0.0,0.0,8.7,0.34,3.7,0.73,24.0,49.0,49.0,142.0,30.0,31.0,30.7,29.0,17.2,28.3,83.0,1.0,1.2,8.0,1.6,14.9,it ITA,PO,Roma,it Serie A,37.0,1983.0,12.8,19.0,2.0,1.0,0.0,0.0,15.8,0.24,-3.2,-0.27,46.0,106.0,43.4,309.0,63.0,26.9,30.9,83.0,27.7,28.6,162.0,1.0,0.6,23.0,1.95,18.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,it ITA,PO,Milan,it Serie A,39.0,1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,27.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Jessy Moulin,fr FRA,PO,Saint-Étienne,fr Ligue 1,31.0,1986.0,3.4,6.0,1.0,1.0,1.0,0.0,7.0,0.21,1.0,0.3,33.0,89.0,37.1,94.0,13.0,52.1,42.6,44.0,90.9,58.0,68.0,5.0,7.4,1.0,0.3,9.8,fr FRA,PO,Saint-Étienne,fr Ligue 1,32.0,1986.0,1.0,1.0,0.0,0.0,0.0,1.0,1.7,0.36,1.7,1.65,0.0,1.0,0.0,29.0,12.0,0.0,22.4,3.0,33.3,38.0,13.0,0.0,0.0,0.0,0.0,11.2,fr FRA,PO,Saint-Étienne,fr Ligue 1,33.0,1986.0,5.0,4.0,2.0,0.0,0.0,0.0,6.8,0.22,2.8,0.57,22.0,86.0,25.6,131.0,28.0,48.1,39.5,42.0,54.8,43.7,77.0,4.0,5.2,0.0,0.0,9.7,fr FRA,PO,Saint-Étienne,fr Ligue 1,34.0,1986.0,29.0,42.0,4.0,3.0,6.0,2.0,30.0,0.26,-10.0,-0.34,99.0,308.0,32.1,676.0,146.0,28.7,33.4,200.0,57.0,46.2,377.0,16.0,4.2,13.0,0.45,13.1,fr FRA,PO,Troyes,fr Ligue 1,35.0,1986.0,7.0,8.0,2.0,1.0,1.0,0.0,7.8,0.25,-0.2,-0.02,32.0,97.0,33.0,164.0,40.0,37.8,35.7,75.0,46.7,37.7,109.0,11.0,10.1,9.0,1.29,11.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,Florian Müller,de GER,PO,Mainz 05,de Bundesliga,19.0,1997.0,5.0,7.0,0.0,0.0,2.0,0.0,6.6,0.27,-0.4,-0.08,21.0,85.0,24.7,116.0,25.0,42.2,38.0,41.0,87.8,56.6,81.0,1.0,1.2,4.0,0.8,15.3,de GER,PO,Mainz 05,de Bundesliga,20.0,1997.0,24.0,43.0,3.0,0.0,6.0,0.0,39.0,0.3,-4.0,-0.17,157.0,424.0,37.0,629.0,105.0,42.3,37.7,205.0,77.1,55.1,356.0,12.0,3.4,25.0,1.04,15.0,de GER,PO,Mainz 05,de Bundesliga,21.0,1997.0,12.5,25.0,2.0,3.0,1.0,0.0,22.2,0.31,-2.8,-0.22,65.0,188.0,34.6,360.0,79.0,31.4,32.1,118.0,63.6,46.6,208.0,13.0,6.3,18.0,1.44,15.8,de GER,PO,Freiburg,de Bundesliga,22.0,1997.0,31.0,46.0,2.0,2.0,3.0,2.0,45.3,0.28,1.3,0.04,165.0,556.0,29.7,1060.0,151.0,33.8,34.0,271.0,73.1,55.4,409.0,7.0,1.7,36.0,1.16,17.4,de GER,PO,Stuttgart,de Bundesliga,23.0,1997.0,30.0,52.0,4.0,1.0,5.0,1.0,46.3,0.31,-4.7,-0.16,92.0,235.0,39.1,773.0,152.0,21.2,27.3,240.0,29.6,30.7,447.0,17.0,3.8,37.0,1.23,15.4,de GER,PO,Stuttgart,de Bundesliga,24.0,1997.0,19.0,34.0,1.0,2.0,3.0,0.0,27.2,0.3,-6.8,-0.36,98.0,212.0,46.2,599.0,98.0,26.9,29.2,133.0,38.3,36.6,260.0,6.0,2.3,28.0,1.47,18.9
126,Yvon Mvogo,ch SUI,PO,RB Leipzig,de Bundesliga,23.0,1994.0,1.0,1.0,0.0,0.0,0.0,0.0,1.1,0.28,0.1,0.12,11.0,18.0,61.1,35.0,6.0,40.0,32.7,7.0,57.1,47.6,11.0,0.0,0.0,2.0,2.0,15.3,ch SUI,PO,RB Leipzig,de Bundesliga,24.0,1994.0,1.5,2.0,1.0,0.0,0.0,0.0,1.8,0.19,-0.2,-0.17,5.0,10.0,50.0,25.0,4.0,32.0,35.1,6.0,33.3,35.3,10.0,0.0,0.0,2.0,1.33,14.2,ch SUI,PO,RB Leipzig,de Bundesliga,25.0,1994.0,2.0,3.0,0.0,0.0,0.0,0.0,1.5,0.3,-1.5,-0.76,4.0,13.0,30.8,70.0,9.0,14.3,25.9,10.0,30.0,31.0,20.0,1.0,5.0,3.0,1.5,17.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ch SUI,PO,Lorient,fr Ligue 1,28.0,1994.0,20.1,29.0,1.0,0.0,4.0,1.0,27.1,0.27,-0.9,-0.04,86.0,228.0,37.7,473.0,85.0,34.0,32.1,145.0,46.2,36.6,381.0,21.0,5.5,7.0,0.35,8.5
127,Boaz Myhill,wls WAL,PO,West Brom,eng Premier League,34.0,1982.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.12,-0.7,-0.65,7.0,16.0,43.8,12.0,0.0,83.3,50.2,7.0,85.7,53.4,22.0,3.0,13.6,0.0,0.0,7.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,Keylor Navas,cr CRC,PO,Real Madrid,es La Liga,30.0,1986.0,27.0,31.0,2.0,0.0,6.0,1.0,33.1,0.28,3.1,0.11,74.0,199.0,37.2,537.0,130.0,20.3,30.3,163.0,55.2,46.4,309.0,12.0,3.9,31.0,1.15,16.0,cr CRC,PO,Real Madrid,es La Liga,31.0,1986.0,10.0,8.0,0.0,0.0,2.0,0.0,10.0,0.32,2.0,0.2,30.0,85.0,35.3,239.0,64.0,24.7,31.4,61.0,42.6,43.4,101.0,5.0,5.0,16.0,1.6,18.1,cr CRC,PO,Paris S-G,fr Ligue 1,32.0,1986.0,21.0,18.0,0.0,0.0,0.0,1.0,17.5,0.27,0.5,0.02,35.0,91.0,38.5,405.0,76.0,16.5,26.8,137.0,17.5,26.7,188.0,3.0,1.6,8.0,0.38,12.5,cr CRC,PO,Paris S-G,fr Ligue 1,33.0,1986.0,28.0,18.0,1.0,0.0,2.0,0.0,26.0,0.26,8.0,0.28,65.0,139.0,46.8,572.0,115.0,18.2,27.2,170.0,20.6,26.7,308.0,0.0,0.0,25.0,0.89,16.6,cr CRC,PO,Paris S-G,fr Ligue 1,34.0,1986.0,20.6,18.0,2.0,0.0,2.0,0.0,18.3,0.21,0.3,0.01,23.0,58.0,39.7,415.0,100.0,11.3,24.5,132.0,8.3,22.2,239.0,5.0,2.1,20.0,0.97,16.3,cr CRC,PO,Nott'ham Forest,eng Premier League,35.0,1986.0,17.0,32.0,4.0,1.0,3.0,0.0,29.3,0.32,-2.7,-0.16,106.0,320.0,33.1,378.0,65.0,56.3,41.3,151.0,70.9,48.1,295.0,14.0,4.7,9.0,0.53,9.2
129,Neto,br BRA,PO,Valencia,es La Liga,28.0,1989.0,33.0,33.0,3.0,1.0,4.0,0.0,43.7,0.28,10.7,0.33,170.0,488.0,34.8,541.0,150.0,49.7,39.7,277.0,79.1,56.6,541.0,21.0,3.9,7.0,0.21,9.6,br BRA,PO,Valencia,es La Liga,29.0,1989.0,34.0,34.0,7.0,2.0,5.0,2.0,39.8,0.24,7.8,0.23,162.0,499.0,32.5,574.0,158.0,47.6,39.4,275.0,82.2,57.4,562.0,10.0,1.8,16.0,0.47,12.5,br BRA,PO,Barcelona,es La Liga,30.0,1989.0,2.0,2.0,0.0,0.0,0.0,0.0,1.6,0.54,-0.4,-0.19,5.0,10.0,50.0,46.0,5.0,15.2,24.5,15.0,20.0,24.2,22.0,1.0,4.5,4.0,2.0,16.6,br BRA,PO,Barcelona,es La Liga,31.0,1989.0,7.0,6.0,2.0,0.0,1.0,0.0,7.4,0.23,1.4,0.2,14.0,36.0,38.9,189.0,37.0,15.3,24.8,52.0,13.5,23.0,86.0,2.0,2.3,8.0,1.14,13.9,br BRA,PO,Barcelona,es La Liga,32.0,1989.0,3.0,4.0,0.0,1.0,1.0,0.0,4.1,0.29,0.1,0.02,17.0,34.0,50.0,106.0,18.0,28.3,31.6,24.0,16.7,29.2,42.0,0.0,0.0,4.0,1.33,18.0,br BRA,PO,Bournemouth,eng Premier League,33.0,1989.0,26.5,39.0,4.0,0.0,8.0,1.0,39.7,0.26,1.7,0.06,160.0,437.0,36.6,601.0,136.0,47.4,37.8,231.0,65.8,44.6,510.0,35.0,6.9,25.0,0.94,12.1
