,Jugador,País2017-2018,Posc2017-2018,Equipo2017-2018,Comp2017-2018,Edad2017-2018,Nacimiento2017-2018,90 s2017-2018,TA2017-2018,TR2017-2018,2a amarilla2017-2018,Fls2017-2018,FR2017-2018,PA2017-2018,Pcz2017-2018,Int2017-2018,TklG2017-2018,Penal ejecutado2017-2018,Penal concedido2017-2018,GC2017-2018,Recup.2017-2018,Ganados2017-2018,Perdidos2017-2018,% de ganados2017-2018,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,90 s2018-2019,TA2018-2019,TR2018-2019,2a amarilla2018-2019,Fls2018-2019,FR2018-2019,PA2018-2019,Pcz2018-2019,Int2018-2019,TklG2018-2019,Penal ejecutado2018-2019,Penal concedido2018-2019,GC2018-2019,Recup.2018-2019,Ganados2018-2019,Perdidos2018-2019,% de ganados2018-2019,Posc2019-2020,Equipo2019-2020,Comp2019-2020,Edad2019-2020,90 s2019-2020,TA2019-2020,TR2019-2020,2a amarilla2019-2020,Fls2019-2020,FR2019-2020,PA2019-2020,Pcz2019-2020,Int2019-2020,TklG2019-2020,Penal ejecutado2019-2020,Penal concedido2019-2020,GC2019-2020,Recup.2019-2020,Ganados2019-2020,Perdidos2019-2020,% de ganados2019-2020,Posc2020-2021,Equipo2020-2021,Comp2020-2021,Edad2020-2021,90 s2020-2021,TA2020-2021,TR2020-2021,2a amarilla2020-2021,Fls2020-2021,FR2020-2021,PA2020-2021,Pcz2020-2021,Int2020-2021,TklG2020-2021,Penal ejecutado2020-2021,Penal concedido2020-2021,GC2020-2021,Recup.2020-2021,Ganados2020-2021,Perdidos2020-2021,% de ganados2020-2021,Posc2021-2022,Equipo2021-2022,Comp2021-2022,Edad2021-2022,90 s2021-2022,TA2021-2022,TR2021-2022,2a amarilla2021-2022,Fls2021-2022,FR2021-2022,PA2021-2022,Pcz2021-2022,Int2021-2022,TklG2021-2022,Penal ejecutado2021-2022,Penal concedido2021-2022,GC2021-2022,Recup.2021-2022,Ganados2021-2022,Perdidos2021-2022,% de ganados2021-2022,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,90 s2022-2023,TA2022-2023,TR2022-2023,2a amarilla2022-2023,Fls2022-2023,FR2022-2023,PA2022-2023,Pcz2022-2023,Int2022-2023,TklG2022-2023,Penal ejecutado2022-2023,Penal concedido2022-2023,GC2022-2023,Recup.2022-2023,Ganados2022-2023,Perdidos2022-2023,% de ganados2022-2023
952,Francis Guerrero,es ESP,"DF,CC",Betis,es La Liga,21.0,1996.0,11.0,2.0,0.0,0.0,17.0,26.0,1.0,37.0,21.0,19.0,0.0,0.0,0.0,67.0,11.0,15.0,42.3,"DF,DL",Betis,es La Liga,22.0,19.8,2.0,0.0,0.0,9.0,39.0,1.0,66.0,21.0,28.0,0.0,0.0,0.0,79.0,8.0,21.0,27.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
953,John Guidetti,se SWE,DL,Alavés,es La Liga,25.0,1992.0,14.9,3.0,0.0,0.0,33.0,16.0,11.0,14.0,2.0,7.0,0.0,1.0,0.0,44.0,31.0,47.0,89.5,DL,Alavés,es La Liga,26.0,7.0,2.0,0.0,0.0,13.0,4.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,16.0,16.0,22.0,42.1,"DL,CC",Alavés,es La Liga,27.0,1.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0,DL,Alavés,es La Liga,28.0,2.3,1.0,0.0,0.0,7.0,2.0,1.0,6.0,1.0,2.0,0.0,0.0,0.0,7.0,4.0,4.0,50.0,"DL,CC",Alavés,es La Liga,29.0,3.1,2.0,0.0,0.0,9.0,3.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,6.0,14.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
954,Josuha Guilavogui,fr FRA,CC,Wolfsburg,de Bundesliga,26.0,1990.0,26.7,7.0,1.0,1.0,43.0,19.0,5.0,12.0,66.0,46.0,0.0,2.0,1.0,165.0,67.0,25.0,72.8,CC,Wolfsburg,de Bundesliga,27.0,17.4,5.0,0.0,0.0,24.0,8.0,0.0,4.0,43.0,16.0,0.0,0.0,0.0,158.0,29.0,20.0,59.2,"CC,DF",Wolfsburg,de Bundesliga,28.0,22.9,7.0,1.0,1.0,44.0,14.0,5.0,6.0,45.0,26.0,0.0,2.0,0.0,181.0,63.0,43.0,59.4,"CC,DF",Wolfsburg,de Bundesliga,29.0,8.3,3.0,0.0,0.0,16.0,4.0,0.0,2.0,29.0,9.0,0.0,0.0,0.0,66.0,22.0,13.0,62.9,"CC,DF",Bordeaux,fr Ligue 1,30.0,25.3,8.0,0.0,0.0,43.0,19.0,2.0,6.0,61.0,30.0,0.0,0.0,0.0,240.0,54.0,26.0,126.5,"DF,CC",Wolfsburg,de Bundesliga,31.0,13.1,4.0,0.0,0.0,29.0,8.0,2.0,2.0,23.0,11.0,0.0,1.0,1.0,95.0,43.0,32.0,57.3
955,Frederic Guilbert,fr FRA,DF,Caen,fr Ligue 1,22.0,1994.0,36.0,12.0,0.0,0.0,58.0,37.0,1.0,125.0,88.0,89.0,0.0,0.0,0.0,219.0,97.0,66.0,59.5,DF,Caen,fr Ligue 1,23.0,32.4,10.0,1.0,1.0,57.0,37.0,1.0,91.0,78.0,67.0,0.0,0.0,0.0,173.0,76.0,76.0,50.0,"DF,CC",Aston Villa,eng Premier League,24.0,22.7,7.0,0.0,0.0,36.0,21.0,2.0,91.0,49.0,43.0,0.0,0.0,0.0,104.0,46.0,68.0,40.4,DF,Strasbourg,fr Ligue 1,25.0,12.4,2.0,1.0,0.0,18.0,13.0,0.0,67.0,33.0,19.0,0.0,0.0,0.0,83.0,16.0,18.0,47.1,DF,Strasbourg,fr Ligue 1,26.0,28.0,4.0,0.0,0.0,26.0,22.0,2.0,218.0,55.0,39.0,0.0,0.0,0.0,142.0,27.0,40.0,40.3,DF,Strasbourg,fr Ligue 1,27.0,16.2,3.0,0.0,0.0,28.0,19.0,0.0,55.0,43.0,29.0,0.0,1.0,0.0,109.0,28.0,23.0,54.9
956,Guilherme,br BRA,"CC,DL",Benevento,it Serie A,26.0,1991.0,39.8,12.0,0.0,0.0,78.0,67.0,3.0,50.0,54.0,67.0,0.0,0.0,1.0,252.0,40.0,49.0,64.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
957,Baptiste Guillaume,be BEL,"DL,CC",Angers,fr Ligue 1,22.0,1995.0,5.1,3.0,0.0,0.0,19.0,5.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,6.0,24.0,25.0,49.0,DL,Nîmes,fr Ligue 1,23.0,13.1,4.0,0.0,0.0,24.0,21.0,3.0,3.0,2.0,6.0,1.0,0.0,0.0,26.0,84.0,71.0,54.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
958,Serhou Guirassy,gn GUI,DL,Köln,de Bundesliga,21.0,1996.0,9.5,2.0,0.0,0.0,19.0,34.0,9.0,1.0,1.0,3.0,1.0,1.0,0.0,32.0,52.0,46.0,53.1,DL,Amiens,fr Ligue 1,22.0,12.3,0.0,1.0,0.0,16.0,40.0,7.0,10.0,4.0,5.0,0.0,0.0,0.0,38.0,91.0,59.0,60.7,DL,Amiens,fr Ligue 1,23.0,21.3,6.0,0.0,0.0,41.0,63.0,14.0,8.0,4.0,3.0,4.0,0.0,0.0,61.0,93.0,97.0,48.9,DL,Rennes,fr Ligue 1,24.0,19.6,3.0,0.0,0.0,38.0,55.0,6.0,4.0,5.0,1.0,1.0,0.0,0.0,37.0,69.0,56.0,55.2,DL,Rennes,fr Ligue 1,25.0,11.3,1.0,0.0,0.0,21.0,35.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,30.0,37.0,34.0,52.1,CC,Rennes,fr Ligue 1,26.0,18.6,4.0,1.0,1.0,17.0,43.0,10.0,6.0,0.0,1.0,1.0,0.0,0.0,44.0,42.0,39.0,51.9
959,Péter Gulácsi,hu HUN,PO,RB Leipzig,de Bundesliga,27.0,1990.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,5.0,0.0,100.0,PO,RB Leipzig,de Bundesliga,28.0,32.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,7.0,0.0,100.0,PO,RB Leipzig,de Bundesliga,29.0,32.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,57.0,6.0,2.0,75.0,PO,RB Leipzig,de Bundesliga,30.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,73.0,3.0,0.0,100.0,PO,RB Leipzig,de Bundesliga,31.0,33.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0,6.0,0.0,100.0,PO,RB Leipzig,de Bundesliga,32.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
960,Manuel Gulde,de GER,DF,Freiburg,de Bundesliga,26.0,1991.0,17.0,1.0,0.0,0.0,6.0,8.0,0.0,5.0,14.0,10.0,0.0,1.0,0.0,49.0,40.0,23.0,63.5,DF,Freiburg,de Bundesliga,27.0,19.0,3.0,0.0,0.0,10.0,20.0,1.0,0.0,26.0,16.0,0.0,0.0,0.0,59.0,32.0,26.0,55.2,DF,Freiburg,de Bundesliga,28.0,15.2,0.0,0.0,0.0,7.0,12.0,2.0,11.0,22.0,16.0,0.0,0.0,0.0,63.0,42.0,37.0,53.2,DF,Freiburg,de Bundesliga,29.0,21.7,3.0,0.0,0.0,17.0,20.0,2.0,3.0,37.0,15.0,0.0,0.0,0.0,97.0,47.0,36.0,56.6,DF,Freiburg,de Bundesliga,30.0,13.6,2.0,0.0,0.0,17.0,9.0,0.0,3.0,17.0,10.0,0.0,0.0,0.0,60.0,25.0,15.0,62.5,DF,Freiburg,de Bundesliga,31.0,7.1,2.0,0.0,0.0,9.0,2.0,0.0,4.0,19.0,8.0,0.0,0.0,0.0,37.0,22.0,20.0,52.4
961,Gerard Gumbau,es ESP,CC,Leganés,es La Liga,22.0,1994.0,15.9,8.0,0.0,0.0,40.0,6.0,1.0,2.0,14.0,26.0,0.0,0.0,0.0,89.0,20.0,20.0,50.0,CC,Leganés,es La Liga,23.0,13.3,6.0,1.0,1.0,28.0,11.0,0.0,37.0,13.0,16.0,0.0,0.0,0.0,61.0,15.0,16.0,48.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC,Elche,es La Liga,26.0,21.0,8.0,1.0,0.0,50.0,22.0,0.0,93.0,23.0,19.0,0.0,0.0,0.0,104.0,15.0,22.0,40.5,CC,Elche,es La Liga,27.0,30.4,11.0,0.0,0.0,51.0,21.0,2.0,164.0,28.0,25.0,0.0,0.0,0.0,165.0,22.0,30.0,42.3
962,İlkay Gündoğan,de GER,CC,Manchester City,eng Premier League,26.0,1990.0,16.9,3.0,0.0,0.0,14.0,19.0,0.0,8.0,16.0,15.0,0.0,0.0,0.0,124.0,3.0,12.0,20.0,CC,Manchester City,eng Premier League,27.0,23.7,3.0,0.0,0.0,13.0,23.0,0.0,98.0,28.0,12.0,0.0,0.0,0.0,154.0,24.0,24.0,50.0,CC,Manchester City,eng Premier League,28.0,22.4,7.0,0.0,0.0,16.0,14.0,2.0,30.0,31.0,16.0,0.0,1.0,0.0,137.0,11.0,15.0,42.3,CC,Manchester City,eng Premier League,29.0,22.5,1.0,0.0,0.0,8.0,26.0,1.0,30.0,20.0,15.0,1.0,0.0,0.0,132.0,11.0,13.0,45.8,CC,Manchester City,eng Premier League,30.0,20.6,1.0,0.0,0.0,13.0,10.0,2.0,67.0,15.0,9.0,0.0,0.0,0.0,110.0,11.0,12.0,47.8,CC,Manchester City,eng Premier League,31.0,26.1,0.0,0.0,0.0,23.0,25.0,6.0,30.0,20.0,18.0,2.0,0.0,0.0,155.0,19.0,12.0,61.3
963,Christian Günter,de GER,"DF,CC",Freiburg,de Bundesliga,24.0,1993.0,34.0,2.0,0.0,0.0,24.0,28.0,0.0,177.0,20.0,54.0,1.0,0.0,0.0,108.0,10.0,26.0,27.8,"DF,CC",Freiburg,de Bundesliga,25.0,32.0,4.0,1.0,1.0,28.0,25.0,5.0,188.0,14.0,26.0,0.0,0.0,0.0,137.0,10.0,26.0,27.8,DF,Freiburg,de Bundesliga,26.0,33.7,2.0,0.0,0.0,20.0,23.0,3.0,274.0,14.0,11.0,1.0,0.0,0.0,141.0,10.0,32.0,23.8,"DF,CC",Freiburg,de Bundesliga,27.0,34.0,2.0,0.0,0.0,31.0,18.0,2.0,213.0,29.0,19.0,0.0,0.0,0.0,131.0,14.0,16.0,46.7,"DF,CC",Freiburg,de Bundesliga,28.0,34.0,2.0,0.0,0.0,37.0,14.0,4.0,211.0,17.0,20.0,1.0,0.0,0.0,184.0,11.0,22.0,33.3,"DF,CC",Freiburg,de Bundesliga,29.0,30.5,5.0,0.0,0.0,32.0,14.0,6.0,198.0,16.0,21.0,0.0,1.0,0.0,121.0,13.0,29.0,31.0
964,Jon Guridi,es ESP,CC,Real Sociedad,es La Liga,22.0,1995.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC,Real Sociedad,es La Liga,25.0,9.2,2.0,0.0,0.0,11.0,14.0,0.0,1.0,10.0,9.0,1.0,0.0,0.0,42.0,13.0,18.0,41.9,CC,Real Sociedad,es La Liga,26.0,2.3,0.0,0.0,0.0,4.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,9.0,1.0,12.0,7.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
965,Régis Gurtner,fr FRA,PO,Amiens,fr Ligue 1,30.0,1986.0,37.0,2.0,0.0,0.0,1.0,9.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,45.0,6.0,0.0,100.0,PO,Amiens,fr Ligue 1,31.0,38.0,4.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,55.0,6.0,0.0,100.0,PO,Amiens,fr Ligue 1,32.0,28.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,7.0,1.0,87.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
966,Samuel Gustafson,se SWE,"CC,DL",Torino,it Serie A,22.0,1995.0,0.9,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
967,Luiz Gustavo,br BRA,"CC,DF",Marseille,fr Ligue 1,30.0,1987.0,33.5,10.0,1.0,0.0,59.0,40.0,1.0,15.0,50.0,54.0,0.0,0.0,0.0,260.0,39.0,20.0,66.1,"CC,DF",Marseille,fr Ligue 1,31.0,27.1,8.0,0.0,0.0,37.0,40.0,2.0,7.0,34.0,43.0,0.0,2.0,0.0,159.0,16.0,22.0,42.1,CC,Marseille,fr Ligue 1,32.0,2.1,0.0,0.0,0.0,8.0,1.0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,9.0,2.0,2.0,50.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
968,Alejandro Gutiérrez Mozo,es ESP,CC,Leganés,es La Liga,22.0,1995.0,0.5,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
969,Jonathan de Guzmán,nl NED,CC,Eint Frankfurt,de Bundesliga,29.0,1987.0,12.1,2.0,0.0,0.0,16.0,12.0,0.0,73.0,13.0,16.0,0.0,0.0,0.0,72.0,11.0,12.0,47.8,CC,Eint Frankfurt,de Bundesliga,30.0,17.4,4.0,0.0,0.0,18.0,17.0,2.0,108.0,11.0,24.0,0.0,0.0,0.0,120.0,24.0,19.0,55.8,CC,Eint Frankfurt,de Bundesliga,31.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,10.0,3.0,2.0,60.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
970,Bright Gyamfi,gh GHA,DF,Benevento,it Serie A,21.0,1996.0,3.6,1.0,0.0,0.0,6.0,1.0,0.0,11.0,7.0,2.0,0.0,0.0,0.0,17.0,4.0,7.0,36.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
971,Nicolas Haas,ch SUI,CC,Atalanta,it Serie A,21.0,1996.0,1.9,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,18.0,0.0,2.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CC,Empoli,it Serie A,25.0,11.1,3.0,0.0,0.0,18.0,11.0,1.0,15.0,9.0,22.0,0.0,0.0,0.0,74.0,5.0,15.0,25.0,CC,Empoli,it Serie A,26.0,12.8,2.0,0.0,0.0,20.0,11.0,1.0,11.0,8.0,13.0,0.0,0.0,0.0,62.0,6.0,19.0,24.0
972,Janik Haberer,de GER,"CC,DL",Freiburg,de Bundesliga,23.0,1994.0,30.5,9.0,0.0,0.0,73.0,67.0,6.0,16.0,30.0,49.0,0.0,0.0,0.0,117.0,70.0,102.0,40.7,"CC,DL",Freiburg,de Bundesliga,24.0,26.0,5.0,1.0,1.0,46.0,47.0,3.0,19.0,36.0,47.0,0.0,0.0,0.0,197.0,52.0,55.0,48.6,"CC,DL",Freiburg,de Bundesliga,25.0,19.1,5.0,1.0,1.0,34.0,38.0,0.0,12.0,25.0,18.0,0.0,0.0,0.0,129.0,35.0,54.0,39.3,"CC,DL",Freiburg,de Bundesliga,26.0,5.4,0.0,0.0,0.0,16.0,6.0,1.0,7.0,7.0,4.0,0.0,2.0,0.0,48.0,6.0,15.0,28.6,CC,Freiburg,de Bundesliga,27.0,9.1,1.0,0.0,0.0,20.0,10.0,1.0,4.0,16.0,8.0,0.0,0.0,0.0,51.0,16.0,22.0,42.1,CC,Union Berlin,de Bundesliga,28.0,24.3,1.0,0.0,0.0,34.0,38.0,1.0,14.0,14.0,17.0,0.0,0.0,0.0,144.0,38.0,51.0,42.7
973,Hacen,mr MTN,"DL,CC",Levante,es La Liga,19.0,1997.0,0.9,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,66.7,CC,Valladolid,es La Liga,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
974,Alexander Hack,de GER,DF,Mainz 05,de Bundesliga,23.0,1993.0,14.3,2.0,0.0,0.0,10.0,19.0,1.0,4.0,26.0,34.0,0.0,0.0,0.0,60.0,65.0,28.0,69.9,DF,Mainz 05,de Bundesliga,24.0,11.3,1.0,0.0,0.0,13.0,8.0,0.0,2.0,41.0,13.0,0.0,1.0,0.0,80.0,44.0,30.0,59.5,DF,Mainz 05,de Bundesliga,25.0,8.9,2.0,0.0,0.0,12.0,12.0,0.0,2.0,23.0,10.0,0.0,1.0,0.0,46.0,37.0,28.0,56.9,DF,Mainz 05,de Bundesliga,26.0,15.2,2.0,0.0,0.0,14.0,13.0,0.0,4.0,41.0,21.0,0.0,1.0,0.0,106.0,46.0,30.0,60.5,DF,Mainz 05,de Bundesliga,27.0,23.0,6.0,1.0,0.0,28.0,34.0,2.0,5.0,51.0,26.0,0.0,1.0,0.0,172.0,67.0,47.0,58.8,DF,Mainz 05,de Bundesliga,28.0,12.6,2.0,1.0,0.0,25.0,12.0,1.0,2.0,24.0,18.0,0.0,2.0,0.0,87.0,33.0,32.0,50.8
