,Jugador,País2017-2018,Posc2017-2018,Equipo2017-2018,Comp2017-2018,Edad2017-2018,Nacimiento2017-2018,90 s2017-2018,Gls.2017-2018,Dis2017-2018,DaP2017-2018,% de TT2017-2018,T/902017-2018,TalArc/902017-2018,G/T2017-2018,G/TalArc2017-2018,Dist2017-2018,FK2017-2018,TP2017-2018,TPint2017-2018,xG2017-2018,npxG2017-2018,npxG/Sh2017-2018,G-xG2017-2018,np:G-xG2017-2018,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,90 s2018-2019,Gls.2018-2019,Dis2018-2019,DaP2018-2019,% de TT2018-2019,T/902018-2019,TalArc/902018-2019,G/T2018-2019,G/TalArc2018-2019,Dist2018-2019,FK2018-2019,TP2018-2019,TPint2018-2019,xG2018-2019,npxG2018-2019,npxG/Sh2018-2019,G-xG2018-2019,np:G-xG2018-2019,País2019-2020,Posc2019-2020,Equipo2019-2020,Comp2019-2020,Edad2019-2020,Nacimiento2019-2020,90 s2019-2020,Gls.2019-2020,Dis2019-2020,DaP2019-2020,% de TT2019-2020,T/902019-2020,TalArc/902019-2020,G/T2019-2020,G/TalArc2019-2020,Dist2019-2020,FK2019-2020,TP2019-2020,TPint2019-2020,xG2019-2020,npxG2019-2020,npxG/Sh2019-2020,G-xG2019-2020,np:G-xG2019-2020,País2020-2021,Posc2020-2021,Equipo2020-2021,Comp2020-2021,Edad2020-2021,Nacimiento2020-2021,90 s2020-2021,Gls.2020-2021,Dis2020-2021,DaP2020-2021,% de TT2020-2021,T/902020-2021,TalArc/902020-2021,G/T2020-2021,G/TalArc2020-2021,Dist2020-2021,FK2020-2021,TP2020-2021,TPint2020-2021,xG2020-2021,npxG2020-2021,npxG/Sh2020-2021,G-xG2020-2021,np:G-xG2020-2021,País2021-2022,Posc2021-2022,Equipo2021-2022,Comp2021-2022,Edad2021-2022,Nacimiento2021-2022,90 s2021-2022,Gls.2021-2022,Dis2021-2022,DaP2021-2022,% de TT2021-2022,T/902021-2022,TalArc/902021-2022,G/T2021-2022,G/TalArc2021-2022,Dist2021-2022,FK2021-2022,TP2021-2022,TPint2021-2022,xG2021-2022,npxG2021-2022,npxG/Sh2021-2022,G-xG2021-2022,np:G-xG2021-2022,País2022-2023,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,Nacimiento2022-2023,90 s2022-2023,Gls.2022-2023,Dis2022-2023,DaP2022-2023,% de TT2022-2023,T/902022-2023,TalArc/902022-2023,G/T2022-2023,G/TalArc2022-2023,Dist2022-2023,FK2022-2023,TP2022-2023,TPint2022-2023,xG2022-2023,npxG2022-2023,npxG/Sh2022-2023,G-xG2022-2023,np:G-xG2022-2023
1321,Danny Latza,de GER,CC,Mainz 05,de Bundesliga,27.0,1989.0,26.1,2.0,40.0,9.0,22.5,1.53,0.34,0.05,0.22,23.3,0.0,0.0,0.0,1.7,1.7,0.04,0.3,0.3,de GER,CC,Mainz 05,de Bundesliga,28.0,1989.0,20.7,0.0,39.0,7.0,17.9,1.88,0.34,0.0,0.0,21.6,1.0,0.0,0.0,2.9,2.9,0.08,-2.9,-2.9,de GER,CC,Mainz 05,de Bundesliga,29.0,1989.0,15.3,0.0,17.0,3.0,17.6,1.11,0.2,0.0,0.0,20.5,0.0,0.0,0.0,1.1,1.1,0.07,-1.1,-1.1,de GER,CC,Mainz 05,de Bundesliga,30.0,1989.0,20.0,0.0,22.0,10.0,45.5,1.1,0.5,0.0,0.0,18.1,0.0,0.0,0.0,2.1,2.1,0.1,-2.1,-2.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,de GER,CC,Schalke 04,de Bundesliga,32.0,1989.0,9.5,0.0,16.0,2.0,12.5,1.69,0.21,0.0,0.0,19.0,1.0,0.0,0.0,0.9,0.9,0.06,-0.9,-0.9
1322,Vincent Laurini,fr FRA,DF,Fiorentina,it Serie A,28.0,1989.0,17.9,0.0,1.0,0.0,0.0,0.06,0.0,0.0,0.0,26.7,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,fr FRA,DF,Fiorentina,it Serie A,29.0,1989.0,10.2,0.0,2.0,1.0,50.0,0.2,0.1,0.0,0.0,19.6,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,fr FRA,DF,Parma,it Serie A,30.0,1989.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fr FRA,DF,Parma,it Serie A,31.0,1989.0,9.7,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,32.4,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1323,Wesley Lautoa,nc NCL,"DF,CC",Dijon,fr Ligue 1,29.0,1987.0,6.9,0.0,1.0,0.0,0.0,0.14,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.1,0.1,0.09,-0.1,-0.1,nc NCL,"DF,CC",Dijon,fr Ligue 1,30.0,1987.0,33.6,0.0,14.0,2.0,14.3,0.42,0.06,0.0,0.0,16.7,0.0,0.0,0.0,0.8,0.8,0.06,-0.8,-0.8,nc NCL,"CC,DF",Dijon,fr Ligue 1,31.0,1987.0,20.8,0.0,9.0,0.0,0.0,0.43,0.0,0.0,0.0,18.2,0.0,0.0,0.0,0.6,0.6,0.07,-0.6,-0.6,nc NCL,"CC,DF",Dijon,fr Ligue 1,32.0,1987.0,17.9,0.0,9.0,3.0,33.3,0.5,0.17,0.0,0.0,25.4,0.0,0.0,0.0,0.6,0.6,0.07,-0.6,-0.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1324,Diego Laxalt,uy URU,DF,Genoa,it Serie A,24.0,1993.0,31.2,3.0,31.0,6.0,19.4,0.99,0.19,0.1,0.5,18.2,0.0,0.0,0.0,1.5,1.5,0.05,1.5,1.5,uy URU,"DF,CC",Milan,it Serie A,25.0,1993.0,7.2,0.0,6.0,3.0,50.0,0.83,0.41,0.0,0.0,8.8,0.0,0.0,0.0,1.2,1.2,0.25,-1.2,-1.2,uy URU,"DF,CC",Torino,it Serie A,26.0,1993.0,8.5,0.0,6.0,2.0,120.0,1.28,0.67,0.0,0.0,41.7,0.0,0.0,0.0,0.4,0.4,0.11,-0.4,-0.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1325,Miguel Layún,mx MEX,DF,Sevilla,es La Liga,29.0,1988.0,13.2,2.0,22.0,5.0,22.7,1.67,0.38,0.09,0.4,23.9,2.0,0.0,0.0,0.8,0.8,0.04,1.2,1.2,mx MEX,"CC,DF",Villarreal,es La Liga,30.0,1988.0,5.6,0.0,12.0,2.0,16.7,2.13,0.36,0.0,0.0,24.3,2.0,0.0,0.0,0.5,0.4,0.03,-0.5,-0.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1326,Achraf Lazaar,ma MAR,"CC,DF",Benevento,it Serie A,25.0,1992.0,5.3,1.0,7.0,4.0,57.1,1.32,0.75,0.14,0.25,20.1,0.0,0.0,0.0,0.3,0.3,0.04,0.7,0.7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1327,Valentino Lazaro,at AUT,"CC,DL",Hertha BSC,de Bundesliga,21.0,1996.0,20.7,2.0,17.0,11.0,64.7,0.82,0.53,0.12,0.18,18.6,2.0,0.0,0.0,2.2,2.2,0.13,-0.2,-0.2,at AUT,"DF,DL",Hertha BSC,de Bundesliga,22.0,1996.0,30.5,3.0,20.0,8.0,40.0,0.66,0.26,0.15,0.38,18.3,3.0,0.0,0.0,2.1,2.1,0.11,0.9,0.9,at AUT,"DF,CC",Newcastle Utd,eng Premier League,23.0,1996.0,8.9,1.0,7.0,1.0,25.0,1.59,0.19,0.25,1.0,43.6,0.0,0.0,0.0,0.5,0.5,0.13,0.5,0.5,at AUT,"DF,DL",M'Gladbach,de Bundesliga,24.0,1996.0,13.8,2.0,15.0,4.0,26.7,1.09,0.29,0.13,0.5,16.4,0.0,0.0,0.0,2.3,2.3,0.15,-0.3,-0.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,at AUT,DF,Torino,it Serie A,26.0,1996.0,15.3,0.0,7.0,2.0,28.6,0.46,0.13,0.0,0.0,14.0,0.0,0.0,0.0,0.4,0.4,0.06,-0.4,-0.4
1328,Darko Lazović,rs SRB,"DF,CC",Genoa,it Serie A,26.0,1990.0,13.8,0.0,9.0,2.0,22.2,0.65,0.14,0.0,0.0,16.4,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,rs SRB,"DF,DL",Genoa,it Serie A,27.0,1990.0,28.2,3.0,38.0,9.0,23.7,1.35,0.32,0.08,0.33,19.8,3.0,0.0,0.0,2.2,2.2,0.06,0.8,0.8,rs SRB,DF,Hellas Verona,it Serie A,28.0,1990.0,36.0,3.0,36.0,17.0,47.2,1.0,0.47,0.08,0.18,17.4,1.0,0.0,0.0,2.3,2.3,0.06,0.7,0.7,rs SRB,"DF,CC",Hellas Verona,it Serie A,29.0,1990.0,27.8,3.0,32.0,11.0,34.4,1.15,0.4,0.09,0.27,17.8,2.0,0.0,0.0,3.4,3.4,0.11,-0.4,-0.4,rs SRB,DF,Hellas Verona,it Serie A,30.0,1990.0,30.7,1.0,46.0,10.0,21.7,1.5,0.33,0.02,0.1,17.9,1.0,0.0,0.0,2.9,2.9,0.06,-1.9,-1.9,rs SRB,"CC,DF",Hellas Verona,it Serie A,31.0,1990.0,24.9,4.0,43.0,14.0,32.6,1.73,0.56,0.09,0.29,18.8,4.0,0.0,0.0,3.6,3.6,0.08,0.4,0.4
1329,Manuel Lazzari,it ITA,DF,SPAL,it Serie A,23.0,1993.0,34.6,2.0,23.0,5.0,21.7,0.66,0.14,0.09,0.4,22.5,0.0,0.0,0.0,1.2,1.2,0.05,0.8,0.8,it ITA,DF,SPAL,it Serie A,24.0,1993.0,31.5,0.0,34.0,5.0,14.7,1.08,0.16,0.0,0.0,20.2,0.0,0.0,0.0,1.4,1.4,0.04,-1.4,-1.4,it ITA,DF,Lazio,it Serie A,25.0,1993.0,28.3,0.0,15.0,9.0,60.0,0.53,0.32,0.0,0.0,17.1,0.0,0.0,0.0,1.3,1.3,0.09,-1.3,-1.3,it ITA,DF,Lazio,it Serie A,26.0,1993.0,29.0,2.0,24.0,6.0,25.0,0.83,0.21,0.08,0.33,19.3,0.0,0.0,0.0,2.1,2.1,0.09,-0.1,-0.1,it ITA,DF,Lazio,it Serie A,27.0,1993.0,18.5,3.0,12.0,6.0,50.0,0.65,0.32,0.25,0.5,21.2,0.0,0.0,0.0,0.8,0.8,0.06,2.2,2.2,it ITA,DF,Lazio,it Serie A,28.0,1993.0,20.9,0.0,6.0,2.0,33.3,0.29,0.1,0.0,0.0,17.7,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3
1330,Mickaël Le Bihan,fr FRA,"DL,CC",Nice,fr Ligue 1,27.0,1990.0,1.2,0.0,1.0,0.0,0.0,0.84,0.0,0.0,0.0,8.9,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,fr FRA,DL,Nice,fr Ligue 1,28.0,1990.0,2.3,1.0,4.0,2.0,50.0,1.76,0.88,0.0,0.0,18.9,0.0,1.0,1.0,1.3,0.5,0.12,-0.3,-0.5,fr FRA,"DL,DF",Nice,fr Ligue 1,29.0,1990.0,1.1,0.0,2.0,0.0,0.0,1.8,0.0,0.0,0.0,13.4,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1331,Maxime Le Marchand,fr FRA,DF,Nice,fr Ligue 1,27.0,1989.0,28.2,0.0,12.0,0.0,0.0,0.43,0.0,0.0,0.0,22.6,1.0,0.0,0.0,0.7,0.7,0.06,-0.7,-0.7,fr FRA,DF,Fulham,eng Premier League,28.0,1989.0,25.0,0.0,5.0,0.0,0.0,0.2,0.0,0.0,0.0,13.2,0.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fr FRA,DF,Fulham,eng Premier League,30.0,1989.0,1.4,0.0,1.0,0.0,0.0,0.73,0.0,0.0,0.0,34.1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,fr FRA,DF,Strasbourg,fr Ligue 1,31.0,1989.0,9.6,1.0,3.0,2.0,66.7,0.31,0.21,0.33,0.5,12.6,0.0,0.0,0.0,0.3,0.3,0.11,0.7,0.7,fr FRA,DF,Strasbourg,fr Ligue 1,32.0,1989.0,22.4,0.0,8.0,0.0,0.0,0.36,0.0,0.0,0.0,19.1,0.0,0.0,0.0,0.6,0.6,0.08,-0.6,-0.6
1332,James Lea Siliki,cm CMR,CC,Rennes,fr Ligue 1,21.0,1996.0,20.2,3.0,34.0,9.0,26.5,1.68,0.45,0.09,0.33,23.4,3.0,0.0,0.0,2.6,2.6,0.08,0.4,0.4,cm CMR,"CC,DL",Rennes,fr Ligue 1,22.0,1996.0,13.6,0.0,21.0,4.0,19.0,1.55,0.3,0.0,0.0,23.2,1.0,0.0,0.0,1.5,1.5,0.07,-1.5,-1.5,cm CMR,CC,Rennes,fr Ligue 1,23.0,1996.0,12.0,0.0,15.0,3.0,20.0,1.25,0.25,0.0,0.0,21.9,1.0,0.0,0.0,0.9,0.9,0.06,-0.9,-0.9,cm CMR,CC,Rennes,fr Ligue 1,24.0,1996.0,2.8,0.0,6.0,1.0,16.7,2.12,0.35,0.0,0.0,23.3,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1333,Mathew Leckie,au AUS,"DL,CC",Hertha BSC,de Bundesliga,26.0,1991.0,20.6,5.0,23.0,8.0,34.8,1.12,0.39,0.22,0.63,15.7,0.0,0.0,0.0,2.0,2.0,0.09,3.0,3.0,au AUS,"DL,CC",Hertha BSC,de Bundesliga,27.0,1991.0,10.5,2.0,22.0,9.0,40.9,2.1,0.86,0.09,0.22,12.9,0.0,0.0,0.0,2.7,2.7,0.12,-0.7,-0.7,au AUS,"DF,DL",Hertha BSC,de Bundesliga,28.0,1991.0,2.2,0.0,2.0,0.0,0.0,0.92,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,au AUS,"DL,DF",Hertha BSC,de Bundesliga,29.0,1991.0,5.6,0.0,2.0,1.0,50.0,0.36,0.18,0.0,0.0,12.2,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1334,Benjamin Lecomte,fr FRA,PO,Montpellier,fr Ligue 1,26.0,1991.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fr FRA,PO,Montpellier,fr Ligue 1,27.0,1991.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fr FRA,PO,Monaco,fr Ligue 1,28.0,1991.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fr FRA,PO,Monaco,fr Ligue 1,29.0,1991.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fr FRA,PO,Espanyol,es La Liga,31.0,1991.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1335,Pierre Lees-Melou,fr FRA,"CC,DL",Nice,fr Ligue 1,24.0,1993.0,32.1,5.0,48.0,20.0,41.7,1.49,0.62,0.08,0.2,20.6,0.0,1.0,1.0,4.4,3.6,0.07,0.6,0.4,fr FRA,CC,Nice,fr Ligue 1,25.0,1993.0,26.6,2.0,39.0,11.0,28.2,1.47,0.41,0.05,0.18,19.8,0.0,0.0,0.0,3.3,3.3,0.08,-1.3,-1.3,fr FRA,CC,Nice,fr Ligue 1,26.0,1993.0,25.0,5.0,54.0,21.0,38.9,2.16,0.84,0.09,0.24,21.4,0.0,0.0,0.0,4.2,4.2,0.08,0.8,0.8,fr FRA,CC,Nice,fr Ligue 1,27.0,1993.0,22.9,4.0,42.0,12.0,28.6,1.83,0.52,0.07,0.25,21.8,0.0,1.0,1.0,4.7,3.9,0.1,-0.7,-0.9,fr FRA,CC,Norwich City,eng Premier League,28.0,1993.0,25.2,1.0,33.0,9.0,27.3,1.31,0.36,0.03,0.11,24.5,0.0,0.0,0.0,1.6,1.6,0.05,-0.6,-0.6,fr FRA,CC,Brest,fr Ligue 1,29.0,1993.0,30.7,5.0,43.0,13.0,30.2,1.4,0.42,0.12,0.38,23.8,2.0,0.0,0.0,2.1,2.1,0.05,2.9,2.9
1336,Matthias Lehmann,de GER,CC,Köln,de Bundesliga,34.0,1983.0,16.8,0.0,12.0,3.0,25.0,0.71,0.18,0.0,0.0,31.2,1.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1337,Lucas Leiva,br BRA,CC,Lazio,it Serie A,30.0,1987.0,32.0,2.0,27.0,9.0,33.3,0.84,0.28,0.07,0.22,16.0,0.0,0.0,0.0,2.7,2.7,0.1,-0.7,-0.7,br BRA,CC,Lazio,it Serie A,31.0,1987.0,22.1,0.0,15.0,1.0,6.7,0.68,0.05,0.0,0.0,22.1,1.0,0.0,0.0,0.6,0.6,0.04,-0.6,-0.6,br BRA,CC,Lazio,it Serie A,32.0,1987.0,20.1,0.0,10.0,3.0,30.0,0.5,0.15,0.0,0.0,21.4,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,br BRA,CC,Lazio,it Serie A,33.0,1987.0,23.7,0.0,12.0,3.0,25.0,0.51,0.13,0.0,0.0,24.8,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,br BRA,CC,Lazio,it Serie A,34.0,1987.0,18.9,0.0,3.0,0.0,0.0,0.16,0.0,0.0,0.0,23.8,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1338,Florian Lejeune,fr FRA,DF,Newcastle Utd,eng Premier League,26.0,1991.0,23.4,0.0,13.0,2.0,15.4,0.56,0.09,0.0,0.0,21.0,2.0,0.0,0.0,0.6,0.6,0.05,-0.6,-0.6,fr FRA,DF,Newcastle Utd,eng Premier League,27.0,1991.0,11.7,0.0,7.0,2.0,28.6,0.6,0.17,0.0,0.0,15.9,0.0,0.0,0.0,0.4,0.4,0.06,-0.4,-0.4,fr FRA,DF,Newcastle Utd,eng Premier League,28.0,1991.0,4.9,2.0,4.0,3.0,75.0,0.81,0.61,0.5,0.67,14.4,0.0,0.0,0.0,1.2,1.2,0.3,0.8,0.8,fr FRA,DF,Alavés,es La Liga,29.0,1991.0,33.5,1.0,23.0,6.0,26.1,0.69,0.18,0.04,0.17,18.6,5.0,0.0,0.0,2.4,2.4,0.13,-1.4,-1.4,fr FRA,DF,Alavés,es La Liga,30.0,1991.0,30.0,0.0,22.0,2.0,9.1,0.73,0.07,0.0,0.0,20.9,6.0,0.0,0.0,1.5,1.5,0.07,-1.5,-1.5,fr FRA,DF,Rayo Vallecano,es La Liga,31.0,1991.0,28.5,4.0,41.0,14.0,34.1,1.44,0.49,0.1,0.29,28.0,18.0,0.0,0.0,2.8,2.8,0.07,1.2,1.2
1339,Iñigo Lekue,es ESP,"DF,DL",Athletic Club,es La Liga,24.0,1993.0,23.5,0.0,18.0,5.0,27.8,0.77,0.21,0.0,0.0,26.7,0.0,0.0,0.0,0.5,0.5,0.03,-0.5,-0.5,es ESP,DF,Athletic Club,es La Liga,25.0,1993.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,es ESP,"DL,DF",Athletic Club,es La Liga,26.0,1993.0,6.9,0.0,3.0,0.0,0.0,0.43,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,es ESP,DF,Athletic Club,es La Liga,27.0,1993.0,7.2,0.0,2.0,1.0,50.0,0.28,0.14,0.0,0.0,25.9,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,es ESP,DF,Athletic Club,es La Liga,28.0,1993.0,21.4,0.0,7.0,1.0,14.3,0.33,0.05,0.0,0.0,25.7,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1,es ESP,DF,Athletic Club,es La Liga,29.0,1993.0,14.7,0.0,9.0,1.0,11.1,0.61,0.07,0.0,0.0,26.7,0.0,0.0,0.0,0.2,0.2,0.02,-0.2,-0.2
1340,Thomas Lemar,fr FRA,"CC,DL",Monaco,fr Ligue 1,21.0,1995.0,26.4,2.0,47.0,11.0,23.4,1.78,0.42,0.04,0.18,23.4,18.0,0.0,0.0,3.7,3.7,0.08,-1.7,-1.7,fr FRA,CC,Atlético Madrid,es La Liga,22.0,1995.0,20.2,3.0,26.0,12.0,46.2,1.29,0.59,0.12,0.25,20.9,1.0,0.0,0.0,3.0,3.0,0.12,0.0,0.0,fr FRA,CC,Atlético Madrid,es La Liga,23.0,1995.0,10.3,0.0,11.0,3.0,27.3,1.07,0.29,0.0,0.0,23.8,3.0,0.0,0.0,0.5,0.5,0.04,-0.5,-0.5,fr FRA,CC,Atlético Madrid,es La Liga,24.0,1995.0,15.2,1.0,23.0,10.0,43.5,1.52,0.66,0.04,0.1,21.9,2.0,0.0,0.0,1.6,1.6,0.07,-0.6,-0.6,fr FRA,CC,Atlético Madrid,es La Liga,25.0,1995.0,16.0,4.0,29.0,8.0,27.6,1.81,0.5,0.14,0.5,18.6,1.0,0.0,0.0,3.4,3.4,0.12,0.6,0.6,fr FRA,CC,Atlético Madrid,es La Liga,26.0,1995.0,13.9,1.0,13.0,6.0,46.2,0.93,0.43,0.08,0.17,21.1,0.0,0.0,0.0,0.9,0.9,0.07,0.1,0.1
