,Jugador,País2017-2018,Posc2017-2018,Equipo2017-2018,Comp2017-2018,Edad2017-2018,Nacimiento2017-2018,90 s2017-2018,Int.2017-2018,Balón vivo2017-2018,Balón muerto2017-2018,FK2017-2018,PL2017-2018,Camb.2017-2018,Pcz2017-2018,Lanz.2017-2018,SE2017-2018,Dentro2017-2018,Fuera2017-2018,Rect.2017-2018,Cmp2017-2018,PA2017-2018,Bloqueos2017-2018,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,90 s2018-2019,Int.2018-2019,Balón vivo2018-2019,Balón muerto2018-2019,FK2018-2019,PL2018-2019,Camb.2018-2019,Pcz2018-2019,Lanz.2018-2019,SE2018-2019,Dentro2018-2019,Fuera2018-2019,Rect.2018-2019,Cmp2018-2019,PA2018-2019,Bloqueos2018-2019,Posc2019-2020,Equipo2019-2020,Comp2019-2020,Edad2019-2020,90 s2019-2020,Int.2019-2020,Balón vivo2019-2020,Balón muerto2019-2020,FK2019-2020,PL2019-2020,Camb.2019-2020,Pcz2019-2020,Lanz.2019-2020,SE2019-2020,Dentro2019-2020,Fuera2019-2020,Rect.2019-2020,Cmp2019-2020,PA2019-2020,Bloqueos2019-2020,Posc2020-2021,Equipo2020-2021,Comp2020-2021,Edad2020-2021,90 s2020-2021,Int.2020-2021,Balón vivo2020-2021,Balón muerto2020-2021,FK2020-2021,PL2020-2021,Camb.2020-2021,Pcz2020-2021,Lanz.2020-2021,SE2020-2021,Dentro2020-2021,Fuera2020-2021,Rect.2020-2021,Cmp2020-2021,PA2020-2021,Bloqueos2020-2021,Posc2021-2022,Equipo2021-2022,Comp2021-2022,Edad2021-2022,90 s2021-2022,Int.2021-2022,Balón vivo2021-2022,Balón muerto2021-2022,FK2021-2022,PL2021-2022,Camb.2021-2022,Pcz2021-2022,Lanz.2021-2022,SE2021-2022,Dentro2021-2022,Fuera2021-2022,Rect.2021-2022,Cmp2021-2022,PA2021-2022,Bloqueos2021-2022,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,90 s2022-2023,Int.2022-2023,Balón vivo2022-2023,Balón muerto2022-2023,FK2022-2023,PL2022-2023,Camb.2022-2023,Pcz2022-2023,Lanz.2022-2023,SE2022-2023,Dentro2022-2023,Fuera2022-2023,Rect.2022-2023,Cmp2022-2023,PA2022-2023,Bloqueos2022-2023
1197,Wilfried Kanga,ci CIV,"DL,CC",Angers,fr Ligue 1,19.0,1998.0,1.9,34.0,30.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,1.0,DL,Angers,fr Ligue 1,20.0,5.5,91.0,86.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,5.0,DL,Angers,fr Ligue 1,21.0,0.8,21.0,19.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,DL,Angers,fr Ligue 1,22.0,1.5,20.0,16.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DL,Hertha BSC,de Bundesliga,24.0,15.7,251.0,239.0,11.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,154.0,1.0,5.0
1198,Mamadou Kanouté,sn SEN,"DL,CC",Benevento,it Serie A,23.0,1993.0,0.4,19.0,16.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1199,N'Golo Kanté,fr FRA,CC,Chelsea,eng Premier League,26.0,1991.0,33.3,2174.0,2143.0,23.0,20.0,8.0,20.0,13.0,3.0,0.0,0.0,0.0,0.0,1924.0,8.0,43.0,CC,Chelsea,eng Premier League,27.0,34.4,2056.0,2032.0,15.0,9.0,4.0,7.0,19.0,6.0,0.0,0.0,0.0,0.0,1789.0,9.0,54.0,CC,Chelsea,eng Premier League,28.0,19.2,1166.0,1158.0,3.0,2.0,0.0,9.0,26.0,1.0,0.0,0.0,0.0,0.0,975.0,5.0,30.0,CC,Chelsea,eng Premier League,29.0,23.8,1542.0,1524.0,15.0,13.0,0.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,1325.0,3.0,26.0,CC,Chelsea,eng Premier League,30.0,19.7,1308.0,1301.0,2.0,2.0,8.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,1121.0,5.0,25.0,CC,Chelsea,eng Premier League,31.0,5.8,338.0,336.0,0.0,0.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,271.0,2.0,12.0
1200,Bartosz Kapustka,pl POL,"DL,CC",Freiburg,de Bundesliga,20.0,1996.0,2.6,74.0,74.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,9.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1201,Kenan Karaman,tr TUR,"CC,DL",Hannover 96,de Bundesliga,23.0,1994.0,9.5,269.0,266.0,1.0,0.0,0.0,1.0,13.0,0.0,1.0,0.0,1.0,0.0,197.0,2.0,10.0,"DL,CC",Düsseldorf,de Bundesliga,24.0,10.2,283.0,270.0,11.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,197.0,2.0,16.0,"DL,CC",Düsseldorf,de Bundesliga,25.0,15.0,339.0,324.0,15.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0,215.0,0.0,9.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DL,Schalke 04,de Bundesliga,28.0,10.8,209.0,207.0,1.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,129.0,1.0,10.0
1202,Yann Karamoh,fr FRA,"DL,CC",Inter,it Serie A,19.0,1998.0,5.4,251.0,236.0,15.0,1.0,1.0,1.0,31.0,11.0,3.0,0.0,0.0,0.0,194.0,0.0,8.0,"DL,CC",Inter,it Serie A,20.0,13.7,542.0,487.0,52.0,15.0,7.0,4.0,70.0,8.0,26.0,10.0,11.0,1.0,384.0,3.0,26.0,"DL,CC",Parma,it Serie A,21.0,6.4,146.0,144.0,2.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,4.0,"DL,CC",Parma,it Serie A,22.0,14.4,364.0,355.0,4.0,0.0,2.0,3.0,21.0,3.0,1.0,0.0,0.0,0.0,275.0,5.0,16.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"CC,DL",Torino,it Serie A,24.0,8.0,216.0,208.0,7.0,1.0,2.0,3.0,15.0,1.0,0.0,0.0,0.0,0.0,163.0,1.0,13.0
1203,Loris Karius,de GER,PO,Liverpool,eng Premier League,24.0,1993.0,19.0,630.0,487.0,140.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,3.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PO,Union Berlin,de Bundesliga,27.0,3.2,96.0,64.0,30.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,2.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1204,Orestis Karnezis,gr GRE,PO,Watford,eng Premier League,32.0,1985.0,14.4,404.0,237.0,167.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,PO,Napoli,it Serie A,33.0,9.0,245.0,166.0,79.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1205,Rick Karsdorp,nl NED,DF,Roma,it Serie A,22.0,1995.0,0.9,63.0,51.0,11.0,1.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,48.0,1.0,2.0,DF,Roma,it Serie A,23.0,6.6,414.0,338.0,74.0,3.0,4.0,1.0,24.0,71.0,0.0,0.0,0.0,0.0,317.0,2.0,11.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,Roma,it Serie A,25.0,28.3,1298.0,1106.0,190.0,11.0,2.0,4.0,55.0,179.0,0.0,0.0,0.0,0.0,1070.0,2.0,29.0,"DF,DL",Roma,it Serie A,26.0,32.0,1819.0,1526.0,281.0,15.0,3.0,11.0,103.0,266.0,0.0,0.0,0.0,0.0,1466.0,12.0,33.0,DF,Roma,it Serie A,27.0,7.9,380.0,306.0,73.0,4.0,3.0,1.0,14.0,69.0,0.0,0.0,0.0,0.0,295.0,1.0,8.0
1206,Aleksandar Katai,rs SRB,"CC,DF",Alavés,es La Liga,26.0,1991.0,0.6,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1207,Florian Kath,de GER,"DL,CC",Freiburg,de Bundesliga,22.0,1994.0,7.5,209.0,204.0,4.0,0.0,0.0,3.0,11.0,4.0,0.0,0.0,0.0,0.0,135.0,1.0,13.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1208,Ole Käuper,de GER,CC,Werder Bremen,de Bundesliga,20.0,1997.0,0.8,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1209,Eiji Kawashima,jp JPN,PO,Metz,fr Ligue 1,34.0,1983.0,28.5,893.0,531.0,361.0,124.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,503.0,1.0,2.0,PO,Strasbourg,fr Ligue 1,35.0,1.0,40.0,22.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PO,Strasbourg,fr Ligue 1,37.0,24.0,712.0,458.0,254.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0,0.0,2.0,PO,Strasbourg,fr Ligue 1,38.0,1.0,30.0,21.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
