RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,1,3,1,33.3,0.13,0.04,0.33,1.0,24.1,0.0,0,0,0.8,0.8,0.26,0.2,0.2
23,Lucien Agoume,fr FRA,CC,Inter,it Serie A,17,2002,0.8,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
24,Kevin Agudelo,co COL,"CC,DL",Fiorentina,it Serie A,20,1998,0.7,0,4,0,0.0,5.63,0.0,0.0,,22.6,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2
25,Kevin Agudelo,co COL,"CC,DL",Genoa,it Serie A,20,1998,7.4,1,10,2,20.0,1.35,0.27,0.1,0.5,17.4,0.0,0,0,1.2,1.2,0.12,-0.2,-0.2
26,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,1,4,1,25.0,0.38,0.09,0.25,1.0,22.0,1.0,0,0,0.3,0.3,0.08,0.7,0.7
27,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,31,1988,16.1,16,73,24,32.9,4.52,1.49,0.19,0.58,13.7,0.0,2,3,14.5,12.1,0.17,1.5,1.9
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,0,6,2,33.3,0.5,0.17,0.0,0.0,22.6,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
29,Emmanuel Agyemang-Badu,gh GHA,CC,Hellas Verona,it Serie A,28,1990,2.6,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
30,Jean-Eudes Aholou,ci CIV,CC,Saint-Étienne,fr Ligue 1,25,1994,7.0,1,10,4,40.0,1.43,0.57,0.1,0.25,17.7,0.0,0,0,0.7,0.7,0.07,0.3,0.3
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,0,10,1,10.0,0.36,0.04,0.0,0.0,11.1,0.0,0,0,1.0,1.0,0.1,-1.0,-1.0
32,Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,0,12,2,16.7,0.52,0.09,0.0,0.0,24.0,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4
33,Youssef Aït Bennasser,ma MAR,CC,Bordeaux,fr Ligue 1,23,1996,6.0,0,2,0,0.0,0.34,0.0,0.0,,30.5,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
34,Rayan Aït Nouri,dz ALG,DF,Angers,fr Ligue 1,18,2001,14.2,0,4,0,0.0,0.28,0.0,0.0,,17.9,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2
35,Albian Ajeti,ch SUI,DL,West Ham,eng Premier League,22,1997,1.5,0,3,0,0.0,1.94,0.0,0.0,,15.7,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2
36,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,25,1994,22.9,8,49,21,42.9,2.14,0.92,0.14,0.33,13.4,0.0,1,1,7.2,6.4,0.13,0.8,0.6
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,0,8,2,25.0,0.31,0.08,0.0,0.0,21.2,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4
38,Marley Aké,fr FRA,"DL,CC",Marseille,fr Ligue 1,18,2001,1.1,0,3,0,0.0,2.73,0.0,0.0,,24.3,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,2,25,7,28.0,0.9,0.25,0.08,0.29,10.3,0.0,0,0,3.0,3.0,0.12,-1.0,-1.0
40,Chadrac Akolo,cd COD,"DL,CC",Amiens,fr Ligue 1,24,1995,6.0,2,9,4,44.4,1.49,0.66,0.22,0.5,19.1,0.0,0,0,1.1,1.1,0.13,0.9,0.9
41,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,0,2,0,0.0,0.16,0.0,0.0,,19.5,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
42,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,1,19,7,36.8,0.68,0.25,0.05,0.14,25.7,6.0,0,0,1.0,1.0,0.05,0.0,0.0
43,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,21,1998,15.6,0,9,4,44.4,0.58,0.26,0.0,0.0,21.8,0.0,0,0,0.9,0.9,0.1,-0.9,-0.9
44,Lucas Alario,ar ARG,DL,Leverkusen,de Bundesliga,26,1992,13.0,7,49,18,36.7,3.76,1.38,0.12,0.33,12.7,0.0,1,1,7.3,6.5,0.13,-0.3,-0.5
45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,2,7,3,42.9,0.29,0.12,0.29,0.67,16.4,0.0,0,0,1.4,1.4,0.2,0.6,0.6
46,Luis Alberto,es ESP,CC,Lazio,it Serie A,26,1992,34.6,6,97,27,27.8,2.8,0.78,0.05,0.19,21.6,11.0,1,1,6.6,5.8,0.06,-0.6,-0.8
47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,1,15,4,26.7,0.42,0.11,0.07,0.25,10.8,0.0,0,0,2.3,2.3,0.15,-1.3,-1.3
48,Marc Albrighton,eng ENG,"CC,DF",Leicester City,eng Premier League,29,1989,9.6,0,10,2,20.0,1.04,0.21,0.0,0.0,20.7,0.0,0,0,0.4,0.4,0.04,-0.4,-0.4
49,Paco Alcácer,es ESP,DL,Villarreal,es La Liga,25,1993,10.3,4,26,7,26.9,2.53,0.68,0.15,0.57,16.4,1.0,0,0,3.7,3.7,0.14,0.3,0.3
50,Paco Alcácer,es ESP,DL,Dortmund,de Bundesliga,25,1993,5.9,5,16,7,43.8,2.72,1.19,0.31,0.71,13.1,0.0,0,0,3.9,3.9,0.25,1.1,1.1
51,Thiago Alcántara,es ESP,CC,Bayern Munich,de Bundesliga,28,1991,19.7,3,18,8,44.4,0.91,0.41,0.17,0.38,17.7,0.0,0,0,2.4,2.4,0.14,0.6,0.6
52,Rubén Alcaraz,es ESP,CC,Valladolid,es La Liga,28,1991,21.4,2,33,8,24.2,1.54,0.37,0.06,0.25,25.9,9.0,0,0,1.9,1.9,0.06,0.1,0.1
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,2,16,4,25.0,0.49,0.12,0.13,0.5,12.6,0.0,0,0,0.7,0.7,0.05,1.3,1.3
54,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,1,2,1,50.0,0.09,0.05,0.5,1.0,12.6,0.0,0,0,0.4,0.4,0.18,0.6,0.6
55,Álex Alegría,es ESP,DL,Mallorca,es La Liga,26,1992,1.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
56,Carles Aleñá,es ESP,CC,Barcelona,es La Liga,21,1998,1.9,0,1,1,100.0,0.52,0.52,0.0,0.0,17.6,0.0,0,0,0.1,0.1,0.08,-0.1,-0.1
57,Carles Aleñá,es ESP,"CC,DL",Betis,es La Liga,21,1998,8.2,1,12,4,33.3,1.47,0.49,0.08,0.25,21.5,0.0,0,0,1.4,1.4,0.12,-0.4,-0.4
58,Rúnar Alex Rúnarsson,is ISL,PO,Dijon,fr Ligue 1,24,1995,10.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
59,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,4,44,13,29.5,1.25,0.37,0.09,0.31,22.6,13.0,0,0,2.8,2.8,0.06,1.2,1.2
60,Enrico Alfonso,it ITA,PO,Brescia,it Serie A,31,1988,3.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
61,Rachid Alioui,ma MAR,DL,Angers,fr Ligue 1,27,1992,17.4,6,58,22,37.9,3.34,1.27,0.1,0.27,20.7,11.0,0,0,5.2,5.2,0.09,0.8,0.8
62,Alisson,br BRA,PO,Liverpool,eng Premier League,26,1992,28.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
63,Allan,br BRA,CC,Napoli,it Serie A,28,1991,14.2,2,12,7,58.3,0.84,0.49,0.17,0.29,21.1,0.0,0,0,0.5,0.5,0.05,1.5,1.5
64,Dele Alli,eng ENG,"CC,DL",Tottenham,eng Premier League,23,1996,20.5,8,41,18,43.9,2.0,0.88,0.17,0.39,14.9,0.0,1,1,8.1,7.3,0.18,-0.1,-0.3
65,Miguel Almirón,py PAR,"CC,DL",Newcastle Utd,eng Premier League,25,1994,33.6,4,56,17,30.4,1.67,0.51,0.07,0.24,16.2,0.0,0,0,6.7,6.7,0.12,-2.7,-2.7
66,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,4,30,8,26.7,1.89,0.5,0.13,0.5,16.5,1.0,0,0,2.6,2.6,0.09,1.4,1.4
67,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,30,1989,15.3,0,6,0,0.0,0.39,0.0,0.0,,23.4,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2
68,Sergio Álvarez,es ESP,"CC,DF",Eibar,es La Liga,27,1992,12.7,0,4,0,0.0,0.31,0.0,0.0,,20.7,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2
69,Sergio Álvarez,es ESP,PO,Celta Vigo,es La Liga,32,1986,2.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
70,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,0,12,2,16.7,0.38,0.06,0.0,0.0,13.9,0.0,0,0,1.3,1.3,0.11,-1.3,-1.3
71,Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,0,24,1,4.2,0.81,0.03,0.0,0.0,20.0,10.0,0,0,1.3,1.3,0.05,-1.3,-1.3
72,Steven Alzate,co COL,"CC,DF",Brighton,eng Premier League,20,1998,13.2,0,13,3,23.1,0.98,0.23,0.0,0.0,18.3,0.0,0,0,1.2,1.2,0.09,-1.2,-1.2
73,Ibrahim Amadou,fr FRA,"DF,CC",Norwich City,eng Premier League,26,1993,8.4,0,6,1,16.7,0.71,0.12,0.0,0.0,17.6,0.0,0,0,0.8,0.8,0.13,-0.8,-0.8
74,Ibrahim Amadou,fr FRA,CC,Leganés,es La Liga,26,1993,8.6,0,5,1,20.0,0.58,0.12,0.0,0.0,13.5,0.0,0,0,0.7,0.7,0.14,-0.7,-0.7
75,Romain Amalfitano,fr FRA,CC,Dijon,fr Ligue 1,29,1989,18.8,1,11,2,18.2,0.58,0.11,0.09,0.5,26.4,0.0,0,0,0.4,0.4,0.04,0.6,0.6
76,Amath,sn SEN,CC,Getafe,es La Liga,23,1996,0.7,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,1,16,4,25.0,0.67,0.17,0.06,0.25,21.9,0.0,0,0,0.7,0.7,0.05,0.3,0.3
78,Thierry Ambrose,gp GLP,DL,Metz,fr Ligue 1,22,1997,6.1,0,23,4,17.4,3.78,0.66,0.0,0.0,20.0,0.0,0,0,1.2,1.2,0.05,-1.2,-1.2
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,0,8,3,37.5,0.44,0.17,0.0,0.0,19.4,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4
80,Nadiem Amiri,de GER,"CC,DL",Leverkusen,de Bundesliga,22,1996,20.6,1,42,18,42.9,2.04,0.87,0.02,0.06,23.3,1.0,0,0,2.2,2.2,0.05,-1.2,-1.2
81,Ethan Ampadu,wls WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,0,1,0,0.0,1.11,0.0,0.0,,8.6,0.0,0,0,0.1,0.1,0.1,-0.1,-0.1
82,Opoku Ampomah,gh GHA,"DL,CC",Düsseldorf,de Bundesliga,23,1996,5.6,0,16,5,31.3,2.88,0.9,0.0,0.0,20.6,0.0,0,0,0.7,0.7,0.05,-0.7,-0.7
83,Sofyan Amrabat,ma MAR,CC,Hellas Verona,it Serie A,22,1996,32.4,1,18,6,33.3,0.55,0.18,0.0,0.0,22.7,0.0,1,1,2.0,1.3,0.07,-1.0,-1.3
84,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,1,10,1,10.0,0.59,0.06,0.1,1.0,16.1,0.0,0,0,0.9,0.9,0.09,0.1,0.1
85,Djavan Anderson,nl NED,"DL,DF",Lazio,it Serie A,24,1995,1.9,0,1,0,0.0,0.54,0.0,0.0,,17.3,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
86,Felipe Anderson,br BRA,"CC,DL",West Ham,eng Premier League,26,1993,16.6,1,23,8,34.8,1.38,0.48,0.04,0.13,17.1,0.0,0,0,2.5,2.5,0.11,-1.5,-1.5
87,Sebastian Andersson,se SWE,DL,Union Berlin,de Bundesliga,28,1991,29.8,12,63,35,55.6,2.11,1.17,0.17,0.31,12.3,0.0,1,2,11.9,10.3,0.16,0.1,0.7
88,Florin Andone,ro ROU,DL,Brighton,eng Premier League,26,1993,0.8,1,1,1,100.0,1.23,1.23,1.0,1.0,7.8,0.0,0,0,0.4,0.4,0.36,0.6,0.6
89,Benjamin André,fr FRA,CC,Lille,fr Ligue 1,28,1990,22.8,2,14,3,21.4,0.61,0.13,0.14,0.67,15.8,0.0,0,0,0.9,0.9,0.07,1.1,1.1
90,Lorenzo Andrenacci,it ITA,PO,Brescia,it Serie A,24,1995,5.9,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
91,Robert Andrich,de GER,CC,Union Berlin,de Bundesliga,24,1994,28.6,1,49,7,14.3,1.71,0.24,0.02,0.14,24.9,4.0,0,0,2.6,2.6,0.05,-1.6,-1.6
92,Victorien Angban,ci CIV,CC,Metz,fr Ligue 1,22,1996,11.4,0,4,0,0.0,0.35,0.0,0.0,,30.2,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
93,Miguel Ángel Guerrero,es ESP,DL,Leganés,es La Liga,29,1990,8.8,1,13,4,30.8,1.48,0.46,0.08,0.25,13.5,0.0,0,1,2.6,1.8,0.14,-1.6,-0.8
94,José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,1,24,7,29.2,0.92,0.27,0.04,0.14,28.0,8.0,0,0,0.8,0.8,0.03,0.2,0.2
95,Miguel Ángel Moyá,es ESP,PO,Real Sociedad,es La Liga,35,1984,13.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
96,Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,0,5,0,0.0,1.06,0.0,0.0,,19.8,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
97,Angeliño,es ESP,"DF,DL",RB Leipzig,de Bundesliga,22,1997,12.2,1,5,2,40.0,0.41,0.16,0.2,0.5,12.5,0.0,0,0,0.9,0.9,0.18,0.1,0.1
98,Faustino Anjorin,eng ENG,DL,Chelsea,eng Premier League,17,2001,0.2,0,1,0,0.0,4.5,0.0,0.0,,31.8,0.0,0,0,0.0,0.0,0.02,0.0,0.0
99,Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,0,13,3,23.1,1.1,0.25,0.0,0.0,23.6,0.0,0,0,0.4,0.4,0.03,-0.4,-0.4
100,Cristian Ansaldi,ar ARG,"DF,CC",Torino,it Serie A,32,1986,19.6,4,29,8,27.6,1.48,0.41,0.14,0.5,21.0,1.0,0,0,1.9,1.9,0.06,2.1,2.1
101,Janis Antiste,fr FRA,CC,Toulouse,fr Ligue 1,16,2002,0.1,0,1,0,0.0,7.5,0.0,0.0,,13.9,0.0,0,0,0.0,0.0,0.05,0.0,0.0
102,Michail Antonio,jm JAM,DL,West Ham,eng Premier League,29,1990,19.6,10,67,30,44.8,3.41,1.53,0.13,0.3,13.7,0.0,1,1,12.9,12.1,0.19,-2.9,-3.1
103,Antoñito,es ESP,"DF,CC",Valladolid,es La Liga,31,1987,11.4,0,1,0,0.0,0.09,0.0,0.0,,9.8,0.0,0,0,0.1,0.1,0.08,-0.1,-0.1
104,Mirko Antonucci,it ITA,"DL,CC",Roma,it Serie A,20,1999,0.9,0,3,0,0.0,3.29,0.0,0.0,,12.3,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2
105,Vitorino Antunes,pt POR,CC,Getafe,es La Liga,32,1987,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
106,Christopher Antwi-Adjei,gh GHA,"CC,DL",Paderborn 07,de Bundesliga,25,1994,27.4,1,46,8,17.4,1.68,0.29,0.02,0.13,17.9,1.0,0,0,3.8,3.8,0.08,-2.8,-2.8
107,Anuar,ma MAR,"CC,DL",Valladolid,es La Liga,24,1995,2.1,0,1,0,0.0,0.48,0.0,0.0,,28.0,0.0,0,0,0.0,0.0,0.02,0.0,0.0
108,Houssem Aouar,dz ALG,"CC,DL",Lyon,fr Ligue 1,21,1998,21.7,3,46,18,39.1,2.12,0.83,0.07,0.17,20.0,2.0,0,0,3.7,3.7,0.08,-0.7,-0.7
109,Adil Aouchiche,fr FRA,CC,Paris S-G,fr Ligue 1,17,2002,0.7,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
110,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,0,1,0,0.0,0.06,0.0,0.0,,17.1,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
111,Mauro Arambarri,uy URU,CC,Getafe,es La Liga,23,1995,34.1,1,47,7,14.9,1.38,0.21,0.02,0.14,25.3,5.0,0,0,2.1,2.1,0.04,-1.1,-1.1
112,Guilherme Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
113,Charles Aránguiz,cl CHI,CC,Leverkusen,de Bundesliga,30,1989,23.5,1,16,2,12.5,0.68,0.08,0.06,0.5,18.6,0.0,0,0,1.4,1.4,0.09,-0.4,-0.4
114,Luiz Araújo,br BRA,"DL,CC",Lille,fr Ligue 1,23,1996,9.2,2,24,11,45.8,2.61,1.2,0.08,0.18,24.8,0.0,0,0,1.0,1.0,0.04,1.0,1.0
115,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,1,13,3,23.1,0.41,0.09,0.08,0.33,14.0,0.0,0,0,1.0,1.0,0.08,0.0,0.0
116,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,0,1,0,0.0,0.38,0.0,0.0,,3.7,0.0,0,0,0.2,0.2,0.21,-0.2,-0.2
117,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,1,14,2,14.3,0.63,0.09,0.07,0.5,24.9,3.0,0,0,0.7,0.7,0.05,0.3,0.3
118,Alphonse Areola,fr FRA,PO,Real Madrid,es La Liga,26,1993,4.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
119,Alphonse Areola,fr FRA,PO,Paris S-G,fr Ligue 1,26,1993,3.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
120,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12.0,0,6,2,33.3,0.5,0.17,0.0,0.0,19.9,0.0,0,0,0.5,0.5,0.09,-0.5,-0.5
121,Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,2001,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
122,Stuart Armstrong,sct SCO,CC,Southampton,eng Premier League,27,1992,19.1,5,46,20,43.5,2.41,1.05,0.11,0.25,21.2,0.0,0,0,2.8,2.8,0.06,2.2,2.2
123,José Arnaiz,es ESP,"DL,CC",Osasuna,es La Liga,24,1995,8.8,2,21,6,28.6,2.39,0.68,0.1,0.33,16.2,0.0,0,0,1.4,1.4,0.07,0.6,0.6
124,José Arnaiz,es ESP,CC,Leganés,es La Liga,24,1995,3.7,0,10,4,40.0,2.67,1.07,0.0,0.0,19.4,0.0,0,0,0.7,0.7,0.07,-0.7,-0.7
125,Maximilian Arnold,de GER,CC,Wolfsburg,de Bundesliga,25,1994,31.3,4,63,16,25.4,2.01,0.51,0.06,0.25,26.4,9.0,0,0,2.9,2.9,0.05,1.1,1.1
126,Kepa Arrizabalaga,es ESP,PO,Chelsea,eng Premier League,24,1994,33.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
127,Kwadwo Asamoah,gh GHA,"DF,DL",Inter,it Serie A,30,1988,7.1,0,3,1,33.3,0.42,0.14,0.0,0.0,18.0,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
128,Santiago Ascacíbar,ar ARG,CC,Hertha BSC,de Bundesliga,22,1997,7.0,0,2,0,0.0,0.28,0.0,0.0,,30.9,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
129,Sergio Asenjo,es ESP,PO,Villarreal,es La Liga,30,1989,34.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
130,Marco Asensio,es ESP,DL,Real Madrid,es La Liga,23,1996,3.7,3,8,5,62.5,2.14,1.34,0.38,0.6,15.7,1.0,0,0,1.1,1.1,0.14,1.9,1.9
131,Kristoffer Askildsen,no NOR,CC,Sampdoria,it Serie A,18,2001,0.8,1,1,1,100.0,1.18,1.18,1.0,1.0,31.0,0.0,0,0,0.0,0.0,0.02,1.0,1.0
132,Iago Aspas,es ESP,DL,Celta Vigo,es La Liga,31,1987,36.2,14,77,32,41.6,2.12,0.88,0.12,0.28,17.5,11.0,5,7,14.6,9.0,0.12,-0.6,0.0
133,Roger Assalé,ci CIV,"DL,CC",Leganés,es La Liga,25,1993,5.9,2,11,6,54.5,1.86,1.02,0.18,0.33,16.2,0.0,0,0,1.7,1.7,0.15,0.3,0.3
134,Youcef Atal,dz ALG,"DL,DF",Nice,fr Ligue 1,23,1996,11.1,1,19,9,47.4,1.7,0.81,0.05,0.11,18.1,0.0,0,0,1.4,1.4,0.07,-0.4,-0.4
135,Miguel Atienza,es ESP,CC,Eibar,es La Liga,20,1999,0.3,0,2,0,0.0,6.0,0.0,0.0,,12.6,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1
136,Christian Atsu,gh GHA,"CC,DL",Newcastle Utd,eng Premier League,27,1992,8.3,0,5,1,20.0,0.6,0.12,0.0,0.0,19.1,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
137,Pierre-Emerick Aubameyang,ga GAB,DL,Arsenal,eng Premier League,30,1989,34.8,22,91,40,44.0,2.61,1.15,0.22,0.5,15.5,2.0,2,2,14.7,13.2,0.14,7.3,6.8
138,Emil Audero,it ITA,PO,Sampdoria,it Serie A,22,1997,36.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
