RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl.1,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err
76,Amath,sn SEN,CC,Getafe,es La Liga,23,1996,0.7,2.0,1,1.0,1.0,0.0,0.0,5.0,0.0,5.0,2.0,0.0,2.0,0,2.0,0.0,0.0
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,55.0,29,31.0,19.0,5.0,31.0,64.0,48.4,33.0,27.0,6.0,21.0,56,111.0,97.0,0.0
78,Thierry Ambrose,gp GLP,DL,Metz,fr Ligue 1,22,1997,6.1,7.0,5,2.0,2.0,3.0,2.0,7.0,28.6,5.0,3.0,0.0,3.0,3,10.0,3.0,0.0
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,27.0,21,21.0,5.0,1.0,14.0,25.0,56.0,11.0,14.0,7.0,7.0,18,45.0,56.0,0.0
80,Nadiem Amiri,de GER,"CC,DL",Leverkusen,de Bundesliga,22,1996,20.6,26.0,16,7.0,15.0,4.0,16.0,34.0,47.1,18.0,12.0,2.0,10.0,14,40.0,8.0,1.0
81,Ethan Ampadu,wls WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,5.0,4,3.0,2.0,0.0,1.0,1.0,100.0,0.0,3.0,1.0,2.0,1,6.0,3.0,0.0
82,Opoku Ampomah,gh GHA,"DL,CC",Düsseldorf,de Bundesliga,23,1996,5.6,9.0,4,3.0,4.0,2.0,3.0,12.0,25.0,9.0,3.0,0.0,3.0,4,13.0,5.0,0.0
83,Sofyan Amrabat,ma MAR,CC,Hellas Verona,it Serie A,22,1996,32.4,58.0,36,26.0,21.0,11.0,26.0,55.0,47.3,29.0,29.0,10.0,19.0,31,89.0,15.0,1.0
84,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,17.0,9,15.0,2.0,0.0,7.0,19.0,36.8,12.0,16.0,12.0,4.0,10,27.0,74.0,2.0
85,Djavan Anderson,nl NED,"DL,DF",Lazio,it Serie A,24,1995,1.9,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,3,3.0,3.0,0.0
86,Felipe Anderson,br BRA,"CC,DL",West Ham,eng Premier League,26,1993,16.6,46.0,32,20.0,21.0,5.0,11.0,47.0,23.4,36.0,19.0,1.0,18.0,22,68.0,11.0,0.0
87,Sebastian Andersson,se SWE,DL,Union Berlin,de Bundesliga,28,1991,29.8,20.0,10,0.0,12.0,8.0,4.0,19.0,21.1,15.0,19.0,3.0,16.0,5,25.0,36.0,0.0
88,Florin Andone,ro ROU,DL,Brighton,eng Premier League,26,1993,0.8,1.0,1,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,0.0,0,1.0,1.0,0.0
89,Benjamin André,fr FRA,CC,Lille,fr Ligue 1,28,1990,22.8,72.0,44,31.0,35.0,6.0,29.0,74.0,39.2,45.0,32.0,9.0,23.0,59,131.0,40.0,1.0
90,Lorenzo Andrenacci,it ITA,PO,Brescia,it Serie A,24,1995,5.9,1.0,0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0,1.0,0.0,0.0
91,Robert Andrich,de GER,CC,Union Berlin,de Bundesliga,24,1994,28.6,52.0,27,28.0,18.0,6.0,19.0,60.0,31.7,41.0,27.0,7.0,20.0,47,99.0,36.0,0.0
92,Victorien Angban,ci CIV,CC,Metz,fr Ligue 1,22,1996,11.4,23.0,18,11.0,11.0,1.0,11.0,24.0,45.8,13.0,9.0,2.0,7.0,8,31.0,5.0,0.0
93,Miguel Ángel Guerrero,es ESP,DL,Leganés,es La Liga,29,1990,8.8,1.0,0,0.0,1.0,0.0,1.0,10.0,10.0,9.0,4.0,0.0,4.0,2,3.0,4.0,0.0
94,José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,54.0,31,26.0,25.0,3.0,26.0,43.0,60.5,17.0,23.0,7.0,16.0,33,87.0,61.0,1.0
95,Miguel Ángel Moyá,es ESP,PO,Real Sociedad,es La Liga,35,1984,13.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1.0,6.0,2.0
96,Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,5.0,2,3.0,1.0,1.0,5.0,7.0,71.4,2.0,1.0,0.0,1.0,9,14.0,15.0,0.0
97,Angeliño,es ESP,"DF,DL",RB Leipzig,de Bundesliga,22,1997,12.2,15.0,9,7.0,5.0,3.0,5.0,15.0,33.3,10.0,14.0,1.0,13.0,19,34.0,24.0,0.0
98,Faustino Anjorin,eng ENG,DL,Chelsea,eng Premier League,17,2001,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0
99,Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,16.0,4,7.0,7.0,2.0,4.0,13.0,30.8,9.0,19.0,5.0,14.0,9,25.0,25.0,1.0
100,Cristian Ansaldi,ar ARG,"DF,CC",Torino,it Serie A,32,1986,19.6,37.0,25,24.0,7.0,6.0,19.0,34.0,55.9,15.0,23.0,3.0,20.0,14,51.0,20.0,4.0
101,Janis Antiste,fr FRA,CC,Toulouse,fr Ligue 1,16,2002,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
102,Michail Antonio,jm JAM,DL,West Ham,eng Premier League,29,1990,19.6,13.0,9,5.0,4.0,4.0,4.0,14.0,28.6,10.0,17.0,2.0,15.0,9,22.0,5.0,0.0
103,Antoñito,es ESP,"DF,CC",Valladolid,es La Liga,31,1987,11.4,26.0,18,19.0,7.0,0.0,12.0,20.0,60.0,8.0,9.0,0.0,9.0,15,41.0,20.0,1.0
104,Mirko Antonucci,it ITA,"DL,CC",Roma,it Serie A,20,1999,0.9,4.0,3,1.0,0.0,3.0,3.0,3.0,100.0,0.0,2.0,0.0,2.0,2,6.0,1.0,0.0
105,Vitorino Antunes,pt POR,CC,Getafe,es La Liga,32,1987,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
106,Christopher Antwi-Adjei,gh GHA,"CC,DL",Paderborn 07,de Bundesliga,25,1994,27.4,25.0,16,13.0,9.0,3.0,9.0,33.0,27.3,24.0,29.0,2.0,27.0,15,40.0,14.0,0.0
107,Anuar,ma MAR,"CC,DL",Valladolid,es La Liga,24,1995,2.1,4.0,2,1.0,2.0,1.0,2.0,6.0,33.3,4.0,7.0,3.0,4.0,5,9.0,0.0,0.0
108,Houssem Aouar,dz ALG,"CC,DL",Lyon,fr Ligue 1,21,1998,21.7,28.0,12,6.0,18.0,4.0,10.0,35.0,28.6,25.0,15.0,1.0,14.0,13,41.0,11.0,0.0
109,Adil Aouchiche,fr FRA,CC,Paris S-G,fr Ligue 1,17,2002,0.7,3.0,2,1.0,2.0,0.0,2.0,4.0,50.0,2.0,3.0,0.0,3.0,0,3.0,0.0,0.0
110,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,58.0,35,32.0,20.0,6.0,28.0,52.0,53.8,24.0,9.0,3.0,6.0,23,81.0,34.0,0.0
111,Mauro Arambarri,uy URU,CC,Getafe,es La Liga,23,1995,34.1,72.0,33,24.0,40.0,8.0,31.0,69.0,44.9,38.0,52.0,5.0,47.0,43,115.0,40.0,2.0
112,Guilherme Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,4.0,4,1.0,3.0,0.0,3.0,5.0,60.0,2.0,0.0,0.0,0.0,2,6.0,0.0,0.0
113,Charles Aránguiz,cl CHI,CC,Leverkusen,de Bundesliga,30,1989,23.5,56.0,37,19.0,29.0,8.0,27.0,74.0,36.5,47.0,27.0,6.0,21.0,22,78.0,21.0,1.0
114,Luiz Araújo,br BRA,"DL,CC",Lille,fr Ligue 1,23,1996,9.2,20.0,11,3.0,8.0,9.0,5.0,31.0,16.1,26.0,14.0,0.0,14.0,4,24.0,6.0,0.0
115,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,44.0,27,35.0,8.0,1.0,22.0,36.0,61.1,14.0,26.0,18.0,8.0,52,96.0,142.0,0.0
116,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,3.0,2,2.0,1.0,0.0,1.0,1.0,100.0,0.0,6.0,2.0,4.0,0,3.0,9.0,0.0
117,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,33.0,20,23.0,8.0,2.0,16.0,34.0,47.1,18.0,20.0,4.0,16.0,29,62.0,82.0,0.0
118,Alphonse Areola,fr FRA,PO,Real Madrid,es La Liga,26,1993,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
119,Alphonse Areola,fr FRA,PO,Paris S-G,fr Ligue 1,26,1993,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0
120,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12.0,36.0,24,20.0,12.0,4.0,10.0,18.0,55.6,8.0,12.0,7.0,5.0,19,55.0,20.0,1.0
121,Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,2001,0.0,1.0,1,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0
122,Stuart Armstrong,sct SCO,CC,Southampton,eng Premier League,27,1992,19.1,32.0,19,19.0,11.0,2.0,9.0,38.0,23.7,29.0,22.0,4.0,18.0,11,43.0,23.0,1.0
123,José Arnaiz,es ESP,"DL,CC",Osasuna,es La Liga,24,1995,8.8,3.0,2,0.0,2.0,1.0,0.0,12.0,0.0,12.0,7.0,0.0,7.0,5,8.0,5.0,0.0
124,José Arnaiz,es ESP,CC,Leganés,es La Liga,24,1995,3.7,3.0,0,1.0,2.0,0.0,2.0,5.0,40.0,3.0,4.0,0.0,4.0,2,5.0,1.0,0.0
125,Maximilian Arnold,de GER,CC,Wolfsburg,de Bundesliga,25,1994,31.3,42.0,24,15.0,23.0,4.0,16.0,62.0,25.8,46.0,25.0,6.0,19.0,25,67.0,35.0,0.0
126,Kepa Arrizabalaga,es ESP,PO,Chelsea,eng Premier League,24,1994,33.0,1.0,1,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,1,2.0,7.0,2.0
127,Kwadwo Asamoah,gh GHA,"DF,DL",Inter,it Serie A,30,1988,7.1,10.0,8,4.0,5.0,1.0,6.0,14.0,42.9,8.0,8.0,1.0,7.0,9,19.0,13.0,0.0
128,Santiago Ascacíbar,ar ARG,CC,Hertha BSC,de Bundesliga,22,1997,7.0,26.0,13,15.0,11.0,0.0,11.0,28.0,39.3,17.0,13.0,2.0,11.0,16,42.0,13.0,0.0
129,Sergio Asenjo,es ESP,PO,Villarreal,es La Liga,30,1989,34.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1,1.0,15.0,1.0
130,Marco Asensio,es ESP,DL,Real Madrid,es La Liga,23,1996,3.7,4.0,3,3.0,1.0,0.0,1.0,4.0,25.0,3.0,2.0,0.0,2.0,1,5.0,4.0,0.0
131,Kristoffer Askildsen,no NOR,CC,Sampdoria,it Serie A,18,2001,0.8,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1,2.0,0.0,0.0
132,Iago Aspas,es ESP,DL,Celta Vigo,es La Liga,31,1987,36.2,29.0,19,7.0,9.0,13.0,12.0,45.0,26.7,33.0,16.0,1.0,15.0,22,51.0,7.0,0.0
