RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera.1
199,Tiemoué Bakayoko,fr FRA,CC,Monaco,fr Ligue 1,24.0,1994.0,20,1719.0,86.0,68.2,19.1,20,86.0,17,0,,0,1.45,36.0,30.0,6.0,0.31,0.99,36.5,29.2,7.3,0.38,0.51
200,Lewis Baker,eng ENG,CC,Düsseldorf,de Bundesliga,24.0,1995.0,8,545.0,68.0,17.8,6.1,7,76.0,3,1,15.0,8,0.5,7.0,13.0,-6.0,-0.99,-0.1,5.8,12.9,-7.1,-1.18,-0.55
201,Alaa Bakir,jo JOR,"DL,CC",Dortmund,de Bundesliga,18.0,2001.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
202,Mitchel Bakker,nl NED,DF,Paris S-G,fr Ligue 1,19.0,2000.0,1,90.0,90.0,3.7,1.0,1,90.0,1,0,,2,1.0,4.0,4.0,0.0,0.0,-1.96,3.2,1.3,1.9,1.87,-0.02
203,Ridle Baku,de GER,"DF,CC",Mainz 05,de Bundesliga,21.0,1998.0,30,2351.0,78.0,76.8,26.1,26,86.0,23,4,31.0,1,1.03,32.0,54.0,-22.0,-0.84,-0.97,36.5,46.0,-9.5,-0.36,-0.12
204,Fabián Balbuena,py PAR,DF,West Ham,eng Premier League,27.0,1991.0,17,1177.0,69.0,34.4,13.1,13,90.0,13,4,2.0,21,1.18,12.0,24.0,-12.0,-0.92,-0.88,14.9,23.5,-8.6,-0.66,-0.39
205,Keita Baldé,sn SEN,"DL,CC",Monaco,fr Ligue 1,24.0,1995.0,21,858.0,41.0,34.0,9.5,9,75.0,2,12,15.0,4,1.52,17.0,14.0,3.0,0.31,0.48,17.2,15.0,2.2,0.23,0.02
206,George Baldock,gr GRE,DF,Sheffield Utd,eng Premier League,26.0,1993.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.42,39.0,39.0,0.0,0.0,,43.0,51.0,-7.9,-0.21,
207,Gareth Bale,wls WAL,"DL,CC",Real Madrid,es La Liga,30.0,1989.0,16,1089.0,68.0,31.8,12.1,12,82.0,5,4,26.0,10,2.13,21.0,9.0,12.0,0.99,-0.28,18.2,13.5,4.7,0.39,-0.77
208,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,31.0,1988.0,9,563.0,63.0,16.5,6.3,6,83.0,5,3,23.0,11,1.11,5.0,9.0,-4.0,-0.64,-0.86,5.7,8.7,-2.9,-0.47,-0.33
