RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,GC,PD,TL,TE,GC.1,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Int.,% Cmp,Int..1,TI,%deLanzamientos,Long. prom.,Int..2,%deLanzamientos.1,Long. prom..1,Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.
1,Antonio Adán,es ESP,PO,Atlético Madrid,es La Liga,32,1987,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.13,1.0,3,33.3,5,1.0,40.0,30.2,1,100.0,65.0,1,0.0,0.0,0.0,0.0,
2,Adrián,es ESP,PO,Liverpool,eng Premier League,32,1987,9.7,10.0,0.0,1.0,1.0,0.0,7.5,0.28,-2.5,-0.26,36.0,99,36.4,241,51.0,33.2,33.0,70,27.1,29.2,127,7.0,5.5,14.0,1.44,15.3
3,Rúnar Alex Rúnarsson,is ISL,PO,Dijon,fr Ligue 1,24,1995,10.0,17.0,0.0,0.0,3.0,1.0,11.3,0.24,-4.7,-0.47,50.0,121,41.3,248,56.0,30.6,31.3,81,55.6,43.9,163,9.0,5.5,9.0,0.9,14.0
4,Enrico Alfonso,it ITA,PO,Brescia,it Serie A,31,1988,3.1,4.0,0.0,0.0,0.0,0.0,2.6,0.23,-1.4,-0.47,8.0,27,29.6,56,9.0,35.7,33.3,24,29.2,29.0,54,0.0,0.0,4.0,1.29,12.9
5,Alisson,br BRA,PO,Liverpool,eng Premier League,26,1992,28.3,23.0,1.0,0.0,1.0,1.0,19.7,0.24,-2.3,-0.08,85.0,189,45.0,778,140.0,18.4,27.4,167,27.5,30.9,299,10.0,3.3,63.0,2.23,19.2
6,Sergio Álvarez,es ESP,PO,Celta Vigo,es La Liga,32,1986,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.34,0.0,0.01,5.0,18,27.8,35,6.0,25.7,30.1,19,47.4,38.8,37,0.0,0.0,1.0,0.5,16.0
7,Lorenzo Andrenacci,it ITA,PO,Brescia,it Serie A,24,1995,5.9,16.0,0.0,1.0,1.0,0.0,12.8,0.29,-3.2,-0.54,24.0,60,40.0,96,45.0,28.1,31.8,66,50.0,40.8,98,3.0,3.1,1.0,0.17,10.1
8,Miguel Ángel Moyá,es ESP,PO,Real Sociedad,es La Liga,35,1984,13.0,16.0,0.0,0.0,1.0,1.0,15.4,0.3,0.4,0.03,81.0,158,51.3,361,57.0,24.7,30.3,100,69.0,44.3,150,7.0,4.7,23.0,1.77,17.7
9,Alphonse Areola,fr FRA,PO,Real Madrid,es La Liga,26,1993,4.0,5.0,2.0,0.0,1.0,0.0,4.1,0.15,-0.9,-0.22,14.0,32,43.8,105,27.0,17.1,26.9,29,48.3,41.4,57,2.0,3.5,4.0,1.0,14.2
10,Alphonse Areola,fr FRA,PO,Paris S-G,fr Ligue 1,26,1993,3.0,2.0,0.0,0.0,0.0,0.0,1.4,0.46,-0.6,-0.21,2.0,2,100.0,48,9.0,0.0,17.5,9,22.2,25.7,23,1.0,4.3,6.0,2.0,18.5
11,Kepa Arrizabalaga,es ESP,PO,Chelsea,eng Premier League,24,1994,33.0,47.0,2.0,2.0,7.0,2.0,33.7,0.32,-11.3,-0.34,83.0,250,33.2,892,151.0,20.6,28.3,198,33.3,32.7,343,20.0,5.8,35.0,1.06,16.0
12,Sergio Asenjo,es ESP,PO,Villarreal,es La Liga,30,1989,34.0,41.0,5.0,0.0,8.0,1.0,38.7,0.23,-1.3,-0.04,130.0,397,32.7,750,157.0,33.2,33.2,282,52.5,41.6,576,16.0,2.8,27.0,0.79,14.1
13,Emil Audero,it ITA,PO,Sampdoria,it Serie A,22,1997,36.0,60.0,7.0,0.0,10.0,4.0,47.9,0.25,-8.1,-0.23,187.0,519,36.0,742,132.0,45.7,37.2,291,61.9,44.6,603,16.0,2.7,32.0,0.89,14.0
