RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
36,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,25,1994,22.9,3,0,0,38,21,4,13,2,10,1.0,1.0,0,43.0,114.0,78.0,59.4
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,2,0,0,11,23,0,2,30,21,0.0,0.0,1,119.0,31.0,33.0,48.4
38,Marley Aké,fr FRA,"DL,CC",Marseille,fr Ligue 1,18,2001,1.1,1,0,0,3,3,0,1,1,2,0.0,0.0,0,4.0,0.0,3.0,0.0
39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,2,0,0,9,13,3,5,36,21,0.0,0.0,0,140.0,60.0,61.0,49.6
40,Chadrac Akolo,cd COD,"DL,CC",Amiens,fr Ligue 1,24,1995,6.0,1,0,0,9,8,2,6,5,8,0.0,0.0,0,36.0,4.0,10.0,28.6
41,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,2,0,0,8,13,1,3,13,16,0.0,1.0,1,72.0,21.0,27.0,43.8
42,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,0,0,0,10,7,1,29,29,17,0.0,0.0,0,213.0,21.0,29.0,42.0
43,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,21,1998,15.6,3,0,0,14,27,1,29,23,26,0.0,1.0,1,74.0,10.0,16.0,38.5
44,Lucas Alario,ar ARG,DL,Leverkusen,de Bundesliga,26,1992,13.0,6,0,0,23,13,19,4,1,3,0.0,0.0,0,24.0,42.0,53.0,44.2
45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,7,0,0,18,18,5,65,37,13,0.0,0.0,0,129.0,6.0,15.0,28.6
46,Luis Alberto,es ESP,CC,Lazio,it Serie A,26,1992,34.6,5,0,0,20,38,0,177,21,30,0.0,0.0,0,217.0,7.0,14.0,33.3
47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,9,0,0,30,25,2,3,42,23,0.0,2.0,0,155.0,74.0,55.0,57.4
48,Marc Albrighton,eng ENG,"CC,DF",Leicester City,eng Premier League,29,1989,9.6,2,0,0,7,11,1,69,10,17,0.0,1.0,0,67.0,3.0,7.0,30.0
49,Paco Alcácer,es ESP,DL,Villarreal,es La Liga,25,1993,10.3,1,0,0,4,11,13,1,2,3,1.0,0.0,0,25.0,6.0,22.0,21.4
50,Paco Alcácer,es ESP,DL,Dortmund,de Bundesliga,25,1993,5.9,0,0,0,2,3,7,1,2,2,0.0,0.0,0,4.0,3.0,15.0,16.7
51,Thiago Alcántara,es ESP,CC,Bayern Munich,de Bundesliga,28,1991,19.7,7,0,0,24,13,0,7,45,26,0.0,0.0,0,195.0,35.0,37.0,48.6
52,Rubén Alcaraz,es ESP,CC,Valladolid,es La Liga,28,1991,21.4,10,0,0,37,58,0,26,15,30,0.0,2.0,0,178.0,49.0,52.0,48.5
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,7,0,0,18,4,1,9,31,29,0.0,0.0,1,154.0,73.0,73.0,50.0
54,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,4,0,0,31,9,1,44,34,16,0.0,0.0,0,117.0,39.0,19.0,67.2
55,Álex Alegría,es ESP,DL,Mallorca,es La Liga,26,1992,1.2,0,0,0,5,4,1,1,0,0,0.0,0.0,0,4.0,9.0,10.0,47.4
56,Carles Aleñá,es ESP,CC,Barcelona,es La Liga,21,1998,1.9,0,0,0,3,2,0,4,0,1,0.0,0.0,0,10.0,1.0,4.0,20.0
57,Carles Aleñá,es ESP,"CC,DL",Betis,es La Liga,21,1998,8.2,1,0,0,9,19,3,3,1,9,0.0,0.0,0,27.0,2.0,11.0,15.4
58,Rúnar Alex Rúnarsson,is ISL,PO,Dijon,fr Ligue 1,24,1995,10.0,0,0,0,0,2,0,0,0,0,0.0,0.0,0,9.0,6.0,0.0,100.0
59,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,5,0,0,22,9,3,382,45,34,0.0,0.0,0,221.0,15.0,30.0,33.3
60,Enrico Alfonso,it ITA,PO,Brescia,it Serie A,31,1988,3.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,
61,Rachid Alioui,ma MAR,DL,Angers,fr Ligue 1,27,1992,17.4,1,0,0,24,34,5,15,2,5,0.0,0.0,0,40.0,43.0,63.0,40.6
62,Alisson,br BRA,PO,Liverpool,eng Premier League,26,1992,28.3,0,1,0,1,1,0,0,1,0,0.0,0.0,0,63.0,6.0,0.0,100.0
63,Allan,br BRA,CC,Napoli,it Serie A,28,1991,14.2,3,0,0,30,24,0,13,16,27,0.0,0.0,0,87.0,9.0,7.0,56.3
64,Dele Alli,eng ENG,"CC,DL",Tottenham,eng Premier League,23,1996,20.5,2,0,0,12,33,6,7,17,16,0.0,0.0,0,103.0,19.0,37.0,33.9
65,Miguel Almirón,py PAR,"CC,DL",Newcastle Utd,eng Premier League,25,1994,33.6,5,0,0,30,59,24,41,31,39,0.0,0.0,0,189.0,9.0,28.0,24.3
66,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,4,0,0,16,15,2,66,20,16,1.0,0.0,0,96.0,42.0,29.0,59.2
67,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,30,1989,15.3,2,0,0,16,13,1,31,17,25,0.0,0.0,1,70.0,36.0,10.0,78.3
68,Sergio Álvarez,es ESP,"CC,DF",Eibar,es La Liga,27,1992,12.7,6,0,0,24,7,0,2,17,22,0.0,1.0,0,70.0,24.0,35.0,40.7
69,Sergio Álvarez,es ESP,PO,Celta Vigo,es La Liga,32,1986,2.0,3,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,
70,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,2,0,0,18,32,1,12,62,19,0.0,1.0,0,167.0,104.0,69.0,60.1
71,Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,4,0,0,24,12,1,13,25,11,0.0,2.0,0,116.0,84.0,21.0,80.0
72,Steven Alzate,co COL,"CC,DF",Brighton,eng Premier League,20,1998,13.2,1,0,0,17,18,3,8,14,19,0.0,0.0,0,75.0,9.0,16.0,36.0
73,Ibrahim Amadou,fr FRA,"DF,CC",Norwich City,eng Premier League,26,1993,8.4,1,0,0,8,2,0,1,16,11,0.0,1.0,0,39.0,16.0,12.0,57.1
74,Ibrahim Amadou,fr FRA,CC,Leganés,es La Liga,26,1993,8.6,2,0,0,15,6,0,5,12,9,0.0,0.0,0,42.0,19.0,14.0,57.6
75,Romain Amalfitano,fr FRA,CC,Dijon,fr Ligue 1,29,1989,18.8,5,0,0,26,43,0,25,36,27,0.0,0.0,0,107.0,8.0,14.0,36.4
76,Amath,sn SEN,CC,Getafe,es La Liga,23,1996,0.7,0,0,0,3,4,0,0,0,1,0.0,0.0,0,4.0,1.0,0.0,100.0
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,9,0,0,41,19,1,31,56,29,0.0,2.0,0,126.0,63.0,23.0,73.3
