RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,TPint,PD,PD.1,PC,% Salvadas.1
1,Antonio Adán,es ESP,PO,Atlético Madrid,es La Liga,32,1987,1,0,25,0.3,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,
2,Adrián,es ESP,PO,Liverpool,eng Premier League,32,1987,11,9,875,9.7,10.0,1.03,27.0,17.0,63.0,9.0,0.0,0,2.0,22.2,0.0,0.0,0.0,0.0,
3,Rúnar Alex Rúnarsson,is ISL,PO,Dijon,fr Ligue 1,24,1995,11,9,900,10.0,17.0,1.7,47.0,31.0,63.8,1.0,2.0,6,0.0,0.0,0.0,0.0,0.0,0.0,
4,Enrico Alfonso,it ITA,PO,Brescia,it Serie A,31,1988,4,4,279,3.1,4.0,1.29,11.0,7.0,63.6,1.0,0.0,3,1.0,25.0,0.0,0.0,0.0,0.0,
5,Alisson,br BRA,PO,Liverpool,eng Premier League,26,1992,29,29,2543,28.3,23.0,0.81,80.0,58.0,72.5,23.0,3.0,3,13.0,44.8,1.0,1.0,0.0,0.0,0.0
6,Sergio Álvarez,es ESP,PO,Celta Vigo,es La Liga,32,1986,4,4,180,2.0,1.0,0.5,3.0,2.0,66.7,1.0,1.0,0,1.0,25.0,0.0,0.0,0.0,0.0,
7,Lorenzo Andrenacci,it ITA,PO,Brescia,it Serie A,24,1995,6,5,531,5.9,16.0,2.71,44.0,28.0,63.6,0.0,1.0,4,0.0,0.0,1.0,0.0,0.0,1.0,
8,Miguel Ángel Moyá,es ESP,PO,Real Sociedad,es La Liga,35,1984,13,13,1170,13.0,16.0,1.23,51.0,36.0,68.6,5.0,4.0,4,3.0,23.1,1.0,0.0,0.0,1.0,
9,Alphonse Areola,fr FRA,PO,Real Madrid,es La Liga,26,1993,4,4,360,4.0,5.0,1.25,14.0,9.0,78.6,3.0,1.0,0,1.0,25.0,2.0,2.0,0.0,0.0,0.0
10,Alphonse Areola,fr FRA,PO,Paris S-G,fr Ligue 1,26,1993,3,3,270,3.0,2.0,0.67,3.0,1.0,33.3,2.0,0.0,1,2.0,66.7,0.0,0.0,0.0,0.0,
11,Kepa Arrizabalaga,es ESP,PO,Chelsea,eng Premier League,24,1994,33,33,2970,33.0,47.0,1.42,99.0,54.0,54.5,18.0,4.0,11,8.0,24.2,2.0,2.0,0.0,0.0,0.0
12,Sergio Asenjo,es ESP,PO,Villarreal,es La Liga,30,1989,34,34,3060,34.0,41.0,1.21,145.0,104.0,75.2,17.0,4.0,13,11.0,32.4,6.0,5.0,1.0,0.0,16.7
13,Emil Audero,it ITA,PO,Sampdoria,it Serie A,22,1997,36,36,3240,36.0,60.0,1.67,165.0,109.0,67.9,12.0,5.0,19,9.0,25.0,8.0,7.0,0.0,1.0,0.0
14,Stefan Bajic,fr FRA,PO,Saint-Étienne,fr Ligue 1,17,2001,1,1,90,1.0,1.0,1.0,2.0,1.0,50.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,
15,Oliver Baumann,de GER,PO,Hoffenheim,de Bundesliga,29,1990,30,30,2700,30.0,49.0,1.63,146.0,97.0,69.9,13.0,7.0,10,7.0,23.3,7.0,5.0,2.0,0.0,28.6
16,Asmir Begović,ba BIH,PO,Milan,it Serie A,32,1987,2,1,129,1.4,3.0,2.09,7.0,4.0,71.4,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0
