RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos
44,Lucas Alario,ar ARG,DL,Leverkusen,de Bundesliga,26,1992,13.0,310.0,274.0,32.0,2.0,1.0,3.0,4,2.0,0.0,0.0,0.0,0.0,219.0,4.0,12.0
45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,2149.0,1938.0,206.0,33.0,3.0,9.0,65,171.0,2.0,0.0,0.0,0.0,1858.0,5.0,33.0
46,Luis Alberto,es ESP,CC,Lazio,it Serie A,26,1992,34.6,2296.0,1977.0,295.0,69.0,28.0,18.0,177,21.0,151.0,51.0,73.0,0.0,1793.0,24.0,38.0
47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,1954.0,1900.0,49.0,46.0,1.0,37.0,3,2.0,0.0,0.0,0.0,0.0,1635.0,5.0,8.0
48,Marc Albrighton,eng ENG,"CC,DF",Leicester City,eng Premier League,29,1989,9.6,499.0,464.0,35.0,2.0,3.0,5.0,69,23.0,10.0,1.0,6.0,1.0,339.0,0.0,14.0
49,Paco Alcácer,es ESP,DL,Villarreal,es La Liga,25,1993,10.3,227.0,200.0,27.0,2.0,2.0,0.0,1,1.0,1.0,0.0,0.0,0.0,179.0,0.0,4.0
50,Paco Alcácer,es ESP,DL,Dortmund,de Bundesliga,25,1993,5.9,111.0,93.0,18.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,81.0,0.0,0.0
51,Thiago Alcántara,es ESP,CC,Bayern Munich,de Bundesliga,28,1991,19.7,1813.0,1748.0,60.0,52.0,4.0,31.0,7,4.0,4.0,3.0,0.0,0.0,1632.0,5.0,20.0
52,Rubén Alcaraz,es ESP,CC,Valladolid,es La Liga,28,1991,21.4,1066.0,956.0,106.0,82.0,1.0,48.0,26,3.0,21.0,10.0,3.0,0.0,830.0,4.0,13.0
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,2009.0,1915.0,82.0,72.0,12.0,20.0,9,10.0,0.0,0.0,0.0,0.0,1630.0,12.0,10.0
54,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,1195.0,955.0,238.0,24.0,1.0,3.0,44,211.0,3.0,0.0,2.0,0.0,906.0,2.0,19.0
55,Álex Alegría,es ESP,DL,Mallorca,es La Liga,26,1992,1.2,34.0,33.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0
56,Carles Aleñá,es ESP,CC,Barcelona,es La Liga,21,1998,1.9,157.0,151.0,5.0,1.0,0.0,3.0,4,0.0,4.0,0.0,3.0,0.0,141.0,1.0,3.0
57,Carles Aleñá,es ESP,"CC,DL",Betis,es La Liga,21,1998,8.2,393.0,386.0,5.0,3.0,1.0,4.0,3,2.0,0.0,0.0,0.0,0.0,333.0,2.0,6.0
58,Rúnar Alex Rúnarsson,is ISL,PO,Dijon,fr Ligue 1,24,1995,10.0,330.0,221.0,108.0,27.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,247.0,1.0,0.0
59,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,3230.0,2573.0,645.0,87.0,5.0,103.0,382,396.0,162.0,45.0,76.0,2.0,2278.0,12.0,69.0
60,Enrico Alfonso,it ITA,PO,Brescia,it Serie A,31,1988,3.1,80.0,42.0,38.0,14.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0
61,Rachid Alioui,ma MAR,DL,Angers,fr Ligue 1,27,1992,17.4,476.0,438.0,38.0,2.0,0.0,2.0,15,2.0,1.0,1.0,0.0,0.0,345.0,0.0,10.0
62,Alisson,br BRA,PO,Liverpool,eng Premier League,26,1992,28.3,947.0,723.0,222.0,55.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,820.0,2.0,0.0
63,Allan,br BRA,CC,Napoli,it Serie A,28,1991,14.2,842.0,806.0,33.0,17.0,2.0,6.0,13,16.0,0.0,0.0,0.0,0.0,726.0,3.0,16.0
64,Dele Alli,eng ENG,"CC,DL",Tottenham,eng Premier League,23,1996,20.5,841.0,760.0,75.0,14.0,4.0,3.0,7,18.0,4.0,0.0,0.0,0.0,632.0,6.0,34.0
65,Miguel Almirón,py PAR,"CC,DL",Newcastle Utd,eng Premier League,25,1994,33.6,884.0,868.0,12.0,1.0,2.0,4.0,41,10.0,0.0,0.0,0.0,0.0,681.0,4.0,35.0
66,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,1136.0,966.0,168.0,7.0,1.0,3.0,66,160.0,1.0,1.0,0.0,0.0,916.0,2.0,24.0
67,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,30,1989,15.3,736.0,571.0,163.0,6.0,0.0,3.0,31,157.0,0.0,0.0,0.0,0.0,491.0,2.0,27.0
68,Sergio Álvarez,es ESP,"CC,DF",Eibar,es La Liga,27,1992,12.7,438.0,428.0,9.0,7.0,0.0,9.0,2,2.0,0.0,0.0,0.0,0.0,308.0,1.0,5.0
69,Sergio Álvarez,es ESP,PO,Celta Vigo,es La Liga,32,1986,2.0,54.0,31.0,23.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0
70,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,1500.0,1421.0,70.0,59.0,1.0,29.0,12,11.0,0.0,0.0,0.0,0.0,1164.0,9.0,8.0
71,Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,1347.0,1253.0,90.0,82.0,0.0,45.0,13,2.0,0.0,0.0,0.0,0.0,1107.0,4.0,7.0
72,Steven Alzate,co COL,"CC,DF",Brighton,eng Premier League,20,1998,13.2,661.0,605.0,55.0,6.0,1.0,2.0,8,49.0,0.0,0.0,0.0,0.0,556.0,1.0,15.0
73,Ibrahim Amadou,fr FRA,"DF,CC",Norwich City,eng Premier League,26,1993,8.4,374.0,364.0,9.0,6.0,0.0,0.0,1,3.0,0.0,0.0,0.0,0.0,324.0,1.0,3.0
74,Ibrahim Amadou,fr FRA,CC,Leganés,es La Liga,26,1993,8.6,280.0,278.0,2.0,1.0,1.0,2.0,5,1.0,0.0,0.0,0.0,0.0,222.0,0.0,6.0
75,Romain Amalfitano,fr FRA,CC,Dijon,fr Ligue 1,29,1989,18.8,898.0,873.0,24.0,12.0,5.0,9.0,25,8.0,4.0,1.0,3.0,0.0,702.0,1.0,8.0
76,Amath,sn SEN,CC,Getafe,es La Liga,23,1996,0.7,17.0,16.0,1.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,3.0
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,1236.0,1021.0,215.0,14.0,0.0,1.0,31,201.0,0.0,0.0,0.0,0.0,974.0,0.0,22.0
78,Thierry Ambrose,gp GLP,DL,Metz,fr Ligue 1,22,1997,6.1,191.0,190.0,1.0,0.0,0.0,2.0,15,0.0,0.0,0.0,0.0,0.0,136.0,0.0,7.0
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,676.0,533.0,141.0,21.0,1.0,2.0,12,120.0,0.0,0.0,0.0,0.0,546.0,2.0,12.0
80,Nadiem Amiri,de GER,"CC,DL",Leverkusen,de Bundesliga,22,1996,20.6,1145.0,972.0,162.0,48.0,7.0,7.0,114,34.0,77.0,45.0,25.0,1.0,886.0,11.0,25.0
81,Ethan Ampadu,wls WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,83.0,81.0,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0
82,Opoku Ampomah,gh GHA,"DL,CC",Düsseldorf,de Bundesliga,23,1996,5.6,104.0,100.0,4.0,2.0,1.0,3.0,14,1.0,1.0,0.0,1.0,0.0,60.0,0.0,8.0
83,Sofyan Amrabat,ma MAR,CC,Hellas Verona,it Serie A,22,1996,32.4,1738.0,1638.0,91.0,82.0,6.0,27.0,25,9.0,0.0,0.0,0.0,0.0,1510.0,9.0,16.0
84,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,1333.0,1303.0,27.0,26.0,2.0,19.0,1,1.0,0.0,0.0,0.0,0.0,1195.0,3.0,3.0
85,Djavan Anderson,nl NED,"DL,DF",Lazio,it Serie A,24,1995,1.9,66.0,47.0,19.0,3.0,0.0,0.0,2,16.0,0.0,0.0,0.0,0.0,58.0,0.0,1.0
86,Felipe Anderson,br BRA,"CC,DL",West Ham,eng Premier League,26,1993,16.6,945.0,913.0,29.0,8.0,5.0,11.0,34,13.0,5.0,2.0,2.0,0.0,727.0,3.0,30.0
87,Sebastian Andersson,se SWE,DL,Union Berlin,de Bundesliga,28,1991,29.8,800.0,778.0,18.0,0.0,0.0,2.0,31,0.0,0.0,0.0,0.0,0.0,463.0,4.0,26.0
88,Florin Andone,ro ROU,DL,Brighton,eng Premier League,26,1993,0.8,12.0,11.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0
89,Benjamin André,fr FRA,CC,Lille,fr Ligue 1,28,1990,22.8,1236.0,1208.0,21.0,19.0,1.0,15.0,12,1.0,0.0,0.0,0.0,0.0,965.0,7.0,28.0
90,Lorenzo Andrenacci,it ITA,PO,Brescia,it Serie A,24,1995,5.9,162.0,76.0,86.0,20.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0
91,Robert Andrich,de GER,CC,Union Berlin,de Bundesliga,24,1994,28.6,1214.0,1174.0,35.0,20.0,5.0,10.0,39,2.0,7.0,2.0,2.0,0.0,857.0,5.0,24.0
92,Victorien Angban,ci CIV,CC,Metz,fr Ligue 1,22,1996,11.4,620.0,596.0,23.0,17.0,0.0,6.0,3,2.0,1.0,0.0,1.0,0.0,542.0,1.0,7.0
93,Miguel Ángel Guerrero,es ESP,DL,Leganés,es La Liga,29,1990,8.8,194.0,178.0,15.0,0.0,1.0,1.0,4,0.0,0.0,0.0,0.0,0.0,145.0,1.0,2.0
94,José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,1498.0,1107.0,379.0,61.0,0.0,33.0,148,313.0,5.0,0.0,4.0,0.0,990.0,12.0,30.0
95,Miguel Ángel Moyá,es ESP,PO,Real Sociedad,es La Liga,35,1984,13.0,462.0,325.0,136.0,36.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,367.0,1.0,0.0
96,Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,429.0,377.0,50.0,4.0,0.0,1.0,43,46.0,0.0,0.0,0.0,0.0,333.0,2.0,8.0
97,Angeliño,es ESP,"DF,DL",RB Leipzig,de Bundesliga,22,1997,12.2,767.0,613.0,151.0,19.0,1.0,5.0,80,102.0,30.0,20.0,3.0,0.0,574.0,3.0,20.0
98,Faustino Anjorin,eng ENG,DL,Chelsea,eng Premier League,17,2001,0.2,7.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
99,Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,607.0,528.0,77.0,8.0,0.0,1.0,22,69.0,0.0,0.0,0.0,0.0,495.0,2.0,7.0
100,Cristian Ansaldi,ar ARG,"DF,CC",Torino,it Serie A,32,1986,19.6,819.0,660.0,156.0,19.0,0.0,30.0,141,130.0,7.0,2.0,0.0,0.0,571.0,3.0,21.0
101,Janis Antiste,fr FRA,CC,Toulouse,fr Ligue 1,16,2002,0.1,1.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Michail Antonio,jm JAM,DL,West Ham,eng Premier League,29,1990,19.6,524.0,480.0,39.0,1.0,5.0,2.0,48,25.0,0.0,0.0,0.0,0.0,329.0,5.0,23.0
103,Antoñito,es ESP,"DF,CC",Valladolid,es La Liga,31,1987,11.4,464.0,364.0,96.0,1.0,1.0,1.0,36,95.0,0.0,0.0,0.0,0.0,326.0,4.0,7.0
104,Mirko Antonucci,it ITA,"DL,CC",Roma,it Serie A,20,1999,0.9,21.0,21.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
105,Vitorino Antunes,pt POR,CC,Getafe,es La Liga,32,1987,0.1,1.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Christopher Antwi-Adjei,gh GHA,"CC,DL",Paderborn 07,de Bundesliga,25,1994,27.4,854.0,703.0,145.0,6.0,1.0,9.0,69,107.0,31.0,14.0,5.0,0.0,593.0,6.0,35.0
107,Anuar,ma MAR,"CC,DL",Valladolid,es La Liga,24,1995,2.1,105.0,101.0,4.0,3.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,89.0,0.0,2.0
108,Houssem Aouar,dz ALG,"CC,DL",Lyon,fr Ligue 1,21,1998,21.7,1082.0,1030.0,51.0,21.0,5.0,7.0,24,5.0,9.0,4.0,4.0,0.0,910.0,1.0,16.0
109,Adil Aouchiche,fr FRA,CC,Paris S-G,fr Ligue 1,17,2002,0.7,31.0,30.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0
110,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,982.0,781.0,199.0,12.0,0.0,1.0,32,187.0,0.0,0.0,0.0,0.0,734.0,2.0,20.0
111,Mauro Arambarri,uy URU,CC,Getafe,es La Liga,23,1995,34.1,947.0,899.0,42.0,27.0,0.0,26.0,45,0.0,13.0,1.0,2.0,1.0,621.0,6.0,25.0
112,Guilherme Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,56.0,47.0,9.0,0.0,0.0,0.0,4,9.0,0.0,0.0,0.0,0.0,42.0,0.0,3.0
113,Charles Aránguiz,cl CHI,CC,Leverkusen,de Bundesliga,30,1989,23.5,1628.0,1577.0,42.0,37.0,2.0,8.0,13,1.0,4.0,1.0,3.0,0.0,1385.0,9.0,21.0
114,Luiz Araújo,br BRA,"DL,CC",Lille,fr Ligue 1,23,1996,9.2,311.0,286.0,23.0,10.0,2.0,1.0,28,5.0,7.0,1.0,2.0,0.0,222.0,2.0,12.0
115,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,1559.0,1477.0,77.0,74.0,0.0,11.0,0,3.0,0.0,0.0,0.0,0.0,1320.0,5.0,6.0
116,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,208.0,204.0,4.0,2.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,195.0,0.0,1.0
117,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,1215.0,1063.0,147.0,53.0,0.0,45.0,30,94.0,0.0,0.0,0.0,0.0,872.0,5.0,15.0
118,Alphonse Areola,fr FRA,PO,Real Madrid,es La Liga,26,1993,4.0,134.0,96.0,38.0,9.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0
119,Alphonse Areola,fr FRA,PO,Paris S-G,fr Ligue 1,26,1993,3.0,58.0,43.0,14.0,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,57.0,1.0,0.0
120,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12.0,647.0,534.0,110.0,0.0,0.0,2.0,24,110.0,0.0,0.0,0.0,0.0,482.0,3.0,11.0
121,Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,2001,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
122,Stuart Armstrong,sct SCO,CC,Southampton,eng Premier League,27,1992,19.1,616.0,594.0,21.0,0.0,2.0,0.0,23,13.0,0.0,0.0,0.0,0.0,464.0,1.0,30.0
123,José Arnaiz,es ESP,"DL,CC",Osasuna,es La Liga,24,1995,8.8,172.0,160.0,12.0,0.0,0.0,1.0,7,0.0,1.0,1.0,0.0,0.0,130.0,0.0,6.0
124,José Arnaiz,es ESP,CC,Leganés,es La Liga,24,1995,3.7,95.0,90.0,5.0,1.0,0.0,0.0,12,0.0,4.0,1.0,2.0,0.0,72.0,0.0,3.0
125,Maximilian Arnold,de GER,CC,Wolfsburg,de Bundesliga,25,1994,31.3,1550.0,1272.0,264.0,146.0,8.0,33.0,166,22.0,90.0,29.0,41.0,5.0,1160.0,14.0,22.0
126,Kepa Arrizabalaga,es ESP,PO,Chelsea,eng Premier League,24,1994,33.0,1095.0,839.0,251.0,52.0,0.0,2.0,0,1.0,0.0,0.0,0.0,0.0,896.0,5.0,1.0
127,Kwadwo Asamoah,gh GHA,"DF,DL",Inter,it Serie A,30,1988,7.1,372.0,326.0,46.0,3.0,0.0,0.0,18,43.0,0.0,0.0,0.0,0.0,298.0,0.0,13.0
128,Santiago Ascacíbar,ar ARG,CC,Hertha BSC,de Bundesliga,22,1997,7.0,311.0,295.0,16.0,15.0,0.0,3.0,2,1.0,0.0,0.0,0.0,0.0,261.0,0.0,11.0
129,Sergio Asenjo,es ESP,PO,Villarreal,es La Liga,30,1989,34.0,1035.0,660.0,372.0,90.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,742.0,3.0,0.0
130,Marco Asensio,es ESP,DL,Real Madrid,es La Liga,23,1996,3.7,158.0,153.0,4.0,2.0,0.0,4.0,11,1.0,1.0,0.0,1.0,0.0,131.0,1.0,2.0
131,Kristoffer Askildsen,no NOR,CC,Sampdoria,it Serie A,18,2001,0.8,32.0,31.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0
132,Iago Aspas,es ESP,DL,Celta Vigo,es La Liga,31,1987,36.2,1311.0,1217.0,86.0,7.0,9.0,18.0,26,15.0,5.0,2.0,0.0,0.0,991.0,8.0,49.0
133,Roger Assalé,ci CIV,"DL,CC",Leganés,es La Liga,25,1993,5.9,124.0,121.0,3.0,0.0,2.0,0.0,6,2.0,0.0,0.0,0.0,0.0,100.0,0.0,4.0
134,Youcef Atal,dz ALG,"DL,DF",Nice,fr Ligue 1,23,1996,11.1,509.0,440.0,69.0,15.0,0.0,6.0,30,52.0,2.0,0.0,0.0,0.0,399.0,0.0,12.0
