RL2018-2019,Jugador2018-2019,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,PJ2018-2019,Titular2018-2019,Mín2018-2019,90 s2018-2019,GC2018-2019,GC902018-2019,DaPC2018-2019,Salvadas2018-2019,% Salvadas2018-2019,PG2018-2019,PE2018-2019,PP2018-2019,PaC2018-2019,PaC%2018-2019,TPint2018-2019,PD2018-2019,PD.12018-2019,PC2018-2019,% Salvadas.12018-2019
190,Kevin Trapp,de GER,PO,Eint Frankfurt,de Bundesliga,28,1990,33,33,2938.0,32.6,48,1.47,158,111,70.3,14,9,10,8,24.2,1,1,0,0,0.0
191,Mark Travers,ie IRL,PO,Bournemouth,eng Premier League,19,1999,2,2,180.0,2.0,5,2.5,13,9,61.5,1,0,1,1,50.0,0,0,0,0,0.0
192,Philipp Tschauner,de GER,PO,Hannover 96,de Bundesliga,32,1985,1,1,90.0,1.0,3,3.0,6,3,66.7,0,0,1,0,0.0,1,1,0,0,0.0
193,Sven Ulreich,de GER,PO,Bayern Munich,de Bundesliga,29,1988,9,8,757.0,8.4,9,1.07,23,14,69.6,4,3,1,2,25.0,3,2,0,1,0.0
194,Tomáš Vaclík,cz CZE,PO,Sevilla,es La Liga,29,1989,33,33,2970.0,33.0,44,1.33,143,98,72.0,13,8,12,8,24.2,5,4,1,0,20.0
195,Koke Vegas,es ESP,PO,Levante,es La Liga,22,1995,1,1,90.0,1.0,2,2.0,8,6,75.0,0,1,0,0,0.0,0,0,0,0,0.0
196,Emiliano Viviano,it ITA,PO,SPAL,it Serie A,32,1985,17,17,1525.0,16.9,25,1.48,84,59,75.0,7,3,7,3,17.6,4,4,0,0,0.0
197,Michel Vorm,nl NED,PO,Tottenham,eng Premier League,34,1983,2,2,180.0,2.0,4,2.0,13,9,69.2,0,0,2,0,0.0,0,0,0,0,0.0
198,Axel Werner,ar ARG,PO,Huesca,es La Liga,22,1996,6,6,540.0,6.0,16,2.67,32,17,53.1,1,1,4,0,0.0,1,1,0,0,0.0
199,Yoel,es ESP,PO,Valladolid,es La Liga,29,1988,3,3,270.0,3.0,6,2.0,12,6,58.3,0,2,1,0,0.0,1,1,0,0,0.0
200,Robin Zentner,de GER,PO,Mainz 05,de Bundesliga,23,1994,10,10,900.0,10.0,14,1.4,49,35,71.4,4,4,2,2,20.0,0,0,0,0,0.0
201,Luca Zidane,fr FRA,PO,Real Madrid,es La Liga,20,1998,1,1,90.0,1.0,2,2.0,3,1,33.3,1,0,0,0,0.0,0,0,0,0,0.0
202,Ron-Robert Zieler,de GER,PO,Stuttgart,de Bundesliga,29,1989,34,34,3060.0,34.0,70,2.06,179,113,62.0,7,7,20,6,17.6,3,2,0,1,0.0
