RL2018-2019,Jugador2018-2019,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,90 s2018-2019,TA2018-2019,TR2018-2019,2a amarilla2018-2019,Fls2018-2019,FR2018-2019,PA2018-2019,Pcz2018-2019,Int2018-2019,TklG2018-2019,Penal ejecutado2018-2019,Penal concedido2018-2019,GC2018-2019,Recup.2018-2019,Ganados2018-2019,Perdidos2018-2019,% de ganados2018-2019
41,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,28.1,4,0,0,13,11,5,115,31,21,0,0,0,148,24,22,52.2
42,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,20,1998,21.1,4,0,0,29,32,0,40,46,44,0,0,0,93,18,26,40.9
43,Lucas Alario,ar ARG,"DL,CC",Leverkusen,de Bundesliga,25,1992,14.1,1,0,0,23,24,14,5,1,8,0,0,0,37,40,72,35.7
44,Jordi Alba,es ESP,DF,Barcelona,es La Liga,29,1989,33.2,6,0,0,25,19,9,52,60,22,1,0,0,208,16,37,30.2
45,Luis Alberto,es ESP,"CC,DL",Lazio,it Serie A,25,1992,22.1,5,1,0,23,24,3,171,10,22,0,0,0,117,14,21,40.0
46,Raúl Albiol,es ESP,DF,Napoli,it Serie A,32,1985,19.0,4,0,0,10,7,0,3,20,8,0,1,0,102,46,33,58.2
47,Miiko Albornoz,cl CHI,"DF,CC",Hannover 96,de Bundesliga,27,1990,18.4,3,1,0,34,37,1,57,16,26,0,1,0,94,8,24,25.0
48,Marc Albrighton,eng ENG,"DL,CC",Leicester City,eng Premier League,28,1989,18.1,3,0,0,10,20,2,125,23,22,0,0,0,141,15,18,45.5
49,Paco Alcácer,es ESP,DL,Dortmund,de Bundesliga,24,1993,13.5,0,0,0,5,7,9,3,6,1,0,0,0,26,12,33,26.7
50,Pedro Alcalá,es ESP,DF,Girona,es La Liga,29,1989,20.8,9,0,0,21,13,2,3,36,23,0,0,0,106,84,46,64.6
51,Thiago Alcántara,es ESP,CC,Bayern Munich,de Bundesliga,27,1991,26.8,5,0,0,52,34,0,69,44,65,0,1,0,266,34,38,47.2
52,Rubén Alcaraz,es ESP,CC,Valladolid,es La Liga,27,1991,33.1,13,0,0,69,109,1,39,38,54,0,0,0,268,49,66,42.6
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,32.5,3,0,0,10,1,1,6,24,23,0,0,1,193,54,47,53.5
54,Álex Alegría,es ESP,"DL,CC",Rayo Vallecano,es La Liga,25,1992,1.6,0,0,0,7,4,3,0,0,1,0,0,0,4,6,8,42.9
55,Alexis Alegue,fr FRA,DL,Nantes,fr Ligue 1,21,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
56,Iván Alejo,es ESP,CC,Getafe,es La Liga,23,1995,1.6,2,1,0,10,7,0,7,0,0,0,0,0,5,3,3,50.0
57,Carles Aleñá,es ESP,CC,Barcelona,es La Liga,20,1998,7.1,2,0,0,9,14,1,3,2,4,0,0,0,38,5,4,55.6
58,Rúnar Alex Rúnarsson,is ISL,PO,Dijon,fr Ligue 1,23,1995,25.0,0,0,0,0,4,0,0,1,0,0,0,0,33,10,0,100.0
59,Alexander,ar ARG,DL,Leganés,es La Liga,29,1988,0.1,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0.0
60,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,27.4,3,0,0,14,7,4,201,35,39,0,0,0,169,9,23,28.1
61,Rachid Alioui,ma MAR,DL,Nîmes,fr Ligue 1,26,1992,13.9,1,0,0,11,11,5,19,10,5,0,0,0,40,42,67,38.5
62,Alisson,br BRA,PO,Liverpool,eng Premier League,25,1992,38.0,1,0,0,0,1,0,0,1,1,0,0,0,70,11,1,91.7
63,Bobby Allain,fr FRA,PO,Dijon,fr Ligue 1,26,1991,13.0,1,0,0,1,6,0,0,0,0,0,1,0,14,9,3,75.0
129,Allan,br BRA,CC,Napoli,it Serie A,27,1991,31.1,11,0,0,55,67,0,17,36,74,0,0,0,285,14,19,69.8
