RL2018-2019,Jugador2018-2019,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,90 s2018-2019,TA2018-2019,TR2018-2019,2a amarilla2018-2019,Fls2018-2019,FR2018-2019,PA2018-2019,Pcz2018-2019,Int2018-2019,TklG2018-2019,Penal ejecutado2018-2019,Penal concedido2018-2019,GC2018-2019,Recup.2018-2019,Ganados2018-2019,Perdidos2018-2019,% de ganados2018-2019
687,Gabriel Dos Santos,br BRA,DF,Lille,fr Ligue 1,20,1997,11.8,1,0,0,14,13,0,0,19,11,0,0,0,55,41,16,71.9
688,Mathieu Dossevi,tg TOG,"DL,CC",Toulouse,fr Ligue 1,30,1988,27.4,0,0,0,28,46,19,189,33,28,1,0,0,133,13,32,28.9
689,Abdoulaye Doucouré,ml MLI,CC,Watford,eng Premier League,25,1993,34.0,7,0,0,36,13,2,11,34,38,0,0,1,257,40,36,52.6
690,Cheick Doukouré,ci CIV,CC,Levante,es La Liga,25,1992,3.5,1,0,0,13,6,0,1,3,7,0,1,0,15,4,11,26.7
691,Moussa Doumbia,ml MLI,"DL,CC",Reims,fr Ligue 1,23,1994,17.8,5,0,0,29,68,8,37,7,13,1,0,0,122,13,29,31.0
692,Seydou Doumbia,ci CIV,DL,Girona,es La Liga,30,1987,6.0,2,0,0,10,5,4,1,3,1,0,0,0,16,5,36,12.2
693,Souleyman Doumbia,ci CIV,DF,Rennes,fr Ligue 1,21,1996,6.7,0,0,0,7,7,1,7,4,7,0,0,0,39,11,8,57.9
694,Aleksandar Dragović,at AUT,DF,Leverkusen,de Bundesliga,27,1991,14.8,4,0,0,11,6,1,0,25,12,0,1,0,70,28,27,50.9
1391,Bartłomiej Drągowski,pl POL,PO,Fiorentina,it Serie A,20,1997,16.5,2,0,0,1,4,0,0,0,0,0,1,0,22,5,1,180.0
697,Julian Draxler,de GER,"CC,DL",Paris S-G,fr Ligue 1,24,1993,22.7,6,0,0,25,14,1,36,15,22,0,0,0,140,18,12,60.0
698,Luke Dreher,eng ENG,DL,Crystal Palace,eng Premier League,19,1998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
699,Josip Drmić,ch SUI,DL,M'Gladbach,de Bundesliga,25,1992,2.5,0,0,0,4,0,0,3,1,0,0,0,0,9,4,6,40.0
700,Jaroslav Drobný,cz CZE,PO,Düsseldorf,de Bundesliga,38,1979,2.0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0
701,Óscar Duarte,cr CRC,"DF,CC",Espanyol,es La Liga,29,1989,7.3,0,0,0,8,2,1,1,13,5,0,0,1,35,23,10,69.7
702,Rubén Duarte,es ESP,DF,Alavés,es La Liga,22,1995,30.8,10,1,0,35,61,1,80,57,35,0,0,0,148,51,44,53.7
703,Leo Dubois,fr FRA,DF,Lyon,fr Ligue 1,23,1994,22.7,2,0,0,30,15,2,88,22,22,0,0,0,127,28,24,53.8
704,Martin Dúbravka,sk SVK,PO,Newcastle Utd,eng Premier League,29,1989,38.0,1,0,0,0,5,0,0,0,0,0,0,0,38,15,2,88.2
705,Marvin Ducksch,de GER,DL,Düsseldorf,de Bundesliga,24,1994,9.1,1,0,0,3,8,4,24,4,1,0,0,0,29,24,23,51.1
706,Ondrej Duda,sk SVK,CC,Hertha BSC,de Bundesliga,23,1994,28.5,7,0,0,77,45,6,51,15,33,0,0,0,167,31,53,36.9
707,Shane Duffy,ie IRL,DF,Brighton,eng Premier League,26,1992,34.3,4,1,0,22,10,4,2,36,20,1,1,0,143,187,68,73.3
708,Demeaco Duhaney,eng ENG,DF,Huddersfield,eng Premier League,19,1998,0.5,0,0,0,0,2,0,2,1,0,0,0,0,2,0,1,0.0
709,Paul Dummett,wls WAL,DF,Newcastle Utd,eng Premier League,26,1991,22.1,1,0,0,11,10,1,32,37,22,0,1,0,80,58,27,68.2
710,Alfred Duncan,gh GHA,CC,Sassuolo,it Serie A,25,1993,20.5,7,1,0,37,22,3,25,15,21,0,0,0,113,15,30,33.3
711,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,26,1991,35.0,6,1,1,22,14,0,2,46,26,0,0,0,206,119,63,65.4
712,Maxime Dupé,fr FRA,PO,Nantes,fr Ligue 1,25,1993,10.4,1,0,0,0,0,0,0,0,0,0,0,0,8,2,0,100.0
713,Erik Durm,de GER,DF,Huddersfield,eng Premier League,26,1992,22.8,0,0,0,13,22,1,65,41,22,0,0,0,136,22,36,37.9
714,Jimmy Durmaz,se SWE,"CC,DL",Toulouse,fr Ligue 1,29,1989,21.1,5,0,0,27,18,1,87,11,22,0,0,0,121,9,24,27.3
715,Riza Durmisi,dk DEN,DF,Lazio,it Serie A,24,1994,3.6,4,0,0,7,4,0,18,1,4,0,1,0,17,1,4,20.0
716,Hugo Duro,es ESP,"CC,DL",Getafe,es La Liga,18,1999,4.6,0,0,0,9,17,0,4,3,4,1,0,0,18,8,11,42.1
717,Raphael Dwamena,gh GHA,DL,Levante,es La Liga,22,1995,2.5,0,0,0,8,6,4,3,0,0,1,0,0,5,6,12,33.3
718,Paulo Dybala,ar ARG,"DL,CC",Juventus,it Serie A,24,1993,23.7,2,0,0,18,66,5,85,14,8,2,0,0,128,4,16,20.0
719,Edin Džeko,ba BIH,DL,Roma,it Serie A,32,1986,28.7,9,0,0,31,36,13,27,0,7,1,0,0,62,130,87,59.9
720,Blerim Džemaili,ch SUI,CC,Bologna,it Serie A,32,1986,19.4,4,0,0,23,56,0,14,17,27,0,0,0,129,18,14,56.3
721,Félix Eboa Eboa,cm CMR,DF,Guingamp,fr Ligue 1,21,1997,27.0,5,0,0,26,17,0,12,39,33,0,1,0,117,98,51,65.8
722,Dennis Eckert,de GER,DL,Celta Vigo,es La Liga,21,1997,2.4,0,0,0,3,6,1,2,2,2,0,0,0,6,13,11,54.2
723,Bruno Ecuele Manga,ga GAB,DF,Cardiff City,eng Premier League,30,1988,37.5,0,0,0,15,11,1,20,81,36,0,2,0,268,87,60,59.2
1449,Simone Edera,it ITA,CC,Torino,it Serie A,21,1997,3.1,1,0,0,5,2,1,14,1,4,0,0,0,14,2,6,53.3
726,Ederson,br BRA,PO,Manchester City,eng Premier League,24,1993,38.0,2,0,0,2,3,0,0,1,3,0,2,0,52,11,0,100.0
727,Johannes Eggestein,de GER,"DL,CC",Werder Bremen,de Bundesliga,20,1998,12.4,0,0,0,15,14,1,17,4,9,0,0,0,72,15,38,28.3
728,Maximilian Eggestein,de GER,CC,Werder Bremen,de Bundesliga,21,1996,33.9,4,0,0,37,40,0,37,30,42,0,0,0,213,42,50,45.7
729,Albin Ekdal,se SWE,CC,Sampdoria,it Serie A,29,1989,29.4,6,0,0,46,68,1,3,53,39,0,0,0,213,56,42,57.1
730,Josip Elez,hr CRO,DF,Hannover 96,de Bundesliga,24,1994,7.2,1,0,0,6,2,0,3,6,3,0,0,0,36,10,11,47.6
731,Harvey Elliott,eng ENG,CC,Fulham,eng Premier League,15,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0
732,Mohamed Elneny,eg EGY,CC,Arsenal,eng Premier League,26,1992,4.2,0,0,0,1,0,1,3,2,4,0,0,0,26,2,6,25.0
733,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,24,1994,25.0,5,0,0,22,27,0,28,39,29,0,0,0,137,64,39,62.1
734,Gorka Elustondo,es ESP,"CC,DF",Rayo Vallecano,es La Liga,31,1987,3.2,1,0,0,4,2,0,1,6,5,0,0,0,14,11,5,68.8
735,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,21,1996,29.1,1,0,0,17,14,1,1,47,19,0,0,0,157,80,53,60.2
736,Rodrigo Ely,br BRA,DF,Alavés,es La Liga,24,1993,4.8,1,0,0,7,2,0,0,7,5,0,1,0,21,26,6,81.3
737,Mohamed Elyounoussi,no NOR,CC,Southampton,eng Premier League,23,1994,8.8,0,0,0,10,13,2,48,6,12,0,0,0,44,9,15,37.5
738,Adri Embarba,es ESP,"CC,DL",Rayo Vallecano,es La Liga,26,1992,25.4,5,1,1,44,36,9,222,29,26,1,1,0,127,20,46,30.3
739,Breel Embolo,ch SUI,DL,Schalke 04,de Bundesliga,21,1997,14.9,4,0,0,30,31,8,6,4,17,2,0,0,46,29,48,37.7
740,Emerson,br BRA,"DL,DF",Betis,es La Liga,19,1999,3.5,1,0,0,5,14,0,8,7,7,0,0,0,12,3,3,50.0
741,Youssef En-Nesyri,ma MAR,DL,Leganés,es La Liga,21,1997,23.4,7,0,0,36,40,17,34,6,8,0,0,1,71,141,105,57.3
742,Björn Engels,be BEL,DF,Reims,fr Ligue 1,23,1994,33.0,4,0,0,20,17,2,4,44,8,0,0,1,138,99,49,66.9
743,Sergi Enrich,es ESP,DL,Eibar,es La Liga,28,1990,28.7,4,0,0,65,31,39,6,6,17,2,0,0,94,171,217,44.1
744,Javier Eraso,es ESP,"CC,DL",Leganés,es La Liga,28,1990,7.0,2,0,0,16,11,1,22,7,3,1,0,0,31,8,14,36.4
745,Christian Eriksen,dk DEN,CC,Tottenham,eng Premier League,26,1992,30.8,3,0,0,17,16,2,117,15,25,0,0,0,188,13,34,27.7
746,Patrick Erras,de GER,CC,Nürnberg,de Bundesliga,23,1995,13.6,1,0,0,9,3,0,0,23,10,0,1,0,51,46,22,67.6
747,Gonzalo Escalante,ar ARG,CC,Eibar,es La Liga,25,1993,19.9,6,0,0,32,18,0,7,21,28,0,0,0,106,45,63,41.7
748,Sergio Escudero,es ESP,"DF,DL",Sevilla,es La Liga,28,1989,17.2,8,1,1,21,21,1,42,24,29,0,1,0,98,22,35,38.6
749,Bernardo Espinosa,co COL,DF,Girona,es La Liga,29,1989,30.3,6,2,2,33,6,3,0,40,14,0,1,0,128,130,66,66.3
750,Michael Esser,de GER,PO,Hannover 96,de Bundesliga,30,1987,32.0,3,0,0,0,6,0,0,1,2,0,0,0,53,10,2,83.3
751,Alexander Esswein,de GER,"CC,DL",Stuttgart,de Bundesliga,28,1990,13.9,3,0,0,18,17,10,58,12,11,0,0,0,51,15,28,34.9
752,Neil Etheridge,ph PHI,PO,Cardiff City,eng Premier League,28,1990,38.0,2,0,0,0,5,0,0,7,1,0,0,0,33,7,0,100.0
753,Beñat Etxebarria,es ESP,CC,Athletic Club,es La Liga,31,1987,22.6,8,0,0,30,17,0,108,24,24,0,1,0,178,20,17,54.1
754,Xabier Etxeita,es ESP,DF,Huesca,es La Liga,30,1987,29.7,10,0,0,34,12,1,8,39,23,0,1,1,114,78,56,58.2
755,Lucas Evangelista,br BRA,"DL,CC",Nantes,fr Ligue 1,23,1995,8.0,0,0,0,19,31,0,15,9,17,0,0,0,49,23,16,59.0
756,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,30,1988,22.2,2,0,0,21,17,0,1,33,13,0,1,0,113,72,37,66.1
757,Ewerton,br BRA,DF,Nürnberg,de Bundesliga,29,1989,14.9,2,0,0,17,2,1,0,25,20,0,0,1,81,58,24,70.7
1517,Valentin Eysseric,fr FRA,"DL,CC",Fiorentina,it Serie A,26,1992,6.3,2,0,0,18,16,1,31,4,6,1,0,0,45,7,6,91.7
760,Marco Fabián,mx MEX,DL,Eint Frankfurt,de Bundesliga,29,1989,0.7,0,0,0,1,1,0,1,3,2,0,0,0,4,0,1,0.0
761,Łukasz Fabiański,pl POL,PO,West Ham,eng Premier League,33,1985,38.0,0,0,0,0,6,0,0,1,0,0,0,0,31,9,2,81.8
762,Fabinho,br BRA,CC,Liverpool,eng Premier League,24,1993,22.4,6,0,0,29,30,0,10,28,31,0,0,0,120,54,40,57.4
763,Fábio,br BRA,"DF,DL",Nantes,fr Ligue 1,28,1990,14.2,4,1,0,18,19,1,35,18,34,0,1,0,87,20,17,54.1
1529,Cesc Fàbregas,es ESP,CC,Chelsea,eng Premier League,31,1987,12.7,3,0,0,7,20,0,31,10,14,0,0,0,86,9,22,61.3
766,Fabricio,es ESP,PO,Fulham,eng Premier League,30,1987,2.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.0
767,Ralf Fährmann,de GER,PO,Schalke 04,de Bundesliga,29,1988,16.3,0,0,0,0,0,0,0,2,0,0,0,0,15,7,0,100.0
768,Romain Faivre,fr FRA,CC,Monaco,fr Ligue 1,20,1998,1.0,1,0,0,3,2,0,0,1,0,0,0,0,4,1,0,100.0
769,Fayçal Fajr,ma MAR,CC,Caen,fr Ligue 1,29,1988,36.0,6,0,0,43,89,3,217,29,32,0,0,0,239,15,21,41.7
770,Radamel Falcao,co COL,DL,Monaco,fr Ligue 1,32,1986,28.4,10,0,0,70,63,14,7,3,15,1,1,0,85,92,96,48.9
771,Diego Falcinelli,it ITA,DL,Bologna,it Serie A,27,1991,7.8,0,0,0,13,20,0,8,1,5,0,0,0,28,18,21,46.2
772,Simon Falette,gn GUI,DF,Eint Frankfurt,de Bundesliga,26,1992,6.7,0,0,0,5,4,1,1,14,6,0,0,0,27,19,3,86.4
773,Iago Falque,es ESP,"DL,CC",Torino,it Serie A,28,1990,17.9,1,0,0,16,19,7,87,3,8,1,0,0,76,5,30,14.3
774,Paolo Faragò,it ITA,"CC,DF",Cagliari,it Serie A,25,1993,18.9,8,1,1,35,23,1,60,15,29,0,0,0,114,46,24,65.7
775,Mohamed Fares,dz ALG,DF,SPAL,it Serie A,22,1996,32.8,12,0,0,51,40,0,160,54,43,0,1,0,153,41,34,54.7
1553,Diego Farias,br BRA,DL,Empoli,it Serie A,28,1990,21.1,4,0,0,22,28,10,29,1,13,2,0,0,49,7,21,60.2
778,Andrea Favilli,it ITA,"DL,DF",Genoa,it Serie A,21,1997,1.9,0,0,0,7,2,1,1,0,1,0,0,0,5,9,4,69.2
779,Federico Fazio,ar ARG,DF,Roma,it Serie A,31,1987,31.2,6,0,0,28,15,0,5,53,20,0,1,0,179,112,47,70.4
780,Zouhair Feddal,ma MAR,DF,Betis,es La Liga,29,1989,18.9,7,0,0,29,9,0,4,31,23,0,2,0,106,71,28,71.7
781,Nabil Fekir,fr FRA,CC,Lyon,fr Ligue 1,25,1993,22.1,5,0,0,44,63,18,79,7,31,1,0,0,85,13,31,29.5
782,Yassin Fekir,fr FRA,DL,Lyon,fr Ligue 1,21,1997,0.1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0.0
783,Felipe,br BRA,DF,Hannover 96,de Bundesliga,31,1987,12.2,5,1,1,18,17,0,1,35,15,0,1,0,52,30,25,54.5
784,Luiz Felipe,it ITA,DF,Lazio,it Serie A,21,1997,14.3,4,0,0,20,12,1,4,26,18,0,0,0,59,22,19,53.7
785,Ohis Felix Uduokhai,de GER,DF,Wolfsburg,de Bundesliga,20,1997,2.7,2,0,0,8,5,0,5,6,7,0,0,0,6,8,3,72.7
786,Marouane Fellaini,be BEL,CC,Manchester Utd,eng Premier League,30,1987,8.4,1,0,0,15,9,2,6,4,13,1,0,0,50,48,22,68.6
787,Kiko Femenía,es ESP,DF,Watford,eng Premier League,27,1991,22.8,1,0,0,12,14,3,64,36,30,0,1,0,128,12,12,50.0
788,Edimilson Fernandes,ch SUI,CC,Fiorentina,it Serie A,22,1996,21.9,9,1,1,38,17,0,16,26,24,0,2,0,155,21,35,37.5
789,Gelson Fernandes,ch SUI,CC,Eint Frankfurt,de Bundesliga,31,1986,24.7,10,1,1,56,6,0,1,53,48,0,0,0,143,34,48,41.5
790,Aitor Fernández,es ESP,PO,Levante,es La Liga,27,1991,16.0,0,0,0,0,4,0,0,1,0,0,0,0,20,2,0,100.0
791,Andrés Fernández,es ESP,PO,Villarreal,es La Liga,31,1986,6.0,2,0,0,0,0,0,0,0,0,0,0,0,12,1,0,100.0
792,Borja Fernández,es ESP,"CC,DF",Valladolid,es La Liga,37,1981,9.3,4,0,0,17,6,1,2,14,12,0,0,0,55,37,23,61.7
793,Federico Fernández,ar ARG,DF,Newcastle Utd,eng Premier League,29,1989,16.5,2,0,0,12,7,1,5,25,12,0,1,0,78,37,30,55.2
794,Joaquín Fernández,es ESP,"DF,CC",Valladolid,es La Liga,22,1996,9.3,2,0,0,8,8,0,0,17,9,0,0,1,36,37,21,63.8
795,Valery Fernández,es ESP,"DF,DL",Girona,es La Liga,18,1999,9.9,2,0,0,8,15,0,26,8,15,0,0,0,52,8,12,40.0
796,Fernandinho,br BRA,CC,Manchester City,eng Premier League,33,1985,26.4,5,0,0,40,26,2,4,41,43,0,1,0,163,75,64,54.0
797,Juan Ferney Otero,co COL,"DL,CC",Amiens,fr Ligue 1,23,1995,24.2,1,0,0,29,39,14,90,22,13,0,0,0,127,43,63,40.6
798,Alex Ferrari,it ITA,DF,Sampdoria,it Serie A,24,1994,6.0,2,0,0,3,4,0,1,9,8,0,1,0,26,12,4,75.0
799,David Ferreiro,es ESP,"CC,DL",Huesca,es La Liga,30,1988,25.3,5,0,0,42,36,24,258,24,22,0,0,0,145,7,32,17.9
800,Facundo Ferreyra,ar ARG,DL,Espanyol,es La Liga,27,1991,2.3,2,0,0,8,4,2,2,0,2,0,0,0,4,8,11,42.1
1603,Jordan Ferri,fr FRA,CC,Nîmes,fr Ligue 1,26,1992,22.1,5,0,0,42,32,2,27,16,34,0,0,0,207,23,34,80.4
803,Oliver Fink,de GER,CC,Düsseldorf,de Bundesliga,36,1982,11.7,4,0,0,25,19,3,10,13,22,0,0,0,78,70,78,47.3
804,Alfreð Finnbogason,is ISL,DL,Augsburg,de Bundesliga,29,1989,14.8,2,0,0,34,9,22,4,3,3,1,0,0,32,22,34,39.3
805,Roberto Firmino,br BRA,"DL,CC",Liverpool,eng Premier League,26,1991,29.0,0,0,0,38,10,7,9,6,20,0,0,0,112,30,75,28.6
806,Junior Firpo,es ESP,"DF,DL",Betis,es La Liga,21,1996,21.5,7,0,0,30,26,4,35,23,25,1,0,0,105,34,22,60.7
807,Mathieu Flamini,fr FRA,CC,Getafe,es La Liga,34,1984,5.0,5,0,0,15,6,0,0,5,4,0,0,0,28,15,4,78.9
808,Mark Flekken,nl NED,PO,Freiburg,de Bundesliga,25,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0
809,Sergio Floccari,it ITA,DL,SPAL,it Serie A,36,1981,10.8,3,0,0,14,19,3,8,2,5,3,0,0,28,22,26,45.8
810,Alessandro Florenzi,it ITA,"DF,DL",Roma,it Serie A,27,1991,24.2,5,1,1,15,23,2,129,46,21,0,0,0,143,15,24,38.5
811,Phil Foden,eng ENG,CC,Manchester City,eng Premier League,18,2000,3.7,0,0,0,4,5,0,4,4,6,0,0,0,14,2,7,22.2
1625,Guessouma Fofana,mr MTN,CC,Amiens,fr Ligue 1,25,1992,7.4,3,0,0,17,7,0,5,9,13,0,0,0,35,10,10,106.7
814,Seko Fofana,ci CIV,CC,Udinese,it Serie A,23,1995,29.3,5,0,0,29,28,0,35,29,13,0,1,0,201,15,19,44.1
815,Wesley Fofana,fr FRA,DF,Saint-Étienne,fr Ligue 1,17,2000,1.8,0,0,0,2,4,0,0,4,6,0,0,0,9,3,4,42.9
816,Youssouf Fofana,fr FRA,CC,Strasbourg,fr Ligue 1,19,1999,10.1,0,0,0,17,9,0,6,11,20,0,0,0,65,5,7,41.7
817,Thomas Foket,be BEL,DF,Reims,fr Ligue 1,23,1994,32.0,7,0,0,49,42,4,53,49,52,0,2,0,167,28,41,40.6
818,Thomas Fontaine,mg MAD,"DF,CC",Reims,fr Ligue 1,27,1991,4.7,1,0,0,6,3,0,0,7,3,0,0,0,20,10,9,52.6
819,José Fonte,pt POR,DF,Lille,fr Ligue 1,34,1983,34.6,5,1,0,29,14,0,6,37,15,0,2,0,187,117,40,74.5
820,Rui Fonte,pt POR,"DL,CC",Lille,fr Ligue 1,28,1990,7.0,1,0,0,22,4,2,2,2,12,0,0,0,23,37,29,56.1
821,Pablo Fornals,es ESP,"CC,DL",Villarreal,es La Liga,22,1996,27.5,4,0,0,31,43,4,36,24,26,0,0,0,163,20,63,24.1
822,Emil Forsberg,se SWE,"CC,DL",RB Leipzig,de Bundesliga,26,1991,13.9,0,0,0,7,24,3,49,3,7,0,0,0,67,8,10,44.4
823,Fraser Forster,eng ENG,PO,Southampton,eng Premier League,30,1988,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
824,Steven Fortes,cv CPV,DF,Toulouse,fr Ligue 1,26,1992,1.5,0,0,0,1,1,0,0,2,1,0,0,0,2,7,2,77.8
825,Iver Fossum,no NOR,CC,Hannover 96,de Bundesliga,22,1996,5.1,0,0,0,1,3,0,27,7,5,0,0,0,28,1,11,8.3
826,Ben Foster,eng ENG,PO,Watford,eng Premier League,35,1983,38.0,1,0,0,2,9,0,1,2,2,0,2,0,64,13,0,100.0
827,Timothy Fosu-Mensah,nl NED,DF,Fulham,eng Premier League,20,1998,8.8,3,0,0,7,1,0,15,12,7,0,1,1,42,7,13,35.0
828,Dimitri Foulquier,fr FRA,"CC,DF",Getafe,es La Liga,25,1993,20.0,7,0,0,49,25,2,26,20,12,0,0,0,104,24,57,29.6
829,Juan Foyth,ar ARG,DF,Tottenham,eng Premier League,20,1998,9.9,3,1,0,16,9,0,2,10,17,0,2,0,53,25,19,56.8
830,Raphael Framberger,de GER,"DF,CC",Augsburg,de Bundesliga,22,1995,6.1,2,0,0,6,8,0,25,11,6,0,0,0,32,8,4,66.7
831,Simon Francis,eng ENG,DF,Bournemouth,eng Premier League,33,1985,13.7,1,0,0,11,8,3,32,19,14,0,0,0,65,47,40,54.0
832,Mike Frantz,de GER,"CC,DL",Freiburg,de Bundesliga,31,1986,24.6,2,0,0,20,35,5,44,21,26,1,0,0,68,48,47,50.5
833,Ryan Fraser,sct SCO,"CC,DL",Bournemouth,eng Premier League,24,1994,35.2,2,0,0,6,68,10,271,22,11,1,0,0,135,9,27,25.0
834,Pierluigi Frattali,it ITA,PO,Parma,it Serie A,32,1985,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
835,Fred,br BRA,CC,Manchester Utd,eng Premier League,25,1993,11.6,2,0,0,25,18,1,13,16,17,0,1,0,105,3,13,18.8
836,Ryan Fredericks,eng ENG,DF,West Ham,eng Premier League,25,1992,12.1,5,0,0,9,10,1,20,13,23,0,1,0,51,20,12,62.5
837,Remo Freuler,ch SUI,CC,Atalanta,it Serie A,26,1992,33.6,4,0,0,41,72,0,16,38,45,1,0,0,236,34,41,45.3
838,Nicolas Frey,fr FRA,DF,Chievo,it Serie A,34,1984,2.5,0,0,0,2,1,0,1,7,1,0,0,0,9,3,4,42.9
839,Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,20,1998,5.3,3,0,0,8,5,0,2,13,6,0,1,0,19,8,4,66.7
840,Alexander Fuchs,de GER,"CC,DL",Nürnberg,de Bundesliga,21,1997,7.3,3,0,0,14,11,0,4,5,12,0,0,0,34,3,9,25.0
841,Christian Fuchs,at AUT,DF,Leicester City,eng Premier League,32,1986,2.3,0,0,0,3,2,0,15,4,3,0,0,0,17,3,3,50.0
842,Javi Fuego,es ESP,CC,Villarreal,es La Liga,34,1984,2.6,1,0,0,7,5,0,0,3,3,0,0,0,15,4,3,57.1
843,Angelo Fulgini,fr FRA,"CC,DL",Angers,fr Ligue 1,21,1996,18.2,1,0,0,21,46,1,46,28,22,1,0,0,104,19,22,46.3
844,Niclas Füllkrug,de GER,DL,Hannover 96,de Bundesliga,25,1993,12.4,1,0,0,20,14,5,6,1,0,1,0,0,23,65,72,47.4
845,Ramiro Funes Mori,ar ARG,"DF,CC",Villarreal,es La Liga,27,1991,29.2,15,0,0,32,22,2,6,42,29,0,0,1,175,67,25,72.8
1693,Manolo Gabbiadini,it ITA,"DL,CC",Southampton,eng Premier League,26,1991,14.3,5,0,0,27,20,4,35,7,4,1,0,0,50,23,52,60.7
848,Mijat Gaćinović,rs SRB,CC,Eint Frankfurt,de Bundesliga,23,1995,18.1,3,0,0,20,41,2,25,24,20,1,0,0,116,11,29,27.5
849,Gianluca Gaetano,it ITA,"CC,DL",Napoli,it Serie A,18,2000,0.1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0
850,Roberto Gagliardini,it ITA,CC,Inter,it Serie A,24,1994,12.1,4,0,0,28,19,1,2,16,14,0,0,0,46,36,26,58.1
851,Riccardo Gagliolo,se SWE,DF,Parma,it Serie A,28,1990,33.8,7,0,0,32,41,0,18,66,45,0,2,2,183,42,38,52.5
852,Milan Gajić,rs SRB,DF,Bordeaux,fr Ligue 1,22,1996,1.0,0,0,0,1,1,0,3,1,1,0,0,0,2,1,3,25.0
853,Javi Galán,es ESP,"DF,DL",Huesca,es La Liga,23,1994,16.0,7,0,0,15,22,1,68,19,39,0,1,0,95,17,19,47.2
854,Sam Gallagher,eng ENG,DL,Southampton,eng Premier League,22,1995,0.4,0,0,0,4,1,0,0,0,0,0,0,0,1,2,10,16.7
855,Álex Gallar,es ESP,"CC,DL",Huesca,es La Liga,26,1992,11.2,2,0,0,6,16,3,43,9,9,0,0,0,74,3,5,37.5
856,Enric Gallego,es ESP,DL,Huesca,es La Liga,31,1986,17.1,4,0,0,45,29,19,10,8,15,0,0,0,45,96,102,48.5
857,Álex Gálvez,es ESP,DF,Rayo Vallecano,es La Liga,29,1989,15.7,6,0,0,22,13,1,1,45,28,0,2,0,111,35,28,55.6
858,Kévin Gameiro,fr FRA,DL,Valencia,es La Liga,31,1987,17.9,1,0,0,11,12,17,10,5,9,1,0,0,43,11,42,20.8
859,Idrissa Gana Gueye,sn SEN,CC,Everton,eng Premier League,28,1989,31.4,6,0,0,54,38,0,13,74,89,0,1,0,254,32,35,47.8
860,Ignatius Ganago,cm CMR,DL,Nice,fr Ligue 1,19,1999,11.5,1,0,0,9,12,2,3,1,1,1,0,0,25,23,21,52.3
861,Cristian Ganea,ro ROU,DF,Athletic Club,es La Liga,26,1992,0.5,0,0,0,2,1,0,1,1,0,0,0,0,2,0,0,0.0
862,Ganso,br BRA,"CC,DL",Amiens,fr Ligue 1,28,1989,5.8,0,0,0,9,9,0,9,6,8,0,0,0,35,5,4,55.6
863,Ezequiel Garay,ar ARG,DF,Valencia,es La Liga,31,1986,23.7,4,0,0,19,13,0,2,16,17,0,1,0,89,70,41,63.1
864,Borja Garcés,es ESP,DL,Atlético Madrid,es La Liga,18,1999,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
865,Alberto García,es ESP,PO,Rayo Vallecano,es La Liga,33,1985,17.0,1,0,0,0,2,0,0,2,1,0,0,0,24,1,0,100.0
866,Aleix García,es ESP,CC,Girona,es La Liga,21,1997,18.5,1,0,0,12,19,1,77,21,19,0,0,0,120,16,28,36.4
867,Álvaro García,es ESP,"DL,CC",Rayo Vallecano,es La Liga,25,1992,19.6,3,0,0,15,17,5,77,19,19,0,0,0,90,2,16,11.1
868,Borja García,es ESP,"CC,DL",Girona,es La Liga,27,1990,29.2,0,1,0,19,103,4,42,38,27,0,0,0,206,20,34,37.0
869,Dani García,es ESP,CC,Athletic Club,es La Liga,28,1990,27.5,13,0,0,46,26,0,5,49,34,0,0,0,187,56,32,63.6
870,Javi García,es ESP,"DF,CC",Betis,es La Liga,31,1987,5.8,0,1,0,8,5,0,0,5,1,0,0,0,29,14,11,56.0
1743,Manu García,es ESP,CC,Alavés,es La Liga,32,1986,46.4,8,1,1,90,99,4,23,38,74,0,1,1,291,106,84,77.1
2622,Raúl García,es ESP,"CC,DL",Athletic Club,es La Liga,32,1986,39.900000000000006,14,0,0,113,74,11,94,38,59,1,0,0,191,209,143,195.6
876,Sergio García,es ESP,"DL,CC",Espanyol,es La Liga,35,1983,16.5,3,0,0,17,37,2,55,10,10,0,0,0,58,18,30,37.5
