RL2018-2019,Jugador2018-2019,País2018-2019,Posc2018-2019,Equipo2018-2019,Comp2018-2019,Edad2018-2019,Nacimiento2018-2019,PJ2018-2019,Mín2018-2019,Mn/PJ2018-2019,% min2018-2019,90 s2018-2019,Titular2018-2019,Mn/arranque2018-2019,Compl2018-2019,Sup2018-2019,Mn/Sust2018-2019,Partidos como sustituto2018-2019,PPP2018-2019,onG2018-2019,onGA2018-2019,+/-2018-2019,+/-902018-2019,Dentro-Fuera2018-2019,onxG2018-2019,onxGA2018-2019,xG+/-2018-2019,xG+/-902018-2019,Dentro-Fuera.12018-2019
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19.0,1999.0,3,204.0,68.0,6.0,2.3,3,68.0,1,0,0.0,7,0.33,0.0,2.0,-2.0,-0.88,-1.22,1.3,3.1,-1.8,-0.8,-0.57
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27.0,1990.0,36,3195.0,89.0,93.4,35.5,36,89.0,33,0,0.0,2,1.19,44.0,46.0,-2.0,-0.06,-0.06,44.1,46.3,-2.2,-0.06,0.07
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,31.0,1986.0,19,1302.0,69.0,38.1,14.5,15,82.0,8,4,17.0,19,2.11,22.0,13.0,9.0,0.62,0.2,19.9,14.2,5.7,0.4,0.32
4,Issah Abbas,gh GHA,DL,Mainz 05,de Bundesliga,19.0,1998.0,1,9.0,9.0,0.3,0.1,0,0.0,0,1,8.0,2,1.0,0.0,0.0,0.0,0.0,0.32,0.1,0.1,0.0,-0.4,-0.16
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30.0,1987.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,0.0,0,1.45,39.0,42.0,-3.0,-0.08,0.0,38.1,45.0,-6.9,-0.18,0.0
6,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,28.0,1989.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Mehdi Abeid,dz ALG,CC,Dijon,fr Ligue 1,25.0,1992.0,26,2023.0,78.0,59.2,22.5,23,84.0,16,3,28.0,1,0.81,18.0,30.0,-12.0,-0.53,0.56,22.2,31.3,-9.2,-0.41,0.19
8,Charles Abi,fr FRA,"DF,DL",Saint-Étienne,fr Ligue 1,18.0,2000.0,3,32.0,11.0,0.9,0.4,0,0.0,0,3,11.0,4,1.67,0.0,0.0,0.0,0.0,-0.48,1.0,1.3,-0.2,-0.67,-0.84
9,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32.0,1986.0,17,1420.0,84.0,46.4,15.8,17,84.0,15,0,0.0,3,1.35,28.0,29.0,-1.0,-0.06,-0.78,25.9,26.6,-0.6,-0.04,-0.43
10,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,28.0,1990.0,10,790.0,79.0,25.8,8.8,9,85.0,7,1,22.0,2,1.2,10.0,15.0,-5.0,-0.57,-0.17,8.0,16.2,-8.2,-0.93,-0.45
11,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30.0,1988.0,37,3309.0,89.0,96.8,36.8,37,89.0,36,0,0.0,0,1.59,55.0,44.0,11.0,0.3,1.11,58.7,45.2,13.6,0.37,0.46
12,Afriyie Acquah,gh GHA,CC,Empoli,it Serie A,26.0,1992.0,28,1510.0,54.0,44.2,16.8,19,73.0,5,9,14.0,6,1.11,20.0,29.0,-9.0,-0.54,-0.07,18.4,25.2,-6.8,-0.41,-0.2
13,Tyler Adams,us USA,CC,RB Leipzig,de Bundesliga,19.0,1999.0,10,721.0,72.0,23.6,8.0,8,85.0,6,2,23.0,1,2.1,18.0,2.0,16.0,2.0,1.3,17.3,6.9,10.4,1.3,0.73
14,Antonio Adán,es ESP,PO,Atlético Madrid,es La Liga,31.0,1987.0,1,90.0,90.0,2.6,1.0,1,90.0,1,0,0.0,35,2.0,5.0,4.0,1.0,1.0,0.32,1.9,2.7,-0.8,-0.8,-0.96
15,Aday,es ESP,"DF,CC",Girona,es La Liga,30.0,1987.0,10,645.0,65.0,18.9,7.2,8,76.0,4,2,18.0,0,1.2,10.0,10.0,0.0,0.0,0.52,9.4,9.5,-0.1,-0.01,0.28
16,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33.0,1985.0,23,1994.0,87.0,58.3,22.2,22,89.0,20,1,45.0,10,0.91,16.0,32.0,-16.0,-0.72,-0.41,18.3,28.1,-9.7,-0.44,-0.14
17,Claud Adjapong,it ITA,"CC,DL",Sassuolo,it Serie A,20.0,1998.0,5,270.0,54.0,7.9,3.0,3,81.0,1,2,14.0,21,1.4,3.0,2.0,1.0,0.33,0.56,2.2,4.1,-2.0,-0.65,-0.46
18,Yacine Adli,fr FRA,CC,Bordeaux,fr Ligue 1,18.0,2000.0,7,216.0,31.0,6.3,2.4,2,71.0,0,5,15.0,3,0.57,0.0,2.0,-2.0,-0.83,-0.66,2.0,2.9,-1.0,-0.4,-0.04
19,Ali Adnan Kadhim,iq IRQ,DF,Atalanta,it Serie A,24.0,1993.0,3,166.0,55.0,4.9,1.8,2,76.0,1,1,14.0,13,0.33,3.0,5.0,-2.0,-1.08,-2.0,3.5,2.9,0.6,0.34,-0.51
20,Amir Adouyev,ru RUS,CC,Montpellier,fr Ligue 1,19.0,1999.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Adrián,es ESP,PO,West Ham,eng Premier League,31.0,1987.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Aritz Aduriz,es ESP,DL,Athletic Club,es La Liga,37.0,1981.0,20,943.0,47.0,27.6,10.5,10,80.0,4,10,14.0,3,1.15,6.0,14.0,-8.0,-0.76,-0.91,11.4,13.2,-1.8,-0.17,-0.16
23,Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28.0,1990.0,28,2389.0,85.0,69.9,26.5,27,88.0,24,1,14.0,6,0.86,33.0,48.0,-15.0,-0.57,0.66,33.1,41.2,-8.1,-0.3,-0.02
24,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22.0,1996.0,27,2032.0,75.0,59.4,22.6,23,88.0,18,4,5.0,4,1.37,24.0,30.0,-6.0,-0.27,0.06,24.4,31.6,-7.2,-0.32,-0.01
