Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Unnamed: 11_level_0,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Tiros penales,Tiros penales,Tiros penales,Tiros penales,Tiros penales,Unnamed: 27_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,TPint,PD,PD.1,PC,% Salvadas,Partidos
100,Andreas Luthe,de GER,PO,Augsburg,de Bundesliga,32,1987,10,10,900,10.0,12,1.20,33,22,63.6,3,3,4,3,30.0,0,0,0,0,,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,TPint,PD,PD,PC,% Salvadas,Partidos
101,Mike Maignan,fr FRA,PO,Lille,fr Ligue 1,24,1995,28,28,2520,28.0,27,0.96,83,58,72.3,15,4,9,12,42.9,6,4,1,1,20.0,Partidos
102,Steve Mandanda,fr FRA,PO,Marseille,fr Ligue 1,34,1985,27,27,2371,26.3,27,1.02,92,67,75.0,15,8,4,11,40.7,4,4,0,0,0.0,Partidos
103,Daniel Martín,es ESP,PO,Betis,es La Liga,21,1998,6,5,531,5.9,12,2.03,24,12,50.0,1,0,4,1,20.0,0,0,0,0,,Partidos
104,David Martin,eng ENG,PO,West Ham,eng Premier League,33,1986,5,4,436,4.8,6,1.24,21,15,71.4,2,0,2,2,50.0,0,0,0,0,,Partidos
105,Emiliano Martínez,ar ARG,PO,Arsenal,eng Premier League,26,1992,9,8,771,8.6,9,1.05,42,33,81.0,5,1,2,3,37.5,1,1,0,0,0.0,Partidos
106,Jordi Masip,es ESP,PO,Valladolid,es La Liga,30,1989,35,35,3150,35.0,39,1.11,125,85,73.6,8,15,12,11,31.4,7,6,1,0,14.3,Partidos
107,Alex McCarthy,eng ENG,PO,Southampton,eng Premier League,29,1989,28,28,2520,28.0,35,1.25,113,78,69.9,13,5,10,7,25.0,2,1,1,0,50.0,Partidos
108,Michael McGovern,nir NIR,PO,Norwich City,eng Premier League,35,1984,2,1,159,1.8,6,3.40,13,6,53.8,0,0,1,0,0.0,1,0,1,0,100.0,Partidos
109,Edouard Mendy,sn SEN,PO,Rennes,fr Ligue 1,27,1992,24,24,2160,24.0,19,0.79,79,60,79.7,13,5,6,9,37.5,4,3,1,0,25.0,Partidos
110,Alex Meret,it ITA,PO,Napoli,it Serie A,22,1997,22,21,1951,21.7,33,1.52,84,51,66.7,9,5,7,3,14.3,6,5,1,0,16.7,Partidos
111,Antonio Mirante,it ITA,PO,Roma,it Serie A,36,1983,5,5,450,5.0,5,1.00,24,19,83.3,2,1,2,2,40.0,1,1,0,0,0.0,Partidos
112,Simon Moore,eng ENG,PO,Sheffield Utd,eng Premier League,29,1990,2,2,180,2.0,6,3.00,11,5,45.5,0,1,1,0,0.0,0,0,0,0,,Partidos
113,Jessy Moulin,fr FRA,PO,Saint-Étienne,fr Ligue 1,33,1986,5,5,450,5.0,4,0.80,23,19,91.3,2,2,1,2,40.0,2,2,0,0,0.0,Partidos
114,Florian Müller,de GER,PO,Mainz 05,de Bundesliga,21,1997,13,12,1125,12.5,25,2.00,66,40,65.2,3,2,7,2,16.7,3,2,1,0,33.3,Partidos
115,Juan Musso,ar ARG,PO,Udinese,it Serie A,25,1994,38,38,3420,38.0,51,1.34,194,141,77.8,12,9,17,14,36.8,10,8,2,0,20.0,Partidos
116,Yvon Mvogo,ch SUI,PO,RB Leipzig,de Bundesliga,25,1994,2,2,180,2.0,3,1.50,5,2,40.0,2,0,0,0,0.0,0,0,0,0,,Partidos
117,Keylor Navas,cr CRC,PO,Paris S-G,fr Ligue 1,32,1986,21,21,1890,21.0,18,0.86,66,49,72.7,17,2,2,11,52.4,0,0,0,0,,Partidos
118,Neto,br BRA,PO,Barcelona,es La Liga,30,1989,2,2,180,2.0,2,1.00,3,1,33.3,1,1,0,1,50.0,0,0,0,0,,Partidos
119,Manuel Neuer,de GER,PO,Bayern Munich,de Bundesliga,33,1986,33,33,2970,33.0,31,0.94,110,79,74.5,25,4,4,15,45.5,4,3,1,0,25.0,Partidos
120,Moritz Nicolas,de GER,PO,Union Berlin,de Bundesliga,21,1997,1,1,90,1.0,4,4.00,8,4,50.0,0,0,1,0,0.0,0,0,0,0,,Partidos
121,Alexander Nübel,de GER,PO,Schalke 04,de Bundesliga,22,1996,26,26,2315,25.7,40,1.56,118,80,69.5,8,9,9,5,19.2,4,4,0,0,0.0,Partidos
122,Ørjan Nyland,no NOR,PO,Aston Villa,eng Premier League,28,1990,7,5,539,6.0,12,2.00,27,15,55.6,0,2,3,1,20.0,0,0,0,0,,Partidos
123,Jan Oblak,si SVN,PO,Atlético Madrid,es La Liga,26,1993,38,38,3395,37.7,27,0.72,111,87,78.4,18,16,4,17,44.7,4,3,0,1,0.0,Partidos
124,Oier Olazábal,es ESP,PO,Espanyol,es La Liga,29,1989,2,2,180,2.0,0,0.00,3,3,100.0,1,1,0,2,100.0,0,0,0,0,,Partidos
125,Robin Olsen,se SWE,PO,Cagliari,it Serie A,29,1990,17,17,1524,16.9,24,1.42,89,67,77.5,8,5,4,4,23.5,4,4,0,0,0.0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,TPint,PD,PD,PC,% Salvadas,Partidos
126,David Ospina,co COL,PO,Napoli,it Serie A,30,1988,17,17,1469,16.3,17,1.04,54,37,72.2,9,3,5,4,23.5,2,2,0,0,0.0,Partidos
127,Alexandre Oukidja,dz ALG,PO,Metz,fr Ligue 1,31,1988,27,27,2385,26.5,31,1.17,129,98,78.3,8,10,9,8,29.6,3,3,0,0,0.0,Partidos
128,Fernando Pacheco,es ESP,PO,Alavés,es La Liga,27,1992,27,27,2358,26.2,37,1.41,102,62,71.6,7,7,13,6,22.2,11,8,3,0,27.3,Partidos
129,Daniele Padelli,it ITA,PO,Inter,it Serie A,33,1985,4,4,270,3.0,4,1.33,8,4,62.5,2,0,1,1,25.0,1,1,0,0,0.0,Partidos
130,Miquel Parera,es ESP,PO,Mallorca,es La Liga,23,1996,1,1,90,1.0,2,2.00,5,3,60.0,0,1,0,0,0.0,0,0,0,0,,Partidos
131,Rui Patrício,pt POR,PO,Wolves,eng Premier League,31,1988,38,38,3420,38.0,40,1.05,129,88,69.8,15,14,9,13,34.2,3,1,2,0,66.7,Partidos
132,Jiří Pavlenka,cz CZE,PO,Werder Bremen,de Bundesliga,27,1992,33,33,2970,33.0,67,2.03,169,105,60.9,8,6,19,4,12.1,1,1,0,0,0.0,Partidos
133,Gianluca Pegolo,it ITA,PO,Sassuolo,it Serie A,38,1981,5,5,450,5.0,4,0.80,27,24,85.2,2,2,1,2,40.0,0,0,0,0,,Partidos
134,Yohann Pelé,fr FRA,PO,Marseille,fr Ligue 1,36,1982,2,1,149,1.7,2,1.21,7,4,71.4,1,0,0,0,0.0,1,0,1,0,100.0,Partidos
135,Philipp Pentke,de GER,PO,Hoffenheim,de Bundesliga,34,1985,4,4,360,4.0,4,1.00,21,17,85.7,2,0,2,1,25.0,1,1,0,0,0.0,Partidos
136,Juan Pérez,es ESP,PO,Osasuna,es La Liga,23,1996,2,2,180,2.0,3,1.50,9,6,77.8,1,1,0,0,0.0,1,1,0,0,0.0,Partidos
137,Samu Pérez,es ESP,PO,Valladolid,es La Liga,22,1997,1,0,26,0.3,1,3.46,1,0,100.0,0,0,0,0,,1,1,0,0,0.0,Partidos
138,Mattia Perin,it ITA,PO,Genoa,it Serie A,26,1992,21,21,1890,21.0,38,1.81,103,66,64.1,8,4,9,5,23.8,2,1,0,1,0.0,Partidos
139,Pavao Pervan,at AUT,PO,Wolfsburg,de Bundesliga,31,1987,8,8,720,8.0,8,1.00,37,30,81.1,2,4,2,3,37.5,1,1,0,0,0.0,Partidos
140,Danijel Petković,me MNE,PO,Angers,fr Ligue 1,26,1993,2,2,180,2.0,1,0.50,7,6,85.7,1,0,1,1,50.0,0,0,0,0,,Partidos
141,Denis Petrić,rs SRB,PO,Nantes,fr Ligue 1,31,1988,1,1,90,1.0,2,2.00,6,4,66.7,0,0,1,0,0.0,0,0,0,0,,Partidos
142,Jordan Pickford,eng ENG,PO,Everton,eng Premier League,25,1994,38,38,3420,38.0,56,1.47,147,94,63.9,13,10,15,9,23.7,4,3,0,1,0.0,Partidos
143,Carlo Pinsoglio,it ITA,PO,Juventus,it Serie A,29,1990,1,0,19,0.2,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Partidos
144,Nick Pope,eng ENG,PO,Burnley,eng Premier League,27,1992,38,38,3420,38.0,50,1.32,167,117,72.5,15,9,14,15,39.5,5,4,1,0,20.0,Partidos
145,Ionuț Radu,ro ROU,PO,Genoa,it Serie A,22,1997,17,17,1530,17.0,35,2.06,98,64,70.4,2,5,10,2,11.8,7,6,0,1,0.0,Partidos
146,Boris Radunović,rs SRB,PO,Hellas Verona,it Serie A,23,1996,3,3,270,3.0,8,2.67,15,7,60.0,1,0,2,1,33.3,2,2,0,0,0.0,Partidos
147,Rafael,br BRA,PO,Cagliari,it Serie A,37,1982,6,5,454,5.0,11,2.18,17,6,47.1,1,1,3,0,0.0,3,2,0,1,0.0,Partidos
148,Predrag Rajković,rs SRB,PO,Reims,fr Ligue 1,23,1995,27,27,2430,27.0,18,0.67,87,65,80.5,10,11,6,12,44.4,5,1,4,0,80.0,Partidos
149,Aaron Ramsdale,eng ENG,PO,Bournemouth,eng Premier League,21,1998,37,37,3330,37.0,62,1.68,187,124,69.5,9,7,21,5,13.5,6,5,1,0,16.7,Partidos
150,Darren Randolph,ie IRL,PO,West Ham,eng Premier League,32,1987,2,2,180,2.0,5,2.50,11,6,63.6,0,1,1,0,0.0,1,1,0,0,0.0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,TPint,PD,PD,PC,% Salvadas,Partidos
151,Manolo Reina,es ESP,PO,Mallorca,es La Liga,34,1985,36,36,3240,36.0,60,1.67,179,119,74.3,9,5,22,5,13.9,15,14,1,0,6.7,Partidos
152,Pepe Reina,es ESP,PO,Aston Villa,eng Premier League,36,1982,12,12,1080,12.0,20,1.67,53,32,66.0,3,3,6,2,16.7,3,2,1,0,33.3,Partidos
153,Pepe Reina,es ESP,PO,Milan,it Serie A,36,1982,2,2,90,1.0,1,1.00,6,4,83.3,1,0,0,0,0.0,1,0,1,0,100.0,Partidos
154,Álex Remiro,es ESP,PO,Real Sociedad,es La Liga,24,1995,25,25,2250,25.0,32,1.28,93,60,73.1,11,4,10,6,24.0,8,7,1,0,12.5,Partidos
155,Baptiste Reynet,fr FRA,PO,Toulouse,fr Ligue 1,28,1990,23,22,2034,22.6,49,2.17,118,68,61.0,3,3,16,2,9.1,5,3,2,0,40.0,Partidos
156,Sergio Rico,es ESP,PO,Paris S-G,fr Ligue 1,25,1993,2,2,180,2.0,4,2.00,10,6,60.0,2,0,0,0,0.0,0,0,0,0,,Partidos
157,Roberto,es ESP,PO,West Ham,eng Premier League,33,1986,8,7,687,7.6,17,2.23,51,35,68.6,0,1,6,0,0.0,1,1,0,0,0.0,Partidos
158,Roberto,es ESP,PO,Alavés,es La Liga,33,1986,9,8,790,8.8,19,2.16,54,35,70.4,2,1,5,2,25.0,3,3,0,0,0.0,Partidos
