Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Titular,Titular,Titular,Sup.,Sup.,Sup.,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Unnamed: 30_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera,Partidos
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,20,1999,0,,,,,0,,0,0,,8,,,,,,,,,,,,Partidos
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,29,2507,86,73.3,27.9,29,86,25,0,,0,1.24,21,38,-17,-0.61,-0.41,28.3,42.3,-14.0,-0.50,+0.21,Partidos
3,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,3240,90,94.7,36.0,36,90,36,0,,0,0.50,23,71,-48,-1.33,-0.83,34.6,62.1,-27.5,-0.76,+0.23,Partidos
4,Diego Abbrandini,it ITA,PO,Brescia,it Serie A,17,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,Partidos
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,2520,90,100.0,28.0,28,90,28,0,,0,1.46,26,21,+5,+0.18,,30.6,28.5,+2.1,+0.08,,Partidos
6,Suleiman Abdullahi,ng NGA,"DL,CC",Union Berlin,de Bundesliga,22,1996,6,157,26,5.1,1.7,1,57,0,5,20,5,0.67,2,5,-3,-1.72,-1.29,3.1,4.0,-1.0,-0.55,-0.18,Partidos
7,Mehdi Abeid,dz ALG,CC,Nantes,fr Ligue 1,26,1992,25,1817,73,72.1,20.2,20,85,15,5,22,1,1.44,20,25,-5,-0.25,-0.50,20.8,25.4,-4.5,-0.22,-0.65,Partidos
8,Charles Abi,fr FRA,DL,Saint-Étienne,fr Ligue 1,19,2000,15,623,42,24.7,6.9,6,73,2,9,20,1,0.93,7,14,-7,-1.01,-0.58,8.3,10.9,-2.5,-0.37,-0.14,Partidos
9,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,20,1688,84,55.2,18.8,19,86,15,1,61,5,1.85,32,27,+5,+0.27,+0.66,30.9,24.3,+6.6,+0.35,+0.15,Partidos
10,Tammy Abraham,eng ENG,DL,Chelsea,eng Premier League,21,1997,34,2215,65,64.8,24.6,25,81,9,9,20,0,1.82,45,34,+11,+0.45,+0.15,46.3,27.5,+18.8,+0.76,-0.12,Partidos
11,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,29,1990,13,663,51,21.7,7.4,8,74,3,5,14,14,1.62,9,9,0,0.00,-0.04,9.6,12.2,-2.6,-0.35,+0.22,Partidos
12,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,36,3162,88,92.5,35.1,36,88,32,0,,1,2.00,74,38,+36,+1.02,+0.68,62.9,46.9,+16.0,+0.45,+0.14,Partidos
13,Che Adams,sct SCO,DL,Southampton,eng Premier League,23,1996,30,1111,37,32.5,12.3,12,73,0,18,13,6,1.47,17,17,0,0.00,+0.35,20.0,17.7,+2.3,+0.19,+0.15,Partidos
14,Tyler Adams,us USA,"CC,DF",RB Leipzig,de Bundesliga,20,1999,14,953,68,31.1,10.6,10,82,4,4,33,1,1.71,14,13,+1,+0.09,-1.74,17.6,11.3,+6.2,+0.59,-0.54,Partidos
15,Sargis Adamyan,am ARM,"DL,CC",Hoffenheim,de Bundesliga,26,1993,15,746,50,24.4,8.3,6,80,2,9,30,3,1.93,16,10,+6,+0.72,+0.96,15.3,16.3,-0.9,-0.11,-0.02,Partidos
16,Antonio Adán,es ESP,PO,Atlético Madrid,es La Liga,32,1987,1,25,25,0.7,0.3,0,,0,1,25,37,0.00,0,0,0,0.00,-0.64,0.7,0.1,+0.6,+2.27,+1.64,Partidos
17,Bobby Adekanye,nl NED,DL,Lazio,it Serie A,20,1999,11,188,17,5.5,2.1,0,,0,11,17,21,1.45,3,5,-2,-0.96,-2.04,5.8,3.4,+2.3,+1.12,+0.72,Partidos
18,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,5,231,46,6.8,2.6,2,90,2,3,17,26,0.60,5,7,-2,-0.78,-0.72,3.2,4.8,-1.6,-0.62,-0.58,Partidos
19,Amine Adli,ma MAR,"CC,DL",Toulouse,fr Ligue 1,19,2000,4,46,12,1.8,0.5,0,,0,4,11,3,0.00,0,0,0,0.00,+1.31,0.6,0.7,-0.1,-0.18,+0.32,Partidos
20,Yacine Adli,fr FRA,CC,Bordeaux,fr Ligue 1,19,2000,21,1020,49,40.5,11.3,11,76,3,10,19,1,1.33,17,11,+6,+0.53,+0.53,11.3,11.9,-0.6,-0.05,+0.31,Partidos
21,Andrea Adorante,it ITA,DL,Parma,it Serie A,19,2000,0,,,,,0,,0,0,,9,,,,,,,,,,,,Partidos
22,Amir Adouyev,ru RUS,CC,Montpellier,fr Ligue 1,20,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Partidos
23,Adrián,es ESP,PO,Liverpool,eng Premier League,32,1987,11,875,80,25.6,9.7,9,90,9,2,33,27,3.00,24,10,+14,+1.44,+0.10,18.9,10.5,+8.4,+0.86,+0.06,Partidos
24,Daniel Adshead,eng ENG,CC,Norwich City,eng Premier League,17,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Partidos
25,Aritz Aduriz,es ESP,"DL,CC",Athletic Club,es La Liga,38,1981,14,208,15,6.1,2.3,0,,0,14,15,3,1.29,3,2,+1,+0.43,+0.38,3.6,3.1,+0.4,+0.19,+0.40,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera,Partidos
26,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,23,1805,78,52.8,20.1,20,83,14,3,49,3,1.04,24,33,-9,-0.45,+0.44,22.7,29.7,-7.1,-0.35,+0.50,Partidos
27,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,31,2099,68,61.4,23.3,23,84,16,8,22,5,1.00,20,38,-18,-0.77,-0.29,22.7,36.4,-13.8,-0.59,-0.27,Partidos
28,Lucien Agoume,fr FRA,CC,Inter,it Serie A,17,2002,3,68,23,2.0,0.8,0,,0,3,23,21,1.67,3,3,0,0.00,-1.21,3.4,1.7,+1.7,+2.29,+1.56,Partidos
29,Kevin Agudelo,co COL,"CC,DL",Fiorentina,it Serie A,20,1998,3,64,21,1.9,0.7,1,54,0,2,5,13,2.00,1,3,-2,-2.81,-2.95,1.1,1.1,0.0,+0.01,-0.11,Partidos
30,Kevin Agudelo,co COL,"CC,DL",Genoa,it Serie A,20,1998,10,666,67,19.5,7.4,7,86,4,3,22,5,0.60,8,11,-3,-0.41,+0.35,9.5,12.6,-3.1,-0.42,-0.15,Partidos
31,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,11,957,87,38.0,10.6,11,87,10,0,,3,1.27,9,13,-4,-0.38,-0.03,12.0,14.5,-2.5,-0.23,+0.08,Partidos
32,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,31,1988,24,1452,61,42.5,16.1,18,75,8,6,16,2,2.08,44,18,+26,+1.61,-0.26,39.5,16.2,+23.2,+1.44,-0.05,Partidos
33,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,19,1072,56,42.5,11.9,11,83,9,8,20,5,1.32,20,16,+4,+0.34,+0.58,22.5,16.3,+6.2,+0.52,+0.53,Partidos
34,Emmanuel Agyemang-Badu,gh GHA,CC,Hellas Verona,it Serie A,28,1990,10,230,23,6.7,2.6,2,78,1,8,9,9,1.90,4,6,-2,-0.78,-0.73,1.8,4.8,-3.0,-1.16,-1.15,Partidos
35,Jean-Eudes Aholou,ci CIV,CC,Saint-Étienne,fr Ligue 1,25,1994,11,630,57,25.0,7.0,8,61,2,3,47,3,1.00,8,10,-2,-0.29,+0.38,9.6,8.0,+1.6,+0.23,+0.65,Partidos
36,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,32,2502,78,73.2,27.8,27,89,25,5,20,5,0.97,24,34,-10,-0.36,-0.16,28.5,31.9,-3.4,-0.12,+0.15,Partidos
37,Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,32,2079,65,60.8,23.1,20,84,12,12,33,5,1.13,35,39,-4,-0.17,+1.03,30.2,34.7,-4.5,-0.19,+0.58,Partidos
38,Youssef Aït Bennasser,ma MAR,CC,Bordeaux,fr Ligue 1,23,1996,12,536,45,21.3,6.0,6,79,2,6,10,5,1.17,7,6,+1,+0.17,-0.06,5.7,7.2,-1.5,-0.25,-0.02,Partidos
39,Rayan Aït Nouri,dz ALG,DF,Angers,fr Ligue 1,18,2001,17,1282,75,50.9,14.2,16,79,10,1,19,0,1.53,18,17,+1,+0.07,+0.51,16.8,13.8,+3.1,+0.22,+0.37,Partidos
40,Albian Ajeti,ch SUI,DL,West Ham,eng Premier League,22,1997,9,139,15,4.1,1.5,0,,0,9,15,19,0.22,2,3,-1,-0.65,-0.32,2.7,1.4,+1.2,+0.80,+1.25,Partidos
41,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,25,1994,26,2058,79,84.7,22.9,24,84,12,2,20,1,1.46,31,21,+10,+0.44,+2.86,28.6,25.4,+3.2,+0.14,+0.43,Partidos
42,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,29,2309,80,75.5,25.7,25,90,24,4,16,2,2.14,70,31,+39,+1.52,+1.04,49.4,27.9,+21.5,+0.84,+1.01,Partidos
43,Marley Aké,fr FRA,"DL,CC",Marseille,fr Ligue 1,18,2001,9,99,11,3.9,1.1,0,,0,9,10,15,1.89,3,3,0,0.00,-0.45,2.4,1.6,+0.7,+0.66,+0.52,Partidos
44,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,29,2503,86,73.2,27.8,29,86,27,0,,1,0.93,30,46,-16,-0.58,+0.31,32.7,44.9,-12.2,-0.44,+0.08,Partidos
45,Sergio Akieme,es ESP,DF,Barcelona,es La Liga,21,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Partidos
46,Chadrac Akolo,cd COD,"DL,CC",Amiens,fr Ligue 1,24,1995,15,544,36,21.6,6.0,5,65,0,10,22,6,0.87,7,16,-9,-1.49,-1.03,6.5,11.0,-4.4,-0.74,-0.40,Partidos
47,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,18,1142,63,37.3,12.7,12,86,11,6,18,14,1.50,19,19,0,0.00,0.00,19.9,24.1,-4.2,-0.33,-0.37,Partidos
48,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,28,2498,89,81.6,27.8,27,90,26,1,79,3,2.46,86,24,+62,+2.23,+1.27,75.3,30.1,+45.2,+1.63,+0.61,Partidos
49,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,21,1998,17,1400,82,55.6,15.6,17,82,11,0,,8,0.76,13,23,-10,-0.64,-0.24,16.7,21.9,-5.2,-0.33,+0.11,Partidos
50,Lucas Alario,ar ARG,DL,Leverkusen,de Bundesliga,26,1992,24,1174,49,38.4,13.0,11,85,7,13,18,9,1.58,18,20,-2,-0.15,-1.06,22.4,19.7,+2.7,+0.21,-0.03,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera,Partidos
51,Fabrizio Alastra,it ITA,PO,Parma,it Serie A,21,1997,0,,,,,0,,0,0,,20,,,,,,,,,,,,Partidos
52,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,27,2187,81,63.9,24.3,25,86,21,2,23,2,2.04,53,23,+30,+1.23,-0.08,41.8,23.3,+18.5,+0.76,+0.06,Partidos
53,Luis Alberto,es ESP,CC,Lazio,it Serie A,26,1992,36,3113,86,91.0,34.6,36,86,26,0,,0,2.08,75,37,+38,+1.10,+1.39,62.3,44.3,+18.0,+0.52,+0.87,Partidos
54,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36,3237,90,94.6,36.0,36,90,35,0,,1,1.67,61,44,+17,+0.47,+1.95,60.9,42.7,+18.1,+0.50,+0.92,Partidos
55,Marc Albrighton,eng ENG,"CC,DF",Leicester City,eng Premier League,29,1989,20,867,43,25.4,9.6,9,69,2,11,22,16,1.45,16,11,+5,+0.52,-0.22,15.3,12.0,+3.2,+0.34,-0.14,Partidos
56,Paco Alcácer,es ESP,DL,Villarreal,es La Liga,25,1993,13,924,71,27.0,10.3,11,77,3,2,36,1,1.77,14,13,+1,+0.10,-0.37,14.8,11.0,+3.8,+0.37,-0.12,Partidos
