Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Unnamed: 11_level_0,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Tiros penales,Tiros penales,Tiros penales,Tiros penales,Tiros penales,Unnamed: 27_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,TPint,PD,PD.1,PC,% Salvadas,Partidos
1,Adrián,es ESP,PO,Liverpool,eng Premier League,33,1987,3,3,270,3.0,9,3.00,18,9,50.0,1,1,1,1,33.3,0,0,0,0,,Partidos
2,Rúnar Alex Rúnarsson,is ISL,PO,Arsenal,eng Premier League,25,1995,1,0,16,0.2,0,0.00,2,2,100.0,0,0,0,0,,0,0,0,0,,Partidos
3,Alisson,br BRA,PO,Liverpool,eng Premier League,27,1992,33,33,2970,33.0,32,0.97,115,82,75.7,18,8,7,10,30.3,8,4,1,3,20.0,Partidos
4,Saturnin Allagbé,bj BEN,PO,Dijon,fr Ligue 1,26,1993,12,12,1080,12.0,30,2.50,66,36,56.1,2,2,8,3,25.0,3,1,1,1,50.0,Partidos
5,Nícolas Andrade,br BRA,PO,Udinese,it Serie A,32,1988,2,2,180,2.0,5,2.50,6,1,16.7,1,0,1,0,0.0,0,0,0,0,,Partidos
6,Ángel,es ESP,PO,Granada,es La Liga,18,2002,1,1,90,1.0,2,2.00,9,6,88.9,0,0,1,0,0.0,2,1,1,0,50.0,Partidos
7,Alphonse Areola,fr FRA,PO,Fulham,eng Premier League,27,1993,36,36,3240,36.0,48,1.33,161,114,73.9,5,13,18,9,25.0,6,6,0,0,0.0,Partidos
8,Kepa Arrizabalaga,es ESP,PO,Chelsea,eng Premier League,25,1994,7,6,585,6.5,8,1.23,23,15,69.6,2,2,2,2,33.3,1,1,0,0,0.0,Partidos
9,Sergio Asenjo,es ESP,PO,Villarreal,es La Liga,31,1989,36,36,3240,36.0,40,1.11,118,79,72.0,15,13,8,10,27.8,9,7,1,1,12.5,Partidos
10,Emil Audero,it ITA,PO,Sampdoria,it Serie A,23,1997,37,37,3330,37.0,54,1.46,173,118,72.8,14,7,16,6,16.2,9,7,2,0,22.2,Partidos
11,Édgar Badía,es ESP,PO,Elche,es La Liga,28,1992,30,30,2700,30.0,46,1.53,141,92,70.9,5,11,14,5,16.7,9,5,3,1,37.5,Partidos
12,Stefan Bajic,fr FRA,PO,Saint-Étienne,fr Ligue 1,18,2001,1,1,90,1.0,4,4.00,4,0,0.0,0,0,1,0,0.0,1,0,0,1,,Partidos
13,Oliver Baumann,de GER,PO,Hoffenheim,de Bundesliga,30,1990,31,31,2790,31.0,51,1.65,132,81,65.9,10,8,13,6,19.4,9,6,2,1,25.0,Partidos
14,Walter Benítez,ar ARG,PO,Nice,fr Ligue 1,27,1993,38,38,3420,38.0,53,1.39,176,123,73.9,15,7,16,9,23.7,7,7,0,0,0.0,Partidos
15,Alessandro Berardi,it ITA,PO,Hellas Verona,it Serie A,29,1991,1,0,28,0.3,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,Partidos
16,Paul Bernardoni,fr FRA,PO,Angers,fr Ligue 1,23,1997,38,38,3420,38.0,58,1.53,139,82,63.3,12,8,18,9,23.7,8,7,1,0,12.5,Partidos
17,Dimitry Bertaud,fr FRA,PO,Montpellier,fr Ligue 1,22,1998,9,7,745,8.3,11,1.33,42,31,76.2,4,2,1,3,42.9,1,1,0,0,0.0,Partidos
18,Rubén Blanco,es ESP,PO,Celta Vigo,es La Liga,25,1995,19,19,1637,18.2,27,1.48,61,34,57.4,7,6,6,4,21.1,1,1,0,0,0.0,Partidos
19,Elias Bördner,de GER,PO,Eint Frankfurt,de Bundesliga,18,2002,1,1,90,1.0,1,1.00,6,5,83.3,1,0,0,0,0.0,0,0,0,0,,Partidos
20,Yassine Bounou,ma MAR,PO,Sevilla,es La Liga,29,1991,33,33,2970,33.0,28,0.85,106,78,77.4,21,5,7,15,45.5,6,4,2,0,33.3,Partidos
21,Claudio Bravo,cl CHI,PO,Betis,es La Liga,37,1983,20,20,1800,20.0,25,1.25,75,50,72.0,8,8,4,7,35.0,5,4,1,0,20.0,Partidos
22,Fabian Bredlow,de GER,PO,Stuttgart,de Bundesliga,25,1995,1,1,90,1.0,1,1.00,9,8,88.9,1,0,0,0,0.0,0,0,0,0,,Partidos
23,Gianluigi Buffon,it ITA,PO,Juventus,it Serie A,42,1978,8,8,720,8.0,5,0.62,21,15,85.7,7,1,0,3,37.5,3,2,1,0,33.3,Partidos
24,Roman Bürki,ch SUI,PO,Dortmund,de Bundesliga,29,1990,19,18,1665,18.5,30,1.62,92,62,71.7,9,2,7,4,22.2,4,4,0,0,0.0,Partidos
25,Jack Butland,eng ENG,PO,Crystal Palace,eng Premier League,27,1993,1,1,90,1.0,2,2.00,5,3,60.0,1,0,0,0,0.0,0,0,0,0,,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,TPint,PD,PD,PC,% Salvadas,Partidos
26,David Button,eng ENG,PO,West Brom,eng Premier League,31,1989,1,1,90,1.0,2,2.00,6,4,66.7,1,0,0,0,0.0,0,0,0,0,,Partidos
27,Marcin Bułka,pl POL,PO,Paris S-G,fr Ligue 1,20,1999,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Partidos
28,Willy Caballero,ar ARG,PO,Chelsea,eng Premier League,38,1981,1,1,90,1.0,3,3.00,3,0,0.0,0,1,0,0,0.0,0,0,0,0,,Partidos
29,Marc-Aurèle Caillard,fr FRA,PO,Metz,fr Ligue 1,26,1994,5,4,361,4.0,10,2.49,23,13,69.6,0,1,3,0,0.0,3,3,0,0,0.0,Partidos
30,Cárdenas,es ESP,PO,Levante,es La Liga,23,1997,8,8,720,8.0,11,1.37,39,28,71.8,1,3,4,1,12.5,1,0,0,1,,Partidos
31,Scott Carson,eng ENG,PO,Manchester City,eng Premier League,34,1985,1,1,90,1.0,3,3.00,5,1,60.0,1,0,0,0,0.0,2,1,1,0,50.0,Partidos
32,Kiko Casilla,es ESP,PO,Leeds United,eng Premier League,33,1986,3,3,270,3.0,2,0.67,10,8,80.0,2,0,1,1,33.3,0,0,0,0,,Partidos
33,Koen Casteels,be BEL,PO,Wolfsburg,de Bundesliga,28,1992,32,32,2880,32.0,33,1.03,108,74,72.2,17,9,6,14,43.8,5,3,2,0,40.0,Partidos
34,Sébastien Cibois,fr FRA,PO,Brest,fr Ligue 1,22,1998,3,3,270,3.0,4,1.33,11,7,72.7,1,1,1,1,33.3,1,1,0,0,0.0,Partidos
35,Alberto Cifuentes,es ESP,PO,Cádiz,es La Liga,41,1979,2,2,180,2.0,3,1.50,6,2,50.0,1,0,1,1,50.0,0,0,0,0,,Partidos
36,Jasper Cillessen,nl NED,PO,Valencia,es La Liga,31,1989,10,10,900,10.0,11,1.10,45,33,77.8,5,1,4,3,30.0,2,1,1,0,50.0,Partidos
37,Simone Colombi,it ITA,PO,Parma,it Serie A,29,1991,2,2,180,2.0,7,3.50,10,3,40.0,0,0,2,0,0.0,1,1,0,0,0.0,Partidos
38,Andrea Consigli,it ITA,PO,Sassuolo,it Serie A,33,1987,37,37,3330,37.0,56,1.51,185,129,71.9,17,10,10,7,18.9,5,4,1,0,20.0,Partidos
39,Alex Cordaz,it ITA,PO,Crotone,it Serie A,37,1983,36,36,3240,36.0,91,2.53,207,118,58.5,6,3,27,2,5.6,5,5,0,0,0.0,Partidos
40,Angelo da Costa Júnior,br BRA,PO,Bologna,it Serie A,36,1983,6,6,540,6.0,9,1.50,27,18,70.4,0,5,1,1,16.7,1,1,0,0,0.0,Partidos
41,Benoît Costil,fr FRA,PO,Bordeaux,fr Ligue 1,33,1987,38,38,3420,38.0,56,1.47,156,100,68.6,13,6,19,14,36.8,8,7,1,0,12.5,Partidos
42,Thibaut Courtois,be BEL,PO,Real Madrid,es La Liga,28,1992,38,38,3420,38.0,28,0.74,116,88,81.9,25,9,4,17,44.7,8,7,1,0,12.5,Partidos
43,Alessio Cragno,it ITA,PO,Cagliari,it Serie A,26,1994,34,34,3060,34.0,53,1.56,182,129,73.6,6,10,18,6,17.6,5,5,0,0,0.0,Partidos
44,Gian Crespi,it ITA,PO,Crotone,it Serie A,19,2001,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,Partidos
45,Finn Dahmen,de GER,PO,Mainz 05,de Bundesliga,22,1998,3,3,270,3.0,10,3.33,20,10,55.0,1,0,2,0,0.0,1,1,0,0,0.0,Partidos
46,Karl Darlow,eng ENG,PO,Newcastle Utd,eng Premier League,29,1990,25,25,2250,25.0,43,1.72,126,84,68.3,7,4,14,4,16.0,4,3,1,0,25.0,Partidos
47,Yehvann Diouf,fr FRA,PO,Reims,fr Ligue 1,20,1999,2,1,135,1.5,1,0.67,6,5,100.0,0,0,1,0,0.0,1,1,0,0,0.0,Partidos
