Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Titular,Titular,Titular,Sup.,Sup.,Sup.,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Unnamed: 30_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera,Partidos
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,2,11,6,0.3,0.1,0,,0,2,6,18,2.00,0,0,0,0.00,+0.24,0.0,0.2,-0.2,-1.75,-1.81,Partidos
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,22,1777,81,52.0,19.7,20,88,19,2,11,11,1.05,19,36,-17,-0.86,-0.42,17.1,30.9,-13.8,-0.70,-0.13,Partidos
3,Issah Abbas,gh GHA,"DF,DL",Mainz 05,de Bundesliga,21,1998,2,18,9,0.6,0.2,0,,0,2,9,5,0.00,0,0,0,0.00,+0.50,0.9,0.0,+0.9,+4.36,+4.45,Partidos
4,Basit Abdallah,gh GHA,CC,Benevento,it Serie A,20,1999,0,,,,,0,,0,0,,13,,,,,,,,,,,,Partidos
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,33,2889,88,84.5,32.1,33,88,32,0,,0,1.18,37,39,-2,-0.06,+0.95,29.1,45.4,-16.2,-0.51,+1.20,Partidos
6,Sabit Abdulai,gh GHA,CC,Getafe,es La Liga,21,1999,3,60,20,1.8,0.7,0,,0,3,20,16,0.67,1,2,-1,-1.50,-1.13,0.9,1.4,-0.4,-0.65,-0.51,Partidos
7,Eris Abedini,xk KVX,CC,Granada,es La Liga,21,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Partidos
8,Mehdi Abeid,dz ALG,CC,Nantes,fr Ligue 1,27,1992,18,1320,73,38.6,14.7,15,83,10,3,23,1,0.94,13,23,-10,-0.68,-0.77,16.2,22.8,-6.6,-0.45,-0.54,Partidos
9,Laurent Abergel,fr FRA,CC,Lorient,fr Ligue 1,27,1993,38,2963,78,86.6,32.9,32,85,22,6,40,0,1.11,42,53,-11,-0.33,+1.04,41.8,43.0,-1.2,-0.04,+0.52,Partidos
10,Charles Abi,fr FRA,"DL,CC",Saint-Étienne,fr Ligue 1,20,2000,24,912,38,26.7,10.1,9,64,1,15,22,2,1.33,16,23,-7,-0.69,-0.51,15.5,16.1,-0.6,-0.06,-0.03,Partidos
11,Matthis Abline,fr FRA,DL,Rennes,fr Ligue 1,17,2003,1,2,2,0.1,0.0,0,,0,1,2,3,3.00,1,0,+1,+45.00,+44.71,0.4,0.0,+0.4,+17.75,+17.50,Partidos
12,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14,1260,90,36.8,14.0,14,90,14,0,,1,1.64,21,18,+3,+0.21,+0.84,20.0,19.6,+0.4,+0.03,+0.10,Partidos
13,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,21,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Partidos
14,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,14,1222,87,39.9,13.6,14,87,12,0,,0,1.64,25,17,+8,+0.59,+0.20,24.9,15.8,+9.1,+0.67,+0.55,Partidos
15,Tammy Abraham,eng ENG,DL,Chelsea,eng Premier League,22,1997,22,1040,47,30.4,11.6,12,74,7,10,15,8,1.77,23,12,+11,+0.95,+0.54,20.0,8.2,+11.8,+1.02,+0.25,Partidos
16,Amir Abrashi,al ALB,"CC,DF",Freiburg,de Bundesliga,30,1990,5,60,12,2.0,0.7,0,,0,5,12,7,2.40,1,1,0,0.00,0.00,1.0,1.3,-0.3,-0.44,-0.24,Partidos
17,Gennaro Acampora,it ITA,"CC,DL",Spezia,it Serie A,26,1994,14,441,32,12.9,4.9,2,90,1,12,22,9,0.86,8,12,-4,-0.82,-0.33,6.1,9.3,-3.2,-0.64,-0.18,Partidos
18,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,32,2813,88,82.3,31.3,32,88,30,0,,0,1.88,51,44,+7,+0.22,+0.37,48.6,39.2,+9.3,+0.30,+0.08,Partidos
19,Ragnar Ache,de GER,"DL,DF",Eint Frankfurt,de Bundesliga,22,1998,7,100,14,3.3,1.1,0,,0,7,14,3,2.29,4,1,+3,+2.70,+2.30,1.9,2.2,-0.2,-0.22,-0.58,Partidos
20,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,30,2330,78,68.1,25.9,26,83,22,4,46,1,1.97,37,28,+9,+0.35,-0.56,41.1,23.8,+17.3,+0.67,+0.48,Partidos
21,Che Adams,sct SCO,DL,Southampton,eng Premier League,24,1996,36,2667,74,78.0,29.6,30,84,16,6,25,0,1.11,39,51,-12,-0.40,+0.67,32.1,37.4,-5.3,-0.18,+0.60,Partidos
22,Tyler Adams,us USA,"CC,DF",RB Leipzig,de Bundesliga,21,1999,27,1850,69,60.5,20.6,21,83,13,6,20,1,2.11,35,19,+16,+0.78,-0.11,37.0,18.7,+18.2,+0.89,-0.36,Partidos
23,Sargis Adamyan,am ARM,"DL,CC",Hoffenheim,de Bundesliga,27,1993,18,479,27,15.7,5.3,3,77,1,15,16,6,1.50,13,6,+7,+1.32,+1.63,11.1,10.4,+0.7,+0.13,+0.20,Partidos
24,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,33,2953,89,86.3,32.8,33,89,32,0,,1,0.85,24,41,-17,-0.52,+1.22,35.8,46.2,-10.4,-0.32,+0.01,Partidos
25,Enzo Adeagbo,ch SUI,DF,Lazio,it Serie A,18,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera,Partidos
26,Bobby Adekanye,nl NED,"DL,CC",Lazio,it Serie A,21,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Partidos
27,Bobby Adekanye,nl NED,"DL,CC",Cádiz,es La Liga,21,1999,3,36,12,1.1,0.4,0,,0,3,12,6,2.33,0,0,0,0.00,+0.59,0.9,0.5,+0.4,+0.91,+1.47,Partidos
28,Yacine Adli,fr FRA,CC,Bordeaux,fr Ligue 1,20,2000,35,2418,69,70.7,26.9,25,84,16,10,32,0,1.17,28,47,-19,-0.71,-1.16,30.4,40.4,-9.9,-0.37,-0.24,Partidos
29,Andrea Adorante,it ITA,DL,Parma,it Serie A,20,2000,1,10,10,0.3,0.1,0,,0,1,10,5,0.00,0,1,-1,-9.00,-7.87,0.0,0.9,-0.8,-7.55,-7.08,Partidos
30,Adrián,es ESP,PO,Liverpool,eng Premier League,33,1987,3,270,90,7.9,3.0,3,90,3,0,,27,1.33,6,9,-3,-1.00,-1.83,7.1,4.6,+2.4,+0.81,+0.17,Partidos
31,Martin Agirregabiria,es ESP,"DF,CC",Alavés,es La Liga,24,1996,26,1558,60,45.6,17.3,16,83,11,10,24,12,1.12,19,31,-12,-0.69,-0.26,16.7,26.0,-9.3,-0.54,-0.63,Partidos
32,Giuseppe Agostino,it ITA,PO,Genoa,it Serie A,17,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Partidos
33,Lucien Agoume,fr FRA,CC,Spezia,it Serie A,18,2002,12,800,67,23.4,8.9,9,84,6,3,13,22,1.08,14,14,0,0.00,+0.69,12.6,16.1,-3.5,-0.39,+0.13,Partidos
34,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,15,701,47,22.9,7.8,8,76,5,7,13,16,1.00,12,15,-3,-0.39,+0.30,8.7,14.8,-6.1,-0.78,-0.24,Partidos
35,Kevin Agudelo,co COL,DL,Spezia,it Serie A,21,1998,29,1356,47,39.6,15.1,14,72,4,15,23,8,1.03,26,26,0,0.00,+0.87,19.7,22.7,-3.0,-0.20,+0.48,Partidos
36,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35,3147,90,92.0,35.0,35,90,34,0,,0,1.54,46,36,+10,+0.29,-0.37,41.7,35.0,+6.7,+0.19,-0.79,Partidos
37,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,32,1988,12,559,47,16.3,6.2,7,69,2,5,16,7,2.42,11,4,+7,+1.13,-0.26,10.9,4.5,+6.4,+1.03,+0.04,Partidos
38,Ruben Aguilar,fr FRA,"DF,CC",Monaco,fr Ligue 1,27,1993,33,2225,67,65.1,24.7,27,79,15,6,14,2,1.97,37,30,+7,+0.28,-1.75,38.2,24.8,+13.4,+0.54,-1.02,Partidos
39,Naouirou Ahamada,fr FRA,CC,Stuttgart,de Bundesliga,18,2002,6,252,42,8.2,2.8,3,43,0,3,41,6,0.50,3,12,-9,-3.21,-3.53,4.9,7.0,-2.1,-0.75,-0.79,Partidos
40,Sören Ahlers,de GER,PO,Schalke 04,de Bundesliga,22,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,,Partidos
41,Matteo Ahlinvi,bj BEN,CC,Nîmes,fr Ligue 1,21,1999,20,899,45,26.3,10.0,10,77,5,10,13,14,0.75,5,21,-16,-1.60,-1.07,9.2,21.8,-12.6,-1.26,-0.96,Partidos
42,Jean-Eudes Aholou,ci CIV,CC,Strasbourg,fr Ligue 1,26,1994,27,2146,79,62.7,23.8,26,82,14,1,17,0,1.19,34,38,-4,-0.17,+0.19,34.0,35.3,-1.2,-0.05,-0.29,Partidos
43,Jean-Eudes Aholou,ci CIV,CC,Monaco,fr Ligue 1,26,1994,2,36,18,1.1,0.4,0,,0,2,18,1,2.00,0,0,0,0.00,-0.90,0.2,0.5,-0.4,-0.93,-1.85,Partidos
44,Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,19,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Partidos
45,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,25,1289,52,37.7,14.3,14,80,11,11,15,10,1.76,26,22,+4,+0.28,+0.53,20.1,19.1,+1.0,+0.07,+0.14,Partidos
46,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,31,2664,86,77.9,29.6,31,86,24,0,,4,0.84,22,36,-14,-0.47,+0.96,30.4,42.0,-11.6,-0.39,-0.33,Partidos
