Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Saques de esquina,Saques de esquina,Saques de esquina,Resultados,Resultados,Resultados,Unnamed: 24_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Partidos
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,1164,959,192,31,0,4,40,159,2,0,2,0,906,13,26,Partidos
3,Issah Abbas,gh GHA,"DF,DL",Mainz 05,de Bundesliga,21,1998,0.2,15,12,3,0,0,0,0,3,0,0,0,0,12,0,0,Partidos
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,1762,1697,60,60,0,11,0,0,0,0,0,0,1506,5,10,Partidos
5,Sabit Abdulai,gh GHA,CC,Getafe,es La Liga,21,1999,0.7,14,14,0,0,0,1,1,0,0,0,0,0,7,0,1,Partidos
6,Mehdi Abeid,dz ALG,CC,Nantes,fr Ligue 1,27,1992,14.7,718,662,52,33,0,9,40,5,14,7,7,0,605,4,7,Partidos
7,Laurent Abergel,fr FRA,CC,Lorient,fr Ligue 1,27,1993,32.9,1564,1521,38,31,1,11,26,7,0,0,0,0,1288,5,34,Partidos
8,Charles Abi,fr FRA,"DL,CC",Saint-Étienne,fr Ligue 1,20,2000,10.1,202,192,10,0,0,1,3,0,0,0,0,0,128,0,10,Partidos
9,Matthis Abline,fr FRA,DL,Rennes,fr Ligue 1,17,2003,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Partidos
10,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14.0,681,653,27,25,0,18,1,2,0,0,0,0,521,1,2,Partidos
11,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,678,616,59,17,0,10,13,42,0,0,0,0,558,3,7,Partidos
12,Tammy Abraham,eng ENG,DL,Chelsea,eng Premier League,22,1997,11.6,211,195,16,2,0,0,6,0,0,0,0,0,149,0,9,Partidos
13,Amir Abrashi,al ALB,"CC,DF",Freiburg,de Bundesliga,30,1990,0.7,23,23,0,0,0,0,0,0,0,0,0,0,18,0,1,Partidos
14,Gennaro Acampora,it ITA,"CC,DL",Spezia,it Serie A,26,1994,4.9,223,216,5,4,0,6,7,0,1,0,0,0,185,2,1,Partidos
15,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,2097,1974,119,73,0,24,32,22,0,0,0,0,1854,4,11,Partidos
16,Ragnar Ache,de GER,"DL,DF",Eint Frankfurt,de Bundesliga,22,1998,1.1,32,32,0,0,0,0,1,0,0,0,0,0,19,0,2,Partidos
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,1767,1487,277,46,0,21,119,206,25,2,20,0,1415,3,30,Partidos
18,Che Adams,sct SCO,DL,Southampton,eng Premier League,24,1996,29.6,622,615,2,1,7,3,6,1,0,0,0,0,431,5,19,Partidos
19,Tyler Adams,us USA,"CC,DF",RB Leipzig,de Bundesliga,21,1999,20.6,1375,1273,100,22,0,2,19,78,0,0,0,0,1173,2,17,Partidos
20,Sargis Adamyan,am ARM,"DL,CC",Hoffenheim,de Bundesliga,27,1993,5.3,156,151,5,0,0,2,10,3,0,0,0,0,103,0,10,Partidos
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,1918,1872,42,35,0,8,2,7,0,0,0,0,1647,4,11,Partidos
22,Bobby Adekanye,nl NED,"DL,CC",Cádiz,es La Liga,21,1999,0.4,10,10,0,0,0,0,2,0,0,0,0,0,7,0,0,Partidos
23,Yacine Adli,fr FRA,CC,Bordeaux,fr Ligue 1,20,2000,26.9,1631,1559,65,40,6,25,53,6,18,7,8,0,1327,7,22,Partidos
24,Andrea Adorante,it ITA,DL,Parma,it Serie A,20,2000,0.1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Partidos
25,Adrián,es ESP,PO,Liverpool,eng Premier League,33,1987,3.0,100,70,29,7,0,0,0,0,0,0,0,0,78,1,0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
26,Martin Agirregabiria,es ESP,"DF,CC",Alavés,es La Liga,24,1996,17.3,751,563,183,16,0,9,32,165,2,0,0,0,534,5,17,Partidos
27,Lucien Agoume,fr FRA,CC,Spezia,it Serie A,18,2002,8.9,487,472,12,11,1,5,1,1,0,0,0,0,434,3,2,Partidos
28,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,7.8,299,231,68,0,0,1,12,68,0,0,0,0,210,0,9,Partidos
29,Kevin Agudelo,co COL,DL,Spezia,it Serie A,21,1998,15.1,328,310,16,0,1,1,11,2,2,0,0,0,228,2,25,Partidos
30,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35.0,2712,2631,80,79,0,30,1,1,0,0,0,0,2449,1,7,Partidos
31,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,32,1988,6.2,173,163,10,0,0,0,1,1,0,0,0,0,140,0,7,Partidos
32,Ruben Aguilar,fr FRA,"DF,CC",Monaco,fr Ligue 1,27,1993,24.7,1568,1341,221,32,1,14,118,167,22,8,11,0,1265,6,24,Partidos
33,Naouirou Ahamada,fr FRA,CC,Stuttgart,de Bundesliga,18,2002,2.8,125,122,3,3,0,0,0,0,0,0,0,0,110,0,4,Partidos
34,Matteo Ahlinvi,bj BEN,CC,Nîmes,fr Ligue 1,21,1999,10.0,322,316,5,5,0,0,6,0,0,0,0,0,258,1,10,Partidos
35,Jean-Eudes Aholou,ci CIV,CC,Strasbourg,fr Ligue 1,26,1994,23.8,851,835,15,13,1,6,8,1,1,0,1,0,701,1,10,Partidos
36,Jean-Eudes Aholou,ci CIV,CC,Monaco,fr Ligue 1,26,1994,0.4,10,10,0,0,0,0,0,0,0,0,0,0,7,0,0,Partidos
37,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,14.3,629,608,16,15,0,2,1,1,0,0,0,0,511,5,8,Partidos
38,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,29.6,1769,1486,282,28,0,13,52,254,0,0,0,0,1352,1,34,Partidos
39,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,19,2001,15.6,805,675,129,6,0,3,61,116,7,1,6,0,662,1,20,Partidos
40,Rayan Aït Nouri,dz ALG,DF,Angers,fr Ligue 1,19,2001,2.1,147,126,21,1,0,1,4,20,0,0,0,0,132,0,1,Partidos
41,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,30.9,999,931,61,13,0,10,7,48,0,0,0,0,719,7,7,Partidos
42,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,26,1994,33.0,927,875,52,0,0,25,27,4,0,0,0,0,620,0,30,Partidos
43,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,26.1,2137,2076,56,44,1,25,2,12,0,0,0,0,1961,5,8,Partidos
44,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,9.6,356,245,109,7,0,0,18,102,0,0,0,0,229,2,6,Partidos
45,Marley Aké,fr FRA,DL,Marseille,fr Ligue 1,19,2001,1.6,31,28,2,0,0,0,2,0,0,0,0,0,22,1,1,Partidos
46,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,8.9,763,741,22,11,0,0,1,11,0,0,0,0,709,0,5,Partidos
47,Paul Akouokou,ci CIV,CC,Betis,es La Liga,22,1997,4.2,187,186,1,1,0,1,2,0,0,0,0,0,170,0,0,Partidos
48,Jean-Daniel Akpa-Akpro,ci CIV,CC,Lazio,it Serie A,27,1992,11.7,361,340,20,5,0,2,4,12,0,0,0,0,293,1,11,Partidos
49,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,13.2,735,684,50,20,0,3,8,30,0,0,0,0,600,1,7,Partidos
50,David Alaba,at AUT,"DF,CC",Bayern Munich,de Bundesliga,28,1992,29.7,2290,2181,99,55,0,16,37,41,2,0,1,0,1929,10,28,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
51,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,22,1998,16.7,913,719,191,14,0,3,19,176,0,0,0,0,718,3,26,Partidos
52,Jony Álamo,es ESP,CC,Elche,es La Liga,18,2001,0.8,16,16,0,0,0,0,0,0,0,0,0,0,14,0,0,Partidos
53,Lucas Alario,ar ARG,DL,Leverkusen,de Bundesliga,27,1992,13.8,308,294,12,1,0,1,0,0,0,0,0,0,226,2,8,Partidos
