RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,GC,PD,TL,TE,GC.1,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Int.,% Cmp,Int..1,TI,%deLanzamientos,Long. prom.,Int..2,%deLanzamientos.1,Long. prom..1,Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.
142,Gianluca Pegolo,it ITA,PO,Sassuolo,it Serie A,36,1981,1.2,1.0,0.0,0.0,0.0,1.0,1.3,0.21,1.3,1.1,3.0,23.0,13.0,27.0,7.0,51.9,39.3,12.0,75.0,45.9,19.0,0.0,0.0,0.0,0.0,5.0
143,Yohann Pelé,fr FRA,PO,Marseille,fr Ligue 1,34,1982,8.2,10.0,1.0,0.0,0.0,1.0,8.0,0.26,-1.0,-0.12,33.0,83.0,39.8,174.0,41.0,30.5,31.8,61.0,49.2,41.4,96.0,7.0,7.3,10.0,1.22,15.8
144,Mattia Perin,it ITA,PO,Genoa,it Serie A,24,1992,37.0,42.0,4.0,1.0,2.0,2.0,42.2,0.23,2.2,0.06,330.0,769.0,42.9,919.0,125.0,51.9,40.8,347.0,84.1,56.0,541.0,24.0,4.4,25.0,0.68,13.1
145,Jordan Pickford,eng ENG,PO,Everton,eng Premier League,23,1994,38.0,58.0,3.0,0.0,6.0,0.0,56.1,0.3,-1.9,-0.05,322.0,945.0,34.1,984.0,162.0,64.0,47.8,340.0,92.6,67.2,591.0,27.0,4.6,51.0,1.34,14.9
146,Carlo Pinsoglio,it ITA,PO,Juventus,it Serie A,27,1990,0.3,1.0,0.0,0.0,0.0,0.0,0.7,0.36,-0.3,-0.87,0.0,0.0,,5.0,3.0,0.0,27.0,0.0,,,7.0,1.0,14.3,0.0,0.0,7.0
147,Julian Pollersbeck,de GER,PO,Hamburger SV,de Bundesliga,22,1994,10.0,15.0,0.0,1.0,1.0,0.0,15.5,0.34,0.5,0.05,51.0,168.0,30.4,480.0,49.0,29.6,32.7,65.0,40.0,40.8,114.0,16.0,14.0,15.0,1.5,15.2
148,Nick Pope,eng ENG,PO,Burnley,eng Premier League,25,1992,34.6,35.0,3.0,0.0,3.0,1.0,42.5,0.27,8.5,0.25,351.0,997.0,35.2,920.0,118.0,77.8,52.1,297.0,94.6,66.7,600.0,57.0,9.5,38.0,1.1,12.5
149,Nicolas de Préville,fr FRA,"DL,CC",Lille,fr Ligue 1,26,1991,3.2,1.0,0.0,0.0,1.0,0.0,1.4,0.69,0.4,0.12,0.0,2.0,0.0,4.0,0.0,0.0,22.3,2.0,100.0,64.5,4.0,0.0,0.0,1.0,3.33,37.0
150,Andrés Prieto,es ESP,PO,Málaga,es La Liga,23,1993,4.0,10.0,2.0,0.0,0.0,0.0,10.3,0.44,0.3,0.08,30.0,89.0,33.7,76.0,3.0,73.7,48.6,33.0,100.0,64.0,57.0,1.0,1.8,0.0,0.0,11.1
151,Jérôme Prior,fr FRA,PO,Bordeaux,fr Ligue 1,21,1995,2.0,3.0,0.0,0.0,0.0,0.0,2.9,0.32,-0.1,-0.05,9.0,22.0,40.9,25.0,4.0,52.0,37.6,12.0,75.0,48.1,21.0,0.0,0.0,1.0,0.5,12.4
