RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl.1,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26.0,1990.0,24.3,47.0,32.0,29.0,15.0,3.0,16.0,34.0,47.1,18.0,24.0,5.0,19.0,47.0,94.0,64.0,2.0
2,Rolando Aarons,eng ENG,"CC,DL",Newcastle Utd,eng Premier League,21.0,1995.0,1.5,4.0,4.0,3.0,1.0,0.0,4.0,6.0,66.7,2.0,3.0,0.0,3.0,1.0,5.0,0.0,0.0
3,Rolando Aarons,eng ENG,"CC,DL",Hellas Verona,it Serie A,21.0,1995.0,5.7,13.0,8.0,4.0,4.0,5.0,1.0,7.0,14.3,6.0,3.0,1.0,2.0,2.0,15.0,0.0,0.0
4,Ignazio Abate,it ITA,DF,Milan,it Serie A,30.0,1986.0,11.7,20.0,17.0,10.0,9.0,1.0,6.0,11.0,54.5,5.0,22.0,2.0,20.0,8.0,28.0,29.0,0.0
5,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27.0,1989.0,5.5,7.0,3.0,5.0,2.0,0.0,4.0,7.0,57.1,3.0,5.0,5.0,0.0,4.0,11.0,20.0,0.0
6,Aly Abeid,mr MTN,DF,Levante,es La Liga,19.0,1997.0,0.9,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,5.0,3.0,0.0
7,Mehdi Abeid,dz ALG,CC,Dijon,fr Ligue 1,24.0,1992.0,13.1,23.0,15.0,8.0,14.0,1.0,8.0,32.0,25.0,24.0,11.0,6.0,5.0,18.0,41.0,25.0,2.0
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31.0,1986.0,25.6,40.0,32.0,29.0,10.0,1.0,27.0,36.0,75.0,9.0,29.0,15.0,14.0,40.0,80.0,141.0,1.0
9,Tammy Abraham,eng ENG,DL,Swansea City,eng Premier League,19.0,1997.0,19.2,10.0,8.0,1.0,7.0,2.0,1.0,13.0,7.7,12.0,8.0,1.0,7.0,1.0,11.0,11.0,0.0
10,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,27.0,1990.0,9.4,35.0,32.0,15.0,18.0,2.0,16.0,23.0,69.6,7.0,22.0,5.0,17.0,19.0,54.0,20.0,0.0
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29.0,1988.0,38.0,51.0,32.0,26.0,22.0,3.0,22.0,36.0,61.1,14.0,42.0,21.0,21.0,88.0,139.0,255.0,1.0
12,Afriyie Acquah,gh GHA,CC,Torino,it Serie A,25.0,1992.0,10.6,8.0,6.0,2.0,6.0,0.0,1.0,7.0,14.3,6.0,8.0,1.0,7.0,16.0,24.0,10.0,2.0
13,Charlie Adam,sct SCO,CC,Stoke City,eng Premier League,31.0,1985.0,4.6,9.0,5.0,2.0,5.0,2.0,5.0,17.0,29.4,12.0,2.0,0.0,2.0,9.0,18.0,11.0,2.0
14,Antonio Adán,es ESP,PO,Betis,es La Liga,30.0,1987.0,30.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0.0,1.0,11.0,2.0
15,Aday,es ESP,DF,Girona,es La Liga,29.0,1987.0,20.4,17.0,15.0,11.0,4.0,2.0,6.0,17.0,35.3,11.0,19.0,3.0,16.0,25.0,42.0,52.0,1.0
16,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,32.0,1985.0,32.5,38.0,24.0,26.0,12.0,0.0,15.0,32.0,46.9,17.0,42.0,26.0,16.0,65.0,103.0,221.0,1.0
17,Claud Adjapong,it ITA,"DF,DL",Sassuolo,it Serie A,19.0,1998.0,13.6,35.0,26.0,24.0,5.0,6.0,11.0,13.0,84.6,2.0,16.0,3.0,13.0,23.0,58.0,37.0,0.0
18,René Adler,de GER,PO,Mainz 05,de Bundesliga,32.0,1985.0,14.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0
19,Yacine Adli,fr FRA,DL,Paris S-G,fr Ligue 1,17.0,2000.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Ali Adnan Kadhim,iq IRQ,"DF,DL",Udinese,it Serie A,23.0,1993.0,18.6,54.0,35.0,35.0,14.0,5.0,29.0,50.0,58.0,21.0,31.0,6.0,25.0,41.0,95.0,90.0,0.0
21,Adrián,es ESP,PO,West Ham,eng Premier League,30.0,1987.0,19.0,2.0,1.0,2.0,0.0,0.0,1.0,4.0,25.0,3.0,1.0,0.0,1.0,0.0,2.0,15.0,1.0
22,Aritz Aduriz,es ESP,DL,Athletic Club,es La Liga,36.0,1981.0,23.9,11.0,8.0,2.0,6.0,3.0,1.0,6.0,16.7,5.0,6.0,0.0,6.0,3.0,14.0,18.0,0.0
23,Ibrahim Afellay,nl NED,CC,Stoke City,eng Premier League,31.0,1986.0,1.8,3.0,3.0,0.0,3.0,0.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0
24,Benik Afobe,cd COD,DL,Bournemouth,eng Premier League,24.0,1993.0,6.8,4.0,3.0,1.0,2.0,1.0,1.0,6.0,16.7,5.0,4.0,0.0,4.0,0.0,4.0,6.0,0.0
25,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,21.0,1996.0,20.3,50.0,33.0,31.0,17.0,2.0,32.0,50.0,64.0,18.0,13.0,7.0,6.0,41.0,91.0,66.0,0.0
26,Imanol Agirretxe,es ESP,DL,Real Sociedad,es La Liga,30.0,1987.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
