RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,TPint,PD,PD.1,PC,% Salvadas.1
1,Antonio Adán,es ESP,PO,Betis,es La Liga,30,1987,30,30,2700.0,30.0,53.0,1.77,132.0,82.0,62.1,14.0,4.0,12.0,9.0,30.0,4.0,3.0,1.0,0.0,25.0
2,René Adler,de GER,PO,Mainz 05,de Bundesliga,32,1985,14,14,1260.0,14.0,18.0,1.29,53.0,35.0,67.9,5.0,3.0,6.0,4.0,28.6,2.0,1.0,0.0,1.0,0.0
3,Adrián,es ESP,PO,West Ham,eng Premier League,30,1987,19,19,1710.0,19.0,29.0,1.53,96.0,68.0,70.8,7.0,6.0,6.0,6.0,31.6,1.0,1.0,0.0,0.0,0.0
4,Alisson,br BRA,PO,Roma,it Serie A,24,1992,37,37,3330.0,37.0,28.0,0.76,135.0,105.0,81.5,22.0,8.0,7.0,17.0,45.9,5.0,3.0,2.0,0.0,40.0
5,Sergio Álvarez,es ESP,PO,Celta Vigo,es La Liga,30,1986,17,16,1475.0,16.4,29.0,1.77,75.0,47.0,62.7,3.0,6.0,7.0,3.0,18.8,1.0,1.0,0.0,0.0,0.0
6,Ibrahim Amadou,fr FRA,"CC,DF",Lille,fr Ligue 1,24,1993,1,0,17.0,26.7,2.0,10.59,3.0,1.0,66.7,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0
7,Jon Ander Serantes,es ESP,PO,Leganés,es La Liga,27,1989,1,1,90.0,1.0,2.0,2.0,8.0,6.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,Nícolas Andrade,br BRA,PO,Hellas Verona,it Serie A,29,1988,36,36,3240.0,36.0,71.0,1.97,233.0,162.0,72.1,7.0,4.0,25.0,7.0,19.4,8.0,6.0,2.0,0.0,25.0
9,Miguel Ángel Moyá,es ESP,PO,Real Sociedad,es La Liga,33,1984,9,9,765.0,8.5,8.0,0.94,33.0,24.0,81.8,3.0,2.0,4.0,2.0,22.2,3.0,2.0,1.0,0.0,33.3
10,Alphonse Areola,fr FRA,PO,Paris S-G,fr Ligue 1,24,1993,34,34,3060.0,34.0,25.0,0.74,102.0,77.0,76.5,26.0,6.0,2.0,17.0,50.0,3.0,1.0,1.0,1.0,50.0
11,Kepa Arrizabalaga,es ESP,PO,Athletic Club,es La Liga,22,1994,30,30,2700.0,30.0,43.0,1.43,136.0,94.0,69.1,7.0,9.0,14.0,7.0,23.3,3.0,1.0,2.0,0.0,66.7
12,Sergio Asenjo,es ESP,PO,Villarreal,es La Liga,28,1989,23,23,2070.0,23.0,30.0,1.3,93.0,60.0,71.0,12.0,3.0,8.0,6.0,26.1,6.0,3.0,3.0,0.0,50.0
13,Mariano Barbosa,ar ARG,PO,Villarreal,es La Liga,33,1984,13,12,1125.0,12.5,14.0,1.12,48.0,34.0,72.9,6.0,3.0,3.0,5.0,41.7,1.0,1.0,0.0,0.0,0.0
14,Oliver Baumann,de GER,PO,Hoffenheim,de Bundesliga,27,1990,34,34,3060.0,34.0,48.0,1.41,147.0,100.0,69.4,15.0,10.0,9.0,10.0,29.4,4.0,3.0,1.0,0.0,25.0
15,Asmir Begović,ba BIH,PO,Bournemouth,eng Premier League,30,1987,38,38,3420.0,38.0,61.0,1.61,170.0,109.0,65.3,11.0,11.0,16.0,6.0,15.8,3.0,2.0,1.0,0.0,33.3
16,Vid Belec,si SVN,PO,Benevento,it Serie A,27,1990,13,13,1113.0,12.4,27.0,2.18,74.0,49.0,67.6,2.0,0.0,11.0,1.0,7.7,3.0,3.0,0.0,0.0,0.0
17,Vid Belec,si SVN,PO,Sampdoria,it Serie A,27,1990,2,2,180.0,2.0,5.0,2.5,15.0,10.0,73.3,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
18,Diego Benaglio,ch SUI,PO,Monaco,fr Ligue 1,33,1983,3,2,225.0,2.5,0.0,0.0,6.0,6.0,100.0,2.0,0.0,0.0,3.0,150.0,0.0,0.0,0.0,0.0,
19,Walter Benítez,ar ARG,PO,Nice,fr Ligue 1,24,1993,28,28,2520.0,28.0,36.0,1.29,113.0,76.0,70.8,12.0,8.0,8.0,7.0,25.0,5.0,3.0,2.0,0.0,40.0
20,Etrit Berisha,al ALB,PO,Atalanta,it Serie A,28,1989,31,31,2790.0,31.0,34.0,1.1,99.0,64.0,66.7,13.0,10.0,8.0,8.0,25.8,2.0,1.0,1.0,0.0,50.0
21,Quentin Beunardeau,fr FRA,PO,Metz,fr Ligue 1,23,1994,1,0,38.0,0.4,2.0,4.74,4.0,2.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
22,Albano Bizzarri,ar ARG,PO,Udinese,it Serie A,39,1977,32,32,2880.0,32.0,52.0,1.62,143.0,92.0,65.0,11.0,4.0,17.0,8.0,25.0,5.0,2.0,2.0,1.0,50.0
23,Rubén Blanco,es ESP,PO,Celta Vigo,es La Liga,22,1995,22,22,1941.0,21.6,31.0,1.44,86.0,55.0,67.4,10.0,4.0,8.0,4.0,18.2,4.0,3.0,0.0,1.0,0.0
24,Landry Bonnefoi,fr FRA,PO,Strasbourg,fr Ligue 1,33,1983,4,3,271.0,3.0,6.0,1.99,17.0,11.0,64.7,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
25,Jean-Christophe Bouet,fr FRA,PO,Amiens,fr Ligue 1,34,1983,1,1,90.0,1.0,1.0,1.0,7.0,6.0,85.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
26,Yassine Bounou,ma MAR,PO,Girona,es La Liga,26,1991,30,30,2655.0,29.5,46.0,1.56,139.0,94.0,69.8,13.0,6.0,11.0,9.0,30.0,5.0,4.0,0.0,1.0,0.0
27,Claudio Bravo,cl CHI,PO,Manchester City,eng Premier League,34,1983,3,2,226.0,2.5,1.0,0.4,5.0,4.0,80.0,2.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,
28,Alberto Brignoli,it ITA,PO,Benevento,it Serie A,25,1991,13,11,1126.0,12.5,31.0,2.48,70.0,39.0,58.6,1.0,2.0,8.0,1.0,9.1,4.0,2.0,0.0,2.0,0.0
29,Gianluigi Buffon,it ITA,PO,Juventus,it Serie A,39,1978,21,21,1862.0,20.7,14.0,0.68,56.0,43.0,80.4,17.0,2.0,2.0,11.0,52.4,4.0,3.0,1.0,0.0,25.0
30,Roman Bürki,ch SUI,PO,Dortmund,de Bundesliga,26,1990,33,33,2969.0,33.0,43.0,1.3,145.0,102.0,72.4,15.0,9.0,9.0,12.0,36.4,3.0,3.0,0.0,0.0,0.0
31,Ludovic Butelle,fr FRA,PO,Angers,fr Ligue 1,34,1983,19,19,1653.0,18.4,22.0,1.2,68.0,48.0,72.1,6.0,5.0,8.0,4.0,21.1,3.0,3.0,0.0,0.0,0.0
32,Jack Butland,eng ENG,PO,Stoke City,eng Premier League,24,1993,35,35,3150.0,35.0,61.0,1.74,201.0,142.0,72.1,7.0,11.0,17.0,6.0,17.1,5.0,5.0,0.0,0.0,0.0
33,Willy Caballero,ar ARG,PO,Chelsea,eng Premier League,35,1981,3,3,270.0,3.0,4.0,1.33,11.0,7.0,63.6,1.0,1.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,
34,Yoan Cardinale,fr FRA,PO,Nice,fr Ligue 1,23,1994,10,10,900.0,10.0,16.0,1.6,41.0,26.0,61.0,3.0,1.0,6.0,3.0,30.0,0.0,0.0,0.0,0.0,
