RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG
136,Pierre-Emerick Aubameyang,ga GAB,DL,Arsenal,eng Premier League,28.0,1989.0,11.7,10,29.0,17,58.6,2.47,1.45,0.31,0.53,14.6,1.0,1,2,8.4,6.8,0.24,1.6,2.2
137,Pierre-Emerick Aubameyang,ga GAB,DL,Dortmund,de Bundesliga,28.0,1989.0,15.7,13,54.0,23,42.6,3.43,1.46,0.19,0.43,12.5,0.0,3,4,16.2,13.0,0.26,-3.2,-3.0
138,Jean-Kévin Augustin,fr FRA,DL,RB Leipzig,de Bundesliga,20.0,1997.0,14.1,9,35.0,16,45.7,2.49,1.14,0.23,0.5,15.5,0.0,1,2,7.1,5.5,0.16,1.9,2.5
139,Ludwig Augustinsson,se SWE,"DF,DL",Werder Bremen,de Bundesliga,23.0,1994.0,28.1,1,24.0,6,25.0,0.85,0.21,0.04,0.17,18.0,1.0,0,0,1.2,1.2,0.05,-0.2,-0.2
140,Yann Aurel Bisseck,de GER,"DF,CC",Köln,de Bundesliga,16.0,2000.0,1.7,0,0.0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
141,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,24.0,1992.0,15.9,2,15.0,5,33.3,0.94,0.31,0.13,0.4,21.2,0.0,0,0,0.8,0.8,0.05,1.2,1.2
142,Charlie Austin,eng ENG,DL,Southampton,eng Premier League,28.0,1989.0,11.5,7,47.0,24,51.1,4.08,2.08,0.13,0.25,15.0,0.0,1,1,7.1,6.3,0.13,-0.1,-0.3
143,Danilo Avelar,br BRA,DF,Amiens,fr Ligue 1,28.0,1989.0,19.2,1,7.0,1,14.3,0.36,0.05,0.14,1.0,16.7,0.0,0,0,0.5,0.5,0.07,0.5,0.5
144,Felipe Avenatti,uy URU,DL,Bologna,it Serie A,24.0,1993.0,5.2,0,3.0,1,33.3,0.58,0.19,0.0,0.0,12.7,0.0,0,0,0.3,0.3,0.09,-0.3,-0.3
145,Durel Avounou,cg CGO,"DF,CC",Caen,fr Ligue 1,19.0,1997.0,7.2,0,5.0,1,20.0,0.69,0.14,0.0,0.0,23.3,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3
146,Chidozie Awaziem,ng NGA,DF,Nantes,fr Ligue 1,20.0,1997.0,16.8,1,13.0,2,15.4,0.77,0.12,0.08,0.5,17.3,1.0,0,0,0.9,0.9,0.07,0.1,0.1
147,André Ayew,gh GHA,"CC,DL",West Ham,eng Premier League,27.0,1989.0,9.9,3,12.0,4,33.3,1.21,0.4,0.25,0.75,13.6,0.0,0,1,3.3,2.5,0.21,-0.3,0.5
148,André Ayew,gh GHA,"CC,DL",Swansea City,eng Premier League,27.0,1989.0,10.6,0,13.0,7,53.8,1.23,0.66,0.0,0.0,13.0,0.0,0,0,1.9,1.9,0.14,-1.9,-1.9
149,Jordan Ayew,gh GHA,"DL,CC",Swansea City,eng Premier League,25.0,1991.0,31.7,7,65.0,20,30.8,2.05,0.63,0.09,0.3,18.9,4.0,1,1,7.3,6.5,0.1,-0.3,-0.5
150,Karim Azamoum,fr FRA,CC,Troyes,fr Ligue 1,27.0,1990.0,25.0,1,23.0,7,30.4,0.92,0.28,0.04,0.14,20.7,4.0,0,0,1.2,1.2,0.05,-0.2,-0.2
151,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,27.0,1989.0,37.0,2,13.0,3,23.1,0.35,0.08,0.15,0.67,19.4,0.0,0,0,1.3,1.3,0.1,0.7,0.7
152,Ludovic Baal,gf GUF,DF,Rennes,fr Ligue 1,31.0,1986.0,12.9,0,0.0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
153,Khouma Babacar,sn SEN,DL,Fiorentina,it Serie A,24.0,1993.0,5.0,4,21.0,11,52.4,4.22,2.21,0.1,0.18,18.7,0.0,2,2,3.9,2.4,0.11,0.1,-0.4
154,Khouma Babacar,sn SEN,DL,Sassuolo,it Serie A,24.0,1993.0,8.3,2,25.0,5,20.0,3.0,0.6,0.04,0.2,16.9,1.0,1,1,3.5,2.7,0.11,-1.5,-1.7
155,Carlos Bacca,co COL,DL,Villarreal,es La Liga,30.0,1986.0,27.7,15,72.0,33,45.8,2.6,1.19,0.19,0.42,15.6,0.0,1,1,14.0,13.2,0.18,1.0,0.8
156,Milan Badelj,hr CRO,CC,Fiorentina,it Serie A,28.0,1989.0,26.1,2,33.0,6,18.2,1.26,0.23,0.06,0.33,21.5,0.0,0,0,2.0,2.0,0.06,0.0,0.0
157,Holger Badstuber,de GER,"DF,CC",Stuttgart,de Bundesliga,28.0,1989.0,24.1,2,9.0,5,55.6,0.37,0.21,0.22,0.4,11.5,0.0,0,0,1.2,1.2,0.13,0.8,0.8
158,Dylan Bahamboula,cg CGO,"DL,CC",Dijon,fr Ligue 1,22.0,1995.0,0.3,0,1.0,0,0.0,3.0,0.0,0.0,,22.7,0.0,0,0,0.0,0.0,0.04,0.0,0.0
159,Farès Bahlouli,fr FRA,"CC,DL",Lille,fr Ligue 1,22.0,1995.0,3.4,1,4.0,2,50.0,1.17,0.59,0.25,0.5,21.4,0.0,0,0,0.2,0.2,0.06,0.8,0.8
160,Stéphane Bahoken,cm CMR,DL,Strasbourg,fr Ligue 1,25.0,1992.0,18.5,7,37.0,15,40.5,2.0,0.81,0.19,0.47,15.4,0.0,0,0,6.7,6.7,0.18,0.3,0.3
161,Daniel Baier,de GER,CC,Augsburg,de Bundesliga,33.0,1984.0,28.2,0,27.0,5,18.5,0.96,0.18,0.0,0.0,24.9,0.0,0,0,0.9,0.9,0.03,-0.9,-0.9
162,Leon Bailey,jm JAM,"DL,DF",Leverkusen,de Bundesliga,19.0,1997.0,24.6,9,76.0,27,35.5,3.09,1.1,0.12,0.33,20.4,11.0,0,0,8.0,8.0,0.11,1.0,1.0
163,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,23.0,1994.0,11.1,1,3.0,1,33.3,0.27,0.09,0.33,1.0,4.9,0.0,0,0,1.1,1.1,0.37,-0.1,-0.1
164,Leighton Baines,eng ENG,DF,Everton,eng Premier League,32.0,1984.0,21.2,2,5.0,2,40.0,0.24,0.09,0.0,0.0,24.7,2.0,2,2,2.1,0.5,0.1,-0.1,-0.5
165,Riad Bajić,ba BIH,"DL,CC",Udinese,it Serie A,23.0,1994.0,0.9,0,2.0,1,50.0,2.25,1.13,0.0,0.0,11.6,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2
166,Marvin Bakalorz,de GER,CC,Hannover 96,de Bundesliga,27.0,1989.0,22.8,0,21.0,5,23.8,0.92,0.22,0.0,0.0,21.1,0.0,0,0,1.7,1.7,0.08,-1.7,-1.7
167,Cédric Bakambu,cd COD,DL,Villarreal,es La Liga,26.0,1991.0,14.0,9,30.0,15,50.0,2.14,1.07,0.27,0.53,15.1,0.0,1,1,5.9,5.1,0.17,3.1,2.9
168,Tiemoué Bakayoko,fr FRA,CC,Chelsea,eng Premier League,22.0,1994.0,23.6,2,40.0,8,20.0,1.69,0.34,0.05,0.25,18.5,0.0,0,0,3.2,3.2,0.08,-1.2,-1.2
169,Zakaria Bakkali,be BEL,"DL,CC",La Coruña,es La Liga,21.0,1996.0,10.1,0,25.0,6,24.0,2.48,0.59,0.0,0.0,20.4,0.0,0,0,1.2,1.2,0.05,-1.2,-1.2
170,Ridle Baku,de GER,CC,Mainz 05,de Bundesliga,19.0,1998.0,2.6,2,5.0,3,60.0,1.93,1.16,0.4,0.67,20.6,0.0,0,0,0.9,0.9,0.17,1.1,1.1
171,Keita Baldé,sn SEN,"DL,CC",Monaco,fr Ligue 1,22.0,1995.0,16.4,8,32.0,11,34.4,1.96,0.67,0.25,0.73,14.9,0.0,0,0,5.4,5.4,0.17,2.6,2.6
172,Sam Baldock,eng ENG,DL,Brighton,eng Premier League,28.0,1989.0,0.4,0,0.0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
173,Gareth Bale,wls WAL,"DL,CC",Real Madrid,es La Liga,28.0,1989.0,20.0,16,76.0,31,40.8,3.8,1.55,0.2,0.48,15.5,4.0,1,1,11.8,11.0,0.15,4.2,4.0
174,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,29.0,1988.0,17.2,0,3.0,0,0.0,0.17,0.0,0.0,,20.6,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2
175,Andrija Balić,hr CRO,CC,Udinese,it Serie A,19.0,1997.0,12.0,0,16.0,3,18.8,1.33,0.25,0.0,0.0,25.8,1.0,0,0,0.8,0.8,0.05,-0.8,-0.8
176,Iván Balliu,al ALB,DF,Metz,fr Ligue 1,25.0,1992.0,21.7,0,4.0,2,50.0,0.18,0.09,0.0,0.0,20.6,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
177,Fodé Ballo-Touré,sn SEN,DF,Lille,fr Ligue 1,20.0,1997.0,22.8,0,3.0,2,66.7,0.13,0.09,0.0,0.0,17.0,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
178,Florent Balmont,fr FRA,CC,Dijon,fr Ligue 1,37.0,1980.0,9.6,1,5.0,3,60.0,0.52,0.31,0.2,0.33,26.9,0.0,0,0,0.3,0.3,0.06,0.7,0.7
179,Leon Balogun,ng NGA,DF,Mainz 05,de Bundesliga,29.0,1988.0,13.0,0,2.0,1,50.0,0.15,0.08,0.0,0.0,26.6,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
180,Mario Balotelli,it ITA,DL,Nice,fr Ligue 1,26.0,1990.0,25.2,18,101.0,45,44.6,4.01,1.78,0.12,0.27,22.2,21.0,6,7,15.3,9.8,0.1,2.7,2.2
181,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,27.0,1990.0,17.0,0,4.0,1,25.0,0.23,0.06,0.0,0.0,29.6,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
182,Jonathan Bamba,ci CIV,DL,Saint-Étienne,fr Ligue 1,21.0,1996.0,28.6,7,64.0,21,32.8,2.24,0.73,0.05,0.14,22.7,4.0,4,4,9.0,5.8,0.09,-2.0,-2.8
183,Yacine Bammou,ma MAR,"CC,DL",Nantes,fr Ligue 1,25.0,1991.0,8.1,3,22.0,7,31.8,2.73,0.87,0.14,0.43,20.4,0.0,0,0,1.0,1.0,0.05,2.0,2.0
184,Éver Banega,ar ARG,CC,Sevilla,es La Liga,29.0,1988.0,26.7,3,34.0,10,29.4,1.28,0.38,0.0,0.0,28.0,4.0,3,3,3.8,1.4,0.04,-0.8,-1.4
185,Mattia Bani,it ITA,DF,Chievo,it Serie A,23.0,1993.0,14.6,0,3.0,0,0.0,0.21,0.0,0.0,,8.0,0.0,0,0,0.3,0.3,0.09,-0.3,-0.3
186,Beni Baningime,cd COD,CC,Everton,eng Premier League,18.0,1998.0,2.2,0,0.0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
