RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera.1
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,18.0,1999.0,0,,,,,0,,0.0,0,,2,,,,,,,,,,,
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26.0,1990.0,28,2184.0,78.0,63.9,24.3,25,,21.0,3,,8,1.21,31.0,38.0,-7.0,-0.29,-0.07,32.2,34.7,-2.5,-0.1,-0.66
3,Rolando Aarons,eng ENG,"CC,DL",Newcastle Utd,eng Premier League,21.0,1995.0,4,139.0,35.0,4.1,1.5,1,,0.0,3,,7,0.25,1.0,2.0,-1.0,-0.65,-0.46,0.4,2.9,-2.6,-1.66,-1.43
4,Rolando Aarons,eng ENG,"CC,DL",Hellas Verona,it Serie A,21.0,1995.0,11,517.0,47.0,15.1,5.7,6,,1.0,5,,4,0.55,2.0,12.0,-10.0,-1.74,-0.56,2.7,10.0,-7.3,-1.26,-0.34
5,Ignazio Abate,it ITA,DF,Milan,it Serie A,30.0,1986.0,17,1057.0,62.0,30.9,11.7,11,,7.0,6,,15,1.71,17.0,10.0,7.0,0.6,0.33,13.8,11.4,2.5,0.21,-0.24
6,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27.0,1989.0,8,499.0,62.0,14.6,5.5,6,82.0,4.0,2,3.0,18,2.38,10.0,4.0,6.0,1.08,0.25,12.0,4.2,7.8,1.41,0.53
7,Nura Abdullahi,ng NGA,DF,Roma,it Serie A,19.0,1997.0,0,,,,,0,,0.0,0,,5,,,,,,,,,,,
8,Aly Abeid,mr MTN,DF,Levante,es La Liga,19.0,1997.0,1,77.0,77.0,2.3,0.9,1,77.0,0.0,0,,1,0.0,0.0,3.0,-3.0,-3.51,-3.21,0.5,0.9,-0.4,-0.45,0.04
9,Mehdi Abeid,dz ALG,CC,Dijon,fr Ligue 1,24.0,1992.0,19,1176.0,62.0,34.4,13.1,14,77.0,9.0,5,20.0,1,1.58,17.0,25.0,-8.0,-0.61,-0.21,13.3,20.4,-7.1,-0.54,0.06
10,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31.0,1986.0,27,2302.0,85.0,75.2,25.6,27,,25.0,0,,1,1.41,30.0,31.0,-1.0,-0.04,-0.16,30.2,29.3,1.0,0.04,0.09
11,Tammy Abraham,eng ENG,DL,Swansea City,eng Premier League,19.0,1997.0,31,1726.0,56.0,50.5,19.2,15,,9.0,16,,2,0.81,15.0,31.0,-16.0,-0.83,-0.2,16.9,31.8,-14.8,-0.77,-0.13
12,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,27.0,1990.0,12,850.0,71.0,27.8,9.4,11,,8.0,1,,3,1.0,8.0,11.0,-3.0,-0.32,0.54,7.5,10.0,-2.5,-0.26,-0.09
13,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29.0,1988.0,38,3420.0,90.0,100.0,38.0,38,,38.0,0,,0,1.13,29.0,59.0,-30.0,-0.79,,46.3,48.9,-2.6,-0.07,
14,Karim Achahbar,ma MAR,DL,Guingamp,fr Ligue 1,21.0,1996.0,0,,,,,0,,0.0,0,,3,,,,,,,,,,,
15,Afriyie Acquah,gh GHA,CC,Torino,it Serie A,25.0,1992.0,22,951.0,43.0,27.8,10.6,9,,3.0,13,,11,1.64,13.0,17.0,-4.0,-0.38,-0.82,9.8,15.4,-5.6,-0.53,-0.7
16,Charlie Adam,sct SCO,CC,Stoke City,eng Premier League,31.0,1985.0,11,411.0,37.0,12.0,4.6,5,,1.0,6,,21,0.91,2.0,7.0,-5.0,-1.09,-0.26,5.4,8.0,-2.5,-0.56,0.15
17,Antonio Adán,es ESP,PO,Betis,es La Liga,30.0,1987.0,30,2700.0,90.0,78.9,30.0,30,90.0,30.0,0,,0,1.53,50.0,53.0,-3.0,-0.1,-0.35,35.2,41.5,-6.3,-0.21,-0.61
18,Tosin Adarabioyo,eng ENG,DF,Manchester City,eng Premier League,19.0,1997.0,0,,,,,0,,0.0,0,,7,,,,,,,,,,,
19,Aday,es ESP,DF,Girona,es La Liga,29.0,1987.0,31,1835.0,59.0,53.7,20.4,20,82.0,13.0,11,18.0,4,1.16,29.0,31.0,-2.0,-0.1,0.3,29.4,27.6,1.8,0.09,0.18
20,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,32.0,1985.0,34,2921.0,86.0,85.4,32.5,32,90.0,32.0,2,21.0,2,1.26,32.0,37.0,-5.0,-0.15,-0.15,26.4,49.2,-22.8,-0.7,-0.83
21,Raphaël Adiceam,fr FRA,PO,Amiens,fr Ligue 1,27.0,1990.0,0,,,,,0,,0.0,0,,1,,,,,,,,,,,
22,Claud Adjapong,it ITA,"DF,DL",Sassuolo,it Serie A,19.0,1998.0,16,1220.0,76.0,35.7,13.6,14,,12.0,2,,8,1.31,13.0,22.0,-9.0,-0.66,0.2,15.9,16.7,-0.8,-0.06,0.02
23,René Adler,de GER,PO,Mainz 05,de Bundesliga,32.0,1985.0,14,1260.0,90.0,41.2,14.0,14,,14.0,0,,2,1.29,16.0,18.0,-2.0,-0.14,0.46,16.1,20.0,-3.9,-0.28,0.15
24,Yacine Adli,fr FRA,DL,Paris S-G,fr Ligue 1,17.0,2000.0,1,8.0,8.0,0.2,0.1,0,,0.0,1,8.0,0,1.0,0.0,0.0,0.0,0.0,-2.08,0.0,0.0,0.0,-0.4,-1.76
25,Ali Adnan Kadhim,iq IRQ,"DF,DL",Udinese,it Serie A,23.0,1993.0,23,1674.0,73.0,48.9,18.6,18,,14.0,5,,7,1.17,28.0,29.0,-1.0,-0.05,0.67,21.3,24.0,-2.6,-0.14,0.04
26,Adrián,es ESP,PO,West Ham,eng Premier League,30.0,1987.0,19,1710.0,90.0,50.0,19.0,19,,19.0,0,,19,1.42,30.0,29.0,1.0,0.05,1.16,19.2,28.4,-9.2,-0.48,0.0
27,Aritz Aduriz,es ESP,DL,Athletic Club,es La Liga,36.0,1981.0,33,2152.0,65.0,62.9,23.9,21,86.0,15.0,12,30.0,2,1.12,26.0,24.0,2.0,0.08,0.79,29.8,27.4,2.4,0.1,0.31
28,Ibrahim Afellay,nl NED,CC,Stoke City,eng Premier League,31.0,1986.0,6,166.0,28.0,4.9,1.8,1,,0.0,5,,10,1.0,2.0,9.0,-7.0,-3.8,-3.08,0.9,5.4,-4.4,-2.4,-1.81
29,Benik Afobe,cd COD,DL,Bournemouth,eng Premier League,24.0,1993.0,17,611.0,36.0,17.9,6.8,5,,1.0,12,,4,1.06,5.0,12.0,-7.0,-1.03,-0.74,6.5,12.7,-6.2,-1.04,-0.6
30,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,21.0,1996.0,21,1828.0,87.0,53.5,20.3,20,89.0,19.0,1,45.0,4,1.81,28.0,19.0,9.0,0.44,1.52,24.2,24.0,0.2,0.01,1.0
31,Imanol Agirretxe,es ESP,DL,Real Sociedad,es La Liga,30.0,1987.0,11,232.0,21.0,6.8,2.6,2,68.0,1.0,9,11.0,5,1.45,5.0,2.0,3.0,1.16,1.05,4.7,2.0,2.7,1.04,1.03
32,Juan Agüero,es ESP,CC,Atlético Madrid,es La Liga,18.0,1999.0,0,,,,,0,,0.0,0,,3,,,,,,,,,,,
33,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,29.0,1988.0,25,1963.0,79.0,57.4,21.8,22,,13.0,3,,4,2.52,63.0,12.0,51.0,2.34,0.61,45.8,13.1,32.7,1.5,0.13
34,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,24.0,1993.0,31,2459.0,79.0,71.9,27.3,27,88.0,25.0,4,22.0,3,1.45,30.0,20.0,10.0,0.37,1.02,32.2,25.4,6.8,0.25,0.55
35,Matías Aguirregaray,uy URU,DF,Las Palmas,es La Liga,28.0,1989.0,15,1153.0,77.0,33.7,12.8,14,81.0,10.0,1,17.0,2,0.53,7.0,17.0,-10.0,-0.78,0.81,10.9,23.1,-12.2,-0.95,-0.16
36,Matteo Ahlinvi,bj BEN,CC,Guingamp,fr Ligue 1,18.0,1999.0,0,,,,,0,,0.0,0,,1,,,,,,,,,,,
37,Jean-Eudes Aholou,ci CIV,CC,Strasbourg,fr Ligue 1,23.0,1994.0,35,3006.0,86.0,87.9,33.4,35,86.0,30.0,0,,0,1.09,41.0,58.0,-17.0,-0.51,0.8,41.1,52.3,-11.3,-0.34,0.01
38,Ailton,br BRA,"DF,CC",Stuttgart,de Bundesliga,22.0,1995.0,5,108.0,22.0,3.5,1.2,1,,0.0,4,,7,0.8,1.0,2.0,-1.0,-0.83,-0.86,1.1,0.8,0.3,0.26,0.37
39,Youssef Aït Bennasser,ma MAR,CC,Caen,fr Ligue 1,21.0,1996.0,27,2047.0,76.0,59.9,22.7,25,80.0,16.0,2,30.0,0,1.22,17.0,28.0,-11.0,-0.48,0.43,23.7,26.9,-3.2,-0.14,-0.01
40,Rayan Aït Nouri,dz ALG,"DF,CC",Angers,fr Ligue 1,16.0,2001.0,0,,,,,0,,0.0,0,,1,,,,,,,,,,,
41,Arlind Ajeti,al ALB,DF,Crotone,it Serie A,23.0,1993.0,21,1271.0,61.0,37.2,14.1,15,,11.0,6,,15,0.95,12.0,28.0,-16.0,-1.13,-0.71,12.6,27.4,-14.8,-1.05,-0.67
42,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,22.0,1995.0,11,904.0,82.0,29.5,10.0,10,,10.0,1,,4,1.82,15.0,15.0,0.0,0.0,-0.71,17.8,14.6,3.1,0.31,-0.55
43,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,22.0,1995.0,38,3353.0,88.0,98.0,37.3,37,,36.0,1,,0,1.16,44.0,59.0,-15.0,-0.4,0.94,37.9,56.9,-19.0,-0.51,1.46
44,Ager Aketxe,es ESP,CC,Athletic Club,es La Liga,23.0,1993.0,3,37.0,12.0,1.1,0.4,0,,0.0,3,12.0,6,1.67,1.0,0.0,1.0,2.43,2.67,1.0,0.7,0.4,0.92,0.95
45,Chadrac Akolo,cd COD,"CC,DL",Stuttgart,de Bundesliga,22.0,1995.0,22,1102.0,50.0,36.0,12.2,13,,1.0,9,,7,1.45,14.0,17.0,-3.0,-0.25,-0.38,14.5,16.5,-1.9,-0.16,-0.1
46,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,22.0,1995.0,22,1690.0,77.0,55.2,18.8,17,,16.0,5,,3,1.64,42.0,27.0,15.0,0.8,0.6,32.1,23.6,8.5,0.45,0.79
47,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,25.0,1992.0,23,1551.0,67.0,50.7,17.2,17,,14.0,6,,0,2.7,51.0,10.0,41.0,2.38,1.01,41.5,13.8,27.7,1.6,0.62
48,Lucas Alario,ar ARG,DL,Leverkusen,de Bundesliga,24.0,1992.0,23,1550.0,67.0,50.7,17.2,17,,12.0,6,,3,1.7,27.0,21.0,6.0,0.35,-0.13,32.8,19.8,13.0,0.75,0.42
49,David Alba,es ESP,DF,Getafe,es La Liga,18.0,1999.0,1,61.0,61.0,1.8,0.7,1,61.0,0.0,0,,2,3.0,0.0,0.0,0.0,0.0,-0.24,0.0,1.0,-0.9,-1.39,-1.64
50,Jordi Alba,es ESP,DF,Barcelona,es La Liga,28.0,1989.0,33,2744.0,83.0,80.2,30.5,30,89.0,27.0,3,24.0,3,2.48,81.0,21.0,60.0,1.97,0.64,70.9,31.7,39.2,1.29,0.97
51,Raúl Albentosa,es ESP,DF,La Coruña,es La Liga,28.0,1988.0,20,1748.0,87.0,51.1,19.4,19,90.0,18.0,1,45.0,8,0.7,19.0,34.0,-15.0,-0.77,0.47,27.7,27.6,0.1,0.01,0.4
52,Luis Alberto,es ESP,"DL,CC",Lazio,it Serie A,24.0,1992.0,34,2669.0,79.0,78.0,29.7,32,,19.0,2,,1,1.91,73.0,41.0,32.0,1.08,0.12,51.3,32.6,18.7,0.63,0.49
53,Raúl Albiol,es ESP,DF,Napoli,it Serie A,31.0,1985.0,31,2742.0,88.0,80.2,30.5,30,,29.0,1,,5,2.26,58.0,21.0,37.0,1.21,-0.25,52.8,21.4,31.4,1.03,-0.11
54,Miiko Albornoz,cl CHI,"DF,CC",Hannover 96,de Bundesliga,26.0,1990.0,10,703.0,70.0,23.0,7.8,7,,7.0,3,,10,0.7,10.0,17.0,-7.0,-0.9,-0.78,10.1,14.5,-4.4,-0.57,-0.32
55,Marc Albrighton,eng ENG,"CC,DL",Leicester City,eng Premier League,27.0,1989.0,34,2538.0,75.0,74.2,28.2,30,,19.0,4,,1,1.29,35.0,39.0,-4.0,-0.14,-0.14,35.6,34.9,0.7,0.02,-0.1
56,Paco Alcácer,es ESP,"CC,DL",Barcelona,es La Liga,23.0,1993.0,17,695.0,41.0,20.3,7.7,8,67.0,1.0,9,18.0,11,2.12,19.0,3.0,16.0,2.07,0.29,20.0,8.1,11.9,1.54,0.56
57,Pedro Alcalá,es ESP,DF,Girona,es La Liga,28.0,1989.0,8,689.0,86.0,20.1,7.7,8,86.0,7.0,0,,4,1.25,10.0,13.0,-3.0,-0.39,-0.19,11.6,10.1,1.5,0.2,0.24
58,Thiago Alcántara,es ESP,"CC,DL",Bayern Munich,de Bundesliga,26.0,1991.0,19,1247.0,66.0,40.8,13.9,12,,9.0,7,,1,2.47,39.0,10.0,29.0,2.09,0.36,33.1,10.2,22.9,1.66,0.61
59,David Alcibiade,fr FRA,DF,Nantes,fr Ligue 1,25.0,1991.0,3,208.0,69.0,6.1,2.3,2,90.0,2.0,1,28.0,6,2.33,3.0,2.0,1.0,0.43,0.6,3.2,1.8,1.5,0.63,0.57
60,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,28.0,1989.0,14,1178.0,84.0,34.4,13.1,13,,13.0,1,,1,1.93,25.0,13.0,12.0,0.92,-0.13,20.7,10.1,10.6,0.81,0.0
61,Steve Aldo One,cm CMR,DF,La Coruña,es La Liga,22.0,1995.0,1,90.0,90.0,2.6,1.0,1,90.0,1.0,0,,1,0.0,1.0,7.0,-6.0,-6.0,-5.14,1.8,2.5,-0.7,-0.71,-0.54
62,Álex Alegría,es ESP,DL,Levante,es La Liga,24.0,1992.0,9,628.0,70.0,18.4,7.0,8,74.0,3.0,1,38.0,1,1.22,9.0,12.0,-3.0,-0.43,-0.08,7.7,10.5,-2.8,-0.4,0.12
63,Iván Alejo,es ESP,"CC,DL",Eibar,es La Liga,22.0,1995.0,22,1102.0,50.0,32.2,12.2,14,69.0,1.0,8,16.0,6,1.5,16.0,11.0,5.0,0.41,0.84,13.1,13.6,-0.5,-0.04,0.07
64,Carles Aleñá,es ESP,"DL,CC",Barcelona,es La Liga,19.0,1998.0,0,,,,,0,,0.0,0,,2,,,,,,,,,,,
65,Diego Alende,es ESP,DF,Celta Vigo,es La Liga,19.0,1997.0,0,,,,,0,,0.0,0,,2,,,,,,,,,,,
66,Alex,es ESP,PO,Atlético Madrid,es La Liga,18.0,1999.0,0,,,,,0,,0.0,0,,1,,,,,,,,,,,
67,Alexander,ar ARG,"CC,DL",Leganés,es La Liga,28.0,1988.0,13,1060.0,82.0,31.0,11.8,13,82.0,9.0,0,,0,1.31,8.0,12.0,-4.0,-0.34,0.16,13.8,14.7,-0.9,-0.08,0.18
68,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,18.0,1998.0,19,1573.0,83.0,46.0,17.5,18,,14.0,1,,16,1.89,39.0,17.0,22.0,1.26,0.09,33.8,15.7,18.1,1.03,0.01
69,Alexis,es ESP,DF,Alavés,es La Liga,31.0,1985.0,28,2184.0,78.0,63.9,24.3,25,85.0,23.0,3,18.0,7,1.32,26.0,33.0,-7.0,-0.29,-0.07,26.4,37.2,-10.8,-0.45,0.04
70,Alisson,br BRA,PO,Roma,it Serie A,24.0,1992.0,37,3330.0,90.0,97.4,37.0,37,,37.0,0,,0,2.0,60.0,28.0,32.0,0.86,-0.14,62.2,36.1,26.2,0.71,0.7
71,Bobby Allain,fr FRA,PO,Dijon,fr Ligue 1,25.0,1991.0,0,,,,,0,,0.0,0,,4,,,,,,,,,,,
72,Allan,br BRA,CC,Napoli,it Serie A,26.0,1991.0,38,2850.0,75.0,83.3,31.7,32,,19.0,6,,0,2.39,62.0,21.0,41.0,1.29,0.19,57.8,21.9,35.9,1.13,0.48
73,Joe Allen,wls WAL,CC,Stoke City,eng Premier League,27.0,1990.0,36,3139.0,87.0,91.8,34.9,36,,33.0,0,,1,0.92,30.0,55.0,-25.0,-0.72,1.85,33.6,52.2,-18.6,-0.53,1.87
74,Dele Alli,eng ENG,"CC,DL",Tottenham,eng Premier League,21.0,1996.0,36,2958.0,82.0,86.5,32.9,34,,18.0,2,,0,2.03,63.0,28.0,35.0,1.06,0.48,54.1,25.7,28.5,0.87,0.41
75,Júnior Alonso,py PAR,DF,Lille,fr Ligue 1,24.0,1993.0,34,2781.0,82.0,81.3,30.9,30,88.0,28.0,4,39.0,3,0.91,31.0,53.0,-22.0,-0.71,-0.15,26.1,48.4,-22.3,-0.72,-0.84
76,José Alonso Lara,es ESP,CC,Sevilla,es La Liga,17.0,2000.0,1,10.0,10.0,0.3,0.1,0,,0.0,1,10.0,0,3.0,0.0,0.0,0.0,0.0,0.24,0.4,0.1,0.3,2.68,2.55
