Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,ACT,ACT,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,ACG,ACG,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Unnamed: 25_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive,PassDead,HASTA,Dis,FR,Def,Partidos
269,Darío Benedetto,ar ARG,"DL,CC",Marseille,fr Ligue 1,31,1990,0.6,1,1.67,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
270,László Bénes,sk SVK,CC,M'Gladbach,de Bundesliga,23,1997,2.7,14,5.12,6,5,0,1,1,1,1,0.37,0,0,0,1,0,0,Partidos
271,Walter Benítez,ar ARG,PO,Nice,fr Ligue 1,28,1993,37.0,3,0.08,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Partidos
272,Iker Benito,es ESP,"DL,CC",Osasuna,es La Liga,18,2002,1.3,2,1.53,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
273,Loris Benito,ch SUI,DF,Bordeaux,fr Ligue 1,29,1992,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
274,Pedro Benito,es ESP,DL,Cádiz,es La Liga,21,2000,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
275,Filip Benković,hr CRO,"DF,DL",Udinese,it Serie A,24,1997,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive,PassDead,HASTA,Dis,FR,Def,Partidos
276,Ismaël Bennacer,dz ALG,CC,Milan,it Serie A,23,1997,16.9,61,3.60,44,7,4,1,3,2,3,0.18,3,0,0,0,0,0,Partidos
277,Keanan Bennetts,eng ENG,"DL,DF",M'Gladbach,de Bundesliga,22,1999,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
278,Saïd Benrahma,dz ALG,"DL,CC",West Ham,eng Premier League,25,1995,24.1,75,3.11,58,0,7,7,3,0,8,0.33,7,0,0,1,0,0,Partidos
279,Ramy Bensebaini,dz ALG,DF,M'Gladbach,de Bundesliga,26,1995,22.4,31,1.45,24,2,0,1,1,3,4,0.19,3,0,0,1,0,0,Partidos
280,Nabil Bentaleb,dz ALG,CC,Angers,fr Ligue 1,26,1994,16.8,18,1.07,15,0,1,1,1,0,1,0.06,1,0,0,0,0,0,Partidos
281,Rodrigo Bentancur,uy URU,CC,Tottenham,eng Premier League,24,1997,15.1,38,2.51,33,0,1,2,1,1,7,0.46,6,0,0,1,0,0,Partidos
282,Rodrigo Bentancur,uy URU,CC,Juventus,it Serie A,24,1997,12.8,36,2.81,30,1,0,3,0,2,3,0.23,2,0,0,1,0,0,Partidos
283,Christian Benteke,be BEL,DL,Crystal Palace,eng Premier League,30,1990,12.7,23,1.81,19,0,1,1,2,0,2,0.16,1,0,0,0,1,0,Partidos
284,Karim Benzema,fr FRA,DL,Real Madrid,es La Liga,33,1987,28.8,128,4.45,108,0,12,7,1,0,22,0.77,16,0,5,1,0,0,Partidos
285,Alessandro Berardi,it ITA,PO,Hellas Verona,it Serie A,30,1991,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
286,Domenico Berardi,it ITA,DL,Sassuolo,it Serie A,26,1994,31.3,170,5.42,126,22,8,3,8,3,22,0.70,17,2,1,0,2,0,Partidos
287,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,31,1990,11.3,17,1.51,14,2,0,0,1,0,3,0.27,2,1,0,0,0,0,Partidos
288,Álex Berenguer,es ESP,CC,Athletic Club,es La Liga,26,1995,24.1,77,3.20,47,16,6,3,4,1,10,0.41,6,2,0,1,0,1,Partidos
289,Bartosz Bereszyński,pl POL,DF,Sampdoria,it Serie A,29,1992,32.7,54,1.65,39,7,4,2,2,0,7,0.21,4,2,1,0,0,0,Partidos
290,Jóhann Berg Guðmundsson,is ISL,CC,Burnley,eng Premier League,30,1990,12.2,23,1.88,16,0,1,4,2,0,2,0.16,2,0,0,0,0,0,Partidos
291,Patrick Berg,no NOR,CC,Lens,fr Ligue 1,23,1997,3.4,5,1.47,4,0,0,1,0,0,1,0.29,1,0,0,0,0,0,Partidos
292,Mitchell van Bergen,nl NED,"DL,CC",Reims,fr Ligue 1,21,1999,10.9,27,2.47,17,5,4,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
293,Steven Bergwijn,nl NED,"DL,CC",Tottenham,eng Premier League,23,1997,6.3,21,3.35,15,1,2,1,2,0,3,0.48,1,0,1,0,1,0,Partidos
294,Etrit Berisha,al ALB,PO,Torino,it Serie A,32,1989,10.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
295,Valon Berisha,xk KVX,"CC,DL",Reims,fr Ligue 1,28,1993,5.1,10,1.98,5,4,1,0,0,0,2,0.40,1,1,0,0,0,0,Partidos
296,Federico Bernardeschi,it ITA,"CC,DL",Juventus,it Serie A,27,1994,16.4,62,3.78,40,5,6,8,3,0,4,0.24,3,0,0,1,0,0,Partidos
297,Paul Bernardoni,fr FRA,PO,Angers,fr Ligue 1,24,1997,13.0,1,0.08,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
298,Paul Bernardoni,fr FRA,PO,Saint-Étienne,fr Ligue 1,24,1997,19.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
299,Juan Bernat,es ESP,"DF,CC",Paris S-G,fr Ligue 1,28,1993,10.6,10,0.94,10,0,0,0,0,0,1,0.09,1,0,0,0,0,0,Partidos
300,Dimitry Bertaud,fr FRA,PO,Montpellier,fr Ligue 1,23,1998,9.3,2,0.22,2,0,0,0,0,0,1,0.11,1,0,0,0,0,0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive,PassDead,HASTA,Dis,FR,Def,Partidos
301,Jason Berthomier,fr FRA,CC,Clermont Foot,fr Ligue 1,31,1990,19.2,89,4.63,45,33,5,5,1,0,9,0.47,3,5,0,1,0,0,Partidos
302,Nicolò Bertola,it ITA,"CC,DF",Spezia,it Serie A,18,2003,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
303,Ryan Bertrand,eng ENG,DF,Leicester City,eng Premier League,31,1989,3.7,2,0.53,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
304,Daniel Bessa,it ITA,CC,Hellas Verona,it Serie A,28,1993,8.5,26,3.05,25,0,0,1,0,0,4,0.47,4,0,0,0,0,0,Partidos
305,Beto,gw GNB,DL,Udinese,it Serie A,23,1998,24.1,49,2.03,31,0,7,9,2,0,3,0.12,1,0,0,2,0,0,Partidos
306,Jordan Beyer,de GER,DF,M'Gladbach,de Bundesliga,21,2000,15.4,24,1.67,18,1,0,1,2,2,1,0.07,1,0,0,0,0,0,Partidos
307,Giulian Biancone,fr FRA,"DF,CC",Troyes,fr Ligue 1,21,2000,25.5,45,1.77,34,1,0,5,4,1,3,0.12,2,1,0,0,0,0,Partidos
308,Bartosz Białek,pl POL,"DL,DF",Wolfsburg,de Bundesliga,19,2001,2.0,4,2.02,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Partidos
309,Ermin Bičakčić,ba BIH,DF,Hoffenheim,de Bundesliga,31,1990,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
310,Mads Bidstrup,dk DEN,CC,Brentford,eng Premier League,20,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
311,Pedro Bigas,es ESP,DF,Elche,es La Liga,30,1990,17.2,12,0.70,9,0,0,1,2,0,1,0.06,1,0,0,0,0,0,Partidos
312,El Bilal Touré,ml MLI,DL,Reims,fr Ligue 1,19,2001,13.3,28,2.11,21,0,1,3,1,2,7,0.53,5,0,0,2,0,0,Partidos
