RL2020-2021,Jugador2020-2021,País2020-2021,Posc2020-2021,Equipo2020-2021,Comp2020-2021,Edad2020-2021,Nacimiento2020-2021,90 s2020-2021,Toques2020-2021,Def. pen.2020-2021,3.º def.2020-2021,3.º cent.2020-2021,3.º ataq.2020-2021,Ataq. pen.2020-2021,Balón vivo2020-2021,Att2020-2021,Succ2020-2021,Exitosa%2020-2021,Tkld2020-2021,Tkld%2020-2021,Transportes2020-2021,Dist. tot.2020-2021,Dist. prg.2020-2021,PrgC2020-2021,1/32020-2021,TAP2020-2021,Errores de control2020-2021,Des2020-2021,Rec2020-2021,PrgR2020-2021
50,David Alaba,at AUT,"DF,CC",Bayern Munich,de Bundesliga,28,1992,29.7,2539.0,146.0,836.0,1396.0,329.0,24.0,2539.0,19.0,16.0,84.2,3.0,15.8,1654.0,9691.0,5512.0,56.0,38.0,2.0,20.0,12.0,1856.0,70.0
51,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,22,1998,16.7,1127.0,46.0,376.0,530.0,228.0,9.0,1127.0,36.0,18.0,50.0,18.0,50.0,545.0,2292.0,1350.0,35.0,22.0,4.0,26.0,17.0,605.0,47.0
52,Jony Álamo,es ESP,CC,Elche,es La Liga,18,2001,0.8,25.0,0.0,11.0,10.0,4.0,1.0,25.0,4.0,4.0,100.0,0.0,0.0,13.0,78.0,31.0,1.0,0.0,0.0,1.0,1.0,13.0,1.0
53,Lucas Alario,ar ARG,DL,Leverkusen,de Bundesliga,27,1992,13.8,462.0,14.0,40.0,194.0,233.0,74.0,460.0,21.0,16.0,76.2,5.0,23.8,226.0,921.0,284.0,7.0,5.0,4.0,46.0,16.0,361.0,75.0
54,Jordi Alba,es ESP,"DF,DL",Barcelona,es La Liga,31,1989,33.6,3199.0,77.0,636.0,1277.0,1300.0,118.0,3199.0,32.0,17.0,53.1,15.0,46.9,1972.0,7428.0,3552.0,48.0,44.0,14.0,32.0,14.0,2389.0,354.0
55,Luis Alberto,es ESP,CC,Lazio,it Serie A,27,1992,29.1,2254.0,14.0,240.0,1244.0,817.0,63.0,2254.0,95.0,51.0,53.7,44.0,46.3,1344.0,8588.0,5655.0,143.0,124.0,19.0,46.0,39.0,1577.0,132.0
56,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,1985,34.6,2327.0,286.0,1186.0,1098.0,55.0,11.0,2327.0,6.0,4.0,66.7,2.0,33.3,1420.0,8867.0,5461.0,19.0,13.0,1.0,10.0,6.0,1634.0,2.0
57,Marc Albrighton,eng ENG,"DF,DL",Leicester City,eng Premier League,30,1989,19.4,1163.0,37.0,246.0,462.0,476.0,37.0,1163.0,66.0,37.0,56.1,29.0,43.9,615.0,3494.0,1576.0,46.0,33.0,7.0,33.0,29.0,725.0,139.0
58,Paco Alcácer,es ESP,DL,Villarreal,es La Liga,26,1993,17.2,381.0,9.0,33.0,167.0,182.0,69.0,379.0,11.0,8.0,72.7,3.0,27.3,194.0,624.0,267.0,12.0,3.0,8.0,31.0,9.0,267.0,77.0
59,Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31,1989,10.1,389.0,75.0,228.0,158.0,5.0,4.0,389.0,1.0,1.0,100.0,0.0,0.0,175.0,836.0,433.0,1.0,4.0,0.0,0.0,0.0,183.0,0.0
60,Thiago Alcántara,es ESP,CC,Liverpool,eng Premier League,29,1991,20.6,1946.0,31.0,296.0,1226.0,438.0,16.0,1946.0,48.0,33.0,68.8,15.0,31.3,1252.0,5861.0,2930.0,27.0,58.0,4.0,23.0,18.0,1475.0,25.0
61,Rubén Alcaraz,es ESP,CC,Valladolid,es La Liga,29,1991,24.1,1383.0,61.0,337.0,877.0,186.0,23.0,1383.0,19.0,14.0,73.7,5.0,26.3,759.0,3942.0,1891.0,25.0,26.0,1.0,25.0,14.0,841.0,21.0
62,Omar Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,1996,14.4,1058.0,107.0,586.0,459.0,21.0,10.0,1058.0,18.0,15.0,83.3,3.0,16.7,653.0,3162.0,1834.0,8.0,6.0,0.0,6.0,3.0,718.0,3.0
63,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,1989,24.9,1687.0,267.0,932.0,726.0,35.0,14.0,1687.0,4.0,4.0,100.0,0.0,0.0,987.0,4485.0,2370.0,3.0,5.0,0.0,2.0,2.0,1114.0,1.0
64,Iván Alejo,es ESP,"CC,DL",Cádiz,es La Liga,25,1995,9.2,348.0,14.0,64.0,106.0,185.0,20.0,348.0,25.0,13.0,52.0,12.0,48.0,202.0,2031.0,1030.0,46.0,25.0,5.0,27.0,14.0,219.0,79.0
131,Carles Aleñá,es ESP,CC,Barcelona,es La Liga,22,1998,15.7,765.0,9.0,74.0,385.0,325.0,17.0,765.0,36.0,23.0,63.9,13.0,36.1,458.0,2522.0,1119.0,21.0,31.0,1.0,30.0,19.0,533.0,52.0
67,Rúnar Alex Rúnarsson,is ISL,PO,Arsenal,eng Premier League,25,1995,0.2,13.0,10.0,12.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
68,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,1998,33.7,3318.0,73.0,699.0,1494.0,1151.0,81.0,3318.0,61.0,32.0,52.5,29.0,47.5,1992.0,9462.0,5442.0,98.0,95.0,24.0,31.0,22.0,2202.0,249.0
69,Alfon,es ESP,CC,Celta Vigo,es La Liga,21,1999,0.4,21.0,0.0,0.0,6.0,15.0,2.0,21.0,2.0,1.0,50.0,1.0,50.0,20.0,81.0,39.0,0.0,1.0,0.0,3.0,0.0,20.0,5.0
70,Mohamed Ali Cho,fr FRA,"DL,CC",Angers,fr Ligue 1,16,2004,3.9,173.0,0.0,13.0,66.0,98.0,16.0,173.0,11.0,5.0,45.5,6.0,54.5,114.0,750.0,382.0,15.0,10.0,2.0,16.0,12.0,121.0,26.0
71,Ezgjan Alioski,mk MKD,"DF,CC",Leeds United,eng Premier League,28,1992,27.3,1951.0,75.0,560.0,902.0,503.0,41.0,1951.0,26.0,11.0,42.3,15.0,57.7,1007.0,5508.0,3290.0,77.0,43.0,5.0,37.0,15.0,1197.0,122.0
72,Rachid Alioui,ma MAR,DL,Angers,fr Ligue 1,28,1992,0.2,11.0,0.0,3.0,3.0,5.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0
73,Alisson,br BRA,PO,Liverpool,eng Premier League,27,1992,33.0,1239.0,931.0,1224.0,16.0,1.0,1.0,1239.0,2.0,2.0,100.0,0.0,0.0,709.0,2807.0,1763.0,0.0,0.0,0.0,0.0,0.0,669.0,0.0
