RL2020-2021,Jugador2020-2021,País2020-2021,Posc2020-2021,Equipo2020-2021,Comp2020-2021,Edad2020-2021,Nacimiento2020-2021,90 s2020-2021,ACT2020-2021,SCA902020-2021,PassLive2020-2021,PassDead2020-2021,HASTA2020-2021,Dis2020-2021,FR2020-2021,Def2020-2021,ACG2020-2021,GCA902020-2021,PassLive.12020-2021,PassDead.12020-2021,HASTA.12020-2021,Dis.12020-2021,FR.12020-2021,Def.12020-2021
26,Martin Agirregabiria,es ESP,"DF,CC",Alavés,es La Liga,24,1996,17.3,28.0,1.62,16.0,9.0,0.0,0.0,3.0,0.0,3.0,0.17,2.0,1.0,0.0,0.0,0.0,0.0
27,Lucien Agoume,fr FRA,CC,Spezia,it Serie A,18,2002,8.9,7.0,0.79,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.23,2.0,0.0,0.0,0.0,0.0,0.0
28,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,7.8,8.0,1.03,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Kevin Agudelo,co COL,DL,Spezia,it Serie A,21,1998,15.1,38.0,2.52,19.0,1.0,3.0,8.0,4.0,3.0,7.0,0.46,5.0,1.0,0.0,1.0,0.0,0.0
30,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35.0,20.0,0.57,17.0,0.0,0.0,3.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0
31,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,32,1988,6.2,18.0,2.9,13.0,0.0,3.0,1.0,0.0,1.0,3.0,0.48,2.0,0.0,1.0,0.0,0.0,0.0
32,Ruben Aguilar,fr FRA,"DF,CC",Monaco,fr Ligue 1,27,1993,24.7,78.0,3.15,56.0,10.0,2.0,1.0,7.0,2.0,7.0,0.28,4.0,1.0,1.0,0.0,1.0,0.0
33,Naouirou Ahamada,fr FRA,CC,Stuttgart,de Bundesliga,18,2002,2.8,2.0,0.71,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Matteo Ahlinvi,bj BEN,CC,Nîmes,fr Ligue 1,21,1999,10.0,12.0,1.2,9.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Jean-Eudes Aholou,ci CIV,CC,Strasbourg,fr Ligue 1,26,1994,24.2,34.0,3.88,25.0,0.0,1.0,3.0,3.0,2.0,4.0,0.17,2.0,0.0,0.0,1.0,0.0,1.0
37,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,14.3,10.0,0.7,7.0,0.0,1.0,2.0,0.0,0.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0
38,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,29.6,27.0,0.91,23.0,3.0,0.0,0.0,1.0,0.0,4.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0
79,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,19,2001,17.7,42.0,6.89,29.0,4.0,8.0,0.0,1.0,0.0,3.0,1.03,2.0,0.0,1.0,0.0,0.0,0.0
41,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,30.9,14.0,0.45,13.0,0.0,1.0,0.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0
42,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,26,1994,33.0,77.0,2.34,55.0,0.0,1.0,12.0,9.0,0.0,8.0,0.24,4.0,0.0,1.0,1.0,2.0,0.0
43,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,26.1,22.0,0.84,16.0,1.0,0.0,3.0,1.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0
44,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,9.6,7.0,0.73,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Marley Aké,fr FRA,DL,Marseille,fr Ligue 1,19,2001,1.6,2.0,1.23,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,8.9,5.0,0.56,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0
47,Paul Akouokou,ci CIV,CC,Betis,es La Liga,22,1997,4.2,6.0,1.43,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.24,1.0,0.0,0.0,0.0,0.0,0.0
48,Jean-Daniel Akpa-Akpro,ci CIV,CC,Lazio,it Serie A,27,1992,11.7,19.0,1.62,16.0,0.0,1.0,0.0,0.0,2.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0
49,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,13.2,7.0,0.53,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,David Alaba,at AUT,"DF,CC",Bayern Munich,de Bundesliga,28,1992,29.7,60.0,2.02,55.0,1.0,0.0,3.0,0.0,1.0,7.0,0.24,6.0,1.0,0.0,0.0,0.0,0.0
51,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,22,1998,16.7,21.0,1.25,14.0,2.0,2.0,0.0,3.0,0.0,3.0,0.18,2.0,0.0,0.0,0.0,1.0,0.0
52,Jony Álamo,es ESP,CC,Elche,es La Liga,18,2001,0.8,1.0,1.23,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.23,1.0,0.0,0.0,0.0,0.0,0.0
53,Lucas Alario,ar ARG,DL,Leverkusen,de Bundesliga,27,1992,13.8,30.0,2.17,22.0,0.0,2.0,3.0,3.0,0.0,3.0,0.22,2.0,0.0,0.0,1.0,0.0,0.0
54,Jordi Alba,es ESP,"DF,DL",Barcelona,es La Liga,31,1989,33.6,96.0,2.86,93.0,2.0,1.0,0.0,0.0,0.0,9.0,0.27,8.0,0.0,1.0,0.0,0.0,0.0
55,Luis Alberto,es ESP,CC,Lazio,it Serie A,27,1992,29.1,157.0,5.4,118.0,25.0,7.0,4.0,2.0,1.0,7.0,0.24,6.0,0.0,1.0,0.0,0.0,0.0
56,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,1985,34.6,18.0,0.52,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0
57,Marc Albrighton,eng ENG,"DF,DL",Leicester City,eng Premier League,30,1989,19.4,77.0,3.97,59.0,5.0,5.0,2.0,3.0,3.0,12.0,0.62,8.0,2.0,0.0,1.0,0.0,1.0
58,Paco Alcácer,es ESP,DL,Villarreal,es La Liga,26,1993,17.2,27.0,1.57,20.0,1.0,3.0,2.0,1.0,0.0,9.0,0.52,6.0,0.0,2.0,1.0,0.0,0.0
59,Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31,1989,10.1,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Thiago Alcántara,es ESP,CC,Liverpool,eng Premier League,29,1991,20.6,81.0,3.93,69.0,2.0,2.0,3.0,3.0,2.0,3.0,0.15,2.0,0.0,0.0,1.0,0.0,0.0
61,Rubén Alcaraz,es ESP,CC,Valladolid,es La Liga,29,1991,24.1,28.0,1.16,23.0,0.0,0.0,1.0,3.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0
62,Omar Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,1996,14.4,7.0,0.48,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,1989,24.9,22.0,0.88,19.0,0.0,0.0,3.0,0.0,0.0,3.0,0.12,3.0,0.0,0.0,0.0,0.0,0.0
64,Iván Alejo,es ESP,"CC,DL",Cádiz,es La Liga,25,1995,9.2,21.0,2.29,17.0,1.0,1.0,1.0,1.0,0.0,2.0,0.22,1.0,0.0,0.0,1.0,0.0,0.0
131,Carles Aleñá,es ESP,CC,Barcelona,es La Liga,22,1998,15.7,67.0,6.22,32.0,15.0,6.0,8.0,6.0,0.0,3.0,0.2,2.0,0.0,1.0,0.0,0.0,0.0
67,Rúnar Alex Rúnarsson,is ISL,PO,Arsenal,eng Premier League,25,1995,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,1998,33.7,131.0,3.89,84.0,34.0,6.0,7.0,0.0,0.0,13.0,0.39,8.0,2.0,1.0,2.0,0.0,0.0
69,Alfon,es ESP,CC,Celta Vigo,es La Liga,21,1999,0.4,1.0,2.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Mohamed Ali Cho,fr FRA,"DL,CC",Angers,fr Ligue 1,16,2004,3.9,4.0,1.04,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Ezgjan Alioski,mk MKD,"DF,CC",Leeds United,eng Premier League,28,1992,27.3,71.0,2.6,57.0,5.0,0.0,5.0,3.0,1.0,5.0,0.18,3.0,1.0,0.0,1.0,0.0,0.0
72,Rachid Alioui,ma MAR,DL,Angers,fr Ligue 1,28,1992,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Alisson,br BRA,PO,Liverpool,eng Premier League,27,1992,33.0,5.0,0.15,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Saturnin Allagbé,bj BEN,PO,Dijon,fr Ligue 1,26,1993,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Allan,br BRA,CC,Everton,eng Premier League,29,1991,22.8,39.0,1.71,33.0,1.0,4.0,1.0,0.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0
76,Dele Alli,eng ENG,CC,Tottenham,eng Premier League,24,1996,6.9,22.0,3.19,19.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Miguel Almirón,py PAR,"CC,DL",Newcastle Utd,eng Premier League,26,1994,27.0,76.0,2.82,54.0,3.0,8.0,4.0,5.0,2.0,6.0,0.22,4.0,0.0,0.0,1.0,0.0,1.0
78,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,29,1990,10.7,36.0,3.38,29.0,2.0,0.0,5.0,0.0,0.0,3.0,0.28,2.0,0.0,0.0,1.0,0.0,0.0
79,Sergio Álvarez,es ESP,"CC,DF",Eibar,es La Liga,28,1992,17.4,19.0,1.09,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,25,1995,21.6,12.0,0.55,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Bruno Alves,pt POR,DF,Parma,it Serie A,38,1981,18.1,9.0,0.5,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Steven Alzate,co COL,CC,Brighton,eng Premier League,21,1998,10.0,24.0,2.41,20.0,0.0,1.0,3.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0
83,Ibrahim Amadou,fr FRA,CC,Angers,fr Ligue 1,27,1993,16.7,25.0,1.5,22.0,0.0,0.0,2.0,0.0,1.0,4.0,0.24,3.0,0.0,0.0,1.0,0.0,0.0
84,Romain Amalfitano,fr FRA,"DL,DF",Dijon,fr Ligue 1,30,1989,1.3,2.0,1.55,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,18,2001,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,25,1994,8.0,5.0,0.62,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,26,1994,9.0,17.0,1.88,8.0,1.0,1.0,1.0,6.0,0.0,4.0,0.44,2.0,0.0,0.0,0.0,2.0,0.0
88,Thierry Ambrose,gp GLP,DL,Metz,fr Ligue 1,23,1997,8.4,25.0,2.98,19.0,1.0,2.0,1.0,2.0,0.0,2.0,0.24,2.0,0.0,0.0,0.0,0.0,0.0
89,Wisdom Amey,it ITA,DF,Bologna,it Serie A,14,2005,0.0,1.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Nadiem Amiri,de GER,CC,Leverkusen,de Bundesliga,23,1996,21.0,80.0,3.81,57.0,13.0,4.0,6.0,0.0,0.0,10.0,0.48,8.0,1.0,1.0,0.0,0.0,0.0
