Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Expectativa,Expectativa,Expectativa,Expectativa,Expectativa,Unnamed: 26_level_0
294,Pedro Bigas,es ESP,DF,Eibar,es La Liga,28,1990,19.7,3,8,5,62.5,0.41,0.25,0.38,0.60,16.8,0,0,0,1.2,1.2,0.15,+1.8,+1.8,Partidos
295,Lucas Biglia,ar ARG,CC,Milan,it Serie A,33,1986,7.6,0,6,1,16.7,0.79,0.13,0.00,0.00,22.2,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Partidos
296,El Bilal Touré,ml MLI,DL,Reims,fr Ligue 1,17,2001,5.0,3,9,4,44.4,1.79,0.79,0.11,0.25,13.8,0,2,2,3.3,1.8,0.20,-0.3,-0.8,Partidos
297,Philip Billing,dk DEN,CC,Bournemouth,eng Premier League,23,1996,28.1,1,33,8,24.2,1.17,0.28,0.03,0.13,20.7,1,0,0,2.0,2.0,0.06,-1.0,-1.0,Partidos
298,Cristiano Biraghi,it ITA,DF,Inter,it Serie A,26,1992,17.5,2,9,5,55.6,0.51,0.29,0.22,0.40,19.6,5,0,0,0.6,0.6,0.06,+1.4,+1.4,Partidos
299,Davide Biraschi,it ITA,DF,Genoa,it Serie A,25,1994,21.9,0,7,2,28.6,0.32,0.09,0.00,0.00,14.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Partidos
300,Valter Birsa,si SVN,"CC,DL",Cagliari,it Serie A,32,1986,4.8,0,3,0,0.0,0.63,0.00,0.00,,24.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,Partidos
301,Dimitri Bisoli,it ITA,CC,Brescia,it Serie A,25,1994,23.9,1,25,9,36.0,1.05,0.38,0.04,0.11,13.3,0,0,0,2.3,2.3,0.09,-1.3,-1.3,Partidos
302,Yves Bissouma,ml MLI,CC,Brighton,eng Premier League,22,1996,14.0,1,16,7,43.8,1.14,0.50,0.06,0.14,28.1,0,0,0,0.4,0.4,0.03,+0.6,+0.6,Partidos
