Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Tipos de pases,Saques de esquina,Saques de esquina,Saques de esquina,Resultados,Resultados,Resultados,Unnamed: 24_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,1595,1202,386,61,2,4,92,280,45,30,7,4,1241,7,20,Partidos
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,1711,1389,322,23,0,4,73,299,0,0,0,0,1332,0,65,Partidos
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,1570,1491,75,72,0,13,1,3,0,0,0,0,1323,4,10,Partidos
4,Suleiman Abdullahi,ng NGA,"DL,CC",Union Berlin,de Bundesliga,22,1996,1.7,42,42,0,0,0,0,8,0,0,0,0,0,19,0,3,Partidos
5,Mehdi Abeid,dz ALG,CC,Nantes,fr Ligue 1,26,1992,20.2,967,870,93,38,1,10,63,5,50,24,15,1,792,4,15,Partidos
6,Charles Abi,fr FRA,DL,Saint-Étienne,fr Ligue 1,19,2000,6.9,132,121,11,0,0,0,5,0,0,0,0,0,75,0,7,Partidos
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,911,857,52,22,0,12,9,30,0,0,0,0,738,2,5,Partidos
8,Tammy Abraham,eng ENG,DL,Chelsea,eng Premier League,21,1997,24.6,418,367,51,0,2,1,11,0,0,0,0,0,275,0,24,Partidos
9,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,29,1990,7.4,330,317,13,9,0,0,7,1,0,0,0,0,280,0,9,Partidos
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,2073,1979,93,69,3,38,26,23,1,0,0,0,1844,1,12,Partidos
11,Che Adams,sct SCO,DL,Southampton,eng Premier League,23,1996,12.3,263,261,0,0,4,4,13,0,0,0,0,0,162,2,10,Partidos
12,Tyler Adams,us USA,"CC,DF",RB Leipzig,de Bundesliga,20,1999,10.6,703,626,77,21,0,5,10,56,0,0,0,0,584,0,14,Partidos
13,Sargis Adamyan,am ARM,"DL,CC",Hoffenheim,de Bundesliga,26,1993,8.3,180,169,10,0,0,1,11,7,0,0,0,0,128,1,11,Partidos
14,Antonio Adán,es ESP,PO,Atlético Madrid,es La Liga,32,1987,0.3,6,5,1,0,0,0,0,0,0,0,0,0,4,0,0,Partidos
15,Bobby Adekanye,nl NED,DL,Lazio,it Serie A,20,1999,2.1,43,42,1,0,0,0,1,1,0,0,0,0,38,0,0,Partidos
16,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,83,69,14,0,0,0,3,14,0,0,0,0,58,0,1,Partidos
17,Amine Adli,ma MAR,"CC,DL",Toulouse,fr Ligue 1,19,2000,0.5,26,22,4,1,0,0,4,0,3,2,0,0,20,0,0,Partidos
18,Yacine Adli,fr FRA,CC,Bordeaux,fr Ligue 1,19,2000,11.3,571,530,38,17,6,2,39,2,19,12,6,0,448,3,8,Partidos
19,Adrián,es ESP,PO,Liverpool,eng Premier League,32,1987,9.7,311,217,94,24,0,1,0,0,0,0,0,0,238,0,1,Partidos
20,Aritz Aduriz,es ESP,"DL,CC",Athletic Club,es La Liga,38,1981,2.3,57,56,0,0,0,1,0,0,0,0,0,0,32,1,1,Partidos
21,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,972,739,225,10,0,4,81,215,0,0,0,0,691,8,42,Partidos
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,1028,770,254,14,1,3,33,239,1,0,1,0,714,4,39,Partidos
23,Lucien Agoume,fr FRA,CC,Inter,it Serie A,17,2002,0.8,38,38,0,0,0,0,2,0,0,0,0,0,35,0,1,Partidos
24,Kevin Agudelo,co COL,"CC,DL",Fiorentina,it Serie A,20,1998,0.7,37,36,0,0,0,0,0,0,0,0,0,0,29,1,0,Partidos
25,Kevin Agudelo,co COL,"CC,DL",Genoa,it Serie A,20,1998,7.4,293,292,1,0,0,2,11,1,0,0,0,0,239,0,12,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
26,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,597,578,17,13,0,17,1,4,0,0,0,0,492,2,3,Partidos
27,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,31,1988,16.1,365,347,17,1,1,0,9,1,0,0,0,0,286,1,7,Partidos
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,787,665,122,13,1,3,63,109,0,0,0,0,662,0,14,Partidos
29,Emmanuel Agyemang-Badu,gh GHA,CC,Hellas Verona,it Serie A,28,1990,2.6,104,102,2,1,0,0,1,1,0,0,0,0,90,0,0,Partidos
30,Jean-Eudes Aholou,ci CIV,CC,Saint-Étienne,fr Ligue 1,25,1994,7.0,310,304,4,4,1,4,3,0,0,0,0,0,260,2,2,Partidos
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,1250,1203,47,37,1,7,1,10,0,0,0,0,1078,0,14,Partidos
