RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera.1
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21.0,2000.0,34,2881.0,85.0,84.2,32.0,32,89.0,29,2,22.0,2,0.53,18.0,69.0,-51.0,-1.59,0.08,25.5,60.0,-34.6,-1.08,0.35
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33.0,1987.0,34,2983.0,88.0,87.2,33.1,34,88.0,33,0,,0,1.12,38.0,41.0,-3.0,-0.09,-0.5,31.8,41.3,-9.5,-0.29,-0.46
3,Salis Abdul Samed,gh GHA,CC,Clermont Foot,fr Ligue 1,21.0,2000.0,31,2462.0,79.0,72.0,27.4,29,82.0,19,2,38.0,1,1.1,26.0,44.0,-18.0,-0.66,0.56,28.9,36.2,-7.3,-0.27,-0.2
4,Suleiman Abdullahi,ng NGA,"DL,CC",Union Berlin,de Bundesliga,24.0,1996.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
5,Laurent Abergel,fr FRA,CC,Lorient,fr Ligue 1,28.0,1993.0,34,2956.0,87.0,86.4,32.8,34,87.0,26,0,,0,0.82,27.0,59.0,-32.0,-0.97,-1.75,35.5,45.7,-10.2,-0.31,-0.5
6,Charles Abi,fr FRA,DL,Saint-Étienne,fr Ligue 1,21.0,2000.0,1,45.0,45.0,1.3,0.5,1,45.0,0,0,,0,1.0,0.0,0.0,0.0,0.0,0.93,0.5,0.3,0.2,0.4,0.94
7,Dickson Abiama,ng NGA,DL,Greuther Fürth,de Bundesliga,22.0,1998.0,24,726.0,30.0,23.7,8.1,5,79.0,2,19,17.0,8,0.46,8.0,29.0,-21.0,-2.6,-1.33,6.6,17.6,-11.0,-1.36,-0.62
8,Matthis Abline,fr FRA,DL,Rennes,fr Ligue 1,18.0,2003.0,7,103.0,15.0,3.0,1.1,1,45.0,0,6,10.0,9,1.14,0.0,1.0,-1.0,-0.87,-2.04,0.9,1.8,-1.0,-0.86,-1.42
9,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,22.0,1999.0,0,,,,,0,,0,0,,16,,,,,,,,,,,
10,Tammy Abraham,eng ENG,DL,Chelsea,eng Premier League,23.0,1997.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
11,Tammy Abraham,eng ENG,DL,Roma,it Serie A,23.0,1997.0,37,3084.0,83.0,90.2,34.3,36,85.0,23,1,32.0,0,1.7,54.0,38.0,16.0,0.47,0.47,59.3,33.2,26.1,0.76,0.59
12,Luis Abram,pe PER,DF,Granada,es La Liga,25.0,1996.0,8,560.0,70.0,16.4,6.2,6,80.0,4,2,39.0,12,1.38,8.0,5.0,3.0,0.48,1.11,5.2,7.2,-1.9,-0.31,0.33
13,Salim Abubakar,ne NIG,CC,Sassuolo,it Serie A,18.0,2003.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
14,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33.0,1988.0,30,2536.0,85.0,74.2,28.2,29,87.0,27,1,7.0,0,1.67,59.0,48.0,11.0,0.39,-0.42,38.1,35.9,2.1,0.08,-0.48
15,Ragnar Ache,de GER,"CC,DL",Eint Frankfurt,de Bundesliga,23.0,1998.0,13,259.0,20.0,8.5,2.9,1,72.0,0,12,16.0,6,1.23,5.0,4.0,1.0,0.35,0.51,3.7,4.7,-1.0,-0.35,-0.21
16,Mohamed Achi,fr FRA,CC,Nantes,fr Ligue 1,19.0,2002.0,1,10.0,10.0,0.3,0.1,0,,0,1,10.0,4,1.0,0.0,0.0,0.0,0.0,-0.18,0.0,0.0,0.0,0.14,0.33
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29.0,1991.0,31,2260.0,73.0,66.1,25.1,26,83.0,17,5,22.0,1,1.87,32.0,13.0,19.0,0.76,0.45,29.6,19.2,10.4,0.41,0.8
18,Marius Adamonis,lt LTU,PO,Lazio,it Serie A,24.0,1997.0,0,,,,,0,,0,0,,36,,,,,,,,,,,
19,Che Adams,sct SCO,DL,Southampton,eng Premier League,25.0,1996.0,30,2039.0,68.0,59.6,22.7,23,82.0,13,7,22.0,4,1.03,25.0,40.0,-15.0,-0.66,-0.08,28.5,36.1,-7.7,-0.34,0.16
20,Tyler Adams,us USA,CC,RB Leipzig,de Bundesliga,22.0,1999.0,24,1351.0,56.0,44.2,15.0,12,84.0,8,12,29.0,6,1.88,27.0,14.0,13.0,0.87,-0.29,28.5,18.6,10.0,0.66,-0.1
21,Sargis Adamyan,am ARM,"DL,CC",Hoffenheim,de Bundesliga,28.0,1993.0,13,331.0,25.0,10.8,3.7,2,76.0,0,11,16.0,3,1.85,8.0,6.0,2.0,0.54,0.68,7.7,4.3,3.4,0.92,0.91
22,Omotayo Adaramola,ie IRL,DF,Crystal Palace,eng Premier League,17.0,2003.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
23,Martin Adeline,fr FRA,"CC,DL",Reims,fr Ligue 1,17.0,2003.0,8,352.0,44.0,10.3,3.9,2,76.0,1,6,34.0,3,1.13,4.0,5.0,-1.0,-0.26,-0.26,3.4,4.9,-1.5,-0.39,-0.18
24,Amine Adli,ma MAR,"DL,CC",Leverkusen,de Bundesliga,21.0,2000.0,25,1256.0,50.0,41.0,14.0,13,75.0,3,12,23.0,0,1.76,24.0,23.0,1.0,0.07,-1.52,23.3,18.9,4.4,0.31,-0.4
25,Yacine Adli,fr FRA,"CC,DL",Bordeaux,fr Ligue 1,21.0,2000.0,36,2260.0,63.0,66.1,25.1,25,78.0,10,11,28.0,1,0.75,33.0,59.0,-26.0,-1.04,-0.03,26.6,43.4,-16.8,-0.67,-0.27
26,Adrián,es ESP,PO,Liverpool,eng Premier League,34.0,1987.0,0,,,,,0,,0,0,,5,,,,,,,,,,,
27,Michel Aebischer,ch SUI,CC,Bologna,it Serie A,24.0,1997.0,12,443.0,37.0,13.0,4.9,4,76.0,2,8,18.0,4,1.42,3.0,2.0,1.0,0.2,0.57,4.6,7.8,-3.2,-0.65,-0.52
28,Felix Afena-Gyan,gh GHA,"DL,CC",Roma,it Serie A,18.0,2003.0,17,668.0,39.0,19.5,7.4,6,66.0,0,11,25.0,8,1.65,13.0,9.0,4.0,0.54,0.15,11.2,7.0,4.2,0.56,-0.18
29,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25.0,1996.0,24,1616.0,67.0,47.3,18.0,17,83.0,11,7,28.0,13,0.96,13.0,31.0,-18.0,-1.0,-0.2,16.7,26.7,-10.1,-0.56,-0.08
30,Julen Agirrezabala,es ESP,PO,Athletic Club,es La Liga,20.0,2000.0,4,360.0,90.0,10.5,4.0,4,90.0,4,0,,10,1.25,5.0,5.0,0.0,0.0,-0.21,4.2,5.3,-1.1,-0.27,-0.63
31,Vittorio Agostinelli,it ITA,CC,Fiorentina,it Serie A,19.0,2002.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
32,Lucien Agoume,fr FRA,CC,Inter,it Serie A,19.0,2002.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
33,Lucien Agoume,fr FRA,CC,Brest,fr Ligue 1,19.0,2002.0,27,1868.0,69.0,54.6,20.8,21,83.0,13,6,21.0,4,1.3,27.0,32.0,-5.0,-0.24,-0.07,27.5,31.5,-3.9,-0.19,0.33
34,Kevin Agudelo,co COL,"DL,CC",Genoa,it Serie A,22.0,1998.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
35,Kevin Agudelo,co COL,"CC,DL",Spezia,it Serie A,22.0,1998.0,23,1237.0,54.0,36.2,13.7,12,77.0,3,11,28.0,0,0.91,16.0,23.0,-7.0,-0.51,0.44,15.2,23.7,-8.4,-0.61,0.04
36,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25.0,1996.0,31,2735.0,88.0,80.0,30.4,31,88.0,28,0,,0,1.94,66.0,29.0,37.0,1.22,0.56,49.4,33.1,16.2,0.53,0.06
37,Sergio Agüero,ar ARG,DL,Barcelona,es La Liga,33.0,1988.0,4,151.0,38.0,4.4,1.7,2,65.0,1,2,11.0,0,1.0,1.0,2.0,-1.0,-0.6,-1.45,3.4,1.7,1.7,1.01,0.26
