RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive.1,PassDead.1,HASTA.1,Dis.1,FR.1,Def.1
29,Álvaro Aguirre,es ESP,DL,Rayo Vallecano,es La Liga,21,2000,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Naouirou Ahamada,fr FRA,"CC,DF",Stuttgart,de Bundesliga,19,2002,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Anel Ahmedhodžić,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15.0,20.0,1.33,16.0,1.0,0.0,2.0,0.0,1.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0
32,Jean-Eudes Aholou,ci CIV,CC,Strasbourg,fr Ligue 1,27,1994,11.2,23.0,2.06,19.0,0.0,1.0,1.0,1.0,1.0,3.0,0.27,3.0,0.0,0.0,0.0,0.0,0.0
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,16.0,0.55,15.0,0.0,0.0,1.0,0.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0
34,Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,16.0,37.0,2.32,29.0,2.0,3.0,0.0,3.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0
35,Rayan Aït Nouri,dz ALG,"DF,CC",Wolves,eng Premier League,20,2001,20.3,45.0,2.22,30.0,8.0,4.0,0.0,2.0,1.0,6.0,0.3,4.0,1.0,0.0,0.0,1.0,0.0
36,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,33.0,1.5,22.0,6.0,2.0,1.0,1.0,1.0,7.0,0.32,3.0,1.0,2.0,0.0,1.0,0.0
37,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,27,1994,30.4,84.0,2.76,63.0,0.0,2.0,9.0,9.0,1.0,10.0,0.33,6.0,0.0,0.0,2.0,2.0,0.0
38,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,16.0,0.64,12.0,2.0,1.0,1.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0
39,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,1993,20.5,26.0,1.27,17.0,4.0,1.0,1.0,3.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0
40,Marley Aké,fr FRA,"DL,CC",Juventus,it Serie A,20,2001,0.9,1.0,1.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,1995,10.3,5.0,0.49,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Ilias Akhomach,es ESP,DL,Barcelona,es La Liga,17,2004,1.4,9.0,6.53,5.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Maghnes Akliouche,fr FRA,"CC,DL",Monaco,fr Ligue 1,19,2002,0.6,1.0,1.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Paul Akouokou,ci CIV,CC,Betis,es La Liga,23,1997,5.7,7.0,1.22,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Jean-Daniel Akpa-Akpro,ci CIV,CC,Lazio,it Serie A,28,1992,3.5,3.0,0.86,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Kevin Akpoguma,ng NGA,"DF,DL",Hoffenheim,de Bundesliga,26,1995,17.0,32.0,1.89,23.0,1.0,3.0,3.0,2.0,0.0,2.0,0.12,1.0,0.0,0.0,1.0,0.0,0.0
47,David Alaba,at AUT,DF,Real Madrid,es La Liga,29,1992,29.4,45.0,1.53,37.0,2.0,1.0,4.0,0.0,1.0,8.0,0.27,7.0,0.0,0.0,1.0,0.0,0.0
48,Sofiane Alakouch,ma MAR,"DF,CC",Metz,fr Ligue 1,23,1998,1.8,4.0,2.28,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Tomás Alarcón,cl CHI,CC,Cádiz,es La Liga,22,1999,15.8,28.0,1.77,14.0,12.0,1.0,0.0,0.0,1.0,2.0,0.13,0.0,2.0,0.0,0.0,0.0,0.0
50,Lucas Alario,ar ARG,DL,Leverkusen,de Bundesliga,28,1992,7.3,27.0,3.69,17.0,0.0,6.0,2.0,2.0,0.0,4.0,0.55,3.0,0.0,1.0,0.0,0.0,0.0
51,Jordi Alba,es ESP,DF,Barcelona,es La Liga,32,1989,29.4,89.0,3.03,82.0,3.0,0.0,2.0,2.0,0.0,14.0,0.48,13.0,0.0,0.0,1.0,0.0,0.0
52,Josué Albert,fr FRA,DF,Clermont Foot,fr Ligue 1,29,1992,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Luis Alberto,es ESP,CC,Lazio,it Serie A,28,1992,26.1,120.0,4.59,83.0,26.0,3.0,3.0,5.0,0.0,16.0,0.61,6.0,7.0,1.0,2.0,0.0,0.0
54,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35,1985,27.4,10.0,0.37,9.0,0.0,0.0,1.0,0.0,0.0,2.0,0.07,1.0,0.0,0.0,1.0,0.0,0.0
55,Marc Albrighton,eng ENG,"DL,DF",Leicester City,eng Premier League,31,1989,12.6,19.0,1.51,12.0,4.0,0.0,0.0,3.0,0.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0
56,Paco Alcácer,es ESP,DL,Villarreal,es La Liga,27,1993,8.7,15.0,1.71,12.0,0.0,1.0,2.0,0.0,0.0,6.0,0.69,5.0,0.0,1.0,0.0,0.0,0.0
57,Thiago Alcántara,es ESP,CC,Liverpool,eng Premier League,30,1991,17.0,67.0,3.93,57.0,0.0,1.0,7.0,1.0,1.0,6.0,0.35,6.0,0.0,0.0,0.0,0.0,0.0
58,Rubén Alcaraz,es ESP,CC,Cádiz,es La Liga,30,1991,12.3,39.0,3.18,28.0,5.0,1.0,2.0,3.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0
59,Omar Alderete,py PAR,DF,Valencia,es La Liga,24,1996,26.7,17.0,0.64,14.0,1.0,1.0,0.0,0.0,1.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0
60,Iván Alejo,es ESP,"CC,DL",Cádiz,es La Liga,26,1995,11.8,38.0,3.21,33.0,1.0,3.0,1.0,0.0,0.0,4.0,0.34,3.0,0.0,1.0,0.0,0.0,0.0
61,Doğan Alemdar,tr TUR,PO,Rennes,fr Ligue 1,18,2002,12.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0
62,Carles Aleñá,es ESP,CC,Getafe,es La Liga,23,1998,25.8,64.0,2.48,50.0,2.0,2.0,4.0,6.0,0.0,4.0,0.16,4.0,0.0,0.0,0.0,0.0,0.0
63,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22,1998,31.7,160.0,5.05,96.0,53.0,3.0,7.0,1.0,0.0,18.0,0.57,13.0,4.0,0.0,1.0,0.0,0.0
64,Mohamed Ali Cho,fr FRA,DL,Angers,fr Ligue 1,17,2004,20.4,42.0,2.06,23.0,0.0,11.0,2.0,5.0,1.0,7.0,0.34,4.0,0.0,0.0,2.0,1.0,0.0
65,Alisson,br BRA,PO,Liverpool,eng Premier League,28,1992,36.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0
66,Allan,br BRA,CC,Everton,eng Premier League,30,1991,24.3,38.0,1.57,35.0,0.0,1.0,0.0,1.0,1.0,7.0,0.29,5.0,0.0,1.0,0.0,1.0,0.0
67,Jim Allevinah,ga GAB,DL,Clermont Foot,fr Ligue 1,26,1995,16.5,53.0,3.21,32.0,4.0,9.0,6.0,1.0,1.0,3.0,0.18,2.0,0.0,0.0,1.0,0.0,0.0
68,Dele Alli,eng ENG,CC,Tottenham,eng Premier League,25,1996,7.3,7.0,0.96,4.0,0.0,0.0,0.0,3.0,0.0,1.0,0.14,0.0,0.0,0.0,0.0,1.0,0.0
69,Dele Alli,eng ENG,"CC,DL",Everton,eng Premier League,25,1996,3.8,13.0,3.46,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.27,1.0,0.0,0.0,0.0,0.0,0.0
70,Miguel Almirón,py PAR,"CC,DL",Newcastle Utd,eng Premier League,27,1994,19.1,49.0,2.57,36.0,0.0,3.0,8.0,2.0,0.0,4.0,0.21,3.0,0.0,1.0,0.0,0.0,0.0
71,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,30,1990,24.1,93.0,3.86,66.0,16.0,3.0,6.0,2.0,0.0,10.0,0.42,7.0,2.0,0.0,1.0,0.0,0.0
72,Giorgio Altare,it ITA,DF,Cagliari,it Serie A,22,1998,16.3,27.0,1.66,16.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Hugo Álvarez,es ESP,DL,Celta Vigo,es La Liga,18,2003,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,26,1995,20.7,17.0,0.82,16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0
75,Dani Alves,br BRA,DF,Barcelona,es La Liga,38,1983,12.2,34.0,2.79,26.0,7.0,0.0,0.0,1.0,0.0,4.0,0.33,4.0,0.0,0.0,0.0,0.0,0.0
76,Steven Alzate,co COL,CC,Brighton,eng Premier League,22,1998,4.5,6.0,1.34,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,1.0,0.0,0.0,0.0,0.0,0.0
77,Ibrahim Amadou,fr FRA,"DF,CC",Metz,fr Ligue 1,28,1993,9.0,9.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,19,2001,0.9,1.0,1.14,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.14,0.0,1.0,0.0,0.0,0.0,0.0
79,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,26,1994,23.6,18.0,0.76,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0
80,Amath,sn SEN,"DL,CC",Mallorca,es La Liga,25,1996,9.8,23.0,2.34,11.0,1.0,2.0,4.0,4.0,1.0,3.0,0.31,1.0,0.0,0.0,2.0,0.0,0.0
81,Jordan Amavi,fr FRA,DF,Nice,fr Ligue 1,27,1994,4.6,6.0,1.31,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.22,0.0,0.0,0.0,0.0,1.0,0.0
82,Jordan Amavi,fr FRA,"DF,DL",Marseille,fr Ligue 1,27,1994,1.4,2.0,1.41,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0
83,Wisdom Amey,it ITA,DF,Bologna,it Serie A,15,2005,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,23,1998,29.4,33.0,1.12,22.0,3.0,3.0,3.0,2.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0
85,Nadiem Amiri,de GER,"CC,DL",Genoa,it Serie A,24,1996,7.6,30.0,3.96,24.0,4.0,1.0,0.0,1.0,0.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0
86,Nadiem Amiri,de GER,"CC,DL",Leverkusen,de Bundesliga,24,1996,4.1,7.0,1.71,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.24,0.0,0.0,0.0,0.0,1.0,0.0
87,Ethan Ampadu,wls WAL,"CC,DF",Venezia,it Serie A,20,2000,25.4,45.0,1.77,39.0,4.0,1.0,0.0,0.0,1.0,6.0,0.24,5.0,1.0,0.0,0.0,0.0,0.0
88,Sofyan Amrabat,ma MAR,CC,Fiorentina,it Serie A,24,1996,10.5,18.0,1.72,16.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,25,1996,32.4,33.0,1.02,30.0,1.0,0.0,1.0,0.0,1.0,4.0,0.12,3.0,0.0,0.0,1.0,0.0,0.0
90,Felipe Anderson,br BRA,DL,Lazio,it Serie A,28,1993,32.1,115.0,3.59,87.0,3.0,10.0,5.0,9.0,1.0,19.0,0.59,13.0,0.0,4.0,2.0,0.0,0.0
91,Sebastian Andersson,se SWE,DL,Köln,de Bundesliga,30,1991,14.0,20.0,1.43,16.0,0.0,0.0,1.0,2.0,1.0,4.0,0.29,3.0,0.0,0.0,0.0,1.0,0.0
92,Florin Andone,ro ROU,DL,Cádiz,es La Liga,28,1993,2.0,4.0,2.05,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Andrés Andrade Cedeño,pa PAN,DF,Arminia,de Bundesliga,22,1998,11.6,7.0,0.6,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0
94,Benjamin André,fr FRA,CC,Lille,fr Ligue 1,30,1990,30.6,56.0,1.83,46.0,2.0,2.0,3.0,1.0,2.0,5.0,0.16,4.0,0.0,0.0,1.0,0.0,0.0
95,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,de Bundesliga,22,1998,3.9,10.0,2.55,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Marcos André,br BRA,"DL,CC",Valencia,es La Liga,24,1996,10.8,26.0,2.4,16.0,0.0,1.0,3.0,5.0,1.0,2.0,0.18,1.0,0.0,0.0,1.0,0.0,0.0
97,Robert Andrich,de GER,CC,Leverkusen,de Bundesliga,26,1994,20.2,38.0,1.88,27.0,0.0,2.0,5.0,3.0,1.0,6.0,0.3,3.0,0.0,0.0,3.0,0.0,0.0
98,José Ángel,es ESP,DF,Osasuna,es La Liga,31,1989,12.0,20.0,1.66,14.0,1.0,3.0,1.0,1.0,0.0,2.0,0.17,1.0,0.0,0.0,1.0,0.0,0.0
99,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,24,1997,25.5,83.0,3.25,53.0,22.0,3.0,4.0,1.0,0.0,8.0,0.31,5.0,3.0,0.0,0.0,0.0,0.0
100,Ebenezer Annan,gh GHA,DF,Bologna,it Serie A,18,2002,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,34,1986,7.7,29.0,3.79,22.0,3.0,2.0,2.0,0.0,0.0,6.0,0.78,5.0,0.0,0.0,1.0,0.0,0.0
102,Janis Antiste,fr FRA,DL,Spezia,it Serie A,18,2002,8.8,14.0,1.58,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
