RL2019-2020,Jugador2019-2020,País2019-2020,Posc2019-2020,Equipo2019-2020,Comp2019-2020,Edad2019-2020,Nacimiento2019-2020,90 s2019-2020,Cmp2019-2020,Int.2019-2020,% Cmp2019-2020,Dist. tot.2019-2020,Dist. prg.2019-2020,Cmp.12019-2020,Int..12019-2020,% Cmp.12019-2020,Cmp.22019-2020,Int..22019-2020,% Cmp.22019-2020,Cmp.32019-2020,Int..32019-2020,% Cmp.32019-2020,Ass2019-2020,xAG2019-2020,xA2019-2020,A-xAG2019-2020,PC2019-2020,1/32019-2020,PPA2019-2020,CrAP2019-2020,PrgP2019-2020
307,Ludovic Blas,fr FRA,"DL,CC",Nantes,fr Ligue 1,21,1997,20.5,527.0,676.0,78.0,8810.0,2127.0,272.0,328.0,82.9,193.0,223.0,86.5,49.0,74.0,66.2,1,1.6,1.7,-0.6,24.0,55.0,22.0,3.0,92.0
308,Pablo de Blasis,ar ARG,"DF,CC",Eibar,es La Liga,31,1988,17.8,659.0,963.0,68.4,12159.0,4687.0,289.0,337.0,85.8,243.0,341.0,71.3,101.0,220.0,45.9,3,2.8,2.6,0.2,20.0,69.0,25.0,13.0,91.0
309,Alejandro Blesa,es ESP,CC,Levante,es La Liga,17,2002,0.0,3.0,5.0,60.0,41.0,14.0,1.0,1.0,100.0,2.0,3.0,66.7,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,Alexis Blin,fr FRA,CC,Amiens,fr Ligue 1,22,1996,20.5,880.0,1051.0,83.7,14580.0,4294.0,442.0,502.0,88.0,344.0,400.0,86.0,73.0,105.0,69.5,1,0.7,1.1,0.3,7.0,65.0,4.0,1.0,100.0
311,Jérôme Boateng,de GER,DF,Bayern Munich,de Bundesliga,30,1988,20.0,1530.0,1718.0,89.1,32412.0,11163.0,392.0,416.0,94.2,909.0,970.0,93.7,219.0,307.0,71.3,2,1.7,1.5,0.3,5.0,123.0,13.0,1.0,128.0
312,Kevin-Prince Boateng,gh GHA,DL,Fiorentina,it Serie A,32,1987,6.7,152.0,193.0,78.8,2409.0,351.0,88.0,105.0,83.8,41.0,56.0,73.2,19.0,23.0,82.6,0,0.3,0.3,-0.3,7.0,12.0,1.0,0.0,19.0
627,Antonin Bobichon,fr FRA,CC,Nîmes,fr Ligue 1,23,1995,9.2,305.0,391.0,156.39999999999998,5052.0,1508.0,152.0,168.0,183.3,96.0,118.0,166.8,36.0,67.0,108.2,1,0.7,0.8999999999999999,0.30000000000000004,9.0,45.0,6.0,3.0,59.0
315,Salvatore Bocchetti,it ITA,DF,Hellas Verona,it Serie A,32,1986,3.4,135.0,167.0,80.8,2307.0,872.0,52.0,60.0,86.7,69.0,82.0,84.1,9.0,14.0,64.3,0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,16.0
316,Mathieu Bodmer,fr FRA,"CC,DL",Amiens,fr Ligue 1,36,1982,1.0,77.0,94.0,81.9,1191.0,371.0,47.0,52.0,90.4,24.0,33.0,72.7,6.0,8.0,75.0,0,0.2,0.9,-0.2,1.0,9.0,2.0,0.0,9.0
317,Adam Bodzek,de GER,CC,Düsseldorf,de Bundesliga,33,1985,22.4,574.0,714.0,80.4,10807.0,3248.0,234.0,283.0,82.7,239.0,284.0,84.2,85.0,111.0,76.6,0,0.3,0.5,-0.3,8.0,59.0,2.0,1.0,74.0
318,Jean-Paul Boëtius,nl NED,CC,Mainz 05,de Bundesliga,25,1994,25.2,690.0,923.0,74.8,11332.0,3789.0,362.0,432.0,83.8,208.0,263.0,79.1,82.0,130.0,63.1,5,3.5,2.6,1.5,36.0,92.0,23.0,1.0,128.0
319,Sacha Boey,fr FRA,DF,Rennes,fr Ligue 1,18,2000,1.9,66.0,82.0,80.5,970.0,257.0,41.0,47.0,87.2,18.0,22.0,81.8,5.0,9.0,55.6,0,0.1,0.1,-0.1,2.0,3.0,1.0,1.0,6.0
320,Jeremie Boga,ci CIV,DL,Sassuolo,it Serie A,22,1997,27.9,832.0,983.0,84.6,10001.0,1641.0,599.0,671.0,89.3,180.0,209.0,86.1,16.0,19.0,84.2,2,3.4,3.3,-1.4,35.0,32.0,24.0,0.0,74.0
321,Melayro Bogarde,nl NED,DF,Hoffenheim,de Bundesliga,17,2002,0.6,29.0,36.0,80.6,417.0,74.0,18.0,19.0,94.7,8.0,9.0,88.9,3.0,7.0,42.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
322,Quentin Boisgard,fr FRA,"CC,DL",Toulouse,fr Ligue 1,22,1997,12.7,391.0,497.0,78.7,4899.0,1532.0,277.0,317.0,87.4,77.0,101.0,76.2,15.0,35.0,42.9,1,1.4,1.5,-0.4,17.0,22.0,7.0,2.0,41.0
323,Willy Boly,ci CIV,DF,Wolves,eng Premier League,28,1991,22.0,798.0,991.0,80.5,13716.0,5642.0,358.0,394.0,90.9,370.0,425.0,87.1,54.0,126.0,42.9,1,1.1,0.5,-0.1,7.0,39.0,3.0,0.0,48.0
324,Giacomo Bonaventura,it ITA,"CC,DL",Milan,it Serie A,29,1989,14.9,570.0,692.0,82.4,7825.0,1676.0,335.0,378.0,88.6,163.0,189.0,86.2,32.0,54.0,59.3,5,2.5,1.8,2.5,26.0,35.0,25.0,1.0,75.0
325,Federico Bonazzoli,it ITA,DL,Sampdoria,it Serie A,22,1997,8.3,147.0,210.0,70.0,2554.0,405.0,73.0,95.0,76.8,45.0,62.0,72.6,21.0,27.0,77.8,0,0.7,0.3,-0.7,11.0,12.0,4.0,0.0,19.0
326,Gaëtan Bong,cm CMR,"DF,CC",Brighton,eng Premier League,31,1988,0.7,25.0,35.0,71.4,450.0,191.0,12.0,14.0,85.7,10.0,14.0,71.4,3.0,5.0,60.0,0,0.2,0.1,-0.2,2.0,2.0,1.0,1.0,5.0
655,Kevin Bonifazi,it ITA,DF,Torino,it Serie A,23,1996,15.899999999999999,645.0,756.0,168.2,11770.0,4695.0,261.0,283.0,185.9,310.0,339.0,181.2,64.0,112.0,102.1,0,0.2,0.1,-0.2,2.0,32.0,1.0,0.0,38.0
329,Federico Bonini,it ITA,DF,Bologna,it Serie A,17,2001,0.1,5.0,5.0,100.0,79.0,39.0,2.0,2.0,100.0,3.0,3.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
330,Leonardo Bonucci,it ITA,DF,Juventus,it Serie A,32,1987,34.2,1844.0,2133.0,86.5,38259.0,17862.0,554.0,585.0,94.7,989.0,1071.0,92.3,277.0,419.0,66.1,0,0.6,0.9,-0.6,11.0,168.0,6.0,3.0,144.0
663,Fabio Borini,it ITA,"CC,DL",Hellas Verona,it Serie A,28,1991,9.8,196.0,287.0,142.7,3148.0,725.0,108.0,127.0,170.7,61.0,90.0,154.3,20.0,41.0,124.4,0,0.4,0.8,-0.4,7.0,15.0,7.0,0.0,17.0
333,Dennis Borkowski,de GER,DL,RB Leipzig,de Bundesliga,17,2002,0.1,2.0,4.0,50.0,14.0,3.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,Robin Bormuth,de GER,DF,Düsseldorf,de Bundesliga,23,1995,2.0,58.0,72.0,80.6,1270.0,367.0,17.0,19.0,89.5,30.0,34.0,88.2,11.0,18.0,61.1,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
335,Sebastiaan Bornauw,be BEL,DF,Köln,de Bundesliga,20,1999,27.2,1008.0,1248.0,80.8,22297.0,8880.0,231.0,263.0,87.8,601.0,657.0,91.5,169.0,289.0,58.5,0,0.6,0.9,-0.6,5.0,53.0,4.0,3.0,76.0
336,Brandon Borrello,au AUS,"CC,DL",Freiburg,de Bundesliga,24,1995,3.3,50.0,68.0,73.5,777.0,81.0,25.0,34.0,73.5,24.0,29.0,82.8,1.0,3.0,33.3,0,0.1,0.3,-0.1,2.0,2.0,0.0,0.0,2.0
337,Gabriel Boschilia,br BRA,"CC,DL",Monaco,fr Ligue 1,23,1996,1.4,60.0,76.0,78.9,762.0,243.0,47.0,50.0,94.0,7.0,12.0,58.3,4.0,10.0,40.0,0,0.0,0.2,0.0,0.0,5.0,1.0,0.0,5.0
338,Denis Bouanga,ga GAB,"DL,CC",Saint-Étienne,fr Ligue 1,24,1994,22.7,410.0,606.0,67.7,6110.0,1599.0,244.0,306.0,79.7,116.0,163.0,71.2,29.0,72.0,40.3,3,2.1,1.5,0.9,18.0,24.0,12.0,5.0,33.0
339,Hicham Boudaoui,dz ALG,"CC,DL",Nice,fr Ligue 1,19,1999,5.4,150.0,196.0,76.5,2113.0,486.0,84.0,98.0,85.7,52.0,66.0,78.8,6.0,13.0,46.2,2,1.1,1.0,0.9,6.0,7.0,6.0,2.0,13.0
340,Ryad Boudebouz,dz ALG,"CC,DL",Saint-Étienne,fr Ligue 1,29,1990,17.7,693.0,965.0,71.8,12012.0,2907.0,328.0,389.0,84.3,220.0,301.0,73.1,105.0,200.0,52.5,4,4.5,3.7,-0.5,43.0,54.0,24.0,5.0,96.0
341,Sofiane Boufal,ma MAR,"CC,DL",Southampton,eng Premier League,25,1993,8.5,232.0,321.0,72.3,3322.0,947.0,145.0,180.0,80.6,66.0,92.0,71.7,12.0,27.0,44.4,2,2.9,1.4,-0.9,15.0,24.0,8.0,2.0,41.0
342,Nassim Boujellab,ma MAR,"CC,DL",Schalke 04,de Bundesliga,20,1999,4.7,106.0,137.0,77.4,1774.0,384.0,46.0,51.0,90.2,49.0,58.0,84.5,7.0,12.0,58.3,0,0.1,0.3,-0.1,4.0,6.0,0.0,0.0,8.0
343,Farid Boulaya,dz ALG,DL,Metz,fr Ligue 1,26,1993,9.1,279.0,418.0,66.7,4297.0,1409.0,149.0,176.0,84.7,88.0,129.0,68.2,24.0,65.0,36.9,1,2.1,1.4,-1.1,22.0,25.0,13.0,2.0,44.0
344,Yassine Bounou,ma MAR,PO,Sevilla,es La Liga,28,1991,5.5,123.0,168.0,73.2,3771.0,2688.0,22.0,23.0,95.7,53.0,55.0,96.4,48.0,90.0,53.3,1,0.2,0.0,0.8,1.0,5.0,0.0,0.0,0.0
345,Mehdi Bourabia,ma MAR,CC,Sassuolo,it Serie A,27,1991,10.3,640.0,743.0,86.1,10013.0,2741.0,353.0,379.0,93.1,213.0,241.0,88.4,54.0,84.0,64.3,2,0.5,0.5,1.5,5.0,62.0,9.0,0.0,58.0
346,Benjamin Bourigeaud,fr FRA,CC,Rennes,fr Ligue 1,25,1994,21.1,902.0,1211.0,74.5,18020.0,5424.0,370.0,431.0,85.8,357.0,442.0,80.8,160.0,273.0,58.6,2,2.3,2.7,-0.3,26.0,105.0,19.0,10.0,120.0
347,Bilal Boutobba,fr FRA,CC,Montpellier,fr Ligue 1,20,1998,0.1,2.0,5.0,40.0,51.0,22.0,0.0,1.0,0.0,2.0,3.0,66.7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
348,Jarrod Bowen,eng ENG,"DL,CC",West Ham,eng Premier League,22,1996,10.2,179.0,273.0,65.6,3304.0,1080.0,79.0,96.0,82.3,70.0,94.0,74.5,26.0,57.0,45.6,4,2.7,2.7,1.3,15.0,15.0,9.0,6.0,19.0
349,Dedryck Boyata,be BEL,DF,Hertha BSC,de Bundesliga,28,1990,27.1,1226.0,1373.0,89.3,26484.0,7910.0,290.0,319.0,90.9,741.0,800.0,92.6,190.0,234.0,81.2,1,0.8,1.0,0.2,2.0,41.0,1.0,0.0,52.0
350,John Boye,gh GHA,DF,Metz,fr Ligue 1,32,1987,23.5,783.0,918.0,85.3,15249.0,5529.0,251.0,280.0,89.6,437.0,477.0,91.6,88.0,143.0,61.5,0,0.1,0.2,-0.1,1.0,15.0,1.0,0.0,28.0
351,Can Bozdogan,de GER,CC,Schalke 04,de Bundesliga,18,2001,2.6,52.0,74.0,70.3,814.0,234.0,27.0,31.0,87.1,16.0,20.0,80.0,5.0,13.0,38.5,0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,12.0
352,Domagoj Bradarić,hr CRO,DF,Lille,fr Ligue 1,19,1999,15.8,625.0,841.0,74.3,10132.0,3185.0,310.0,354.0,87.6,240.0,314.0,76.4,52.0,121.0,43.0,1,1.3,1.5,-0.3,17.0,40.0,17.0,11.0,44.0
353,Filip Bradarić,hr CRO,CC,Celta Vigo,es La Liga,27,1992,7.8,312.0,401.0,77.8,4737.0,1637.0,162.0,191.0,84.8,105.0,133.0,78.9,20.0,35.0,57.1,0,0.1,0.3,-0.1,3.0,29.0,5.0,1.0,31.0
354,Robbie Brady,ie IRL,CC,Burnley,eng Premier League,27,1992,5.0,100.0,169.0,59.2,1378.0,527.0,60.0,77.0,77.9,31.0,54.0,57.4,3.0,15.0,20.0,2,0.4,0.5,1.6,8.0,8.0,6.0,0.0,20.0
711,Martin Braithwaite,dk DEN,"DL,CC",Barcelona,es La Liga,28,1991,26.0,344.0,503.0,141.4,4515.0,835.0,230.0,295.0,159.6,86.0,132.0,131.89999999999998,11.0,24.0,95.5,1,2.8000000000000003,1.1,-1.7999999999999998,17.0,30.0,10.0,0.0,50.0
357,Federico Brancolini,it ITA,PO,Fiorentina,it Serie A,18,2001,0.1,3.0,3.0,100.0,114.0,98.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358,Brandon,es ESP,DL,Osasuna,es La Liga,24,1995,4.5,81.0,118.0,68.6,1042.0,183.0,49.0,64.0,76.6,19.0,26.0,73.1,4.0,6.0,66.7,1,0.5,0.4,0.5,4.0,0.0,4.0,3.0,5.0
359,Julian Brandt,de GER,"CC,DL",Dortmund,de Bundesliga,23,1996,24.5,1370.0,1670.0,82.0,22402.0,4944.0,697.0,803.0,86.8,451.0,522.0,86.4,153.0,197.0,77.7,7,5.4,5.1,1.6,39.0,119.0,37.0,0.0,188.0
360,Jarrad Branthwaite,eng ENG,DF,Everton,eng Premier League,17,2002,3.3,196.0,223.0,87.9,3805.0,1248.0,60.0,66.0,90.9,118.0,125.0,94.4,18.0,31.0,58.1,0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,4.0
361,Darko Brašanac,rs SRB,CC,Osasuna,es La Liga,27,1992,24.9,556.0,772.0,72.0,8612.0,2497.0,288.0,375.0,76.8,207.0,262.0,79.0,33.0,49.0,67.3,1,1.7,0.9,-0.7,23.0,55.0,14.0,2.0,90.0
362,Claudio Bravo,cl CHI,PO,Manchester City,eng Premier League,36,1983,3.9,107.0,136.0,78.7,2579.0,1755.0,32.0,33.0,97.0,48.0,49.0,98.0,27.0,54.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,Josip Brekalo,hr CRO,"CC,DL",Wolfsburg,de Bundesliga,21,1998,18.6,564.0,826.0,68.3,9474.0,3130.0,266.0,349.0,76.2,197.0,251.0,78.5,67.0,134.0,50.0,4,5.8,4.8,-1.8,51.0,48.0,34.0,7.0,89.0
364,Gleison Bremer,br BRA,DF,Torino,it Serie A,22,1997,25.2,914.0,1137.0,80.4,17853.0,6264.0,325.0,379.0,85.8,463.0,523.0,88.5,114.0,193.0,59.1,1,0.4,0.3,0.6,5.0,33.0,4.0,1.0,57.0
365,Marco Brescianini,it ITA,CC,Milan,it Serie A,19,2000,0.3,21.0,21.0,100.0,334.0,63.0,9.0,9.0,100.0,9.0,9.0,100.0,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
366,Anthony Briançon,fr FRA,DF,Nîmes,fr Ligue 1,24,1994,19.3,720.0,881.0,81.7,15791.0,5698.0,204.0,229.0,89.1,380.0,431.0,88.2,135.0,202.0,66.8,0,0.4,0.2,-0.4,3.0,41.0,1.0,0.0,48.0
367,Jimmy Briand,fr FRA,DL,Bordeaux,fr Ligue 1,33,1985,16.9,258.0,332.0,77.7,2917.0,364.0,163.0,196.0,83.2,46.0,59.0,78.0,7.0,12.0,58.3,1,0.8,0.4,0.2,18.0,8.0,3.0,0.0,15.0
368,Yan Brice Eteki,cm CMR,CC,Granada,es La Liga,21,1997,16.7,316.0,410.0,77.1,5102.0,1454.0,154.0,186.0,82.8,123.0,152.0,80.9,24.0,37.0,64.9,0,0.1,0.2,-0.1,4.0,32.0,3.0,0.0,44.0
369,Armando Broja,al ALB,DL,Chelsea,eng Premier League,17,2001,0.1,1.0,1.0,100.0,10.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370,Dylan Bronn,tn TUN,DF,Metz,fr Ligue 1,24,1995,9.0,248.0,315.0,78.7,5736.0,2000.0,53.0,56.0,94.6,143.0,160.0,89.4,50.0,94.0,53.2,0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,11.0
371,David Brooks,wls WAL,"CC,DL",Bournemouth,eng Premier League,22,1997,5.6,121.0,180.0,67.2,1700.0,574.0,68.0,86.0,79.1,34.0,45.0,75.6,9.0,26.0,34.6,0,0.3,0.7,-0.3,6.0,10.0,10.0,5.0,17.0
372,John Brooks,us USA,DF,Wolfsburg,de Bundesliga,26,1993,24.7,1008.0,1235.0,81.6,22020.0,8047.0,243.0,300.0,81.0,595.0,668.0,89.1,157.0,241.0,65.1,1,1.7,0.8,-0.7,6.0,58.0,2.0,0.0,81.0
373,Daniel Brosinski,de GER,DF,Mainz 05,de Bundesliga,31,1988,19.0,662.0,1073.0,61.7,13703.0,7332.0,244.0,295.0,82.7,273.0,413.0,66.1,135.0,311.0,43.4,4,6.0,5.4,-2.0,55.0,42.0,33.0,9.0,77.0
374,Josh Brownhill,eng ENG,CC,Burnley,eng Premier League,23,1995,8.9,275.0,338.0,81.4,3703.0,874.0,161.0,178.0,90.4,81.0,99.0,81.8,12.0,28.0,42.9,0,0.1,0.2,-0.1,3.0,16.0,1.0,0.0,20.0
375,Marcelo Brozović,hr CRO,CC,Inter,it Serie A,26,1992,30.0,1885.0,2149.0,87.7,35689.0,9424.0,766.0,836.0,91.6,805.0,879.0,91.6,271.0,339.0,79.9,6,2.8,2.6,3.2,39.0,191.0,40.0,4.0,240.0
376,Gastón Brugman,uy URU,CC,Parma,it Serie A,26,1992,16.2,557.0,674.0,82.6,11163.0,3587.0,204.0,235.0,86.8,257.0,294.0,87.4,89.0,122.0,73.0,2,1.3,0.9,0.7,12.0,56.0,9.0,1.0,65.0
755,Jeffrey Bruma,nl NED,DF,Wolfsburg,de Bundesliga,27,1991,16.5,541.0,642.0,168.5,11000.0,3913.0,142.0,162.0,174.89999999999998,324.0,359.0,180.6,67.0,102.0,133.0,0,0.0,0.1,0.0,0.0,18.0,0.0,0.0,31.0
759,Jacob Bruun Larsen,dk DEN,"DL,CC",Hoffenheim,de Bundesliga,20,1998,5.1,126.0,163.0,155.6,1894.0,354.0,68.0,74.0,180.6,47.0,56.0,160.4,7.0,14.0,100.0,2,2.4,2.4,-0.4,14.0,10.0,4.0,0.0,12.0
381,Lucas Buadés,fr FRA,"CC,DL",Nîmes,fr Ligue 1,21,1997,1.3,10.0,16.0,62.5,130.0,31.0,7.0,11.0,63.6,3.0,5.0,60.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,Ante Budimir,hr CRO,DL,Mallorca,es La Liga,28,1991,30.7,372.0,587.0,63.4,3941.0,773.0,233.0,336.0,69.3,66.0,119.0,55.5,8.0,15.0,53.3,2,1.0,0.9,1.0,13.0,26.0,6.0,0.0,33.0
383,Emi Buendía,ar ARG,"DL,CC",Norwich City,eng Premier League,22,1996,27.4,1188.0,1604.0,74.1,18941.0,6656.0,662.0,772.0,85.8,307.0,401.0,76.6,154.0,284.0,54.2,7,6.8,6.2,0.2,83.0,155.0,56.0,4.0,194.0
384,Gianluigi Buffon,it ITA,PO,Juventus,it Serie A,41,1978,9.0,191.0,208.0,91.8,4081.0,2730.0,51.0,51.0,100.0,99.0,99.0,100.0,35.0,51.0,68.6,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
385,Marius Bülter,de GER,"CC,DL",Union Berlin,de Bundesliga,26,1993,25.8,379.0,639.0,59.3,5567.0,1699.0,211.0,271.0,77.9,123.0,210.0,58.6,22.0,79.0,27.8,1,3.8,2.5,-2.8,26.0,25.0,20.0,10.0,49.0
386,Esteban Burgos,ar ARG,DF,Eibar,es La Liga,27,1992,12.4,246.0,394.0,62.4,6223.0,2590.0,51.0,65.0,78.5,121.0,158.0,76.6,73.0,164.0,44.5,0,0.1,0.1,-0.1,1.0,32.0,0.0,0.0,30.0
387,Guido Burgstaller,at AUT,DL,Schalke 04,de Bundesliga,30,1989,13.7,197.0,297.0,66.3,2416.0,602.0,117.0,159.0,73.6,55.0,72.0,76.4,3.0,9.0,33.3,1,1.1,1.1,-0.1,8.0,13.0,7.0,0.0,26.0
388,Burgui,es ESP,CC,Alavés,es La Liga,25,1993,0.2,4.0,7.0,57.1,54.0,13.0,3.0,3.0,100.0,0.0,1.0,0.0,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
389,Jonathan Burkardt,de GER,"DL,CC",Mainz 05,de Bundesliga,19,2000,2.8,37.0,48.0,77.1,488.0,84.0,25.0,25.0,100.0,9.0,11.0,81.8,1.0,3.0,33.3,0,0.1,0.2,-0.1,1.0,2.0,1.0,0.0,3.0
390,Oliver Burke,sct SCO,"CC,DL",Alavés,es La Liga,22,1997,15.9,218.0,340.0,64.1,2505.0,616.0,153.0,200.0,76.5,39.0,71.0,54.9,6.0,12.0,50.0,2,1.6,0.9,0.4,6.0,12.0,6.0,0.0,16.0
391,Roman Bürki,ch SUI,PO,Dortmund,de Bundesliga,28,1990,30.8,834.0,1050.0,79.4,20475.0,13139.0,153.0,155.0,98.7,478.0,481.0,99.4,200.0,408.0,49.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
392,Dan Burn,eng ENG,DF,Brighton,eng Premier League,27,1992,32.0,1392.0,1884.0,73.9,22347.0,7699.0,736.0,873.0,84.3,562.0,709.0,79.3,78.0,214.0,36.4,0,1.3,1.7,-1.3,19.0,114.0,18.0,7.0,135.0
393,Patrick Burner,mq MTQ,DF,Nice,fr Ligue 1,23,1996,15.9,941.0,1099.0,85.6,14933.0,5545.0,484.0,515.0,94.0,413.0,449.0,92.0,37.0,96.0,38.5,1,0.8,0.5,0.2,7.0,68.0,9.0,5.0,101.0
394,Sergio Busquets,es ESP,CC,Barcelona,es La Liga,31,1988,27.6,2317.0,2587.0,89.6,37094.0,11317.0,1099.0,1182.0,93.0,929.0,1015.0,91.5,176.0,216.0,81.5,2,2.8,3.2,-0.8,22.0,224.0,28.0,0.0,220.0
395,Unai Bustinza,es ESP,DF,Leganés,es La Liga,27,1992,29.8,904.0,1350.0,67.0,17307.0,7521.0,369.0,447.0,82.6,405.0,559.0,72.5,116.0,281.0,41.3,1,1.8,1.7,-0.8,16.0,93.0,11.0,7.0,109.0
396,Ludovic Butelle,fr FRA,PO,Angers,fr Ligue 1,36,1983,26.0,451.0,698.0,64.6,14332.0,10985.0,66.0,66.0,100.0,189.0,192.0,98.4,194.0,436.0,44.5,0,0.1,0.1,-0.1,1.0,8.0,1.0,0.0,0.0
397,Marcin Bułka,pl POL,PO,Paris S-G,fr Ligue 1,19,1999,1.0,18.0,18.0,100.0,320.0,250.0,8.0,8.0,100.0,10.0,10.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,Sam Byram,eng ENG,DF,Norwich City,eng Premier League,25,1993,14.4,609.0,771.0,79.0,8069.0,2654.0,398.0,446.0,89.2,167.0,218.0,76.6,20.0,54.0,37.0,0,0.4,0.6,-0.4,6.0,24.0,3.0,1.0,41.0
799,Erick Cabaco,uy URU,DF,Getafe,es La Liga,24,1995,12.0,371.0,520.0,136.4,8641.0,4164.0,110.0,133.0,156.4,172.0,208.0,155.5,86.0,164.0,106.19999999999999,0,0.1,0.1,-0.1,2.0,31.0,2.0,0.0,37.0
401,Willy Caballero,ar ARG,PO,Chelsea,eng Premier League,37,1981,5.0,124.0,164.0,75.6,3134.0,2323.0,26.0,26.0,100.0,60.0,60.0,100.0,38.0,78.0,48.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,Yohan Cabaye,fr FRA,CC,Saint-Étienne,fr Ligue 1,33,1986,9.5,410.0,521.0,78.7,7412.0,2692.0,171.0,192.0,89.1,167.0,206.0,81.1,54.0,90.0,60.0,1,0.3,0.4,0.7,8.0,61.0,6.0,2.0,59.0
403,Manuel Cabit,mq MTQ,DF,Metz,fr Ligue 1,26,1993,3.0,99.0,148.0,66.9,1396.0,540.0,58.0,63.0,92.1,30.0,53.0,56.6,5.0,21.0,23.8,1,0.7,0.2,0.3,2.0,4.0,3.0,1.0,9.0
404,Ariday Cabrera,es ESP,CC,Mallorca,es La Liga,30,1988,0.4,9.0,11.0,81.8,167.0,40.0,3.0,5.0,60.0,6.0,6.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
811,Leandro Cabrera,uy URU,DF,Getafe,es La Liga,28,1991,34.0,849.0,1443.0,114.5,21191.0,10124.0,177.0,240.0,140.3,440.0,623.0,135.1,222.0,521.0,85.2,1,1.3,1.1,-0.30000000000000004,9.0,102.0,9.0,2.0,117.0
407,Fabrizio Cacciatore,it ITA,DF,Cagliari,it Serie A,32,1986,12.8,550.0,707.0,77.8,10311.0,4340.0,232.0,258.0,89.9,248.0,296.0,83.8,68.0,133.0,51.1,0,0.5,0.6,-0.5,5.0,41.0,8.0,6.0,55.0
408,Martín Cáceres,uy URU,DF,Fiorentina,it Serie A,32,1987,26.2,1111.0,1348.0,82.4,20802.0,8295.0,418.0,456.0,91.7,546.0,624.0,87.5,125.0,220.0,56.8,0,0.7,0.6,-0.7,15.0,97.0,7.0,4.0,117.0
409,Anthony Caci,fr FRA,DF,Strasbourg,fr Ligue 1,22,1997,7.7,414.0,522.0,79.3,7925.0,3546.0,174.0,192.0,90.6,176.0,214.0,82.2,58.0,97.0,59.8,4,1.9,1.5,2.1,12.0,47.0,15.0,11.0,52.0
410,Jhonder Cádiz,ve VEN,"DL,CC",Dijon,fr Ligue 1,24,1995,8.9,112.0,191.0,58.6,1640.0,364.0,73.0,102.0,71.6,28.0,46.0,60.9,8.0,19.0,42.1,2,0.9,0.5,1.1,10.0,8.0,5.0,0.0,20.0
411,Mathieu Cafaro,fr FRA,"DL,CC",Reims,fr Ligue 1,22,1997,10.3,200.0,359.0,55.7,3995.0,1375.0,93.0,115.0,80.9,63.0,112.0,56.3,44.0,117.0,37.6,2,2.1,1.0,-0.1,15.0,23.0,9.0,5.0,36.0
412,Jonathan Cafu,br BRA,DF,Bordeaux,fr Ligue 1,28,1991,2.2,74.0,90.0,82.2,1023.0,174.0,36.0,43.0,83.7,35.0,40.0,87.5,0.0,1.0,0.0,0,0.1,0.1,-0.1,2.0,0.0,1.0,0.0,2.0
413,Gary Cahill,eng ENG,DF,Crystal Palace,eng Premier League,33,1985,24.1,857.0,1009.0,84.9,17067.0,6010.0,288.0,323.0,89.2,461.0,506.0,91.1,104.0,161.0,64.6,1,0.2,0.3,0.8,3.0,40.0,2.0,0.0,48.0
414,Felipe Caicedo,ec ECU,DL,Lazio,it Serie A,30,1988,15.6,312.0,407.0,76.7,3514.0,778.0,177.0,219.0,80.8,65.0,92.0,70.7,12.0,15.0,80.0,2,3.1,2.1,-1.1,23.0,25.0,10.0,0.0,31.0
