RL2019-2020,Jugador2019-2020,País2019-2020,Posc2019-2020,Equipo2019-2020,Comp2019-2020,Edad2019-2020,Nacimiento2019-2020,90 s2019-2020,Cmp2019-2020,Int.2019-2020,% Cmp2019-2020,Dist. tot.2019-2020,Dist. prg.2019-2020,Cmp.12019-2020,Int..12019-2020,% Cmp.12019-2020,Cmp.22019-2020,Int..22019-2020,% Cmp.22019-2020,Cmp.32019-2020,Int..32019-2020,% Cmp.32019-2020,Ass2019-2020,xAG2019-2020,xA2019-2020,A-xAG2019-2020,PC2019-2020,1/32019-2020,PPA2019-2020,CrAP2019-2020,PrgP2019-2020
190,Danilo Barbosa,br BRA,"DF,CC",Nice,fr Ligue 1,23,1996,12.5,725.0,793.0,91.4,12751.0,3961.0,277.0,294.0,94.2,398.0,420.0,94.8,36.0,56.0,64.3,0,0.4,0.3,-0.4,10.0,62.0,3.0,0.0,66.0
191,Melvin Bard,fr FRA,DF,Lyon,fr Ligue 1,18,2000,0.5,40.0,47.0,85.1,545.0,112.0,25.0,26.0,96.2,14.0,16.0,87.5,1.0,2.0,50.0,0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0
192,Enis Bardhi,mk MKD,CC,Levante,es La Liga,24,1995,23.5,627.0,865.0,72.5,9544.0,2988.0,370.0,437.0,84.7,163.0,230.0,70.9,54.0,106.0,50.9,2,3.5,1.7,-1.5,32.0,63.0,24.0,6.0,111.0
193,Phil Bardsley,sct SCO,DF,Burnley,eng Premier League,34,1985,21.0,604.0,921.0,65.6,10172.0,4819.0,303.0,354.0,85.6,224.0,330.0,67.9,60.0,180.0,33.3,1,1.4,1.2,-0.4,10.0,71.0,18.0,5.0,70.0
194,Nicolò Barella,it ITA,CC,Inter,it Serie A,22,1997,22.4,1007.0,1237.0,81.4,17609.0,5724.0,460.0,518.0,88.8,381.0,446.0,85.4,124.0,166.0,74.7,4,1.7,2.3,2.3,23.0,124.0,30.0,6.0,183.0
195,Philipp Bargfrede,de GER,CC,Werder Bremen,de Bundesliga,30,1989,6.5,198.0,272.0,72.8,3068.0,1207.0,99.0,120.0,82.5,79.0,105.0,75.2,11.0,27.0,40.7,0,0.1,0.3,-0.1,2.0,33.0,4.0,0.0,35.0
196,Antonino Barillà,it ITA,CC,Parma,it Serie A,31,1988,18.8,399.0,523.0,76.3,6384.0,1825.0,206.0,236.0,87.3,143.0,177.0,80.8,32.0,66.0,48.5,2,2.0,1.5,0.0,15.0,29.0,7.0,6.0,44.0
197,Kike Barja,es ESP,"CC,DL",Osasuna,es La Liga,22,1997,3.5,57.0,84.0,67.9,838.0,203.0,35.0,42.0,83.3,17.0,27.0,63.0,2.0,6.0,33.3,1,1.1,0.7,-0.1,4.0,2.0,7.0,2.0,12.0
198,Ross Barkley,eng ENG,CC,Chelsea,eng Premier League,25,1993,12.3,555.0,635.0,87.4,9250.0,1867.0,280.0,310.0,90.3,182.0,194.0,93.8,68.0,79.0,86.1,4,2.3,2.6,1.7,24.0,53.0,18.0,2.0,64.0
199,Aymen Barkok,ma MAR,"DL,CC",Düsseldorf,de Bundesliga,21,1998,0.9,17.0,29.0,58.6,296.0,125.0,11.0,19.0,57.9,4.0,6.0,66.7,2.0,4.0,50.0,0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0
