Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Expectativa,Expectativa,Expectativa,Expectativa,Expectativa,Unnamed: 26_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,Partidos
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Partidos
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,3,45,11,24.4,1.27,0.31,0.07,0.27,20.7,0,0,0,2.6,2.6,0.06,+0.4,+0.4,Partidos
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,0,1,1,100.0,0.07,0.07,0.00,0.00,12.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Partidos
4,Issah Abbas,gh GHA,DL,Mainz 05,de Bundesliga,19,1998,0.1,0,1,0,0.0,10.00,0.00,0.00,,24.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Partidos
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,0,19,4,21.1,0.50,0.11,0.00,0.00,15.4,0,0,0,1.6,1.6,0.09,-1.6,-1.6,Partidos
6,Mehdi Abeid,dz ALG,CC,Dijon,fr Ligue 1,25,1992,22.5,3,36,10,27.8,1.60,0.44,0.06,0.20,24.9,0,1,1,2.9,2.1,0.06,+0.1,-0.1,Partidos
7,Charles Abi,fr FRA,"DF,DL",Saint-Étienne,fr Ligue 1,18,2000,0.4,0,1,0,0.0,2.81,0.00,0.00,,15.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Partidos
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,0,5,1,20.0,0.32,0.06,0.00,0.00,11.4,0,0,0,0.8,0.8,0.15,-0.8,-0.8,Partidos
9,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,28,1990,8.8,0,7,2,28.6,0.80,0.23,0.00,0.00,26.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Partidos
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,3,18,7,38.9,0.49,0.19,0.17,0.43,9.8,0,0,0,3.4,3.4,0.20,-0.4,-0.4,Partidos
11,Afriyie Acquah,gh GHA,CC,Empoli,it Serie A,26,1992,16.8,2,22,7,31.8,1.31,0.42,0.09,0.29,20.8,0,0,0,1.4,1.4,0.07,+0.6,+0.6,Partidos
12,Tyler Adams,us USA,CC,RB Leipzig,de Bundesliga,19,1999,8.0,0,2,1,50.0,0.25,0.12,0.00,0.00,26.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Partidos
13,Antonio Adán,es ESP,PO,Atlético Madrid,es La Liga,31,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Partidos
