Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Derribos,Derribos,Derribos,Derribos,Derribos,Desafíos,Desafíos,Desafíos,Desafíos,Bloqueos,Bloqueos,Bloqueos,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,12,6,7,5,0,5,10,50.0,5,5,0,5,8,20,9,0,Partidos
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,48,24,35,11,2,24,40,60.0,16,33,9,24,40,88,91,2,Partidos
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,34,19,16,13,5,14,22,63.6,8,19,6,13,18,52,50,0,Partidos
4,Issah Abbas,gh GHA,DL,Mainz 05,de Bundesliga,19,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Partidos
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,60,33,48,11,1,30,40,75.0,10,44,24,20,65,125,196,0,Partidos
6,Mehdi Abeid,dz ALG,CC,Dijon,fr Ligue 1,25,1992,22.5,51,33,27,16,8,15,45,33.3,30,33,7,26,29,80,23,1,Partidos
7,Charles Abi,fr FRA,"DF,DL",Saint-Étienne,fr Ligue 1,18,2000,0.4,4,4,2,1,1,2,2,100.0,0,1,0,1,0,4,1,0,Partidos
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,22,14,13,8,1,11,25,44.0,14,23,12,11,24,46,64,0,Partidos
9,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,28,1990,8.8,20,11,7,10,3,6,19,31.6,13,11,3,8,14,34,15,0,Partidos
