RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR
297,Philip Billing,dk DEN,CC,Bournemouth,eng Premier League,23,1996,28.1,1673.0,131.0,462.0,839.0,395.0,50.0,1673.0,35.0,22.0,62.9,13.0,37.1,873.0,4050.0,1646.0,29.0,30.0,4.0,51.0,28.0,905.0,59.0
298,Cristiano Biraghi,it ITA,DF,Inter,it Serie A,26,1992,17.5,1074.0,57.0,264.0,392.0,423.0,23.0,1074.0,22.0,10.0,45.5,12.0,54.5,503.0,2390.0,1207.0,46.0,24.0,4.0,19.0,3.0,628.0,129.0
299,Davide Biraschi,it ITA,DF,Genoa,it Serie A,25,1994,21.9,1428.0,106.0,544.0,713.0,189.0,10.0,1428.0,53.0,37.0,69.8,16.0,30.2,778.0,4203.0,2509.0,36.0,27.0,0.0,23.0,21.0,856.0,33.0
300,Valter Birsa,si SVN,"CC,DL",Cagliari,it Serie A,32,1986,4.8,367.0,5.0,54.0,221.0,96.0,3.0,367.0,2.0,1.0,50.0,1.0,50.0,208.0,1247.0,751.0,15.0,6.0,2.0,7.0,1.0,246.0,15.0
301,Dimitri Bisoli,it ITA,CC,Brescia,it Serie A,25,1994,23.9,1092.0,62.0,269.0,459.0,377.0,63.0,1092.0,29.0,20.0,69.0,9.0,31.0,528.0,2483.0,1250.0,30.0,27.0,5.0,40.0,34.0,623.0,127.0
302,Yves Bissouma,ml MLI,CC,Brighton,eng Premier League,22,1996,14.0,834.0,28.0,194.0,479.0,177.0,8.0,834.0,48.0,32.0,66.7,16.0,33.3,500.0,3269.0,1308.0,25.0,20.0,8.0,32.0,25.0,545.0,16.0
303,Leonardo Bittencourt,de GER,CC,Hoffenheim,de Bundesliga,25,1993,0.0,6.0,0.0,1.0,2.0,3.0,1.0,6.0,0.0,0.0,,0.0,,4.0,84.0,57.0,2.0,1.0,1.0,0.0,0.0,5.0,1.0
304,Leonardo Bittencourt,de GER,"DL,CC",Werder Bremen,de Bundesliga,25,1993,21.0,1189.0,14.0,161.0,542.0,499.0,67.0,1189.0,45.0,14.0,31.1,31.0,68.9,785.0,4430.0,1992.0,58.0,52.0,10.0,60.0,29.0,810.0,162.0
305,Birkir Bjarnason,is ISL,"CC,DL",Brescia,it Serie A,31,1988,8.9,335.0,15.0,62.0,191.0,84.0,11.0,335.0,8.0,3.0,37.5,5.0,62.5,213.0,1276.0,554.0,12.0,7.0,2.0,8.0,7.0,233.0,22.0
306,Rubén Blanco,es ESP,PO,Celta Vigo,es La Liga,24,1995,32.9,1062.0,944.0,1056.0,6.0,0.0,0.0,1062.0,0.0,0.0,,0.0,,479.0,2746.0,1858.0,0.0,0.0,0.0,0.0,0.0,366.0,0.0
307,Ludovic Blas,fr FRA,"DL,CC",Nantes,fr Ligue 1,21,1997,20.5,950.0,6.0,96.0,522.0,358.0,44.0,950.0,102.0,59.0,57.8,43.0,42.2,607.0,4578.0,1875.0,53.0,61.0,15.0,59.0,39.0,698.0,112.0
308,Pablo de Blasis,ar ARG,"DF,CC",Eibar,es La Liga,31,1988,17.8,1122.0,26.0,176.0,555.0,402.0,22.0,1121.0,22.0,12.0,54.5,10.0,45.5,545.0,2271.0,1096.0,28.0,19.0,3.0,22.0,17.0,637.0,89.0
309,Alejandro Blesa,es ESP,CC,Levante,es La Liga,17,2002,0.0,7.0,0.0,1.0,4.0,2.0,1.0,7.0,0.0,0.0,,0.0,,7.0,19.0,10.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0
310,Alexis Blin,fr FRA,CC,Amiens,fr Ligue 1,22,1996,20.5,1253.0,65.0,285.0,855.0,120.0,4.0,1253.0,12.0,8.0,66.7,4.0,33.3,555.0,2307.0,1072.0,10.0,10.0,0.0,29.0,10.0,765.0,9.0
311,Jérôme Boateng,de GER,DF,Bayern Munich,de Bundesliga,30,1988,20.0,1857.0,140.0,817.0,1001.0,44.0,4.0,1857.0,0.0,0.0,,0.0,,1224.0,5007.0,2350.0,6.0,8.0,0.0,1.0,1.0,1394.0,4.0
312,Kevin-Prince Boateng,gh GHA,DL,Fiorentina,it Serie A,32,1987,6.7,260.0,5.0,11.0,126.0,124.0,26.0,260.0,9.0,6.0,66.7,3.0,33.3,156.0,555.0,147.0,3.0,5.0,1.0,12.0,5.0,219.0,40.0
313,Antonin Bobichon,fr FRA,CC,Nîmes,fr Ligue 1,23,1995,2.0,116.0,1.0,13.0,61.0,43.0,2.0,116.0,2.0,1.0,50.0,1.0,50.0,72.0,347.0,180.0,3.0,3.0,0.0,2.0,2.0,79.0,5.0
314,Antonin Bobichon,fr FRA,CC,Angers,fr Ligue 1,23,1995,7.2,371.0,3.0,46.0,192.0,133.0,15.0,371.0,8.0,5.0,62.5,3.0,37.5,184.0,1057.0,629.0,20.0,18.0,3.0,18.0,9.0,259.0,24.0
315,Salvatore Bocchetti,it ITA,DF,Hellas Verona,it Serie A,32,1986,3.4,222.0,29.0,96.0,114.0,13.0,1.0,222.0,2.0,0.0,0.0,2.0,100.0,107.0,494.0,308.0,5.0,4.0,1.0,0.0,0.0,129.0,5.0
316,Mathieu Bodmer,fr FRA,"CC,DL",Amiens,fr Ligue 1,36,1982,1.0,104.0,1.0,17.0,68.0,19.0,7.0,104.0,1.0,1.0,100.0,0.0,0.0,44.0,175.0,83.0,2.0,0.0,0.0,2.0,1.0,88.0,3.0
317,Adam Bodzek,de GER,CC,Düsseldorf,de Bundesliga,33,1985,22.4,907.0,70.0,299.0,511.0,100.0,12.0,907.0,5.0,3.0,60.0,2.0,40.0,342.0,1437.0,551.0,4.0,7.0,0.0,17.0,10.0,486.0,13.0
318,Jean-Paul Boëtius,nl NED,CC,Mainz 05,de Bundesliga,25,1994,25.2,1262.0,13.0,172.0,705.0,401.0,42.0,1262.0,66.0,35.0,53.0,31.0,47.0,770.0,4271.0,2122.0,56.0,40.0,15.0,75.0,39.0,835.0,100.0
319,Sacha Boey,fr FRA,DF,Rennes,fr Ligue 1,18,2000,1.9,98.0,3.0,28.0,51.0,19.0,3.0,98.0,1.0,1.0,100.0,0.0,0.0,63.0,287.0,155.0,3.0,2.0,0.0,1.0,2.0,59.0,11.0
320,Jeremie Boga,ci CIV,DL,Sassuolo,it Serie A,22,1997,27.9,1325.0,7.0,138.0,489.0,733.0,149.0,1325.0,210.0,132.0,62.9,78.0,37.1,985.0,8508.0,4804.0,168.0,104.0,76.0,63.0,49.0,1093.0,250.0
321,Melayro Bogarde,nl NED,DF,Hoffenheim,de Bundesliga,17,2002,0.6,46.0,4.0,15.0,26.0,5.0,1.0,46.0,0.0,0.0,,0.0,,28.0,44.0,17.0,0.0,0.0,0.0,0.0,1.0,35.0,3.0
322,Quentin Boisgard,fr FRA,"CC,DL",Toulouse,fr Ligue 1,22,1997,12.7,674.0,14.0,135.0,349.0,205.0,21.0,674.0,53.0,31.0,58.5,22.0,41.5,405.0,2178.0,1014.0,27.0,26.0,9.0,44.0,21.0,411.0,61.0
323,Willy Boly,ci CIV,DF,Wolves,eng Premier League,28,1991,22.0,1264.0,139.0,623.0,606.0,39.0,20.0,1264.0,11.0,9.0,81.8,2.0,18.2,588.0,2675.0,1364.0,4.0,4.0,0.0,10.0,4.0,725.0,5.0
324,Giacomo Bonaventura,it ITA,"CC,DL",Milan,it Serie A,29,1989,14.9,860.0,17.0,92.0,382.0,391.0,48.0,860.0,30.0,22.0,73.3,8.0,26.7,575.0,3053.0,1325.0,35.0,30.0,11.0,34.0,16.0,664.0,87.0
325,Federico Bonazzoli,it ITA,DL,Sampdoria,it Serie A,22,1997,8.3,325.0,2.0,23.0,138.0,172.0,39.0,325.0,20.0,9.0,45.0,11.0,55.0,225.0,1312.0,620.0,24.0,18.0,3.0,18.0,9.0,261.0,53.0
326,Gaëtan Bong,cm CMR,"DF,CC",Brighton,eng Premier League,31,1988,0.7,41.0,0.0,5.0,15.0,22.0,3.0,41.0,2.0,1.0,50.0,1.0,50.0,26.0,119.0,55.0,4.0,1.0,1.0,3.0,1.0,31.0,8.0
327,Kevin Bonifazi,it ITA,DF,Torino,it Serie A,23,1996,2.7,127.0,27.0,84.0,37.0,7.0,2.0,127.0,1.0,1.0,100.0,0.0,0.0,56.0,271.0,152.0,0.0,0.0,0.0,1.0,1.0,66.0,0.0
328,Kevin Bonifazi,it ITA,DF,SPAL,it Serie A,23,1996,13.2,803.0,148.0,495.0,287.0,32.0,5.0,803.0,15.0,12.0,80.0,3.0,20.0,444.0,2309.0,1409.0,10.0,9.0,2.0,9.0,5.0,486.0,1.0
329,Federico Bonini,it ITA,DF,Bologna,it Serie A,17,2001,0.1,5.0,0.0,2.0,3.0,0.0,0.0,5.0,0.0,0.0,,0.0,,5.0,28.0,19.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
330,Leonardo Bonucci,it ITA,DF,Juventus,it Serie A,32,1987,34.2,2376.0,269.0,1013.0,1297.0,74.0,22.0,2376.0,5.0,4.0,80.0,1.0,20.0,1557.0,6892.0,4072.0,16.0,12.0,2.0,8.0,4.0,1787.0,3.0
331,Fabio Borini,it ITA,"CC,DL",Hellas Verona,it Serie A,28,1991,9.0,373.0,9.0,45.0,134.0,200.0,42.0,372.0,19.0,10.0,52.6,9.0,47.4,244.0,1448.0,685.0,21.0,9.0,5.0,12.0,17.0,266.0,72.0
332,Fabio Borini,it ITA,CC,Milan,it Serie A,28,1991,0.8,40.0,2.0,6.0,21.0,13.0,3.0,40.0,3.0,1.0,33.3,2.0,66.7,23.0,141.0,63.0,3.0,1.0,2.0,1.0,3.0,26.0,6.0
333,Dennis Borkowski,de GER,DL,RB Leipzig,de Bundesliga,17,2002,0.1,6.0,0.0,1.0,4.0,1.0,0.0,6.0,4.0,2.0,50.0,2.0,50.0,5.0,45.0,37.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0
334,Robin Bormuth,de GER,DF,Düsseldorf,de Bundesliga,23,1995,2.0,99.0,27.0,68.0,27.0,4.0,2.0,99.0,0.0,0.0,,0.0,,55.0,281.0,173.0,0.0,0.0,0.0,1.0,0.0,55.0,0.0
335,Sebastiaan Bornauw,be BEL,DF,Köln,de Bundesliga,20,1999,27.2,1512.0,181.0,828.0,646.0,49.0,27.0,1512.0,14.0,11.0,78.6,3.0,21.4,891.0,4351.0,2182.0,12.0,8.0,1.0,14.0,5.0,962.0,5.0
336,Brandon Borrello,au AUS,"CC,DL",Freiburg,de Bundesliga,24,1995,3.3,132.0,2.0,19.0,62.0,51.0,8.0,132.0,9.0,5.0,55.6,4.0,44.4,94.0,523.0,168.0,6.0,5.0,1.0,18.0,10.0,89.0,23.0
337,Gabriel Boschilia,br BRA,"CC,DL",Monaco,fr Ligue 1,23,1996,1.4,98.0,0.0,11.0,50.0,39.0,6.0,98.0,3.0,3.0,100.0,0.0,0.0,64.0,382.0,124.0,4.0,5.0,3.0,7.0,0.0,74.0,4.0
338,Denis Bouanga,ga GAB,"DL,CC",Saint-Étienne,fr Ligue 1,24,1994,22.7,1028.0,20.0,141.0,461.0,454.0,104.0,1025.0,123.0,58.0,47.2,65.0,52.8,584.0,4532.0,2246.0,75.0,51.0,37.0,86.0,59.0,659.0,201.0
339,Hicham Boudaoui,dz ALG,"CC,DL",Nice,fr Ligue 1,19,1999,5.4,283.0,9.0,56.0,115.0,115.0,19.0,283.0,13.0,5.0,38.5,8.0,61.5,159.0,959.0,516.0,17.0,12.0,6.0,15.0,10.0,189.0,54.0
340,Ryad Boudebouz,dz ALG,"CC,DL",Saint-Étienne,fr Ligue 1,29,1990,17.7,1126.0,5.0,92.0,600.0,443.0,20.0,1125.0,46.0,28.0,60.9,18.0,39.1,525.0,3502.0,1541.0,46.0,40.0,1.0,39.0,29.0,815.0,97.0
341,Sofiane Boufal,ma MAR,"CC,DL",Southampton,eng Premier League,25,1993,8.5,496.0,3.0,39.0,190.0,283.0,49.0,496.0,86.0,53.0,61.6,33.0,38.4,350.0,2773.0,1408.0,48.0,33.0,24.0,33.0,40.0,372.0,67.0
342,Nassim Boujellab,ma MAR,"CC,DL",Schalke 04,de Bundesliga,20,1999,4.7,204.0,8.0,44.0,108.0,54.0,11.0,204.0,3.0,0.0,0.0,3.0,100.0,106.0,589.0,235.0,5.0,3.0,2.0,13.0,5.0,121.0,16.0
343,Farid Boulaya,dz ALG,DL,Metz,fr Ligue 1,26,1993,9.1,525.0,4.0,55.0,239.0,241.0,27.0,525.0,29.0,15.0,51.7,14.0,48.3,282.0,1988.0,919.0,33.0,25.0,7.0,24.0,10.0,358.0,54.0
344,Yassine Bounou,ma MAR,PO,Sevilla,es La Liga,28,1991,5.5,178.0,172.0,178.0,0.0,0.0,0.0,178.0,0.0,0.0,,0.0,,96.0,377.0,198.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0
345,Mehdi Bourabia,ma MAR,CC,Sassuolo,it Serie A,27,1991,10.3,865.0,38.0,185.0,575.0,119.0,1.0,865.0,12.0,11.0,91.7,1.0,8.3,483.0,2547.0,1419.0,22.0,18.0,1.0,18.0,13.0,630.0,15.0
346,Benjamin Bourigeaud,fr FRA,CC,Rennes,fr Ligue 1,25,1994,21.1,1453.0,40.0,283.0,829.0,352.0,14.0,1453.0,16.0,13.0,81.3,3.0,18.8,813.0,3459.0,1754.0,30.0,24.0,0.0,29.0,11.0,901.0,58.0
347,Bilal Boutobba,fr FRA,CC,Montpellier,fr Ligue 1,20,1998,0.1,6.0,0.0,0.0,2.0,4.0,0.0,6.0,1.0,1.0,100.0,0.0,0.0,5.0,43.0,24.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0
348,Jarrod Bowen,eng ENG,"DL,CC",West Ham,eng Premier League,22,1996,10.2,406.0,8.0,70.0,133.0,214.0,41.0,406.0,39.0,15.0,38.5,24.0,61.5,276.0,2344.0,872.0,33.0,23.0,15.0,19.0,14.0,249.0,80.0
349,Dedryck Boyata,be BEL,DF,Hertha BSC,de Bundesliga,28,1990,27.1,1688.0,226.0,929.0,722.0,44.0,28.0,1688.0,10.0,9.0,90.0,1.0,10.0,961.0,5070.0,2674.0,11.0,2.0,0.0,8.0,4.0,1105.0,4.0
350,John Boye,gh GHA,DF,Metz,fr Ligue 1,32,1987,23.5,1177.0,175.0,706.0,463.0,18.0,11.0,1177.0,6.0,4.0,66.7,2.0,33.3,509.0,2331.0,996.0,1.0,2.0,0.0,13.0,5.0,657.0,0.0
351,Can Bozdogan,de GER,CC,Schalke 04,de Bundesliga,18,2001,2.6,106.0,3.0,27.0,55.0,31.0,0.0,106.0,12.0,9.0,75.0,3.0,25.0,68.0,488.0,276.0,5.0,7.0,0.0,6.0,4.0,61.0,6.0
352,Domagoj Bradarić,hr CRO,DF,Lille,fr Ligue 1,19,1999,15.8,982.0,34.0,182.0,510.0,298.0,4.0,982.0,14.0,6.0,42.9,8.0,57.1,471.0,2690.0,1552.0,35.0,37.0,0.0,18.0,4.0,565.0,95.0
353,Filip Bradarić,hr CRO,CC,Celta Vigo,es La Liga,27,1992,7.8,480.0,22.0,127.0,291.0,68.0,2.0,480.0,7.0,3.0,42.9,4.0,57.1,265.0,1124.0,500.0,7.0,9.0,1.0,6.0,3.0,314.0,5.0
354,Robbie Brady,ie IRL,CC,Burnley,eng Premier League,27,1992,5.0,245.0,13.0,36.0,99.0,112.0,15.0,245.0,10.0,6.0,60.0,4.0,40.0,123.0,580.0,276.0,5.0,10.0,0.0,11.0,11.0,139.0,23.0
355,Martin Braithwaite,dk DEN,"DL,CC",Barcelona,es La Liga,28,1991,4.5,167.0,3.0,20.0,51.0,96.0,24.0,167.0,9.0,7.0,77.8,2.0,22.2,112.0,541.0,294.0,12.0,6.0,6.0,7.0,3.0,142.0,30.0
356,Martin Braithwaite,dk DEN,"DL,CC",Leganés,es La Liga,28,1991,21.5,567.0,11.0,55.0,244.0,280.0,63.0,566.0,53.0,36.0,67.9,17.0,32.1,324.0,1946.0,862.0,28.0,27.0,12.0,47.0,27.0,425.0,80.0
357,Federico Brancolini,it ITA,PO,Fiorentina,it Serie A,18,2001,0.1,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,,0.0,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
358,Brandon,es ESP,DL,Osasuna,es La Liga,24,1995,4.5,165.0,1.0,16.0,76.0,75.0,11.0,165.0,8.0,4.0,50.0,4.0,50.0,105.0,701.0,323.0,11.0,5.0,7.0,15.0,13.0,126.0,36.0
359,Julian Brandt,de GER,"CC,DL",Dortmund,de Bundesliga,23,1996,24.5,1951.0,16.0,259.0,1051.0,656.0,83.0,1951.0,92.0,66.0,71.7,26.0,28.3,1301.0,6501.0,2629.0,59.0,61.0,16.0,64.0,48.0,1607.0,183.0
360,Jarrad Branthwaite,eng ENG,DF,Everton,eng Premier League,17,2002,3.3,259.0,41.0,149.0,111.0,2.0,0.0,259.0,1.0,1.0,100.0,0.0,0.0,153.0,822.0,396.0,0.0,0.0,0.0,3.0,0.0,185.0,0.0
361,Darko Brašanac,rs SRB,CC,Osasuna,es La Liga,27,1992,24.9,980.0,39.0,157.0,552.0,284.0,50.0,980.0,16.0,8.0,50.0,8.0,50.0,518.0,2306.0,1018.0,35.0,25.0,4.0,34.0,19.0,579.0,84.0
362,Claudio Bravo,cl CHI,PO,Manchester City,eng Premier League,36,1983,3.9,139.0,113.0,137.0,2.0,0.0,0.0,139.0,1.0,1.0,100.0,0.0,0.0,87.0,434.0,277.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0
363,Josip Brekalo,hr CRO,"CC,DL",Wolfsburg,de Bundesliga,21,1998,18.6,1076.0,11.0,79.0,482.0,528.0,67.0,1076.0,82.0,38.0,46.3,44.0,53.7,685.0,4755.0,2324.0,82.0,63.0,33.0,51.0,44.0,768.0,146.0
364,Gleison Bremer,br BRA,DF,Torino,it Serie A,22,1997,25.2,1507.0,172.0,792.0,657.0,73.0,26.0,1507.0,21.0,15.0,71.4,6.0,28.6,803.0,3903.0,2098.0,16.0,7.0,1.0,17.0,8.0,828.0,3.0
365,Marco Brescianini,it ITA,CC,Milan,it Serie A,19,2000,0.3,24.0,1.0,6.0,15.0,4.0,0.0,24.0,0.0,0.0,,0.0,,20.0,92.0,43.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0
366,Anthony Briançon,fr FRA,DF,Nîmes,fr Ligue 1,24,1994,19.3,1080.0,129.0,576.0,471.0,48.0,18.0,1080.0,6.0,4.0,66.7,2.0,33.3,550.0,2853.0,1633.0,15.0,12.0,0.0,3.0,1.0,594.0,2.0
367,Jimmy Briand,fr FRA,DL,Bordeaux,fr Ligue 1,33,1985,16.9,486.0,17.0,54.0,261.0,171.0,49.0,485.0,14.0,4.0,28.6,10.0,71.4,248.0,825.0,231.0,9.0,5.0,5.0,42.0,11.0,333.0,73.0
368,Yan Brice Eteki,cm CMR,CC,Granada,es La Liga,21,1997,16.7,565.0,28.0,133.0,337.0,101.0,3.0,565.0,30.0,18.0,60.0,12.0,40.0,293.0,1386.0,620.0,12.0,16.0,1.0,12.0,15.0,251.0,8.0
369,Armando Broja,al ALB,DL,Chelsea,eng Premier League,17,2001,0.1,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,0.0,,4.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0
370,Dylan Bronn,tn TUN,DF,Metz,fr Ligue 1,24,1995,9.0,395.0,59.0,227.0,164.0,6.0,3.0,395.0,3.0,2.0,66.7,1.0,33.3,169.0,756.0,388.0,0.0,0.0,0.0,2.0,1.0,238.0,0.0
371,David Brooks,wls WAL,"CC,DL",Bournemouth,eng Premier League,22,1997,5.6,226.0,3.0,23.0,84.0,121.0,8.0,226.0,24.0,12.0,50.0,12.0,50.0,137.0,700.0,240.0,4.0,8.0,1.0,7.0,7.0,163.0,24.0
372,John Brooks,us USA,DF,Wolfsburg,de Bundesliga,26,1993,24.7,1490.0,147.0,762.0,690.0,43.0,29.0,1490.0,4.0,3.0,75.0,1.0,25.0,813.0,4260.0,2482.0,14.0,1.0,1.0,12.0,2.0,829.0,6.0
373,Daniel Brosinski,de GER,DF,Mainz 05,de Bundesliga,31,1988,19.0,1268.0,56.0,340.0,481.0,462.0,17.0,1267.0,18.0,8.0,44.4,10.0,55.6,511.0,2918.0,1747.0,43.0,35.0,8.0,17.0,3.0,548.0,88.0
374,Josh Brownhill,eng ENG,CC,Burnley,eng Premier League,23,1995,8.9,422.0,30.0,105.0,215.0,104.0,9.0,422.0,8.0,7.0,87.5,1.0,12.5,183.0,704.0,233.0,2.0,10.0,0.0,10.0,4.0,241.0,15.0
375,Marcelo Brozović,hr CRO,CC,Inter,it Serie A,26,1992,30.0,2481.0,90.0,540.0,1491.0,476.0,30.0,2481.0,35.0,27.0,77.1,8.0,22.9,1417.0,7625.0,3162.0,47.0,40.0,5.0,38.0,20.0,1772.0,40.0
376,Gastón Brugman,uy URU,CC,Parma,it Serie A,26,1992,16.2,839.0,60.0,260.0,454.0,137.0,4.0,839.0,14.0,9.0,64.3,5.0,35.7,445.0,2224.0,1263.0,19.0,18.0,3.0,7.0,9.0,469.0,12.0
377,Jeffrey Bruma,nl NED,DF,Wolfsburg,de Bundesliga,27,1991,9.0,422.0,50.0,234.0,180.0,12.0,9.0,422.0,2.0,1.0,50.0,1.0,50.0,186.0,1050.0,463.0,2.0,0.0,0.0,4.0,1.0,209.0,0.0
378,Jeffrey Bruma,nl NED,DF,Mainz 05,de Bundesliga,27,1991,7.5,399.0,53.0,207.0,184.0,11.0,7.0,399.0,2.0,2.0,100.0,0.0,0.0,212.0,1361.0,717.0,3.0,1.0,0.0,3.0,1.0,223.0,0.0
379,Jacob Bruun Larsen,dk DEN,"DL,CC",Hoffenheim,de Bundesliga,20,1998,4.3,181.0,1.0,30.0,71.0,86.0,29.0,181.0,22.0,13.0,59.1,9.0,40.9,124.0,1038.0,479.0,19.0,7.0,13.0,12.0,5.0,125.0,31.0
380,Jacob Bruun Larsen,dk DEN,DL,Dortmund,de Bundesliga,20,1998,0.8,37.0,0.0,3.0,13.0,23.0,7.0,37.0,2.0,1.0,50.0,1.0,50.0,26.0,170.0,62.0,2.0,1.0,0.0,4.0,0.0,31.0,8.0
381,Lucas Buadés,fr FRA,"CC,DL",Nîmes,fr Ligue 1,21,1997,1.3,33.0,3.0,15.0,12.0,6.0,1.0,33.0,3.0,1.0,33.3,2.0,66.7,18.0,78.0,5.0,0.0,0.0,1.0,4.0,2.0,19.0,5.0
382,Ante Budimir,hr CRO,DL,Mallorca,es La Liga,28,1991,30.7,919.0,30.0,77.0,452.0,391.0,126.0,917.0,47.0,20.0,42.6,27.0,57.4,486.0,2205.0,829.0,34.0,28.0,25.0,88.0,34.0,676.0,132.0
383,Emi Buendía,ar ARG,"DL,CC",Norwich City,eng Premier League,22,1996,27.4,2023.0,61.0,354.0,965.0,745.0,52.0,2023.0,142.0,102.0,71.8,39.0,27.5,1302.0,6925.0,3605.0,68.0,80.0,15.0,82.0,80.0,1344.0,106.0
384,Gianluigi Buffon,it ITA,PO,Juventus,it Serie A,41,1978,9.0,225.0,198.0,224.0,1.0,0.0,0.0,225.0,0.0,0.0,,0.0,,124.0,538.0,378.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0
385,Marius Bülter,de GER,"CC,DL",Union Berlin,de Bundesliga,26,1993,25.8,1006.0,24.0,188.0,432.0,408.0,69.0,1006.0,106.0,55.0,51.9,51.0,48.1,596.0,3959.0,1773.0,70.0,44.0,23.0,69.0,46.0,613.0,132.0
386,Esteban Burgos,ar ARG,DF,Eibar,es La Liga,27,1992,12.4,520.0,71.0,261.0,253.0,11.0,6.0,520.0,5.0,4.0,80.0,1.0,20.0,216.0,1080.0,488.0,1.0,0.0,0.0,3.0,0.0,215.0,1.0
387,Guido Burgstaller,at AUT,DL,Schalke 04,de Bundesliga,30,1989,13.7,454.0,12.0,21.0,194.0,241.0,64.0,454.0,23.0,12.0,52.2,11.0,47.8,243.0,1032.0,349.0,16.0,11.0,6.0,44.0,31.0,321.0,93.0
388,Burgui,es ESP,CC,Alavés,es La Liga,25,1993,0.2,8.0,0.0,0.0,5.0,3.0,0.0,8.0,0.0,0.0,,0.0,,4.0,20.0,15.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0
389,Jonathan Burkardt,de GER,"DL,CC",Mainz 05,de Bundesliga,19,2000,2.8,91.0,3.0,19.0,36.0,39.0,11.0,91.0,12.0,5.0,41.7,7.0,58.3,50.0,304.0,109.0,5.0,3.0,5.0,6.0,7.0,47.0,11.0
390,Oliver Burke,sct SCO,"CC,DL",Alavés,es La Liga,22,1997,15.9,503.0,19.0,78.0,212.0,222.0,56.0,503.0,50.0,28.0,56.0,22.0,44.0,310.0,2326.0,1071.0,49.0,23.0,26.0,30.0,18.0,340.0,92.0
391,Roman Bürki,ch SUI,PO,Dortmund,de Bundesliga,28,1990,30.8,1103.0,911.0,1100.0,3.0,0.0,0.0,1103.0,2.0,0.0,0.0,2.0,100.0,567.0,2993.0,1571.0,0.0,0.0,0.0,1.0,0.0,543.0,0.0
392,Dan Burn,eng ENG,DF,Brighton,eng Premier League,27,1992,32.0,2290.0,165.0,718.0,1144.0,441.0,26.0,2290.0,40.0,19.0,47.5,21.0,52.5,1025.0,5257.0,2959.0,52.0,39.0,1.0,37.0,25.0,1342.0,93.0
393,Patrick Burner,mq MTQ,DF,Nice,fr Ligue 1,23,1996,15.9,1246.0,38.0,416.0,695.0,146.0,10.0,1246.0,31.0,20.0,64.5,11.0,35.5,585.0,2646.0,1596.0,20.0,11.0,3.0,7.0,3.0,804.0,32.0
394,Sergio Busquets,es ESP,CC,Barcelona,es La Liga,31,1988,27.6,2826.0,76.0,602.0,1794.0,437.0,16.0,2826.0,27.0,23.0,85.2,4.0,14.8,1544.0,5510.0,2859.0,12.0,41.0,0.0,16.0,14.0,2156.0,17.0
395,Unai Bustinza,es ESP,DF,Leganés,es La Liga,27,1992,29.8,1649.0,90.0,649.0,781.0,234.0,21.0,1649.0,16.0,7.0,43.8,9.0,56.3,684.0,3468.0,1960.0,22.0,23.0,4.0,18.0,5.0,755.0,33.0
396,Ludovic Butelle,fr FRA,PO,Angers,fr Ligue 1,36,1983,26.0,743.0,600.0,740.0,3.0,0.0,0.0,743.0,0.0,0.0,,0.0,,304.0,2343.0,1738.0,0.0,0.0,0.0,2.0,0.0,213.0,0.0
397,Marcin Bułka,pl POL,PO,Paris S-G,fr Ligue 1,19,1999,1.0,20.0,16.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,,0.0,,7.0,31.0,12.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
398,Sam Byram,eng ENG,DF,Norwich City,eng Premier League,25,1993,14.4,1007.0,84.0,386.0,393.0,234.0,37.0,1007.0,15.0,6.0,40.0,9.0,60.0,459.0,2088.0,910.0,21.0,18.0,2.0,13.0,5.0,505.0,58.0
399,Erick Cabaco,uy URU,DF,Getafe,es La Liga,24,1995,3.0,169.0,14.0,64.0,91.0,17.0,1.0,169.0,0.0,0.0,,0.0,,57.0,280.0,166.0,1.0,0.0,0.0,3.0,1.0,65.0,0.0
400,Erick Cabaco,uy URU,DF,Levante,es La Liga,24,1995,9.0,473.0,103.0,292.0,171.0,12.0,4.0,473.0,5.0,4.0,80.0,1.0,20.0,198.0,927.0,485.0,2.0,2.0,0.0,2.0,0.0,244.0,0.0
