RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera.1
105,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,18.0,2001.0,1,45.0,45.0,1.3,0.5,0,,0.0,1,45.0,9,0.0,1.0,2.0,-1.0,-2.0,-1.63,0.9,1.1,-0.2,-0.4,-0.24
106,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,25.0,1994.0,12,722.0,60.0,21.1,8.0,8,80.0,6.0,4,21.0,14,1.54,13.0,14.0,-1.0,-0.12,-0.76,9.9,9.1,0.7,0.09,-0.21
107,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,26.0,1994.0,13,813.0,63.0,23.8,9.0,10,80.0,7.0,3,3.0,2,2.31,16.0,6.0,10.0,1.11,1.21,11.3,12.6,-1.3,-0.15,-0.18
108,Thierry Ambrose,gp GLP,DL,Metz,fr Ligue 1,23.0,1997.0,23,753.0,33.0,22.0,8.4,5,62.0,0.0,18,25.0,10,1.22,13.0,12.0,1.0,0.12,0.29,9.6,11.5,-1.9,-0.23,-0.12
109,Wisdom Amey,it ITA,DF,Bologna,it Serie A,14.0,2005.0,1,2.0,2.0,0.1,0.0,0,,0.0,1,2.0,2,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,1.11,1.32
110,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,18.0,2002.0,0,,,,,0,,0.0,0,,13,,,,,,,,,,,
111,Nadiem Amiri,de GER,CC,Leverkusen,de Bundesliga,23.0,1996.0,29,1890.0,65.0,61.8,21.0,20,85.0,14.0,9,21.0,0,1.62,39.0,24.0,15.0,0.71,0.79,27.6,23.7,3.9,0.19,-0.06
112,Yanis Ammour,fr FRA,DL,Montpellier,fr Ligue 1,21.0,1999.0,0,,,,,0,,,0,,1,,,,,,,,,,,
113,Ethan Ampadu,wls WAL,"DF,CC",Sheffield Utd,eng Premier League,19.0,2000.0,25,2089.0,84.0,61.1,23.2,23,86.0,19.0,2,53.0,4,0.52,12.0,41.0,-29.0,-1.25,-0.3,20.1,39.1,-19.0,-0.82,-0.1
114,Sofyan Amrabat,ma MAR,CC,Fiorentina,it Serie A,23.0,1996.0,31,2441.0,79.0,71.4,27.1,28,86.0,21.0,3,11.0,4,1.06,33.0,44.0,-11.0,-0.41,-0.31,33.4,44.0,-10.6,-0.39,0.16
115,Jon Ander Garrido,es ESP,CC,Cádiz,es La Liga,30.0,1989.0,23,800.0,35.0,23.4,8.9,7,73.0,2.0,16,18.0,13,1.17,6.0,18.0,-12.0,-1.35,-1.01,8.6,18.9,-10.4,-1.17,-0.81
116,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,24.0,1996.0,31,2730.0,88.0,79.8,30.3,30,89.0,29.0,1,59.0,0,0.87,22.0,35.0,-13.0,-0.43,1.27,33.4,39.9,-6.5,-0.21,0.52
117,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,24.0,1996.0,3,192.0,64.0,5.6,2.1,2,90.0,2.0,1,12.0,3,1.33,1.0,2.0,-1.0,-0.47,-1.56,4.4,2.0,2.3,1.09,0.04
118,Djavan Anderson,nl NED,DF,Lazio,it Serie A,25.0,1995.0,3,72.0,24.0,2.1,0.8,1,45.0,0.0,2,14.0,13,1.0,0.0,2.0,-2.0,-2.5,-2.72,0.4,0.7,-0.3,-0.37,-0.67
119,Elliot Anderson,sct SCO,CC,Newcastle Utd,eng Premier League,17.0,2002.0,1,4.0,4.0,0.1,0.0,0,,0.0,1,4.0,8,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.2,-0.2,-3.66,-3.27
120,Felipe Anderson,br BRA,"DL,CC",West Ham,eng Premier League,27.0,1993.0,2,3.0,2.0,0.1,0.0,0,,0.0,2,2.0,2,0.0,0.0,0.0,0.0,0.0,-0.4,0.0,0.2,-0.1,-4.35,-4.53
121,Sebastian Andersson,se SWE,DL,Köln,de Bundesliga,29.0,1991.0,16,1126.0,70.0,36.8,12.5,14,79.0,4.0,2,10.0,1,0.69,14.0,23.0,-9.0,-0.72,0.07,19.2,18.4,0.8,0.07,0.71
122,Florin Andone,ro ROU,DL,Brighton,eng Premier League,27.0,1993.0,0,,,,,0,,,0,,1,,,,,,,,,,,
123,Nícolas Andrade,br BRA,PO,Udinese,it Serie A,32.0,1988.0,2,180.0,90.0,5.3,2.0,2,90.0,2.0,0,,3,1.5,5.0,5.0,0.0,0.0,0.44,3.9,2.1,1.8,0.91,1.15
124,Benjamin André,fr FRA,CC,Lille,fr Ligue 1,29.0,1990.0,35,2885.0,82.0,84.4,32.1,35,82.0,17.0,0,,0,2.2,47.0,17.0,30.0,0.94,-0.91,36.1,23.1,13.0,0.41,-0.54
125,Marcos André,br BRA,DL,Valladolid,es La Liga,23.0,1996.0,23,1177.0,51.0,34.4,13.1,11,78.0,6.0,12,27.0,0,0.74,16.0,21.0,-5.0,-0.38,0.34,18.8,20.5,-1.7,-0.13,0.32
126,Lluis Andreu,es ESP,PO,Elche,es La Liga,21.0,1999.0,0,,,,,0,,0.0,0,,11,,,,,,,,,,,
127,Robert Andrich,de GER,CC,Union Berlin,de Bundesliga,25.0,1994.0,29,2526.0,87.0,82.5,28.1,29,87.0,26.0,0,,0,1.45,43.0,32.0,11.0,0.39,1.07,42.0,33.4,8.6,0.31,1.07
128,Victorien Angban,ci CIV,CC,Metz,fr Ligue 1,23.0,1996.0,26,1672.0,64.0,48.9,18.6,21,76.0,7.0,5,15.0,8,1.5,21.0,23.0,-2.0,-0.11,0.0,19.9,21.1,-1.2,-0.06,0.14
129,Ángel,es ESP,PO,Granada,es La Liga,18.0,2002.0,1,90.0,90.0,2.6,1.0,1,90.0,1.0,0,,0,0.0,0.0,2.0,-2.0,-2.0,-1.57,0.8,3.4,-2.5,-2.54,-2.2
130,José Ángel,es ESP,DF,Eibar,es La Liga,30.0,1989.0,14,901.0,64.0,26.3,10.0,11,76.0,5.0,3,23.0,5,0.64,5.0,18.0,-13.0,-1.3,-0.94,12.6,9.6,3.0,0.3,0.43
131,Miguel Ángel Moyá,es ESP,PO,Real Sociedad,es La Liga,36.0,1984.0,0,,,,,0,,0.0,0,,17,,,,,,,,,,,
132,Miguel Ángel Rubio,es ESP,DF,Valladolid,es La Liga,22.0,1998.0,2,135.0,68.0,3.9,1.5,1,90.0,1.0,1,45.0,9,0.5,1.0,3.0,-2.0,-1.33,-0.76,1.3,3.8,-2.5,-1.65,-1.37
133,Angeliño,es ESP,"DF,DL",RB Leipzig,de Bundesliga,23.0,1997.0,26,2161.0,83.0,70.6,24.0,24,87.0,18.0,2,38.0,2,1.88,43.0,20.0,23.0,0.96,0.46,46.2,19.6,26.5,1.11,0.26
134,Davide Angelo Ghislandi,it ITA,DF,Atalanta,it Serie A,19.0,2001.0,1,5.0,5.0,0.1,0.1,0,,0.0,1,5.0,5,3.0,0.0,0.0,0.0,0.0,-1.13,0.1,0.0,0.1,1.2,0.31
135,Faustino Anjorin,eng ENG,CC,Chelsea,eng Premier League,18.0,2001.0,0,,,,,0,,,0,,3,,,,,,,,,,,
136,Peter Ankersen,dk DEN,DF,Genoa,it Serie A,29.0,1990.0,0,,,,,0,,0.0,0,,1,,,,,,,,,,,
137,Philip Ankhrah,gh GHA,CC,Hellas Verona,it Serie A,17.0,2002.0,1,13.0,13.0,0.4,0.1,0,,0.0,1,13.0,3,1.0,0.0,0.0,0.0,0.0,0.05,0.1,0.6,-0.5,-3.71,-3.61
