RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
134,Sergio Arribas,es ESP,"CC,DL",Real Madrid,es La Liga,18,2001,1.5,1,0,0,1,2,2,1,4,1,0.0,0.0,0,11.0,2.0,2.0,50.0
135,Kepa Arrizabalaga,es ESP,PO,Chelsea,eng Premier League,25,1994,6.5,1,0,0,0,0,0,0,0,0,0.0,0.0,0,5.0,0.0,0.0,
136,Tolgay Arslan,de GER,CC,Udinese,it Serie A,29,1990,20.2,9,0,0,38,45,0,13,22,32,0.0,1.0,0,139.0,11.0,9.0,55.0
137,Kwadwo Asamoah,gh GHA,"DF,CC",Cagliari,it Serie A,31,1988,2.5,0,0,0,0,4,0,7,4,3,0.0,0.0,0,20.0,2.0,1.0,66.7
138,Santiago Ascacíbar,ar ARG,CC,Hertha BSC,de Bundesliga,23,1997,8.5,2,0,0,10,4,0,4,13,15,0.0,0.0,0,64.0,9.0,8.0,52.9
139,Sergio Asenjo,es ESP,PO,Villarreal,es La Liga,31,1989,36.0,2,0,0,1,2,0,0,0,0,0.0,1.0,0,40.0,7.0,0.0,100.0
140,Marco Asensio,es ESP,"DL,CC",Real Madrid,es La Liga,24,1996,20.8,1,0,0,6,28,6,97,11,6,0.0,0.0,0,84.0,10.0,7.0,58.8
141,Kristoffer Askildsen,no NOR,CC,Sampdoria,it Serie A,19,2001,1.1,2,0,0,3,1,0,1,3,0,0.0,0.0,0,5.0,1.0,1.0,50.0
142,Iago Aspas,es ESP,DL,Celta Vigo,es La Liga,32,1987,31.8,9,0,0,24,53,13,28,16,3,0.0,1.0,0,113.0,16.0,45.0,26.2
143,Roger Assalé,ci CIV,"DL,CC",Dijon,fr Ligue 1,26,1993,9.2,0,1,0,12,27,6,6,2,8,1.0,0.0,0,24.0,5.0,16.0,23.8
144,Youcef Atal,dz ALG,"DF,DL",Nice,fr Ligue 1,24,1996,10.6,1,0,0,18,27,7,51,26,12,0.0,0.0,0,63.0,8.0,20.0,28.6
145,Miguel Atienza,es ESP,CC,Eibar,es La Liga,21,1999,9.3,1,0,0,10,2,0,4,9,9,0.0,0.0,0,57.0,25.0,16.0,61.0
146,Pierre-Emerick Aubameyang,ga GAB,DL,Arsenal,eng Premier League,31,1989,25.9,2,0,0,13,18,17,38,7,8,0.0,0.0,1,65.0,34.0,58.0,37.0
147,Emil Audero,it ITA,PO,Sampdoria,it Serie A,23,1997,37.0,0,0,0,0,6,0,0,1,1,0.0,0.0,0,61.0,6.0,0.0,100.0
148,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,25,1994,35.7,2,1,0,13,25,2,148,32,30,0.0,0.0,0,214.0,41.0,30.0,57.7
149,Jean-Kévin Augustin,fr FRA,DL,Nantes,fr Ligue 1,23,1997,0.4,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0
150,Ludwig Augustinsson,se SWE,"DF,DL",Werder Bremen,de Bundesliga,26,1994,21.7,4,0,0,15,25,3,193,20,20,0.0,1.0,1,78.0,46.0,24.0,65.7
151,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,27,1992,17.8,0,0,0,23,15,1,35,19,33,0.0,1.0,0,111.0,36.0,40.0,47.4
152,Charlie Austin,eng ENG,"DL,CC",West Brom,eng Premier League,31,1989,1.5,0,0,0,0,2,1,0,3,2,0.0,0.0,0,4.0,6.0,13.0,31.6
153,Ezequiel Ávila,ar ARG,"DL,CC",Osasuna,es La Liga,26,1994,2.2,0,0,0,4,5,2,2,1,2,0.0,0.0,0,9.0,3.0,6.0,33.3
154,Taiwo Awoniyi,ng NGA,DL,Union Berlin,de Bundesliga,22,1997,15.1,0,0,0,22,20,15,4,3,3,1.0,0.0,0,44.0,33.0,76.0,30.3
155,Mehmet Aydin,de GER,DF,Schalke 04,de Bundesliga,18,2002,5.6,0,0,0,9,6,1,10,6,7,0.0,0.0,0,22.0,13.0,13.0,50.0
