RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos
80,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,25,1995,21.6,1107.0,1049.0,54.0,51.0,0.0,26.0,5,3.0,0.0,0.0,0.0,0.0,907.0,4.0,8.0
81,Bruno Alves,pt POR,DF,Parma,it Serie A,38,1981,18.1,931.0,894.0,33.0,29.0,0.0,11.0,8,2.0,0.0,0.0,0.0,0.0,790.0,4.0,4.0
82,Steven Alzate,co COL,CC,Brighton,eng Premier League,21,1998,10.0,449.0,438.0,11.0,1.0,0.0,1.0,3,9.0,0.0,0.0,0.0,0.0,403.0,0.0,5.0
83,Ibrahim Amadou,fr FRA,CC,Angers,fr Ligue 1,27,1993,16.7,691.0,677.0,13.0,11.0,0.0,5.0,4,2.0,0.0,0.0,0.0,0.0,582.0,1.0,11.0
84,Romain Amalfitano,fr FRA,"DL,DF",Dijon,fr Ligue 1,30,1989,1.3,57.0,52.0,4.0,0.0,0.0,0.0,5,4.0,0.0,0.0,0.0,0.0,44.0,1.0,1.0
85,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,18,2001,0.5,14.0,11.0,3.0,0.0,0.0,0.0,1,3.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0
86,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,25,1994,8.0,493.0,453.0,38.0,2.0,0.0,0.0,1,36.0,0.0,0.0,0.0,0.0,414.0,2.0,8.0
87,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,26,1994,9.0,442.0,362.0,79.0,6.0,0.0,3.0,10,73.0,0.0,0.0,0.0,0.0,343.0,1.0,14.0
88,Thierry Ambrose,gp GLP,DL,Metz,fr Ligue 1,23,1997,8.4,243.0,229.0,13.0,1.0,1.0,2.0,19,2.0,3.0,3.0,0.0,0.0,164.0,1.0,15.0
89,Wisdom Amey,it ITA,DF,Bologna,it Serie A,14,2005,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
90,Nadiem Amiri,de GER,CC,Leverkusen,de Bundesliga,23,1996,21.0,1139.0,1036.0,96.0,41.0,3.0,3.0,68,7.0,44.0,15.0,19.0,0.0,930.0,7.0,24.0
91,Ethan Ampadu,wls WAL,"DF,CC",Sheffield Utd,eng Premier League,19,2000,23.2,1087.0,1002.0,83.0,18.0,0.0,15.0,19,60.0,5.0,5.0,0.0,0.0,870.0,2.0,14.0
92,Sofyan Amrabat,ma MAR,CC,Fiorentina,it Serie A,23,1996,27.1,1378.0,1314.0,61.0,38.0,0.0,33.0,16,5.0,0.0,0.0,0.0,0.0,1210.0,3.0,18.0
93,Jon Ander Garrido,es ESP,CC,Cádiz,es La Liga,30,1989,8.9,230.0,223.0,7.0,7.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,180.0,0.0,2.0
94,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,24,1996,30.3,1993.0,1902.0,83.0,68.0,0.0,35.0,12,15.0,0.0,0.0,0.0,0.0,1609.0,8.0,13.0
95,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,24,1996,2.1,117.0,110.0,7.0,6.0,0.0,2.0,0,1.0,0.0,0.0,0.0,0.0,105.0,0.0,1.0
96,Djavan Anderson,nl NED,DF,Lazio,it Serie A,25,1995,0.8,32.0,25.0,7.0,0.0,0.0,0.0,2,7.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0
97,Elliot Anderson,sct SCO,CC,Newcastle Utd,eng Premier League,17,2002,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
98,Felipe Anderson,br BRA,"DL,CC",West Ham,eng Premier League,27,1993,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
99,Sebastian Andersson,se SWE,DL,Köln,de Bundesliga,29,1991,12.5,247.0,221.0,25.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,168.0,1.0,6.0
100,Nícolas Andrade,br BRA,PO,Udinese,it Serie A,32,1988,2.0,40.0,29.0,11.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0
101,Benjamin André,fr FRA,CC,Lille,fr Ligue 1,29,1990,32.1,2040.0,2005.0,30.0,28.0,0.0,16.0,14,2.0,0.0,0.0,0.0,0.0,1703.0,5.0,35.0
102,Marcos André,br BRA,DL,Valladolid,es La Liga,23,1996,13.1,199.0,194.0,2.0,0.0,1.0,3.0,9,1.0,0.0,0.0,0.0,0.0,114.0,3.0,8.0
103,Robert Andrich,de GER,CC,Union Berlin,de Bundesliga,25,1994,28.1,1442.0,1408.0,25.0,20.0,2.0,12.0,17,2.0,0.0,0.0,0.0,0.0,1127.0,9.0,21.0
104,Victorien Angban,ci CIV,CC,Metz,fr Ligue 1,23,1996,18.6,890.0,871.0,18.0,15.0,0.0,9.0,9,3.0,0.0,0.0,0.0,0.0,780.0,1.0,11.0
105,Ángel,es ESP,PO,Granada,es La Liga,18,2002,1.0,31.0,12.0,19.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
106,José Ángel,es ESP,DF,Eibar,es La Liga,30,1989,10.0,692.0,552.0,135.0,19.0,0.0,9.0,59,115.0,1.0,0.0,0.0,0.0,510.0,5.0,15.0
107,Miguel Ángel Rubio,es ESP,DF,Valladolid,es La Liga,22,1998,1.5,54.0,53.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0
108,Angeliño,es ESP,"DF,DL",RB Leipzig,de Bundesliga,23,1997,24.0,1500.0,1207.0,284.0,44.0,1.0,4.0,184,193.0,47.0,23.0,15.0,0.0,1057.0,9.0,36.0
109,Davide Angelo Ghislandi,it ITA,DF,Atalanta,it Serie A,19,2001,0.1,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
110,Philip Ankhrah,gh GHA,CC,Hellas Verona,it Serie A,17,2002,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Cristian Ansaldi,ar ARG,"DF,DL",Torino,it Serie A,33,1986,21.6,997.0,757.0,239.0,32.0,0.0,26.0,177,185.0,22.0,3.0,16.0,0.0,674.0,1.0,28.0
112,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,24,1996,30.1,2097.0,1993.0,100.0,60.0,1.0,6.0,11,40.0,0.0,0.0,0.0,0.0,1835.0,4.0,22.0
113,Michail Antonio,jm JAM,DL,West Ham,eng Premier League,30,1990,21.9,494.0,481.0,11.0,1.0,0.0,3.0,31,8.0,0.0,0.0,0.0,0.0,316.0,2.0,20.0
114,José Antonio Miranda,gq EQG,"CC,DF",Getafe,es La Liga,22,1998,0.3,16.0,16.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
115,Valentin Antov,bg BUL,DF,Bologna,it Serie A,19,2000,2.6,122.0,109.0,13.0,6.0,0.0,1.0,0,7.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0
116,Houssem Aouar,dz ALG,"CC,DL",Lyon,fr Ligue 1,22,1998,19.8,991.0,945.0,41.0,14.0,2.0,5.0,19,7.0,8.0,2.0,1.0,0.0,833.0,5.0,23.0
117,Adil Aouchiche,fr FRA,"CC,DL",Saint-Étienne,fr Ligue 1,18,2002,19.2,818.0,680.0,136.0,45.0,4.0,14.0,130,5.0,77.0,26.0,38.0,3.0,571.0,2.0,22.0
118,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,28,1992,17.3,868.0,676.0,189.0,13.0,0.0,2.0,47,176.0,0.0,0.0,0.0,0.0,628.0,3.0,18.0
119,Aritz Arambarri,es ESP,DF,Real Sociedad,es La Liga,22,1998,0.3,19.0,15.0,4.0,0.0,0.0,0.0,0,4.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
120,Mauro Arambarri,uy URU,CC,Getafe,es La Liga,24,1995,33.1,1093.0,964.0,123.0,51.0,2.0,36.0,123,2.0,68.0,41.0,13.0,0.0,739.0,6.0,14.0
121,Charles Aránguiz,cl CHI,CC,Leverkusen,de Bundesliga,31,1989,18.5,1168.0,1122.0,44.0,35.0,0.0,5.0,4,9.0,0.0,0.0,0.0,0.0,998.0,2.0,19.0
122,Luiz Araújo,br BRA,CC,Lille,fr Ligue 1,24,1996,16.6,606.0,588.0,16.0,4.0,1.0,11.0,27,8.0,4.0,3.0,0.0,0.0,455.0,2.0,17.0
123,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,28,1991,27.0,1590.0,1562.0,26.0,24.0,1.0,7.0,2,2.0,0.0,0.0,0.0,0.0,1321.0,2.0,9.0
124,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,21,1999,16.8,1075.0,1037.0,37.0,28.0,0.0,6.0,0,9.0,0.0,0.0,0.0,0.0,985.0,1.0,4.0
125,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,33,1987,31.2,1932.0,1652.0,278.0,88.0,0.0,82.0,43,190.0,0.0,0.0,0.0,0.0,1459.0,2.0,21.0
126,Alphonse Areola,fr FRA,PO,Fulham,eng Premier League,27,1993,36.0,1014.0,663.0,348.0,97.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,746.0,3.0,0.0
127,Santiago Arias,co COL,DF,Leverkusen,de Bundesliga,28,1992,1.0,57.0,49.0,8.0,1.0,0.0,0.0,2,7.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0
128,Karim Aribi,dz ALG,DL,Nîmes,fr Ligue 1,26,1994,3.3,68.0,59.0,9.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,38.0,0.0,3.0
129,Unai Arietaleanizbeaskoa,es ESP,"DL,CC",Eibar,es La Liga,21,1999,0.5,7.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
130,Nicolò Armini,it ITA,DF,Lazio,it Serie A,19,2001,0.1,5.0,3.0,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
131,Stuart Armstrong,sct SCO,CC,Southampton,eng Premier League,28,1992,30.7,1298.0,1203.0,89.0,14.0,2.0,4.0,40,16.0,2.0,0.0,0.0,0.0,1021.0,6.0,52.0
132,Maximilian Arnold,de GER,CC,Wolfsburg,de Bundesliga,26,1994,28.7,1664.0,1395.0,259.0,140.0,3.0,20.0,139,11.0,105.0,53.0,33.0,0.0,1323.0,10.0,19.0
133,Toluwalase Arokodare,ng NGA,"DL,CC",Köln,de Bundesliga,19,2000,1.2,37.0,35.0,2.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,26.0,0.0,1.0
