RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl.1,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err
25,Kevin Agudelo,co COL,"CC,DL",Spezia,it Serie A,22,1998,13.7,44.0,26,13.0,26.0,5.0,7.0,20.0,35.0,13.0,22.0,0.0,22.0,8,52.0,6.0,0.0
26,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,27.0,18,16.0,11.0,0.0,14.0,24.0,58.3,10.0,24.0,14.0,10.0,24,51.0,127.0,1.0
27,Sergio Agüero,ar ARG,DL,Barcelona,es La Liga,33,1988,1.7,1.0,1,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,1.0,0.0,0.0
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,78.0,53,39.0,32.0,7.0,43.0,68.0,63.2,25.0,19.0,4.0,15.0,44,122.0,57.0,0.0
29,Álvaro Aguirre,es ESP,DL,Rayo Vallecano,es La Liga,21,2000,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
30,Naouirou Ahamada,fr FRA,"CC,DF",Stuttgart,de Bundesliga,19,2002,0.7,1.0,0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0,1.0,0.0,0.0
31,Anel Ahmedhodžić,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15.0,38.0,26,27.0,9.0,2.0,20.0,31.0,64.5,11.0,16.0,8.0,8.0,22,60.0,44.0,0.0
32,Jean-Eudes Aholou,ci CIV,CC,Strasbourg,fr Ligue 1,27,1994,11.2,16.0,9,4.0,9.0,3.0,5.0,19.0,26.3,14.0,8.0,1.0,7.0,19,35.0,7.0,0.0
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,39.0,26,28.0,10.0,1.0,17.0,31.0,54.8,14.0,23.0,13.0,10.0,38,77.0,96.0,3.0
34,Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,16.0,27.0,19,11.0,10.0,6.0,15.0,23.0,65.2,8.0,17.0,3.0,14.0,28,55.0,30.0,0.0
35,Rayan Aït Nouri,dz ALG,"DF,CC",Wolves,eng Premier League,20,2001,20.3,64.0,36,46.0,15.0,3.0,22.0,44.0,50.0,22.0,24.0,2.0,22.0,22,86.0,39.0,1.0
36,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,29.0,18,21.0,6.0,2.0,13.0,21.0,61.9,8.0,19.0,11.0,8.0,26,55.0,74.0,0.0
37,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,27,1994,30.4,36.0,25,5.0,19.0,12.0,7.0,40.0,17.5,33.0,28.0,3.0,25.0,8,44.0,31.0,1.0
38,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,33.0,23,20.0,11.0,2.0,22.0,32.0,68.8,10.0,26.0,15.0,11.0,35,68.0,58.0,0.0
39,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,1993,20.5,43.0,31,26.0,15.0,2.0,21.0,37.0,56.8,16.0,26.0,7.0,19.0,51,94.0,61.0,0.0
40,Marley Aké,fr FRA,"DL,CC",Juventus,it Serie A,20,2001,0.9,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1,1.0,0.0,0.0
41,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,1995,10.3,16.0,9,7.0,8.0,1.0,6.0,8.0,75.0,2.0,7.0,5.0,2.0,8,24.0,23.0,0.0
42,Ilias Akhomach,es ESP,DL,Barcelona,es La Liga,17,2004,1.4,2.0,0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0
43,Maghnes Akliouche,fr FRA,"CC,DL",Monaco,fr Ligue 1,19,2002,0.6,2.0,0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0,2.0,0.0,0.0
44,Paul Akouokou,ci CIV,CC,Betis,es La Liga,23,1997,5.7,14.0,9,5.0,7.0,2.0,8.0,12.0,66.7,4.0,6.0,0.0,6.0,11,25.0,6.0,0.0
45,Jean-Daniel Akpa-Akpro,ci CIV,CC,Lazio,it Serie A,28,1992,3.5,17.0,10,7.0,9.0,1.0,7.0,12.0,58.3,5.0,4.0,2.0,2.0,2,19.0,6.0,0.0
46,Kevin Akpoguma,ng NGA,"DF,DL",Hoffenheim,de Bundesliga,26,1995,17.0,33.0,19,16.0,11.0,6.0,16.0,28.0,57.1,12.0,32.0,2.0,30.0,20,53.0,29.0,2.0
