RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32.0,8,0,0,27,52,1,50,28,44,0.0,2.0,1,154.0,13.0,50.0,20.6
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,5,1,0,39,25,0,4,68,27,0.0,1.0,0,195.0,62.0,38.0,62.0
3,Salis Abdul Samed,gh GHA,CC,Clermont Foot,fr Ligue 1,21,2000,27.4,12,3,2,43,37,0,14,42,23,0.0,0.0,0,186.0,17.0,20.0,45.9
4,Laurent Abergel,fr FRA,CC,Lorient,fr Ligue 1,28,1993,32.8,9,0,0,41,69,1,37,55,60,0.0,0.0,0,264.0,11.0,7.0,61.1
5,Charles Abi,fr FRA,DL,Saint-Étienne,fr Ligue 1,21,2000,0.5,0,0,0,1,0,0,1,0,0,0.0,0.0,0,1.0,0.0,0.0,
6,Dickson Abiama,ng NGA,DL,Greuther Fürth,de Bundesliga,22,1998,8.1,3,0,0,17,11,15,3,4,7,0.0,0.0,0,28.0,19.0,30.0,38.8
7,Matthis Abline,fr FRA,DL,Rennes,fr Ligue 1,18,2003,1.1,0,0,0,2,1,0,0,0,0,0.0,0.0,0,0.0,0.0,7.0,0.0
8,Tammy Abraham,eng ENG,DL,Roma,it Serie A,23,1997,34.3,9,0,0,38,49,17,16,5,13,1.0,1.0,0,68.0,78.0,80.0,49.4
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,2,0,0,5,4,0,0,5,3,0.0,0.0,1,14.0,7.0,14.0,33.3
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,2,1,0,18,16,4,3,34,12,1.0,0.0,0,162.0,69.0,43.0,61.6
11,Ragnar Ache,de GER,"CC,DL",Eint Frankfurt,de Bundesliga,23,1998,2.9,0,0,0,5,8,6,6,0,0,0.0,0.0,0,7.0,18.0,10.0,64.3
12,Mohamed Achi,fr FRA,CC,Nantes,fr Ligue 1,19,2002,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,10,0,0,38,48,0,178,14,29,0.0,1.0,0,173.0,22.0,32.0,40.7
14,Che Adams,sct SCO,DL,Southampton,eng Premier League,25,1996,22.7,0,0,0,29,40,7,8,8,6,0.0,0.0,0,70.0,61.0,91.0,40.1
