RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32.0,1469.0,1130.0,332.0,17.0,5.0,4.0,50,315.0,0.0,0.0,0.0,0.0,1107.0,7.0,40.0
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,1578.0,1471.0,101.0,89.0,0.0,32.0,4,9.0,0.0,0.0,0.0,0.0,1284.0,6.0,26.0
3,Salis Abdul Samed,gh GHA,CC,Clermont Foot,fr Ligue 1,21,2000,27.4,1701.0,1678.0,21.0,17.0,1.0,3.0,14,4.0,0.0,0.0,0.0,0.0,1535.0,2.0,29.0
4,Laurent Abergel,fr FRA,CC,Lorient,fr Ligue 1,28,1993,32.8,1660.0,1617.0,35.0,25.0,7.0,21.0,37,8.0,2.0,0.0,1.0,0.0,1342.0,8.0,49.0
5,Charles Abi,fr FRA,DL,Saint-Étienne,fr Ligue 1,21,2000,0.5,7.0,7.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
6,Dickson Abiama,ng NGA,DL,Greuther Fürth,de Bundesliga,22,1998,8.1,137.0,129.0,6.0,0.0,2.0,0.0,3,0.0,0.0,0.0,0.0,0.0,84.0,2.0,6.0
7,Matthis Abline,fr FRA,DL,Rennes,fr Ligue 1,18,2003,1.1,9.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
8,Tammy Abraham,eng ENG,DL,Roma,it Serie A,23,1997,34.3,696.0,627.0,67.0,6.0,5.0,1.0,16,2.0,0.0,0.0,0.0,0.0,485.0,2.0,20.0
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,226.0,216.0,9.0,5.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,191.0,1.0,4.0
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,2043.0,1955.0,87.0,77.0,1.0,34.0,3,1.0,0.0,0.0,0.0,0.0,1837.0,1.0,6.0
11,Ragnar Ache,de GER,"CC,DL",Eint Frankfurt,de Bundesliga,23,1998,2.9,64.0,61.0,2.0,0.0,0.0,1.0,6,2.0,0.0,0.0,0.0,0.0,37.0,1.0,4.0
12,Mohamed Achi,fr FRA,CC,Nantes,fr Ligue 1,19,2002,0.1,9.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,1963.0,1624.0,333.0,63.0,3.0,30.0,178,230.0,40.0,0.0,31.0,0.0,1543.0,6.0,30.0
14,Che Adams,sct SCO,DL,Southampton,eng Premier League,25,1996,22.7,472.0,468.0,2.0,0.0,4.0,5.0,8,1.0,0.0,0.0,0.0,0.0,304.0,2.0,22.0
15,Tyler Adams,us USA,CC,RB Leipzig,de Bundesliga,22,1999,15.0,918.0,882.0,32.0,16.0,1.0,0.0,2,14.0,0.0,0.0,0.0,0.0,794.0,4.0,15.0
16,Sargis Adamyan,am ARM,"DL,CC",Hoffenheim,de Bundesliga,28,1993,3.7,101.0,95.0,5.0,0.0,0.0,0.0,5,5.0,0.0,0.0,0.0,0.0,73.0,1.0,3.0
17,Martin Adeline,fr FRA,"CC,DL",Reims,fr Ligue 1,17,2003,3.9,147.0,138.0,8.0,4.0,0.0,0.0,11,0.0,4.0,0.0,4.0,0.0,107.0,1.0,12.0
18,Amine Adli,ma MAR,"DL,CC",Leverkusen,de Bundesliga,21,2000,14.0,516.0,494.0,17.0,1.0,6.0,0.0,21,11.0,1.0,0.0,0.0,0.0,376.0,5.0,27.0
19,Yacine Adli,fr FRA,"CC,DL",Bordeaux,fr Ligue 1,21,2000,25.1,1251.0,1105.0,138.0,48.0,11.0,30.0,114,12.0,68.0,38.0,17.0,1.0,906.0,8.0,25.0
20,Michel Aebischer,ch SUI,CC,Bologna,it Serie A,24,1997,4.9,239.0,225.0,13.0,5.0,0.0,1.0,7,1.0,7.0,0.0,4.0,0.0,205.0,1.0,5.0
21,Felix Afena-Gyan,gh GHA,"DL,CC",Roma,it Serie A,18,2003,7.4,152.0,145.0,7.0,0.0,0.0,2.0,8,5.0,0.0,0.0,0.0,0.0,114.0,0.0,4.0
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,1996,18.0,792.0,610.0,179.0,6.0,0.0,5.0,45,172.0,1.0,0.0,0.0,0.0,547.0,3.0,16.0
23,Julen Agirrezabala,es ESP,PO,Athletic Club,es La Liga,20,2000,4.0,82.0,49.0,33.0,7.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0
24,Lucien Agoume,fr FRA,CC,Brest,fr Ligue 1,19,2002,20.8,996.0,955.0,38.0,30.0,0.0,10.0,5,0.0,1.0,0.0,1.0,0.0,836.0,3.0,20.0
25,Kevin Agudelo,co COL,"CC,DL",Spezia,it Serie A,22,1998,13.7,389.0,375.0,11.0,1.0,0.0,1.0,22,4.0,4.0,3.0,1.0,0.0,280.0,3.0,22.0
26,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,2204.0,2127.0,74.0,69.0,2.0,41.0,1,5.0,0.0,0.0,0.0,0.0,1959.0,3.0,12.0
27,Sergio Agüero,ar ARG,DL,Barcelona,es La Liga,33,1988,1.7,42.0,40.0,2.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,1728.0,1445.0,277.0,34.0,4.0,16.0,64,242.0,1.0,0.0,1.0,0.0,1435.0,6.0,27.0
29,Álvaro Aguirre,es ESP,DL,Rayo Vallecano,es La Liga,21,2000,0.1,3.0,2.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
30,Naouirou Ahamada,fr FRA,"CC,DF",Stuttgart,de Bundesliga,19,2002,0.7,32.0,32.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0
31,Anel Ahmedhodžić,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15.0,858.0,826.0,31.0,23.0,0.0,7.0,6,8.0,0.0,0.0,0.0,0.0,766.0,1.0,3.0
32,Jean-Eudes Aholou,ci CIV,CC,Strasbourg,fr Ligue 1,27,1994,11.2,412.0,404.0,8.0,8.0,1.0,2.0,6,0.0,0.0,0.0,0.0,0.0,339.0,0.0,11.0
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,1567.0,1531.0,32.0,13.0,1.0,11.0,3,19.0,0.0,0.0,0.0,0.0,1270.0,4.0,9.0
34,Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,16.0,755.0,600.0,151.0,9.0,1.0,0.0,34,142.0,0.0,0.0,0.0,0.0,535.0,4.0,30.0
35,Rayan Aït Nouri,dz ALG,"DF,CC",Wolves,eng Premier League,20,2001,20.3,1025.0,811.0,211.0,10.0,1.0,7.0,96,172.0,29.0,11.0,16.0,0.0,763.0,3.0,19.0
36,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,892.0,734.0,154.0,6.0,2.0,3.0,17,148.0,0.0,0.0,0.0,0.0,627.0,4.0,28.0
37,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,27,1994,30.4,906.0,880.0,24.0,1.0,5.0,10.0,17,2.0,0.0,0.0,0.0,0.0,653.0,2.0,16.0
38,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,2013.0,1944.0,66.0,59.0,1.0,26.0,3,7.0,0.0,0.0,0.0,0.0,1819.0,3.0,10.0
39,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,1993,20.5,832.0,672.0,158.0,18.0,1.0,3.0,45,140.0,0.0,0.0,0.0,0.0,611.0,2.0,20.0
40,Marley Aké,fr FRA,"DL,CC",Juventus,it Serie A,20,2001,0.9,16.0,16.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0
41,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,1995,10.3,878.0,836.0,41.0,15.0,1.0,2.0,1,26.0,0.0,0.0,0.0,0.0,796.0,1.0,5.0
42,Ilias Akhomach,es ESP,DL,Barcelona,es La Liga,17,2004,1.4,55.0,55.0,0.0,0.0,1.0,0.0,6,0.0,0.0,0.0,0.0,0.0,45.0,0.0,2.0
43,Maghnes Akliouche,fr FRA,"CC,DL",Monaco,fr Ligue 1,19,2002,0.6,22.0,22.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
44,Paul Akouokou,ci CIV,CC,Betis,es La Liga,23,1997,5.7,325.0,320.0,4.0,4.0,0.0,3.0,1,0.0,0.0,0.0,0.0,0.0,284.0,1.0,4.0
45,Jean-Daniel Akpa-Akpro,ci CIV,CC,Lazio,it Serie A,28,1992,3.5,106.0,106.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,8.0
