Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Estándar,Expectativa,Expectativa,Expectativa,Expectativa,Expectativa,Unnamed: 26_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,Partidos
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,24.3,5,33,11,33.3,1.36,0.45,0.15,0.45,23.4,4,0,0,3.1,3.1,0.09,+1.9,+1.9,Partidos
2,Rolando Aarons,eng ENG,"CC,DL",Newcastle Utd,eng Premier League,21,1995,1.5,0,2,0,0.0,1.29,0.00,0.00,,19.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Partidos
3,Rolando Aarons,eng ENG,"CC,DL",Hellas Verona,it Serie A,21,1995,5.7,0,3,0,0.0,0.52,0.00,0.00,,17.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Partidos
4,Ignazio Abate,it ITA,DF,Milan,it Serie A,30,1986,11.7,1,4,2,50.0,0.34,0.17,0.25,0.50,17.1,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Partidos
5,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.5,0,2,1,50.0,0.36,0.18,0.00,0.00,11.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Partidos
6,Aly Abeid,mr MTN,DF,Levante,es La Liga,19,1997,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Partidos
7,Mehdi Abeid,dz ALG,CC,Dijon,fr Ligue 1,24,1992,13.1,0,21,6,28.6,1.61,0.46,0.00,0.00,25.2,2,0,0,1.0,1.0,0.05,-1.0,-1.0,Partidos
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,25.6,0,7,1,14.3,0.27,0.04,0.00,0.00,19.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Partidos
9,Tammy Abraham,eng ENG,DL,Swansea City,eng Premier League,19,1997,19.2,5,42,13,31.0,2.19,0.68,0.12,0.38,13.1,0,0,0,6.8,6.8,0.16,-1.8,-1.8,Partidos
10,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,27,1990,9.4,0,5,0,0.0,0.53,0.00,0.00,,22.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Partidos
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38.0,0,15,2,13.3,0.39,0.05,0.00,0.00,18.0,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Partidos
12,Afriyie Acquah,gh GHA,CC,Torino,it Serie A,25,1992,10.6,1,9,3,33.3,0.85,0.28,0.11,0.33,24.2,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Partidos
13,Charlie Adam,sct SCO,CC,Stoke City,eng Premier League,31,1985,4.6,0,9,2,22.2,1.97,0.44,0.00,0.00,31.5,3,0,1,1.6,0.9,0.09,-1.6,-0.9,Partidos
14,Antonio Adán,es ESP,PO,Betis,es La Liga,30,1987,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Partidos
15,Aday,es ESP,DF,Girona,es La Liga,29,1987,20.4,2,31,12,38.7,1.52,0.59,0.03,0.08,22.8,5,1,2,2.8,1.3,0.04,-0.8,-0.3,Partidos
