Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,ACT,ACT,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,Tipos de SCA,ACG,ACG,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Tipos de GCA,Unnamed: 25_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive,PassDead,HASTA,Dis,FR,Def,Partidos
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,24.3,46,1.90,24,12,6,2,1,1,4,0.16,2,0,2,0,0,0,Partidos
2,Rolando Aarons,eng ENG,"CC,DL",Newcastle Utd,eng Premier League,21,1995,1.5,1,0.65,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
3,Rolando Aarons,eng ENG,"CC,DL",Hellas Verona,it Serie A,21,1995,5.7,5,0.87,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
4,Ignazio Abate,it ITA,DF,Milan,it Serie A,30,1986,11.7,27,2.30,24,1,0,2,0,0,4,0.34,3,0,0,1,0,0,Partidos
5,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.5,2,0.36,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
6,Aly Abeid,mr MTN,DF,Levante,es La Liga,19,1997,0.9,2,2.34,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
7,Mehdi Abeid,dz ALG,CC,Dijon,fr Ligue 1,24,1992,13.1,19,1.46,13,1,1,3,0,1,1,0.08,1,0,0,0,0,0,Partidos
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,25.6,20,0.78,17,2,0,1,0,0,2,0.08,2,0,0,0,0,0,Partidos
9,Tammy Abraham,eng ENG,DL,Swansea City,eng Premier League,19,1997,19.2,42,2.19,19,0,11,5,5,2,2,0.10,1,0,0,1,0,0,Partidos
10,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,27,1990,9.4,14,1.48,10,0,0,1,3,0,2,0.21,2,0,0,0,0,0,Partidos
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38.0,30,0.79,28,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Partidos
12,Afriyie Acquah,gh GHA,CC,Torino,it Serie A,25,1992,10.6,17,1.63,13,0,1,1,2,0,0,0.00,0,0,0,0,0,0,Partidos
13,Charlie Adam,sct SCO,CC,Stoke City,eng Premier League,31,1985,4.6,17,3.72,7,2,3,1,4,0,1,0.22,1,0,0,0,0,0,Partidos
14,Antonio Adán,es ESP,PO,Betis,es La Liga,30,1987,30.0,5,0.17,4,1,0,0,0,0,2,0.07,1,1,0,0,0,0,Partidos
15,Aday,es ESP,DF,Girona,es La Liga,29,1987,20.4,56,2.75,41,7,0,5,3,0,3,0.15,3,0,0,0,0,0,Partidos
16,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,32.5,15,0.46,9,4,0,1,1,0,1,0.03,0,0,0,1,0,0,Partidos
17,Claud Adjapong,it ITA,"DF,DL",Sassuolo,it Serie A,19,1998,13.6,25,1.84,17,0,1,2,3,2,2,0.15,1,0,0,0,1,0,Partidos
18,René Adler,de GER,PO,Mainz 05,de Bundesliga,32,1985,14.0,5,0.36,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
19,Yacine Adli,fr FRA,DL,Paris S-G,fr Ligue 1,17,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
20,Ali Adnan Kadhim,iq IRQ,"DF,DL",Udinese,it Serie A,23,1993,18.6,38,2.05,31,5,1,0,1,0,4,0.22,3,0,0,0,1,0,Partidos
21,Adrián,es ESP,PO,West Ham,eng Premier League,30,1987,19.0,2,0.11,1,1,0,0,0,0,1,0.05,0,1,0,0,0,0,Partidos
22,Aritz Aduriz,es ESP,DL,Athletic Club,es La Liga,36,1981,23.9,35,1.46,19,0,2,6,7,1,2,0.08,2,0,0,0,0,0,Partidos
23,Ibrahim Afellay,nl NED,CC,Stoke City,eng Premier League,31,1986,1.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
24,Benik Afobe,cd COD,DL,Bournemouth,eng Premier League,24,1993,6.8,11,1.84,6,0,1,2,2,0,1,0.17,0,0,0,0,1,0,Partidos
25,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,21,1996,20.3,25,1.23,20,5,0,0,0,0,5,0.25,5,0,0,0,0,0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive,PassDead,HASTA,Dis,FR,Def,Partidos
26,Imanol Agirretxe,es ESP,DL,Real Sociedad,es La Liga,30,1987,2.6,2,0.78,0,0,0,1,1,0,2,0.78,0,0,0,1,1,0,Partidos
27,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,29,1988,21.8,80,3.67,57,0,14,5,3,1,12,0.55,8,0,3,0,0,1,Partidos
28,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,24,1993,27.3,72,2.64,55,5,5,2,5,0,7,0.26,6,0,0,1,0,0,Partidos
29,Matías Aguirregaray,uy URU,DF,Las Palmas,es La Liga,28,1989,12.8,19,1.48,16,0,1,2,0,0,2,0.16,1,0,0,1,0,0,Partidos
30,Jean-Eudes Aholou,ci CIV,CC,Strasbourg,fr Ligue 1,23,1994,33.4,42,1.26,31,0,1,6,3,1,6,0.18,3,0,0,1,2,0,Partidos
31,Ailton,br BRA,"DF,CC",Stuttgart,de Bundesliga,22,1995,1.2,2,1.65,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
32,Youssef Aït Bennasser,ma MAR,CC,Caen,fr Ligue 1,21,1996,22.7,53,2.33,41,1,7,0,4,0,1,0.04,1,0,0,0,0,0,Partidos
33,Arlind Ajeti,al ALB,DF,Crotone,it Serie A,23,1993,14.1,14,0.99,9,0,0,1,1,3,2,0.14,1,0,0,1,0,0,Partidos
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,22,1995,10.0,7,0.70,5,0,1,0,0,1,1,0.10,1,0,0,0,0,0,Partidos
35,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,22,1995,37.3,20,0.54,17,0,3,0,0,0,5,0.13,5,0,0,0,0,0,Partidos
36,Ager Aketxe,es ESP,CC,Athletic Club,es La Liga,23,1993,0.4,3,7.30,3,0,0,0,0,0,1,2.43,1,0,0,0,0,0,Partidos
37,Chadrac Akolo,cd COD,"CC,DL",Stuttgart,de Bundesliga,22,1995,12.2,37,3.02,25,1,5,4,1,1,4,0.33,0,0,3,1,0,0,Partidos
38,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,22,1995,18.8,15,0.80,15,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Partidos
39,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,25,1992,17.2,53,3.07,44,4,1,3,0,1,4,0.23,4,0,0,0,0,0,Partidos
40,Lucas Alario,ar ARG,DL,Leverkusen,de Bundesliga,24,1992,17.2,40,2.33,27,0,7,1,4,1,7,0.41,4,0,2,0,1,0,Partidos
41,David Alba,es ESP,DF,Getafe,es La Liga,18,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
42,Jordi Alba,es ESP,DF,Barcelona,es La Liga,28,1989,30.5,64,2.10,61,1,1,1,0,0,11,0.36,10,0,0,1,0,0,Partidos
43,Raúl Albentosa,es ESP,DF,La Coruña,es La Liga,28,1988,19.4,6,0.31,4,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Partidos
44,Luis Alberto,es ESP,"DL,CC",Lazio,it Serie A,24,1992,29.7,183,6.18,112,50,12,7,2,0,25,0.84,13,8,3,0,1,0,Partidos
45,Raúl Albiol,es ESP,DF,Napoli,it Serie A,31,1985,30.5,24,0.79,23,0,0,1,0,0,3,0.10,2,0,0,1,0,0,Partidos
46,Miiko Albornoz,cl CHI,"DF,CC",Hannover 96,de Bundesliga,26,1990,7.8,20,2.56,15,1,1,1,1,1,3,0.38,3,0,0,0,0,0,Partidos
47,Marc Albrighton,eng ENG,"CC,DL",Leicester City,eng Premier League,27,1989,28.2,79,2.80,51,15,9,1,3,0,11,0.39,10,1,0,0,0,0,Partidos
48,Paco Alcácer,es ESP,"CC,DL",Barcelona,es La Liga,23,1993,7.7,15,1.94,11,0,0,2,1,1,5,0.65,2,0,0,1,1,1,Partidos
49,Pedro Alcalá,es ESP,DF,Girona,es La Liga,28,1989,7.7,6,0.78,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Partidos
50,Thiago Alcántara,es ESP,"CC,DL",Bayern Munich,de Bundesliga,26,1991,13.9,60,4.33,52,3,1,0,2,2,5,0.36,4,0,1,0,0,0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive,PassDead,HASTA,Dis,FR,Def,Partidos
51,David Alcibiade,fr FRA,DF,Nantes,fr Ligue 1,25,1991,2.3,3,1.30,3,0,0,0,0,0,1,0.43,1,0,0,0,0,0,Partidos
52,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,28,1989,13.1,20,1.53,16,0,3,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
53,Steve Aldo One,cm CMR,DF,La Coruña,es La Liga,22,1995,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
54,Álex Alegría,es ESP,DL,Levante,es La Liga,24,1992,7.0,11,1.58,7,0,0,0,4,0,2,0.29,1,0,0,0,1,0,Partidos
55,Iván Alejo,es ESP,"CC,DL",Eibar,es La Liga,22,1995,12.2,31,2.53,22,1,2,0,5,1,3,0.25,3,0,0,0,0,0,Partidos
56,Alexander,ar ARG,"CC,DL",Leganés,es La Liga,28,1988,11.8,35,2.97,23,4,2,4,2,0,4,0.34,2,1,0,0,1,0,Partidos
57,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,18,1998,17.5,42,2.40,29,7,2,2,0,2,3,0.17,2,0,1,0,0,0,Partidos
58,Alexis,es ESP,DF,Alavés,es La Liga,31,1985,24.3,15,0.62,11,4,0,0,0,0,1,0.04,1,0,0,0,0,0,Partidos
59,Alisson,br BRA,PO,Roma,it Serie A,24,1992,37.0,5,0.14,4,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Partidos
60,Allan,br BRA,CC,Napoli,it Serie A,26,1991,31.7,102,3.22,76,0,10,3,9,4,14,0.44,11,0,1,0,1,1,Partidos
61,Joe Allen,wls WAL,CC,Stoke City,eng Premier League,27,1990,34.9,74,2.12,63,3,2,1,4,1,12,0.34,8,1,1,0,1,1,Partidos
62,Dele Alli,eng ENG,"CC,DL",Tottenham,eng Premier League,21,1996,32.9,133,4.05,104,1,5,6,14,3,19,0.58,14,0,0,3,2,0,Partidos
63,Júnior Alonso,py PAR,DF,Lille,fr Ligue 1,24,1993,30.9,27,0.87,24,3,0,0,0,0,3,0.10,3,0,0,0,0,0,Partidos
64,José Alonso Lara,es ESP,CC,Sevilla,es La Liga,17,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
65,Marcos Alonso,es ESP,"DF,CC",Chelsea,eng Premier League,26,1990,31.7,81,2.55,64,5,2,6,3,1,7,0.22,7,0,0,0,0,0,Partidos
66,Ricky Álvarez,ar ARG,CC,Sampdoria,it Serie A,29,1988,3.0,12,4.08,7,3,0,2,0,0,0,0.00,0,0,0,0,0,0,Partidos
67,Sergio Álvarez,es ESP,PO,Celta Vigo,es La Liga,30,1986,16.4,3,0.18,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
68,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,22,1995,7.5,11,1.47,9,0,0,0,1,1,1,0.13,1,0,0,0,0,0,Partidos
69,Dani Alves,br BRA,DF,Paris S-G,fr Ligue 1,34,1983,22.9,84,3.66,74,4,1,5,0,0,12,0.52,12,0,0,0,0,0,Partidos
70,Ibrahim Amadou,fr FRA,"CC,DF",Lille,fr Ligue 1,24,1993,26.7,27,1.01,21,0,0,2,4,0,0,0.00,0,0,0,0,0,0,Partidos
71,Eloi Amagat,es ESP,CC,Girona,es La Liga,32,1985,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
72,Morgan Amalfitano,fr FRA,"CC,DL",Rennes,fr Ligue 1,32,1985,8.3,18,2.17,15,0,0,3,0,0,2,0.24,1,0,0,1,0,0,Partidos
73,Romain Amalfitano,fr FRA,CC,Dijon,fr Ligue 1,27,1989,30.0,53,1.76,44,3,2,1,3,0,4,0.13,3,1,0,0,0,0,Partidos
74,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,22,1994,5.4,2,0.37,0,1,0,0,1,0,1,0.18,0,1,0,0,0,0,Partidos
75,Jordi Amat,id IDN,"DF,CC",Betis,es La Liga,25,1992,22.7,18,0.79,16,0,2,0,0,0,1,0.04,1,0,0,0,0,0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive,PassDead,HASTA,Dis,FR,Def,Partidos
76,Amath,sn SEN,"CC,DL",Getafe,es La Liga,21,1996,31.8,61,1.92,36,0,12,3,9,1,4,0.13,2,0,1,1,0,0,Partidos
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,23,1994,24.4,53,2.18,35,4,7,5,2,0,8,0.33,6,1,0,1,0,0,Partidos
78,Stephan Ambrosius,gh GHA,DF,Hamburger SV,de Bundesliga,18,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,19,1998,35.0,33,0.94,19,7,6,0,1,0,4,0.11,2,0,2,0,0,0,Partidos
80,Nadiem Amiri,de GER,CC,Hoffenheim,de Bundesliga,20,1996,19.4,74,3.83,55,7,3,7,2,0,6,0.31,5,0,0,1,0,0,Partidos
81,Ethan Ampadu,wls WAL,DF,Chelsea,eng Premier League,16,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
82,Nordin Amrabat,ma MAR,DL,Watford,eng Premier League,30,1987,2.2,5,2.27,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Partidos
83,Nordin Amrabat,ma MAR,"DL,CC",Leganés,es La Liga,30,1987,18.0,53,2.94,30,1,12,4,6,0,7,0.39,4,1,2,0,0,0,Partidos
84,Jon Ander Serantes,es ESP,PO,Leganés,es La Liga,27,1989,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
85,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,21,1996,6.1,3,0.49,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
86,Felipe Anderson,br BRA,"DL,CC",Lazio,it Serie A,24,1993,12.9,84,6.52,56,10,14,1,2,1,13,1.01,10,1,2,0,0,0,Partidos
87,Florin Andone,ro ROU,DL,La Coruña,es La Liga,24,1993,18.2,23,1.27,11,0,2,6,4,0,5,0.28,3,0,0,1,1,0,Partidos
88,Nícolas Andrade,br BRA,PO,Hellas Verona,it Serie A,29,1988,36.0,11,0.31,7,4,0,0,0,0,1,0.03,1,0,0,0,0,0,Partidos
89,Benjamin André,fr FRA,CC,Rennes,fr Ligue 1,26,1990,33.5,77,2.30,66,0,3,3,3,2,7,0.21,6,0,0,1,0,0,Partidos
