RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG
311,Léo Bonatini,br BRA,DL,Wolves,eng Premier League,24,1994,1.5,0,9,1,11.1,6.0,0.67,0.0,0.0,13.8,0,0,0,1.3,1.3,0.14,-1.3,-1.3
312,Giacomo Bonaventura,it ITA,CC,Milan,it Serie A,28,1989,7.2,3,27,9,33.3,3.76,1.25,0.11,0.33,16.0,0,0,0,2.9,2.9,0.11,0.1,0.1
313,Daniele Bonera,it ITA,DF,Villarreal,es La Liga,37,1981,2.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
314,Gaëtan Bong,cm CMR,DF,Brighton,eng Premier League,30,1988,20.1,0,2,0,0.0,0.1,0.0,0.0,,27.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1
315,Kevin Bonifazi,it ITA,DF,SPAL,it Serie A,22,1996,25.6,2,11,3,27.3,0.43,0.12,0.18,0.67,19.5,0,0,0,0.6,0.6,0.06,1.4,1.4
316,Leonardo Bonucci,it ITA,DF,Juventus,it Serie A,31,1987,27.5,3,15,4,26.7,0.55,0.15,0.2,0.75,16.6,0,0,0,2.1,2.1,0.14,0.9,0.9
317,Fabio Borini,it ITA,"DL,DF",Milan,it Serie A,27,1991,11.7,2,30,7,23.3,2.56,0.6,0.07,0.29,18.5,0,0,0,2.5,2.5,0.08,-0.5,-0.5
318,Robin Bormuth,de GER,DF,Düsseldorf,de Bundesliga,22,1995,6.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
319,Artur Boruc,pl POL,PO,Bournemouth,eng Premier League,38,1980,12.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
320,Olivier Boscagli,fr FRA,DF,Nice,fr Ligue 1,20,1997,9.6,0,4,0,0.0,0.42,0.0,0.0,,25.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3
321,Gabriel Boschilia,br BRA,"DL,CC",Nantes,fr Ligue 1,22,1996,14.7,4,40,17,42.5,2.73,1.16,0.1,0.24,22.3,8,0,0,4.4,4.4,0.11,-0.4,-0.4
322,John Bostock,tt TRI,CC,Toulouse,fr Ligue 1,26,1992,10.9,0,7,0,0.0,0.64,0.0,0.0,,27.9,1,0,0,0.2,0.2,0.03,-0.2,-0.2
323,Denis Bouanga,ga GAB,"CC,DL",Nîmes,fr Ligue 1,23,1994,29.3,8,86,32,37.2,2.94,1.09,0.09,0.25,19.4,0,0,0,7.8,7.8,0.09,0.2,0.2
324,Zacharie Boucher,fr FRA,PO,Angers,fr Ligue 1,26,1992,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
325,Ryad Boudebouz,dz ALG,"CC,DL",Celta Vigo,es La Liga,28,1990,8.0,1,11,5,45.5,1.38,0.63,0.09,0.2,17.4,0,0,0,1.5,1.5,0.14,-0.5,-0.5
326,Ryad Boudebouz,dz ALG,"CC,DL",Betis,es La Liga,28,1990,6.0,0,10,3,30.0,1.67,0.5,0.0,0.0,22.7,1,0,0,0.5,0.5,0.05,-0.5,-0.5
327,Sofiane Boufal,ma MAR,"CC,DL",Celta Vigo,es La Liga,24,1993,23.2,3,51,16,31.4,2.2,0.69,0.06,0.19,18.6,1,0,0,3.4,3.4,0.07,-0.4,-0.4
328,Nassim Boujellab,ma MAR,CC,Schalke 04,de Bundesliga,19,1999,4.2,0,9,1,11.1,2.14,0.24,0.0,0.0,20.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7
329,Arnold Bouka Moutou,cg CGO,"DF,DL",Dijon,fr Ligue 1,29,1988,0.7,0,1,0,0.0,1.36,0.0,0.0,,33.8,0,0,0,0.0,0.0,0.02,0.0,0.0
