RL2017-2018,Jugador2017-2018,País2017-2018,Posc2017-2018,Equipo2017-2018,Comp2017-2018,Edad2017-2018,Nacimiento2017-2018,PJ2017-2018,Titular2017-2018,Mín2017-2018,90 s2017-2018,Gls.2017-2018,Ass2017-2018,G+A2017-2018,G-TP2017-2018,TP2017-2018,TPint2017-2018,TA2017-2018,TR2017-2018,xG2017-2018,npxG2017-2018,xAG2017-2018,npxG+xAG2017-2018,PrgC2017-2018,PrgP2017-2018,PrgR2017-2018,Gls..12017-2018,Ast2017-2018,G+A.12017-2018,G-TP.12017-2018,G+A-TP2017-2018,xG.12017-2018,xAG.12017-2018,xG+xAG2017-2018,npxG.12017-2018,npxG+xAG.12017-2018
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26.0,1990.0,28,25,2184,24.3,5,1,6,5,0,0,7,0,3.1,3.1,2.1,5.2,46.0,92.0,86.0,0.21,0.04,0.25,0.21,0.25,0.13,0.09,0.21,0.13,0.21
5,Rolando Aarons,eng ENG,"CC,DL",Newcastle Utd,eng Premier League,21.0,1995.0,15,7,656,7.2,0,0,0,0,0,0,0,0,0.30000000000000004,0.30000000000000004,0.2,0.4,16.0,20.0,35.0,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.1,0.07,0.1
4,Ignazio Abate,it ITA,DF,Milan,it Serie A,30.0,1986.0,17,11,1057,11.7,1,0,1,1,0,0,3,0,0.2,0.2,0.5,0.7,20.0,81.0,65.0,0.09,0.0,0.09,0.09,0.09,0.01,0.04,0.06,0.01,0.06
5,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27.0,1989.0,8,6,499,5.5,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
6,Aly Abeid,mr MTN,DF,Levante,es La Liga,19.0,1997.0,1,1,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08
7,Mehdi Abeid,dz ALG,CC,Dijon,fr Ligue 1,24.0,1992.0,19,14,1176,13.1,0,1,1,0,0,0,2,0,1.0,1.0,0.3,1.3,20.0,49.0,14.0,0.0,0.08,0.08,0.0,0.08,0.07,0.02,0.1,0.07,0.1
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31.0,1986.0,27,27,2302,25.6,0,2,2,0,0,0,3,0,0.4,0.4,0.7,1.1,17.0,103.0,7.0,0.0,0.08,0.08,0.0,0.08,0.01,0.03,0.04,0.01,0.04
9,Tammy Abraham,eng ENG,DL,Swansea City,eng Premier League,19.0,1997.0,31,15,1726,19.2,5,1,6,5,0,0,0,0,6.8,6.8,1.6,8.4,19.0,20.0,104.0,0.26,0.05,0.31,0.26,0.31,0.35,0.08,0.44,0.35,0.44
10,Amir Abrashi,al ALB,CC,Freiburg,de Bundesliga,27.0,1990.0,12,11,850,9.4,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.7,8.0,38.0,18.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29.0,1988.0,38,38,3420,38.0,0,0,0,0,0,0,4,0,1.0,1.0,0.7,1.7,35.0,141.0,14.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.04,0.03,0.04
12,Afriyie Acquah,gh GHA,CC,Torino,it Serie A,25.0,1992.0,22,9,951,10.6,1,0,1,1,0,0,4,2,0.4,0.4,0.6,1.0,24.0,60.0,24.0,0.09,0.0,0.09,0.09,0.09,0.04,0.06,0.1,0.04,0.1
13,Charlie Adam,sct SCO,CC,Stoke City,eng Premier League,31.0,1985.0,11,5,411,4.6,0,0,0,0,0,1,2,1,1.6,0.9,1.2,2.1,6.0,30.0,9.0,0.0,0.0,0.0,0.0,0.0,0.36,0.27,0.63,0.19,0.46
14,Antonio Adán,es ESP,PO,Betis,es La Liga,30.0,1987.0,30,30,2700,30.0,0,2,2,0,0,0,4,0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,0.0,0.02,0.02,0.0,0.02
