RL2017-2018,Jugador2017-2018,País2017-2018,Posc2017-2018,Equipo2017-2018,Comp2017-2018,Edad2017-2018,Nacimiento2017-2018,90 s2017-2018,Int.2017-2018,Balón vivo2017-2018,Balón muerto2017-2018,FK2017-2018,PL2017-2018,Camb.2017-2018,Pcz2017-2018,Lanz.2017-2018,SE2017-2018,Dentro2017-2018,Fuera2017-2018,Rect.2017-2018,Cmp2017-2018,PA2017-2018,Bloqueos2017-2018
15,Aday,es ESP,DF,Girona,es La Liga,29.0,1987.0,20.4,1047.0,835.0,209.0,16.0,1.0,15.0,134.0,190.0,3.0,0.0,2.0,0.0,738.0,3.0,37.0
16,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,32.0,1985.0,32.5,1157.0,1091.0,64.0,63.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,960.0,2.0,9.0
17,Claud Adjapong,it ITA,"DF,DL",Sassuolo,it Serie A,19.0,1998.0,13.6,509.0,442.0,65.0,1.0,3.0,2.0,27.0,63.0,1.0,0.0,0.0,0.0,363.0,2.0,17.0
18,René Adler,de GER,PO,Mainz 05,de Bundesliga,32.0,1985.0,14.0,442.0,293.0,146.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,3.0,0.0
19,Yacine Adli,fr FRA,DL,Paris S-G,fr Ligue 1,17.0,2000.0,0.1,7.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
20,Ali Adnan Kadhim,iq IRQ,"DF,DL",Udinese,it Serie A,23.0,1993.0,18.6,883.0,671.0,211.0,17.0,0.0,3.0,88.0,173.0,21.0,6.0,12.0,0.0,585.0,1.0,34.0
21,Adrián,es ESP,PO,West Ham,eng Premier League,30.0,1987.0,19.0,571.0,332.0,235.0,51.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,4.0,0.0
22,Aritz Aduriz,es ESP,DL,Athletic Club,es La Liga,36.0,1981.0,23.9,518.0,497.0,20.0,1.0,2.0,2.0,20.0,7.0,0.0,0.0,0.0,0.0,337.0,1.0,15.0
23,Ibrahim Afellay,nl NED,CC,Stoke City,eng Premier League,31.0,1986.0,1.8,82.0,81.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0
24,Benik Afobe,cd COD,DL,Bournemouth,eng Premier League,24.0,1993.0,6.8,154.0,142.0,12.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,2.0
25,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,21.0,1996.0,20.3,884.0,658.0,226.0,10.0,2.0,3.0,50.0,216.0,0.0,0.0,0.0,0.0,634.0,0.0,31.0
26,Imanol Agirretxe,es ESP,DL,Real Sociedad,es La Liga,30.0,1987.0,2.6,60.0,56.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,2.0
27,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,29.0,1988.0,21.8,650.0,620.0,27.0,0.0,4.0,0.0,16.0,3.0,1.0,0.0,0.0,0.0,529.0,3.0,20.0
28,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,24.0,1993.0,27.3,1545.0,1187.0,349.0,11.0,2.0,10.0,95.0,338.0,0.0,0.0,0.0,0.0,1186.0,9.0,43.0
29,Matías Aguirregaray,uy URU,DF,Las Palmas,es La Liga,28.0,1989.0,12.8,698.0,546.0,148.0,22.0,2.0,4.0,19.0,126.0,0.0,0.0,0.0,0.0,519.0,4.0,16.0
30,Jean-Eudes Aholou,ci CIV,CC,Strasbourg,fr Ligue 1,23.0,1994.0,33.4,1359.0,1332.0,22.0,19.0,4.0,18.0,5.0,3.0,0.0,0.0,0.0,0.0,1162.0,5.0,14.0
31,Ailton,br BRA,"DF,CC",Stuttgart,de Bundesliga,22.0,1995.0,1.2,65.0,50.0,15.0,4.0,0.0,2.0,3.0,11.0,0.0,0.0,0.0,0.0,45.0,0.0,4.0
32,Youssef Aït Bennasser,ma MAR,CC,Caen,fr Ligue 1,21.0,1996.0,22.7,1135.0,1117.0,16.0,10.0,5.0,24.0,11.0,1.0,2.0,1.0,0.0,0.0,936.0,2.0,20.0
33,Arlind Ajeti,al ALB,DF,Crotone,it Serie A,23.0,1993.0,14.1,362.0,348.0,13.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,1.0,5.0
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,22.0,1995.0,10.0,618.0,584.0,34.0,14.0,0.0,8.0,1.0,20.0,0.0,0.0,0.0,0.0,527.0,0.0,3.0
35,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,22.0,1995.0,37.3,1609.0,1551.0,56.0,43.0,0.0,2.0,5.0,13.0,0.0,0.0,0.0,0.0,1344.0,2.0,11.0
36,Ager Aketxe,es ESP,CC,Athletic Club,es La Liga,23.0,1993.0,0.4,42.0,37.0,5.0,2.0,0.0,0.0,7.0,0.0,3.0,2.0,1.0,0.0,32.0,0.0,1.0
37,Chadrac Akolo,cd COD,"CC,DL",Stuttgart,de Bundesliga,22.0,1995.0,12.2,317.0,304.0,7.0,0.0,4.0,0.0,14.0,3.0,1.0,0.0,1.0,0.0,237.0,6.0,13.0
38,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,22.0,1995.0,18.8,1021.0,973.0,46.0,38.0,1.0,8.0,6.0,8.0,0.0,0.0,0.0,0.0,876.0,2.0,11.0
39,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,25.0,1992.0,17.2,1338.0,1167.0,168.0,10.0,0.0,4.0,94.0,151.0,7.0,0.0,7.0,0.0,1126.0,3.0,37.0
40,Lucas Alario,ar ARG,DL,Leverkusen,de Bundesliga,24.0,1992.0,17.2,410.0,377.0,31.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,303.0,2.0,14.0
41,David Alba,es ESP,DF,Getafe,es La Liga,18.0,1999.0,0.7,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
42,Jordi Alba,es ESP,DF,Barcelona,es La Liga,28.0,1989.0,30.5,2418.0,2101.0,308.0,46.0,2.0,19.0,46.0,261.0,1.0,0.0,0.0,0.0,2074.0,9.0,55.0
43,Raúl Albentosa,es ESP,DF,La Coruña,es La Liga,28.0,1988.0,19.4,775.0,738.0,34.0,33.0,1.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,607.0,3.0,8.0
44,Luis Alberto,es ESP,"DL,CC",Lazio,it Serie A,24.0,1992.0,29.7,1859.0,1572.0,265.0,67.0,38.0,15.0,213.0,26.0,168.0,68.0,69.0,9.0,1362.0,22.0,44.0
45,Raúl Albiol,es ESP,DF,Napoli,it Serie A,31.0,1985.0,30.5,2510.0,2458.0,48.0,47.0,0.0,63.0,3.0,1.0,0.0,0.0,0.0,0.0,2241.0,4.0,14.0
46,Miiko Albornoz,cl CHI,"DF,CC",Hannover 96,de Bundesliga,26.0,1990.0,7.8,423.0,324.0,97.0,7.0,0.0,1.0,23.0,90.0,0.0,0.0,0.0,0.0,325.0,2.0,13.0
47,Marc Albrighton,eng ENG,"CC,DL",Leicester City,eng Premier League,27.0,1989.0,28.2,1298.0,1124.0,162.0,28.0,11.0,20.0,217.0,64.0,65.0,50.0,9.0,0.0,771.0,12.0,64.0
48,Paco Alcácer,es ESP,"CC,DL",Barcelona,es La Liga,23.0,1993.0,7.7,234.0,224.0,8.0,0.0,3.0,0.0,6.0,3.0,3.0,2.0,0.0,1.0,188.0,2.0,5.0
49,Pedro Alcalá,es ESP,DF,Girona,es La Liga,28.0,1989.0,7.7,295.0,279.0,13.0,13.0,0.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,208.0,3.0,3.0
50,Thiago Alcántara,es ESP,"CC,DL",Bayern Munich,de Bundesliga,26.0,1991.0,13.9,1310.0,1268.0,39.0,21.0,1.0,33.0,13.0,7.0,8.0,6.0,1.0,0.0,1187.0,3.0,10.0
51,David Alcibiade,fr FRA,DF,Nantes,fr Ligue 1,25.0,1991.0,2.3,93.0,74.0,19.0,2.0,1.0,2.0,5.0,17.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0
52,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,28.0,1989.0,13.1,931.0,901.0,30.0,21.0,1.0,31.0,7.0,9.0,0.0,0.0,0.0,0.0,793.0,0.0,4.0
