Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Derribos,Derribos,Derribos,Derribos,Derribos,Desafíos,Desafíos,Desafíos,Desafíos,Bloqueos,Bloqueos,Bloqueos,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
28,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,7.8,20,9,10,9,1,10,18,55.6,8,14,3,11,12,32,18,0,Partidos
29,Kevin Agudelo,co COL,DL,Spezia,it Serie A,21,1998,15.1,39,28,9,15,15,12,34,35.3,22,30,0,30,10,49,2,0,Partidos
30,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35.0,37,30,28,9,0,21,33,63.6,12,34,22,12,47,84,102,0,Partidos
31,Sergio Agüero,ar ARG,DL,Manchester City,eng Premier League,32,1988,6.2,4,1,0,2,2,2,11,18.2,9,2,0,2,2,6,0,0,Partidos
32,Ruben Aguilar,fr FRA,"DF,CC",Monaco,fr Ligue 1,27,1993,24.7,63,37,32,21,10,32,52,61.5,20,30,3,27,47,110,43,1,Partidos
33,Naouirou Ahamada,fr FRA,CC,Stuttgart,de Bundesliga,18,2002,2.8,4,1,3,1,0,1,1,100.0,0,2,0,2,1,5,1,0,Partidos
34,Matteo Ahlinvi,bj BEN,CC,Nîmes,fr Ligue 1,21,1999,10.0,26,20,10,14,2,11,39,28.2,28,6,0,6,2,28,8,0,Partidos
35,Jean-Eudes Aholou,ci CIV,CC,Strasbourg,fr Ligue 1,26,1994,23.8,46,25,18,25,3,19,48,39.6,29,17,5,12,53,99,32,0,Partidos
36,Jean-Eudes Aholou,ci CIV,CC,Monaco,fr Ligue 1,26,1994,0.4,1,0,0,1,0,1,3,33.3,2,0,0,0,1,2,1,0,Partidos
37,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,14.3,26,17,17,9,0,12,21,57.1,9,7,4,3,25,51,88,1,Partidos
38,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,29.6,37,20,22,7,8,21,43,48.8,22,22,6,16,45,82,94,2,Partidos
39,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,19,2001,15.6,29,16,18,10,1,13,27,48.1,14,14,1,13,15,44,25,0,Partidos
40,Rayan Aït Nouri,dz ALG,DF,Angers,fr Ligue 1,19,2001,2.1,3,2,1,2,0,3,5,60.0,2,2,1,1,4,7,1,0,Partidos
41,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,30.9,40,14,34,6,0,23,41,56.1,18,51,32,19,42,82,122,2,Partidos
42,Ludovic Ajorque,fr FRA,DL,Strasbourg,fr Ligue 1,26,1994,33.0,30,18,6,18,6,7,31,22.6,24,14,5,9,11,41,54,0,Partidos
43,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,26.1,41,22,23,12,6,19,31,61.3,12,23,10,13,49,90,70,1,Partidos
44,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,9.6,18,14,14,4,0,10,18,55.6,8,16,3,13,19,37,33,0,Partidos
45,Marley Aké,fr FRA,DL,Marseille,fr Ligue 1,19,2001,1.6,3,3,1,0,2,0,1,0.0,1,2,0,2,0,3,1,0,Partidos
46,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,8.9,10,5,3,6,1,3,4,75.0,1,2,1,1,9,19,23,0,Partidos
47,Paul Akouokou,ci CIV,CC,Betis,es La Liga,22,1997,4.2,11,8,2,8,1,5,8,62.5,3,3,1,2,6,17,7,0,Partidos
48,Jean-Daniel Akpa-Akpro,ci CIV,CC,Lazio,it Serie A,27,1992,11.7,38,25,13,22,3,8,27,29.6,19,24,6,18,18,56,13,0,Partidos
49,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,13.2,18,12,11,6,1,8,14,57.1,6,28,15,13,13,31,32,2,Partidos
50,David Alaba,at AUT,"DF,CC",Bayern Munich,de Bundesliga,28,1992,29.7,37,21,14,19,4,17,32,53.1,15,29,13,16,43,80,60,0,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
51,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,22,1998,16.7,53,33,30,16,7,29,45,64.4,16,17,2,15,21,74,38,0,Partidos
52,Jony Álamo,es ESP,CC,Elche,es La Liga,18,2001,0.8,2,1,1,0,1,0,1,0.0,1,0,0,0,1,3,0,0,Partidos
53,Lucas Alario,ar ARG,DL,Leverkusen,de Bundesliga,27,1992,13.8,8,2,2,5,1,2,4,50.0,2,9,1,8,2,10,10,0,Partidos
54,Jordi Alba,es ESP,"DF,DL",Barcelona,es La Liga,31,1989,33.6,45,30,22,16,7,24,52,46.2,28,21,2,19,49,94,48,0,Partidos
55,Luis Alberto,es ESP,CC,Lazio,it Serie A,27,1992,29.1,43,24,15,19,9,15,73,20.5,58,41,2,39,13,56,11,1,Partidos
56,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,1985,34.6,22,15,19,3,0,13,18,72.2,5,32,22,10,22,44,146,2,Partidos
57,Marc Albrighton,eng ENG,"DF,DL",Leicester City,eng Premier League,30,1989,19.4,33,19,14,15,4,16,45,35.6,29,29,3,26,17,50,27,1,Partidos
58,Paco Alcácer,es ESP,DL,Villarreal,es La Liga,26,1993,17.2,6,3,1,2,3,3,7,42.9,4,8,0,8,9,15,6,0,Partidos
59,Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31,1989,10.1,8,4,6,2,0,3,5,60.0,2,19,13,6,16,24,50,0,Partidos
60,Thiago Alcántara,es ESP,CC,Liverpool,eng Premier League,29,1991,20.6,61,36,20,30,11,17,49,34.7,32,26,0,26,30,91,14,0,Partidos
61,Rubén Alcaraz,es ESP,CC,Valladolid,es La Liga,29,1991,24.1,54,29,32,21,1,30,80,37.5,50,35,8,27,31,85,28,0,Partidos
62,Omar Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,1996,14.4,16,10,11,5,0,7,16,43.8,9,14,10,4,21,37,61,1,Partidos
63,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,1989,24.9,35,22,22,11,2,18,30,60.0,12,40,28,12,10,45,121,0,Partidos
64,Iván Alejo,es ESP,"CC,DL",Cádiz,es La Liga,25,1995,9.2,14,10,8,4,2,4,23,17.4,19,14,1,13,3,17,10,0,Partidos
65,Carles Aleñá,es ESP,CC,Barcelona,es La Liga,22,1998,0.5,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,Partidos
66,Carles Aleñá,es ESP,"CC,DL",Getafe,es La Liga,22,1998,15.2,15,10,3,9,3,7,25,28.0,18,14,1,13,2,17,2,0,Partidos
67,Rúnar Alex Rúnarsson,is ISL,PO,Arsenal,eng Premier League,25,1995,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Partidos
68,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,1998,33.7,56,33,31,18,7,36,56,64.3,20,24,3,21,49,105,50,3,Partidos
69,Alfon,es ESP,CC,Celta Vigo,es La Liga,21,1999,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Partidos
70,Mohamed Ali Cho,fr FRA,"DL,CC",Angers,fr Ligue 1,16,2004,3.9,9,7,2,6,1,4,9,44.4,5,4,0,4,3,12,0,0,Partidos
71,Ezgjan Alioski,mk MKD,"DF,CC",Leeds United,eng Premier League,28,1992,27.3,74,31,38,28,8,32,74,43.2,42,17,2,15,23,97,50,2,Partidos
72,Rachid Alioui,ma MAR,DL,Angers,fr Ligue 1,28,1992,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Partidos
73,Alisson,br BRA,PO,Liverpool,eng Premier League,27,1992,33.0,3,2,3,0,0,3,4,75.0,1,0,0,0,2,5,26,7,Partidos
74,Saturnin Allagbé,bj BEN,PO,Dijon,fr Ligue 1,26,1993,12.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9,3,Partidos
75,Allan,br BRA,CC,Everton,eng Premier League,29,1991,22.8,80,45,39,37,4,28,95,29.5,67,31,12,19,19,99,25,1,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Partidos
76,Dele Alli,eng ENG,CC,Tottenham,eng Premier League,24,1996,6.9,18,11,8,6,4,7,19,36.8,12,9,0,9,7,25,3,0,Partidos
77,Miguel Almirón,py PAR,"CC,DL",Newcastle Utd,eng Premier League,26,1994,27.0,49,29,21,25,3,14,56,25.0,42,23,4,19,25,74,20,1,Partidos
78,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,29,1990,10.7,13,3,6,4,3,7,14,50.0,7,12,1,11,12,25,30,0,Partidos
79,Sergio Álvarez,es ESP,"CC,DF",Eibar,es La Liga,28,1992,17.4,42,25,13,26,3,8,22,36.4,14,22,5,17,22,64,24,2,Partidos
80,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,25,1995,21.6,19,12,11,8,0,9,21,42.9,12,12,5,7,53,72,73,0,Partidos
81,Bruno Alves,pt POR,DF,Parma,it Serie A,38,1981,18.1,13,10,10,3,0,7,9,77.8,2,17,12,5,26,39,81,0,Partidos
82,Steven Alzate,co COL,CC,Brighton,eng Premier League,21,1998,10.0,17,8,10,4,3,6,15,40.0,9,8,1,7,8,25,10,0,Partidos
83,Ibrahim Amadou,fr FRA,CC,Angers,fr Ligue 1,27,1993,16.7,39,26,18,19,2,15,38,39.5,23,14,4,10,23,62,25,0,Partidos
84,Romain Amalfitano,fr FRA,"DL,DF",Dijon,fr Ligue 1,30,1989,1.3,4,2,3,1,0,1,3,33.3,2,2,1,1,1,5,1,0,Partidos
85,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,18,2001,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,1,0,Partidos
86,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,25,1994,8.0,11,7,6,4,1,8,12,66.7,4,8,4,4,12,23,26,0,Partidos
87,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,26,1994,9.0,11,9,9,1,1,9,12,75.0,3,12,2,10,27,38,33,1,Partidos
88,Thierry Ambrose,gp GLP,DL,Metz,fr Ligue 1,23,1997,8.4,7,4,1,1,5,2,12,16.7,10,2,0,2,2,9,4,0,Partidos
89,Wisdom Amey,it ITA,DF,Bologna,it Serie A,14,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Partidos
90,Nadiem Amiri,de GER,CC,Leverkusen,de Bundesliga,23,1996,21.0,12,7,4,8,0,7,33,21.2,26,18,3,15,12,24,7,0,Partidos
91,Ethan Ampadu,wls WAL,"DF,CC",Sheffield Utd,eng Premier League,19,2000,23.2,57,36,31,24,2,20,46,43.5,26,40,19,21,49,106,87,3,Partidos
92,Sofyan Amrabat,ma MAR,CC,Fiorentina,it Serie A,23,1996,27.1,39,22,11,24,4,18,48,37.5,30,30,5,25,23,62,12,0,Partidos
93,Jon Ander Garrido,es ESP,CC,Cádiz,es La Liga,30,1989,8.9,18,10,8,7,3,10,26,38.5,16,12,4,8,14,32,13,0,Partidos
94,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,24,1996,30.3,33,19,18,11,4,15,28,53.6,13,24,13,11,44,77,151,1,Partidos
